frequency,raw
20.00,8.80
20.20,8.81
20.40,8.82
20.61,8.83
20.81,8.84
21.02,8.85
21.23,8.86
21.44,8.87
21.66,8.88
21.87,8.88
22.09,8.89
22.31,8.89
22.54,8.90
22.76,8.91
22.99,8.92
23.22,8.93
23.45,8.94
23.69,8.95
23.92,8.95
24.16,8.96
24.40,8.96
24.65,8.96
24.89,8.96
25.14,8.96
25.39,8.96
25.65,8.95
25.91,8.95
26.16,8.94
26.43,8.95
26.69,8.96
26.96,8.97
27.23,8.99
27.50,9.00
27.77,8.99
28.05,8.97
28.33,8.93
28.62,8.89
28.90,8.84
29.19,8.81
29.48,8.79
29.78,8.81
30.08,8.82
30.38,8.84
30.68,8.86
30.99,8.86
31.30,8.85
31.61,8.84
31.93,8.84
32.24,8.84
32.57,8.85
32.89,8.86
33.22,8.86
33.55,8.85
33.89,8.83
34.23,8.80
34.57,8.77
34.92,8.74
35.27,8.71
35.62,8.69
35.97,8.68
36.33,8.67
36.70,8.66
37.06,8.66
37.43,8.65
37.81,8.64
38.19,8.63
38.57,8.61
38.95,8.58
39.34,8.55
39.74,8.51
40.14,8.48
40.54,8.45
40.94,8.44
41.35,8.43
41.76,8.43
42.18,8.41
42.60,8.40
43.03,8.37
43.46,8.34
43.90,8.31
44.33,8.29
44.78,8.26
45.23,8.24
45.68,8.21
46.13,8.18
46.60,8.15
47.06,8.13
47.53,8.10
48.01,8.07
48.49,8.04
48.97,8.02
49.46,7.99
49.96,7.97
50.46,7.94
50.96,7.91
51.47,7.88
51.99,7.85
52.51,7.82
53.03,7.79
53.56,7.76
54.10,7.73
54.64,7.69
55.18,7.66
55.74,7.63
56.29,7.59
56.86,7.56
57.42,7.53
58.00,7.50
58.58,7.46
59.16,7.43
59.76,7.40
60.35,7.36
60.96,7.32
61.57,7.29
62.18,7.26
62.80,7.22
63.43,7.18
64.07,7.14
64.71,7.10
65.35,7.06
66.01,7.02
66.67,6.98
67.33,6.94
68.01,6.90
68.69,6.86
69.37,6.81
70.07,6.77
70.77,6.73
71.48,6.69
72.19,6.65
72.91,6.61
73.64,6.56
74.38,6.52
75.12,6.48
75.87,6.44
76.63,6.40
77.40,6.35
78.17,6.30
78.95,6.25
79.74,6.20
80.54,6.15
81.35,6.10
82.16,6.06
82.98,6.01
83.81,5.97
84.65,5.93
85.50,5.89
86.35,5.85
87.22,5.80
88.09,5.75
88.97,5.70
89.86,5.66
90.76,5.61
91.66,5.56
92.58,5.51
93.51,5.46
94.44,5.41
95.39,5.37
96.34,5.32
97.30,5.27
98.28,5.22
99.26,5.17
100.25,5.12
101.25,5.07
102.27,5.02
103.29,4.97
104.32,4.92
105.37,4.86
106.42,4.81
107.48,4.76
108.56,4.71
109.64,4.66
110.74,4.61
111.85,4.56
112.97,4.50
114.10,4.45
115.24,4.40
116.39,4.35
117.55,4.30
118.73,4.25
119.92,4.20
121.12,4.15
122.33,4.09
123.55,4.03
124.79,3.98
126.03,3.92
127.29,3.87
128.57,3.82
129.85,3.76
131.15,3.70
132.46,3.65
133.79,3.59
135.12,3.53
136.48,3.48
137.84,3.43
139.22,3.37
140.61,3.32
142.02,3.26
143.44,3.20
144.87,3.15
146.32,3.09
147.78,3.03
149.26,2.97
150.75,2.92
152.26,2.86
153.78,2.81
155.32,2.76
156.88,2.70
158.44,2.65
160.03,2.59
161.63,2.54
163.24,2.49
164.88,2.44
166.53,2.38
168.19,2.33
169.87,2.28
171.57,2.22
173.29,2.17
175.02,2.11
176.77,2.06
178.54,2.02
180.32,1.97
182.13,1.92
183.95,1.87
185.79,1.82
187.65,1.76
189.52,1.71
191.42,1.65
193.33,1.60
195.27,1.55
197.22,1.50
199.19,1.45
201.18,1.39
203.19,1.34
205.23,1.29
207.28,1.24
209.35,1.19
211.44,1.13
213.56,1.08
215.69,1.03
217.85,0.97
220.03,0.92
222.23,0.86
224.45,0.81
226.70,0.75
228.96,0.70
231.25,0.65
233.57,0.60
235.90,0.55
238.26,0.50
240.64,0.45
243.05,0.40
245.48,0.35
247.93,0.30
250.41,0.25
252.92,0.21
255.45,0.16
258.00,0.11
260.58,0.06
263.19,0.02
265.82,-0.03
268.48,-0.08
271.16,-0.13
273.87,-0.18
276.61,-0.22
279.38,-0.27
282.17,-0.31
284.99,-0.36
287.84,-0.40
290.72,-0.44
293.63,-0.49
296.57,-0.53
299.53,-0.58
302.53,-0.62
305.55,-0.66
308.61,-0.70
311.69,-0.75
314.81,-0.79
317.96,-0.83
321.14,-0.87
324.35,-0.91
327.59,-0.94
330.87,-0.98
334.18,-1.02
337.52,-1.05
340.90,-1.09
344.30,-1.12
347.75,-1.16
351.23,-1.20
354.74,-1.23
358.28,-1.27
361.87,-1.30
365.49,-1.34
369.14,-1.37
372.83,-1.40
376.56,-1.43
380.33,-1.47
384.13,-1.50
387.97,-1.53
391.85,-1.56
395.77,-1.58
399.73,-1.61
403.72,-1.64
407.76,-1.66
411.84,-1.69
415.96,-1.72
420.12,-1.74
424.32,-1.77
428.56,-1.79
432.85,-1.82
437.18,-1.84
441.55,-1.86
445.96,-1.89
450.42,-1.91
454.93,-1.93
459.48,-1.95
464.07,-1.97
468.71,-1.99
473.40,-2.00
478.13,-2.02
482.91,-2.04
487.74,-2.06
492.62,-2.07
497.55,-2.08
502.52,-2.10
507.55,-2.11
512.62,-2.12
517.75,-2.13
522.93,-2.14
528.16,-2.15
533.44,-2.15
538.77,-2.16
544.16,-2.16
549.60,-2.16
555.10,-2.17
560.65,-2.17
566.25,-2.17
571.92,-2.17
577.64,-2.17
583.41,-2.17
589.25,-2.17
595.14,-2.17
601.09,-2.17
607.10,-2.17
613.17,-2.16
619.30,-2.16
625.50,-2.15
631.75,-2.15
638.07,-2.13
644.45,-2.12
650.89,-2.10
657.40,-2.09
663.98,-2.07
670.62,-2.05
677.32,-2.04
684.10,-2.02
690.94,-2.00
697.85,-1.97
704.83,-1.94
711.87,-1.92
718.99,-1.89
726.18,-1.86
733.44,-1.83
740.78,-1.80
748.19,-1.76
755.67,-1.73
763.23,-1.69
770.86,-1.65
778.57,-1.61
786.35,-1.57
794.22,-1.53
802.16,-1.48
810.18,-1.44
818.28,-1.39
826.46,-1.35
834.73,-1.30
843.08,-1.24
851.51,-1.19
860.02,-1.13
868.62,-1.07
877.31,-1.01
886.08,-0.95
894.94,-0.89
903.89,-0.82
912.93,-0.75
922.06,-0.67
931.28,-0.60
940.59,-0.52
950.00,-0.44
959.50,-0.35
969.09,-0.27
978.78,-0.18
988.57,-0.10
998.46,-0.01
1008.44,0.08
1018.53,0.17
1028.71,0.26
1039.00,0.35
1049.39,0.43
1059.88,0.52
1070.48,0.61
1081.19,0.70
1092.00,0.79
1102.92,0.89
1113.95,0.98
1125.09,1.07
1136.34,1.16
1147.70,1.25
1159.18,1.35
1170.77,1.44
1182.48,1.53
1194.30,1.62
1206.25,1.71
1218.31,1.81
1230.49,1.90
1242.80,1.99
1255.22,2.09
1267.78,2.19
1280.45,2.29
1293.26,2.40
1306.19,2.51
1319.25,2.62
1332.45,2.73
1345.77,2.85
1359.23,2.98
1372.82,3.10
1386.55,3.23
1400.41,3.37
1414.42,3.52
1428.56,3.66
1442.85,3.82
1457.28,3.98
1471.85,4.15
1486.57,4.33
1501.43,4.51
1516.45,4.71
1531.61,4.91
1546.93,5.11
1562.40,5.32
1578.02,5.54
1593.80,5.77
1609.74,6.00
1625.84,6.23
1642.10,6.47
1658.52,6.71
1675.10,6.95
1691.85,7.19
1708.77,7.41
1725.86,7.64
1743.12,7.85
1760.55,8.04
1778.15,8.23
1795.94,8.40
1813.90,8.54
1832.03,8.67
1850.36,8.79
1868.86,8.87
1887.55,8.94
1906.42,8.99
1925.49,9.02
1944.74,9.03
1964.19,9.03
1983.83,9.01
2003.67,8.98
2023.71,8.93
2043.94,8.88
2064.38,8.83
2085.03,8.76
2105.88,8.70
2126.94,8.63
2148.20,8.57
2169.69,8.50
2191.38,8.44
2213.30,8.39
2235.43,8.33
2257.78,8.29
2280.36,8.25
2303.17,8.22
2326.20,8.19
2349.46,8.18
2372.95,8.17
2396.68,8.17
2420.65,8.18
2444.86,8.20
2469.31,8.23
2494.00,8.27
2518.94,8.32
2544.13,8.38
2569.57,8.45
2595.27,8.52
2621.22,8.60
2647.43,8.69
2673.90,8.78
2700.64,8.88
2727.65,8.98
2754.93,9.09
2782.48,9.20
2810.30,9.30
2838.40,9.41
2866.79,9.52
2895.46,9.62
2924.41,9.72
2953.65,9.82
2983.19,9.91
3013.02,9.99
3043.15,10.07
3073.58,10.13
3104.32,10.18
3135.36,10.22
3166.72,10.24
3198.38,10.25
3230.37,10.22
3262.67,10.16
3295.30,10.06
3328.25,9.89
3361.53,9.67
3395.15,9.38
3429.10,8.99
3463.39,8.55
3498.03,8.04
3533.01,7.48
3568.34,6.92
3604.02,6.37
3640.06,5.89
3676.46,5.50
3713.22,5.20
3750.36,4.99
3787.86,4.92
3825.74,4.87
3864.00,4.92
3902.64,5.02
3941.66,5.13
3981.08,5.27
4020.89,5.43
4061.10,5.59
4101.71,5.78
4142.73,5.96
4184.15,6.16
4226.00,6.35
4268.26,6.55
4310.94,6.74
4354.05,6.91
4397.59,7.06
4441.56,7.20
4485.98,7.28
4530.84,7.32
4576.15,7.30
4621.91,7.24
4668.13,7.10
4714.81,6.90
4761.96,6.65
4809.58,6.34
4857.67,6.00
4906.25,5.62
4955.31,5.23
5004.87,4.81
5054.91,4.39
5105.46,3.97
5156.52,3.56
5208.08,3.17
5260.16,2.81
5312.77,2.46
5365.89,2.15
5419.55,1.88
5473.75,1.64
5528.49,1.44
5583.77,1.29
5639.61,1.20
5696.00,1.13
5752.96,1.14
5810.49,1.17
5868.60,1.27
5927.28,1.38
5986.56,1.52
6046.42,1.66
6106.89,1.78
6167.96,1.86
6229.64,1.88
6291.93,1.83
6354.85,1.69
6418.40,1.51
6482.58,1.27
6547.41,1.00
6612.88,0.72
6679.01,0.46
6745.80,0.24
6813.26,0.05
6881.39,-0.08
6950.21,-0.13
7019.71,-0.14
7089.91,-0.07
7160.81,0.09
7232.41,0.31
7304.74,0.60
7377.79,0.99
7451.56,1.44
7526.08,1.95
7601.34,2.49
7677.35,3.03
7754.13,3.57
7831.67,4.00
7909.98,4.35
7989.08,4.58
8068.98,4.58
8149.67,4.46
8231.16,4.19
8313.47,3.77
8396.61,3.30
8480.57,2.78
8565.38,2.26
8651.03,1.76
8737.54,1.31
8824.92,0.94
8913.17,0.65
9002.30,0.40
9092.32,0.25
9183.25,0.17
9275.08,0.15
9367.83,0.19
9461.51,0.25
9556.12,0.26
9651.68,0.21
9748.20,0.06
9845.68,-0.25
9944.14,-0.70
10043.58,-1.27
10144.02,-1.94
10245.46,-2.68
10347.91,-3.38
10451.39,-4.00
10555.91,-4.41
10661.46,-4.63
10768.08,-4.67
10875.76,-4.51
10984.52,-4.23
11094.36,-3.91
11205.31,-3.57
11317.36,-3.25
11430.53,-2.95
11544.84,-2.73
11660.29,-2.58
11776.89,-2.49
11894.66,-2.55
12013.60,-2.64
12133.74,-2.78
