frequency,raw
20.00,7.13
20.20,7.12
20.40,7.11
20.61,7.11
20.81,7.10
21.02,7.08
21.23,7.07
21.44,7.06
21.66,7.05
21.87,7.03
22.09,7.02
22.31,7.01
22.54,6.99
22.76,6.98
22.99,6.97
23.22,6.96
23.45,6.94
23.69,6.93
23.92,6.92
24.16,6.90
24.40,6.89
24.65,6.87
24.89,6.85
25.14,6.83
25.39,6.81
25.65,6.80
25.91,6.78
26.16,6.77
26.43,6.76
26.69,6.74
26.96,6.73
27.23,6.72
27.50,6.70
27.77,6.68
28.05,6.67
28.33,6.65
28.62,6.63
28.90,6.60
29.19,6.58
29.48,6.56
29.78,6.53
30.08,6.51
30.38,6.49
30.68,6.46
30.99,6.44
31.30,6.41
31.61,6.39
31.93,6.37
32.24,6.34
32.57,6.32
32.89,6.30
33.22,6.27
33.55,6.24
33.89,6.21
34.23,6.18
34.57,6.15
34.92,6.13
35.27,6.10
35.62,6.08
35.97,6.06
36.33,6.04
36.70,6.01
37.06,5.98
37.43,5.95
37.81,5.92
38.19,5.89
38.57,5.85
38.95,5.83
39.34,5.80
39.74,5.77
40.14,5.74
40.54,5.71
40.94,5.67
41.35,5.64
41.76,5.60
42.18,5.56
42.60,5.53
43.03,5.50
43.46,5.46
43.90,5.43
44.33,5.39
44.78,5.36
45.23,5.32
45.68,5.29
46.13,5.25
46.60,5.21
47.06,5.18
47.53,5.14
48.01,5.11
48.49,5.07
48.97,5.03
49.46,5.00
49.96,4.96
50.46,4.92
50.96,4.88
51.47,4.85
51.99,4.81
52.51,4.77
53.03,4.74
53.56,4.70
54.10,4.67
54.64,4.63
55.18,4.59
55.74,4.55
56.29,4.51
56.86,4.48
57.42,4.44
58.00,4.40
58.58,4.36
59.16,4.32
59.76,4.28
60.35,4.25
60.96,4.21
61.57,4.17
62.18,4.13
62.80,4.08
63.43,4.04
64.07,4.00
64.71,3.96
65.35,3.91
66.01,3.87
66.67,3.83
67.33,3.79
68.01,3.75
68.69,3.70
69.37,3.66
70.07,3.62
70.77,3.57
71.48,3.53
72.19,3.49
72.91,3.44
73.64,3.40
74.38,3.35
75.12,3.30
75.87,3.26
76.63,3.22
77.40,3.17
78.17,3.13
78.95,3.08
79.74,3.04
80.54,3.00
81.35,2.95
82.16,2.91
82.98,2.87
83.81,2.83
84.65,2.78
85.50,2.74
86.35,2.70
87.22,2.66
88.09,2.61
88.97,2.57
89.86,2.53
90.76,2.49
91.66,2.44
92.58,2.40
93.51,2.36
94.44,2.32
95.39,2.27
96.34,2.23
97.30,2.19
98.28,2.15
99.26,2.12
100.25,2.07
101.25,2.02
102.27,1.98
103.29,1.94
104.32,1.91
105.37,1.85
106.42,1.80
107.48,1.76
108.56,1.73
109.64,1.70
110.74,1.66
111.85,1.60
112.97,1.55
114.10,1.50
115.24,1.48
116.39,1.45
117.55,1.42
118.73,1.36
119.92,1.29
121.12,1.24
122.33,1.21
123.55,1.20
124.79,1.19
126.03,1.16
127.29,1.11
128.57,1.04
129.85,0.96
131.15,0.88
132.46,0.83
133.79,0.80
135.12,0.80
136.48,0.81
137.84,0.83
139.22,0.84
140.61,0.84
142.02,0.83
143.44,0.81
144.87,0.76
146.32,0.69
147.78,0.62
149.26,0.53
150.75,0.45
152.26,0.36
153.78,0.27
155.32,0.18
156.88,0.11
158.44,0.04
160.03,-0.01
161.63,-0.03
163.24,-0.03
164.88,-0.02
166.53,0.02
168.19,0.05
169.87,0.07
171.57,0.05
173.29,-0.00
175.02,-0.08
176.77,-0.15
178.54,-0.19
180.32,-0.20
182.13,-0.20
183.95,-0.22
185.79,-0.26
187.65,-0.30
189.52,-0.34
191.42,-0.36
193.33,-0.38
195.27,-0.40
197.22,-0.44
199.19,-0.46
201.18,-0.49
203.19,-0.51
205.23,-0.55
207.28,-0.58
209.35,-0.61
211.44,-0.63
213.56,-0.66
215.69,-0.69
217.85,-0.72
220.03,-0.74
222.23,-0.77
224.45,-0.79
226.70,-0.82
228.96,-0.85
231.25,-0.88
233.57,-0.90
235.90,-0.92
238.26,-0.95
240.64,-0.97
243.05,-1.00
245.48,-1.02
247.93,-1.04
250.41,-1.07
252.92,-1.09
255.45,-1.12
258.00,-1.14
260.58,-1.16
263.19,-1.19
265.82,-1.20
268.48,-1.22
271.16,-1.24
273.87,-1.26
276.61,-1.28
279.38,-1.30
282.17,-1.32
284.99,-1.34
287.84,-1.36
290.72,-1.38
293.63,-1.40
296.57,-1.42
299.53,-1.43
302.53,-1.45
305.55,-1.47
308.61,-1.48
311.69,-1.50
314.81,-1.51
317.96,-1.53
321.14,-1.55
324.35,-1.56
327.59,-1.57
330.87,-1.59
334.18,-1.60
337.52,-1.61
340.90,-1.63
344.30,-1.64
347.75,-1.65
351.23,-1.67
354.74,-1.68
358.28,-1.69
361.87,-1.70
365.49,-1.71
369.14,-1.72
372.83,-1.73
376.56,-1.74
380.33,-1.75
384.13,-1.76
387.97,-1.77
391.85,-1.78
395.77,-1.79
399.73,-1.79
403.72,-1.80
407.76,-1.81
411.84,-1.81
415.96,-1.82
420.12,-1.83
424.32,-1.84
428.56,-1.85
432.85,-1.85
437.18,-1.86
441.55,-1.86
445.96,-1.86
450.42,-1.87
454.93,-1.87
459.48,-1.88
464.07,-1.88
468.71,-1.89
473.40,-1.89
478.13,-1.89
482.91,-1.89
487.74,-1.90
492.62,-1.90
497.55,-1.90
502.52,-1.90
507.55,-1.90
512.62,-1.90
517.75,-1.90
522.93,-1.89
528.16,-1.89
533.44,-1.89
538.77,-1.89
544.16,-1.88
549.60,-1.88
555.10,-1.88
560.65,-1.87
566.25,-1.87
571.92,-1.86
577.64,-1.86
583.41,-1.85
589.25,-1.85
595.14,-1.84
601.09,-1.83
607.10,-1.82
613.17,-1.81
619.30,-1.81
625.50,-1.79
631.75,-1.78
638.07,-1.77
644.45,-1.76
650.89,-1.74
657.40,-1.73
663.98,-1.71
670.62,-1.70
677.32,-1.68
684.10,-1.66
690.94,-1.64
697.85,-1.62
704.83,-1.60
711.87,-1.58
718.99,-1.56
726.18,-1.53
733.44,-1.51
740.78,-1.48
748.19,-1.45
755.67,-1.42
763.23,-1.39
770.86,-1.36
778.57,-1.33
786.35,-1.30
794.22,-1.26
802.16,-1.23
810.18,-1.19
818.28,-1.15
826.46,-1.12
834.73,-1.08
843.08,-1.04
851.51,-0.99
860.02,-0.95
868.62,-0.90
