frequency,raw
20.00,6.82
20.20,6.80
20.40,6.79
20.61,6.78
20.81,6.77
21.02,6.75
21.23,6.73
21.44,6.72
21.66,6.70
21.87,6.69
22.09,6.67
22.31,6.66
22.54,6.65
22.76,6.63
22.99,6.62
23.22,6.60
23.45,6.59
23.69,6.57
23.92,6.55
24.16,6.53
24.40,6.52
24.65,6.50
24.89,6.48
25.14,6.46
25.39,6.45
25.65,6.43
25.91,6.41
26.16,6.40
26.43,6.38
26.69,6.37
26.96,6.35
27.23,6.33
27.50,6.32
27.77,6.30
28.05,6.28
28.33,6.26
28.62,6.24
28.90,6.21
29.19,6.19
29.48,6.17
29.78,6.14
30.08,6.12
30.38,6.09
30.68,6.07
30.99,6.04
31.30,6.02
31.61,5.99
31.93,5.97
32.24,5.94
32.57,5.92
32.89,5.90
33.22,5.87
33.55,5.84
33.89,5.81
34.23,5.78
34.57,5.75
34.92,5.73
35.27,5.70
35.62,5.67
35.97,5.65
36.33,5.62
36.70,5.60
37.06,5.57
37.43,5.53
37.81,5.50
38.19,5.47
38.57,5.44
38.95,5.41
39.34,5.38
39.74,5.36
40.14,5.32
40.54,5.29
40.94,5.25
41.35,5.22
41.76,5.18
42.18,5.14
42.60,5.11
43.03,5.08
43.46,5.04
43.90,5.00
44.33,4.97
44.78,4.93
45.23,4.90
45.68,4.86
46.13,4.83
46.60,4.79
47.06,4.75
47.53,4.71
48.01,4.67
48.49,4.63
48.97,4.59
49.46,4.56
49.96,4.52
50.46,4.48
50.96,4.44
51.47,4.41
51.99,4.37
52.51,4.33
53.03,4.30
53.56,4.26
54.10,4.22
54.64,4.19
55.18,4.15
55.74,4.11
56.29,4.07
56.86,4.03
57.42,3.99
58.00,3.95
58.58,3.91
59.16,3.87
59.76,3.83
60.35,3.80
60.96,3.76
61.57,3.72
62.18,3.68
62.80,3.64
63.43,3.59
64.07,3.55
64.71,3.51
65.35,3.46
66.01,3.42
66.67,3.38
67.33,3.33
68.01,3.29
68.69,3.25
69.37,3.21
70.07,3.16
70.77,3.12
71.48,3.07
72.19,3.03
72.91,2.98
73.64,2.93
74.38,2.89
75.12,2.84
75.87,2.80
76.63,2.75
77.40,2.71
78.17,2.66
78.95,2.62
79.74,2.58
80.54,2.54
81.35,2.49
82.16,2.45
82.98,2.41
83.81,2.36
84.65,2.32
85.50,2.27
86.35,2.23
87.22,2.19
88.09,2.15
88.97,2.10
89.86,2.06
90.76,2.02
91.66,1.98
92.58,1.93
93.51,1.89
94.44,1.85
95.39,1.81
96.34,1.76
97.30,1.71
98.28,1.68
99.26,1.64
100.25,1.59
101.25,1.54
102.27,1.50
103.29,1.46
104.32,1.43
105.37,1.38
106.42,1.33
107.48,1.28
108.56,1.25
109.64,1.22
110.74,1.18
111.85,1.12
112.97,1.07
114.10,1.03
115.24,1.00
116.39,0.97
117.55,0.94
118.73,0.88
119.92,0.81
121.12,0.76
122.33,0.73
123.55,0.72
124.79,0.71
126.03,0.68
127.29,0.63
128.57,0.56
129.85,0.48
131.15,0.40
132.46,0.35
133.79,0.31
135.12,0.31
136.48,0.32
137.84,0.34
139.22,0.36
140.61,0.36
142.02,0.35
143.44,0.32
144.87,0.27
146.32,0.20
147.78,0.13
149.26,0.05
150.75,-0.04
152.26,-0.13
153.78,-0.22
155.32,-0.31
156.88,-0.39
158.44,-0.45
160.03,-0.50
161.63,-0.52
163.24,-0.52
164.88,-0.51
166.53,-0.48
168.19,-0.44
169.87,-0.42
171.57,-0.44
173.29,-0.49
175.02,-0.57
176.77,-0.64
178.54,-0.68
180.32,-0.70
182.13,-0.70
183.95,-0.71
185.79,-0.75
187.65,-0.79
189.52,-0.83
191.42,-0.85
193.33,-0.87
195.27,-0.90
197.22,-0.93
199.19,-0.96
201.18,-0.99
203.19,-1.01
205.23,-1.04
207.28,-1.07
209.35,-1.10
211.44,-1.13
213.56,-1.16
215.69,-1.19
217.85,-1.22
220.03,-1.24
222.23,-1.27
224.45,-1.30
226.70,-1.32
228.96,-1.35
231.25,-1.37
233.57,-1.40
235.90,-1.42
238.26,-1.45
240.64,-1.47
243.05,-1.50
245.48,-1.52
247.93,-1.54
250.41,-1.57
252.92,-1.59
255.45,-1.61
258.00,-1.63
260.58,-1.66
263.19,-1.68
265.82,-1.70
268.48,-1.72
271.16,-1.74
273.87,-1.76
276.61,-1.78
279.38,-1.80
282.17,-1.82
284.99,-1.84
287.84,-1.86
290.72,-1.88
293.63,-1.90
296.57,-1.92
299.53,-1.94
302.53,-1.96
305.55,-1.97
308.61,-1.99
311.69,-2.00
314.81,-2.02
317.96,-2.04
321.14,-2.05
324.35,-2.06
327.59,-2.08
330.87,-2.09
334.18,-2.10
337.52,-2.12
340.90,-2.13
344.30,-2.14
347.75,-2.15
351.23,-2.16
354.74,-2.17
358.28,-2.19
361.87,-2.20
365.49,-2.21
369.14,-2.22
372.83,-2.23
376.56,-2.24
380.33,-2.25
384.13,-2.26
387.97,-2.27
391.85,-2.27
395.77,-2.28
399.73,-2.29
403.72,-2.29
407.76,-2.30
411.84,-2.31
415.96,-2.31
420.12,-2.32
424.32,-2.33
428.56,-2.33
432.85,-2.34
437.18,-2.34
441.55,-2.35
445.96,-2.35
450.42,-2.35
454.93,-2.35
459.48,-2.36
464.07,-2.36
468.71,-2.36
473.40,-2.36
478.13,-2.37
482.91,-2.37
487.74,-2.37
492.62,-2.37
497.55,-2.37
502.52,-2.37
507.55,-2.36
512.62,-2.36
517.75,-2.36
522.93,-2.36
528.16,-2.35
533.44,-2.35
538.77,-2.35
544.16,-2.34
549.60,-2.33
555.10,-2.33
560.65,-2.32
566.25,-2.32
571.92,-2.31
577.64,-2.30
583.41,-2.29
589.25,-2.28
595.14,-2.27
601.09,-2.26
607.10,-2.25
613.17,-2.24
619.30,-2.22
625.50,-2.21
631.75,-2.20
638.07,-2.18
644.45,-2.16
650.89,-2.14
657.40,-2.13
663.98,-2.11
670.62,-2.09
677.32,-2.06
684.10,-2.04
690.94,-2.02
697.85,-1.99
704.83,-1.97
711.87,-1.94
718.99,-1.91
726.18,-1.88
733.44,-1.85
740.78,-1.82
748.19,-1.79
755.67,-1.75
763.23,-1.72
770.86,-1.68
778.57,-1.64
786.35,-1.60
794.22,-1.56
802.16,-1.52
810.18,-1.47
818.28,-1.43
826.46,-1.38
834.73,-1.33
843.08,-1.28
851.51,-1.23
860.02,-1.17
868.62,-1.11
877.31,-1.05
886.08,-0.99
894.94,-0.92
903.89,-0.85
912.93,-0.78
922.06,-0.70
931.28,-0.63
940.59,-0.54
950.00,-0.46
959.50,-0.37
969.09,-0.28
978.78,-0.19
988.57,-0.10
998.46,-0.02
1008.44,0.08
1018.53,0.19
1028.71,0.29
1039.00,0.38
1049.39,0.48
1059.88,0.58
1070.48,0.67
1081.19,0.77
1092.00,0.87
1102.92,0.96
1113.95,1.06
1125.09,1.16
1136.34,1.25
1147.70,1.34
1159.18,1.44
1170.77,1.53
1182.48,1.62
1194.30,1.71
1206.25,1.80
1218.31,1.89
1230.49,1.98
1242.80,2.08
1255.22,2.17
1267.78,2.27
1280.45,2.37
1293.26,2.47
1306.19,2.57
1319.25,2.67
1332.45,2.77
1345.77,2.87
1359.23,2.98
1372.82,3.09
1386.55,3.19
1400.41,3.30
1414.42,3.42
1428.56,3.53
1442.85,3.64
1457.28,3.76
1471.85,3.88
1486.57,4.01
1501.43,4.13
1516.45,4.26
1531.61,4.40
1546.93,4.53
1562.40,4.67
1578.02,4.81
1593.80,4.96
1609.74,5.11
1625.84,5.27
1642.10,5.43
1658.52,5.59
1675.10,5.76
1691.85,5.93
1708.77,6.10
1725.86,6.28
1743.12,6.46
1760.55,6.64
1778.15,6.82
1795.94,7.00
1813.90,7.18
1832.03,7.36
1850.36,7.53
1868.86,7.69
1887.55,7.85
1906.42,8.00
1925.49,8.15
1944.74,8.29
1964.19,8.43
1983.83,8.56
2003.67,8.70
2023.71,8.83
2043.94,8.95
2064.38,9.07
2085.03,9.19
2105.88,9.29
2126.94,9.39
2148.20,9.47
2169.69,9.53
2191.38,9.59
2213.30,9.61
2235.43,9.62
2257.78,9.61
2280.36,9.58
2303.17,9.52
2326.20,9.45
2349.46,9.35
2372.95,9.23
2396.68,9.11
2420.65,8.96
2444.86,8.79
2469.31,8.61
2494.00,8.40
2518.94,8.19
2544.13,7.96
2569.57,7.72
2595.27,7.47
2621.22,7.21
2647.43,6.93
2673.90,6.65
2700.64,6.37
2727.65,6.09
2754.93,5.80
2782.48,5.52
2810.30,5.25
2838.40,4.99
2866.79,4.73
2895.46,4.49
2924.41,4.27
2953.65,4.05
2983.19,3.86
3013.02,3.67
3043.15,3.49
3073.58,3.32
3104.32,3.15
3135.36,3.00
3166.72,2.88
3198.38,2.77
3230.37,2.71
3262.67,2.67
3295.30,2.64
3328.25,2.62
3361.53,2.60
3395.15,2.59
3429.10,2.56
3463.39,2.52
3498.03,2.47
3533.01,2.41
3568.34,2.36
3604.02,2.31
3640.06,2.28
3676.46,2.25
3713.22,2.22
3750.36,2.19
3787.86,2.10
3825.74,2.00
3864.00,1.86
3902.64,1.70
3941.66,1.54
3981.08,1.40
4020.89,1.30
4061.10,1.23
4101.71,1.17
4142.73,1.12
4184.15,1.04
4226.00,0.92
4268.26,0.78
4310.94,0.61
4354.05,0.46
4397.59,0.33
4441.56,0.23
4485.98,0.15
4530.84,0.06
4576.15,-0.06
4621.91,-0.19
4668.13,-0.32
4714.81,-0.44
4761.96,-0.55
4809.58,-0.65
4857.67,-0.75
4906.25,-0.85
4955.31,-0.94
5004.87,-1.02
5054.91,-1.09
5105.46,-1.13
5156.52,-1.17
5208.08,-1.19
5260.16,-1.24
5312.77,-1.31
5365.89,-1.42
5419.55,-1.58
5473.75,-1.77
