frequency,raw
20.00,6.81
20.20,6.80
20.40,6.79
20.61,6.78
20.81,6.77
21.02,6.75
21.23,6.74
21.44,6.72
21.66,6.71
21.87,6.69
22.09,6.68
22.31,6.66
22.54,6.65
22.76,6.64
22.99,6.63
23.22,6.61
23.45,6.60
23.69,6.59
23.92,6.58
24.16,6.56
24.40,6.55
24.65,6.53
24.89,6.52
25.14,6.50
25.39,6.48
25.65,6.47
25.91,6.45
26.16,6.44
26.43,6.42
26.69,6.41
26.96,6.40
27.23,6.38
27.50,6.37
27.77,6.35
28.05,6.33
28.33,6.31
28.62,6.29
28.90,6.27
29.19,6.25
29.48,6.23
29.78,6.21
30.08,6.18
30.38,6.16
30.68,6.13
30.99,6.11
31.30,6.09
31.61,6.07
31.93,6.04
32.24,6.02
32.57,6.00
32.89,5.97
33.22,5.94
33.55,5.92
33.89,5.89
34.23,5.87
34.57,5.84
34.92,5.81
35.27,5.79
35.62,5.76
35.97,5.73
36.33,5.71
36.70,5.69
37.06,5.66
37.43,5.63
37.81,5.60
38.19,5.57
38.57,5.54
38.95,5.51
39.34,5.48
39.74,5.45
40.14,5.42
40.54,5.39
40.94,5.35
41.35,5.31
41.76,5.27
42.18,5.24
42.60,5.21
43.03,5.17
43.46,5.14
43.90,5.10
44.33,5.07
44.78,5.04
45.23,5.01
45.68,4.98
46.13,4.94
46.60,4.90
47.06,4.86
47.53,4.83
48.01,4.79
48.49,4.75
48.97,4.71
49.46,4.67
49.96,4.64
50.46,4.60
50.96,4.57
51.47,4.53
51.99,4.50
52.51,4.46
53.03,4.42
53.56,4.38
54.10,4.35
54.64,4.31
55.18,4.27
55.74,4.24
56.29,4.20
56.86,4.17
57.42,4.13
58.00,4.09
58.58,4.05
59.16,4.01
59.76,3.97
60.35,3.93
60.96,3.89
61.57,3.85
62.18,3.81
62.80,3.77
63.43,3.73
64.07,3.69
64.71,3.65
65.35,3.61
66.01,3.56
66.67,3.52
67.33,3.47
68.01,3.43
68.69,3.39
69.37,3.34
70.07,3.30
70.77,3.26
71.48,3.22
72.19,3.18
72.91,3.13
73.64,3.09
74.38,3.04
75.12,3.00
75.87,2.95
76.63,2.91
77.40,2.86
78.17,2.82
78.95,2.77
79.74,2.73
80.54,2.69
81.35,2.65
82.16,2.60
82.98,2.56
83.81,2.52
84.65,2.48
85.50,2.43
86.35,2.39
87.22,2.35
88.09,2.30
88.97,2.26
89.86,2.22
90.76,2.18
91.66,2.14
92.58,2.09
93.51,2.05
94.44,2.01
95.39,1.97
96.34,1.92
97.30,1.88
98.28,1.84
99.26,1.80
100.25,1.76
101.25,1.71
102.27,1.67
103.29,1.63
