frequency,raw
20.00,8.45
20.20,8.45
20.40,8.45
20.61,8.45
20.81,8.45
21.02,8.44
21.23,8.44
21.44,8.44
21.66,8.44
21.87,8.44
22.09,8.44
22.31,8.44
22.54,8.44
22.76,8.44
22.99,8.44
23.22,8.45
23.45,8.45
23.69,8.45
23.92,8.45
24.16,8.45
24.40,8.45
24.65,8.45
24.89,8.44
25.14,8.43
25.39,8.42
25.65,8.41
25.91,8.40
26.16,8.40
26.43,8.40
26.69,8.40
26.96,8.40
27.23,8.41
27.50,8.41
27.77,8.43
28.05,8.45
28.33,8.48
28.62,8.50
28.90,8.53
29.19,8.54
29.48,8.54
29.78,8.50
30.08,8.46
30.38,8.40
30.68,8.35
30.99,8.32
31.30,8.30
31.61,8.30
31.93,8.30
32.24,8.29
32.57,8.29
32.89,8.28
33.22,8.26
33.55,8.25
33.89,8.25
34.23,8.24
34.57,8.23
34.92,8.22
35.27,8.21
35.62,8.20
35.97,8.18
36.33,8.17
36.70,8.16
37.06,8.14
37.43,8.12
37.81,8.11
38.19,8.09
38.57,8.07
38.95,8.06
39.34,8.05
39.74,8.03
40.14,8.01
40.54,7.99
40.94,7.97
41.35,7.94
41.76,7.92
42.18,7.89
42.60,7.87
43.03,7.84
43.46,7.82
43.90,7.80
44.33,7.77
44.78,7.76
45.23,7.74
45.68,7.72
46.13,7.70
46.60,7.68
47.06,7.65
47.53,7.63
48.01,7.60
48.49,7.58
48.97,7.55
49.46,7.52
49.96,7.49
50.46,7.47
50.96,7.44
51.47,7.42
51.99,7.40
52.51,7.38
53.03,7.35
53.56,7.32
54.10,7.30
54.64,7.28
55.18,7.26
55.74,7.23
56.29,7.21
56.86,7.17
57.42,7.14
58.00,7.11
58.58,7.08
59.16,7.06
59.76,7.03
60.35,7.01
60.96,6.98
61.57,6.95
62.18,6.93
62.80,6.90
63.43,6.86
64.07,6.83
64.71,6.79
65.35,6.76
66.01,6.72
66.67,6.69
67.33,6.65
68.01,6.62
68.69,6.59
69.37,6.55
70.07,6.52
70.77,6.48
71.48,6.45
72.19,6.41
72.91,6.38
73.64,6.34
74.38,6.30
75.12,6.26
75.87,6.22
76.63,6.18
77.40,6.15
78.17,6.11
78.95,6.07
79.74,6.04
80.54,6.01
81.35,5.97
82.16,5.93
82.98,5.89
83.81,5.85
84.65,5.82
85.50,5.78
86.35,5.74
87.22,5.70
88.09,5.66
88.97,5.62
89.86,5.58
90.76,5.54
91.66,5.51
92.58,5.47
93.51,5.43
94.44,5.39
95.39,5.35
96.34,5.31
