frequency,raw
20.00,9.08
20.20,9.08
20.40,9.08
20.61,9.08
20.81,9.07
21.02,9.07
21.23,9.06
21.44,9.06
21.66,9.06
21.87,9.05
22.09,9.05
22.31,9.05
22.54,9.04
22.76,9.04
22.99,9.03
23.22,9.03
23.45,9.02
23.69,9.01
23.92,9.00
24.16,8.99
24.40,8.98
24.65,8.96
24.89,8.95
25.14,8.94
25.39,8.93
25.65,8.92
25.91,8.91
26.16,8.90
26.43,8.89
26.69,8.88
26.96,8.86
27.23,8.85
27.50,8.84
27.77,8.82
28.05,8.81
28.33,8.79
28.62,8.77
28.90,8.76
29.19,8.74
29.48,8.72
29.78,8.70
30.08,8.68
30.38,8.66
30.68,8.64
30.99,8.62
31.30,8.60
31.61,8.57
31.93,8.55
32.24,8.53
32.57,8.51
32.89,8.48
33.22,8.46
33.55,8.43
33.89,8.41
34.23,8.38
34.57,8.35
34.92,8.32
35.27,8.29
35.62,8.27
35.97,8.24
36.33,8.20
36.70,8.17
37.06,8.15
37.43,8.12
37.81,8.09
38.19,8.06
38.57,8.03
38.95,8.00
39.34,7.97
39.74,7.94
40.14,7.90
40.54,7.86
40.94,7.82
41.35,7.77
41.76,7.73
42.18,7.69
42.60,7.65
43.03,7.61
43.46,7.57
43.90,7.53
44.33,7.49
44.78,7.45
45.23,7.40
45.68,7.36
46.13,7.31
46.60,7.27
47.06,7.22
47.53,7.17
48.01,7.13
48.49,7.08
48.97,7.03
49.46,6.99
49.96,6.94
50.46,6.89
50.96,6.84
51.47,6.79
51.99,6.74
52.51,6.69
53.03,6.64
53.56,6.59
54.10,6.54
54.64,6.49
55.18,6.44
55.74,6.38
56.29,6.33
56.86,6.28
57.42,6.22
58.00,6.16
58.58,6.11
59.16,6.05
59.76,5.99
60.35,5.93
60.96,5.87
61.57,5.82
62.18,5.76
62.80,5.70
63.43,5.63
64.07,5.57
64.71,5.50
65.35,5.44
66.01,5.37
66.67,5.30
67.33,5.23
68.01,5.16
68.69,5.09
69.37,5.02
70.07,4.96
70.77,4.88
71.48,4.81
72.19,4.74
72.91,4.66
73.64,4.59
74.38,4.52
75.12,4.45
75.87,4.37
76.63,4.30
77.40,4.22
78.17,4.14
78.95,4.06
79.74,3.98
80.54,3.91
81.35,3.83
82.16,3.75
82.98,3.67
83.81,3.59
84.65,3.51
85.50,3.43
86.35,3.34
87.22,3.26
88.09,3.18
88.97,3.10
89.86,3.01
90.76,2.93
91.66,2.84
92.58,2.76
93.51,2.67
94.44,2.59
95.39,2.50
96.34,2.41
97.30,2.32
98.28,2.23
99.26,2.15
100.25,2.06
101.25,1.97
102.27,1.88
103.29,1.79
104.32,1.70
105.37,1.61
106.42,1.52
107.48,1.43
108.56,1.34
109.64,1.25
110.74,1.16
111.85,1.07
112.97,0.98
114.10,0.88
115.24,0.79
116.39,0.70
117.55,0.61
118.73,0.52
119.92,0.43
121.12,0.34
122.33,0.26
123.55,0.17
124.79,0.08
126.03,-0.01
127.29,-0.09
128.57,-0.18
129.85,-0.27
131.15,-0.36
132.46,-0.44
133.79,-0.52
135.12,-0.60
136.48,-0.69
137.84,-0.77
139.22,-0.85
140.61,-0.93
142.02,-1.01
143.44,-1.08
144.87,-1.16
146.32,-1.23
147.78,-1.31
149.26,-1.38
150.75,-1.44
152.26,-1.51
153.78,-1.58
155.32,-1.64
156.88,-1.71
158.44,-1.76
160.03,-1.82
161.63,-1.88
163.24,-1.93
164.88,-1.98
166.53,-2.03
168.19,-2.08
169.87,-2.12
171.57,-2.16
173.29,-2.20
175.02,-2.24
176.77,-2.28
178.54,-2.32
180.32,-2.35
182.13,-2.38
183.95,-2.41
185.79,-2.43
187.65,-2.46
189.52,-2.48
191.42,-2.50
193.33,-2.52
195.27,-2.54
197.22,-2.55
199.19,-2.56
201.18,-2.57
203.19,-2.58
205.23,-2.57
207.28,-2.55
209.35,-2.50
211.44,-2.45
213.56,-2.44
215.69,-2.50
217.85,-2.57
220.03,-2.62
222.23,-2.63
224.45,-2.64
226.70,-2.64
228.96,-2.64
231.25,-2.64
233.57,-2.64
235.90,-2.64
238.26,-2.65
240.64,-2.65
243.05,-2.64
245.48,-2.60
247.93,-2.57
250.41,-2.56
252.92,-2.54
255.45,-2.53
258.00,-2.52
260.58,-2.50
263.19,-2.49
265.82,-2.48
268.48,-2.47
271.16,-2.45
273.87,-2.44
276.61,-2.42
279.38,-2.40
282.17,-2.39
284.99,-2.37
287.84,-2.35
290.72,-2.34
293.63,-2.32
296.57,-2.30
299.53,-2.29
302.53,-2.27
305.55,-2.25
308.61,-2.24
311.69,-2.22
314.81,-2.20
317.96,-2.18
321.14,-2.16
324.35,-2.14
327.59,-2.13
330.87,-2.11
334.18,-2.09
337.52,-2.08
340.90,-2.06
344.30,-2.04
347.75,-2.02
351.23,-2.01
354.74,-1.99
358.28,-1.97
361.87,-1.96
365.49,-1.94
369.14,-1.93
372.83,-1.91
376.56,-1.90
380.33,-1.88
384.13,-1.87
387.97,-1.86
391.85,-1.84
395.77,-1.83
399.73,-1.82
403.72,-1.81
407.76,-1.79
411.84,-1.78
415.96,-1.77
420.12,-1.76
424.32,-1.75
428.56,-1.74
432.85,-1.74
437.18,-1.73
441.55,-1.72
445.96,-1.71
450.42,-1.70
454.93,-1.69
459.48,-1.68
464.07,-1.67
468.71,-1.66
473.40,-1.65
478.13,-1.64
482.91,-1.63
487.74,-1.63
492.62,-1.62
497.55,-1.61
502.52,-1.60
507.55,-1.59
512.62,-1.58
517.75,-1.57
522.93,-1.57
528.16,-1.56
533.44,-1.55
538.77,-1.54
544.16,-1.53
549.60,-1.52
555.10,-1.52
560.65,-1.51
566.25,-1.50
571.92,-1.49
577.64,-1.48
583.41,-1.47
589.25,-1.46
595.14,-1.45
601.09,-1.44
607.10,-1.43
613.17,-1.42
619.30,-1.42
625.50,-1.41
631.75,-1.40
638.07,-1.39
644.45,-1.38
650.89,-1.37
657.40,-1.36
663.98,-1.34
670.62,-1.33
677.32,-1.32
684.10,-1.31
690.94,-1.30
697.85,-1.29
704.83,-1.28
711.87,-1.26
718.99,-1.25
726.18,-1.23
733.44,-1.22
740.78,-1.20
748.19,-1.18
755.67,-1.16
763.23,-1.14
770.86,-1.12
778.57,-1.10
786.35,-1.08
794.22,-1.05
802.16,-1.03
810.18,-1.00
818.28,-0.98
826.46,-0.95
834.73,-0.92
843.08,-0.88
851.51,-0.85
860.02,-0.82
868.62,-0.78
877.31,-0.74
886.08,-0.70
894.94,-0.65
903.89,-0.61
912.93,-0.56
922.06,-0.50
931.28,-0.45
940.59,-0.39
950.00,-0.33
959.50,-0.27
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.28
1049.39,0.35
1059.88,0.42
1070.48,0.49
1081.19,0.56
1092.00,0.64
1102.92,0.71
1113.95,0.79
1125.09,0.87
1136.34,0.94
1147.70,1.02
1159.18,1.09
1170.77,1.17
1182.48,1.25
1194.30,1.33
1206.25,1.40
1218.31,1.48
1230.49,1.56
1242.80,1.64
1255.22,1.72
1267.78,1.80
1280.45,1.88
1293.26,1.95
1306.19,2.02
1319.25,2.08
1332.45,2.13
1345.77,2.17
1359.23,2.20
1372.82,2.22
1386.55,2.24
1400.41,2.26
1414.42,2.27
1428.56,2.29
1442.85,2.32
1457.28,2.34
1471.85,2.37
1486.57,2.40
1501.43,2.44
1516.45,2.47
1531.61,2.51
1546.93,2.55
1562.40,2.59
1578.02,2.64
1593.80,2.68
1609.74,2.74
1625.84,2.79
1642.10,2.85
1658.52,2.91
1675.10,2.97
1691.85,3.03
1708.77,3.10
1725.86,3.16
1743.12,3.23
1760.55,3.30
1778.15,3.38
1795.94,3.45
1813.90,3.53
1832.03,3.61
1850.36,3.69
1868.86,3.78
1887.55,3.86
1906.42,3.95
1925.49,4.05
1944.74,4.14
1964.19,4.24
1983.83,4.34
2003.67,4.45
2023.71,4.55
2043.94,4.66
2064.38,4.77
2085.03,4.88
2105.88,4.99
2126.94,5.11
2148.20,5.23
2169.69,5.35
2191.38,5.48
2213.30,5.61
2235.43,5.74
2257.78,5.87
2280.36,6.00
2303.17,6.14
2326.20,6.27
2349.46,6.41
2372.95,6.55
2396.68,6.69
2420.65,6.83
2444.86,6.97
2469.31,7.10
2494.00,7.24
2518.94,7.38
2544.13,7.51
2569.57,7.64
2595.27,7.76
2621.22,7.88
2647.43,7.99
2673.90,8.09
2700.64,8.18
2727.65,8.26
2754.93,8.32
2782.48,8.37
2810.30,8.41
2838.40,8.44
2866.79,8.45
2895.46,8.45
2924.41,8.43
2953.65,8.41
2983.19,8.36
3013.02,8.31
3043.15,8.24
3073.58,8.16
3104.32,8.08
3135.36,7.98
3166.72,7.88
3198.38,7.78
3230.37,7.68
3262.67,7.57
