frequency,raw
20.00,10.68
20.20,10.70
20.40,10.72
20.61,10.74
20.81,10.76
21.02,10.78
21.23,10.80
21.44,10.82
21.66,10.84
21.87,10.86
22.09,10.88
22.31,10.91
22.54,10.93
22.76,10.95
22.99,10.97
23.22,10.99
23.45,11.00
23.69,11.02
23.92,11.04
24.16,11.05
24.40,11.07
24.65,11.09
24.89,11.10
25.14,11.12
25.39,11.14
25.65,11.15
25.91,11.17
26.16,11.18
26.43,11.20
26.69,11.21
26.96,11.23
27.23,11.24
27.50,11.25
27.77,11.26
28.05,11.28
28.33,11.29
28.62,11.30
28.90,11.31
29.19,11.32
29.48,11.33
29.78,11.33
30.08,11.34
30.38,11.35
30.68,11.36
30.99,11.36
31.30,11.37
31.61,11.37
31.93,11.38
32.24,11.38
32.57,11.39
32.89,11.39
33.22,11.39
33.55,11.40
33.89,11.40
34.23,11.40
34.57,11.40
34.92,11.40
35.27,11.40
35.62,11.40
35.97,11.40
36.33,11.40
36.70,11.40
37.06,11.41
37.43,11.41
37.81,11.41
38.19,11.41
38.57,11.40
38.95,11.40
39.34,11.40
39.74,11.39
40.14,11.39
40.54,11.38
40.94,11.37
41.35,11.36
41.76,11.35
42.18,11.35
42.60,11.34
43.03,11.33
43.46,11.32
43.90,11.31
44.33,11.30
44.78,11.29
45.23,11.28
45.68,11.27
46.13,11.26
46.60,11.25
47.06,11.24
47.53,11.23
48.01,11.21
48.49,11.20
48.97,11.18
49.46,11.17
49.96,11.16
50.46,11.14
50.96,11.13
51.47,11.12
51.99,11.11
52.51,11.10
53.03,11.08
53.56,11.07
54.10,11.05
54.64,11.04
55.18,11.03
55.74,11.01
56.29,10.99
56.86,10.98
57.42,10.96
58.00,10.94
58.58,10.92
59.16,10.91
59.76,10.89
60.35,10.87
60.96,10.85
61.57,10.83
62.18,10.81
62.80,10.79
63.43,10.77
64.07,10.75
64.71,10.73
65.35,10.70
66.01,10.68
66.67,10.65
67.33,10.63
68.01,10.60
68.69,10.57
69.37,10.55
70.07,10.52
70.77,10.49
71.48,10.46
72.19,10.43
72.91,10.40
73.64,10.38
74.38,10.35
75.12,10.32
75.87,10.29
76.63,10.26
77.40,10.23
78.17,10.20
78.95,10.17
79.74,10.14
80.54,10.11
81.35,10.08
82.16,10.05
82.98,10.02
83.81,9.99
84.65,9.95
85.50,9.92
86.35,9.89
87.22,9.86
88.09,9.82
88.97,9.79
89.86,9.75
90.76,9.72
91.66,9.68
92.58,9.65
93.51,9.61
94.44,9.58
95.39,9.54
96.34,9.51
97.30,9.47
98.28,9.43
99.26,9.39
100.25,9.36
101.25,9.32
102.27,9.28
103.29,9.24
104.32,9.20
105.37,9.16
106.42,9.12
107.48,9.08
108.56,9.04
109.64,8.99
110.74,8.95
111.85,8.91
112.97,8.87
114.10,8.82
115.24,8.78
116.39,8.74
117.55,8.69
118.73,8.65
119.92,8.60
121.12,8.56
122.33,8.51
123.55,8.47
124.79,8.42
126.03,8.38
127.29,8.33
128.57,8.28
129.85,8.23
131.15,8.18
132.46,8.14
133.79,8.09
135.12,8.04
136.48,7.99
137.84,7.94
139.22,7.89
140.61,7.84
142.02,7.79
143.44,7.74
144.87,7.68
146.32,7.63
147.78,7.58
149.26,7.53
150.75,7.47
152.26,7.42
153.78,7.37
155.32,7.32
156.88,7.27
158.44,7.21
160.03,7.16
161.63,7.11
163.24,7.06
164.88,7.01
166.53,6.95
168.19,6.90
169.87,6.85
171.57,6.80
173.29,6.75
175.02,6.69
176.77,6.64
178.54,6.59
180.32,6.53
182.13,6.48
183.95,6.43
185.79,6.38
187.65,6.32
189.52,6.27
191.42,6.22
193.33,6.16
195.27,6.11
197.22,6.05
199.19,6.00
201.18,5.94
203.19,5.88
205.23,5.83
207.28,5.77
209.35,5.71
211.44,5.65
213.56,5.59
215.69,5.53
217.85,5.48
220.03,5.42
222.23,5.36
224.45,5.30
226.70,5.24
228.96,5.18
231.25,5.12
233.57,5.06
235.90,5.00
238.26,4.94
240.64,4.88
243.05,4.82
245.48,4.76
247.93,4.70
250.41,4.64
252.92,4.58
255.45,4.52
258.00,4.46
260.58,4.40
263.19,4.34
265.82,4.28
268.48,4.22
271.16,4.16
273.87,4.10
276.61,4.04
279.38,3.98
282.17,3.92
284.99,3.86
287.84,3.80
290.72,3.74
293.63,3.68
296.57,3.62
299.53,3.56
302.53,3.50
305.55,3.44
308.61,3.38
311.69,3.32
314.81,3.26
317.96,3.20
321.14,3.15
324.35,3.09
327.59,3.03
330.87,2.97
334.18,2.91
337.52,2.86
340.90,2.80
344.30,2.74
347.75,2.68
351.23,2.63
354.74,2.57
358.28,2.51
361.87,2.46
365.49,2.40
369.14,2.35
372.83,2.29
376.56,2.24
380.33,2.18
384.13,2.13
387.97,2.07
391.85,2.02
395.77,1.96
399.73,1.91
403.72,1.85
407.76,1.80
411.84,1.75
415.96,1.70
420.12,1.64
424.32,1.59
428.56,1.54
432.85,1.49
437.18,1.44
441.55,1.39
445.96,1.33
450.42,1.28
454.93,1.23
459.48,1.18
464.07,1.13
468.71,1.08
473.40,1.03
478.13,0.98
482.91,0.94
487.74,0.89
492.62,0.84
497.55,0.79
502.52,0.75
507.55,0.70
512.62,0.66
517.75,0.61
522.93,0.56
528.16,0.52
533.44,0.48
538.77,0.43
544.16,0.39
549.60,0.35
555.10,0.31
560.65,0.27
566.25,0.23
571.92,0.18
577.64,0.14
583.41,0.10
589.25,0.06
595.14,0.03
601.09,-0.01
607.10,-0.04
613.17,-0.08
619.30,-0.11
625.50,-0.15
631.75,-0.18
638.07,-0.21
644.45,-0.24
650.89,-0.27
657.40,-0.30
663.98,-0.32
670.62,-0.35
677.32,-0.37
684.10,-0.40
690.94,-0.42
697.85,-0.44
704.83,-0.46
711.87,-0.48
718.99,-0.50
726.18,-0.52
733.44,-0.53
740.78,-0.55
748.19,-0.56
755.67,-0.57
763.23,-0.58
770.86,-0.58
778.57,-0.59
786.35,-0.59
794.22,-0.60
802.16,-0.60
810.18,-0.60
818.28,-0.59
826.46,-0.59
834.73,-0.59
843.08,-0.60
851.51,-0.60
860.02,-0.61
868.62,-0.61
877.31,-0.60
886.08,-0.58
894.94,-0.56
903.89,-0.53
912.93,-0.49
922.06,-0.45
931.28,-0.40
940.59,-0.35
950.00,-0.30
959.50,-0.24
969.09,-0.18
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.18
1039.00,0.23
1049.39,0.29
1059.88,0.35
1070.48,0.41
1081.19,0.46
1092.00,0.52
1102.92,0.58
1113.95,0.63
1125.09,0.69
1136.34,0.75
1147.70,0.80
1159.18,0.86
1170.77,0.91
1182.48,0.96
1194.30,1.02
1206.25,1.07
1218.31,1.12
1230.49,1.18
1242.80,1.23
1255.22,1.28
1267.78,1.34
1280.45,1.40
1293.26,1.45
1306.19,1.51
1319.25,1.57
1332.45,1.63
1345.77,1.69
1359.23,1.75
1372.82,1.81
1386.55,1.88
1400.41,1.94
1414.42,2.01
1428.56,2.08
1442.85,2.15
1457.28,2.23
1471.85,2.30
1486.57,2.38
1501.43,2.46
1516.45,2.55
1531.61,2.64
1546.93,2.73
1562.40,2.83
1578.02,2.92
1593.80,3.03
1609.74,3.14
1625.84,3.26
1642.10,3.39
1658.52,3.52
1675.10,3.66
1691.85,3.81
1708.77,3.96
1725.86,4.12
1743.12,4.28
1760.55,4.46
1778.15,4.64
1795.94,4.83
1813.90,5.03
1832.03,5.24
1850.36,5.45
1868.86,5.67
1887.55,5.90
1906.42,6.13
1925.49,6.36
1944.74,6.59
1964.19,6.82
1983.83,7.05
2003.67,7.28
2023.71,7.50
2043.94,7.71
2064.38,7.92
2085.03,8.12
2105.88,8.31
2126.94,8.50
2148.20,8.69
2169.69,8.86
2191.38,9.03
2213.30,9.19
2235.43,9.35
2257.78,9.50
2280.36,9.64
2303.17,9.77
2326.20,9.89
2349.46,10.01
2372.95,10.11
2396.68,10.20
2420.65,10.28
2444.86,10.34
2469.31,10.39
2494.00,10.43
2518.94,10.46
2544.13,10.48
2569.57,10.48
2595.27,10.47
2621.22,10.45
2647.43,10.42
2673.90,10.37
2700.64,10.31
2727.65,10.24
2754.93,10.16
2782.48,10.07
2810.30,9.98
2838.40,9.88
2866.79,9.78
2895.46,9.67
2924.41,9.56
2953.65,9.45
2983.19,9.34
3013.02,9.23
3043.15,9.12
3073.58,9.01
3104.32,8.91
3135.36,8.81
3166.72,8.71
3198.38,8.63
3230.37,8.55
3262.67,8.47
3295.30,8.40
3328.25,8.34
3361.53,8.29
3395.15,8.24
3429.10,8.20
3463.39,8.17
3498.03,8.14
3533.01,8.13
3568.34,8.12
3604.02,8.12
3640.06,8.14
3676.46,8.16
3713.22,8.19
3750.36,8.23
3787.86,8.29
3825.74,8.35
3864.00,8.43
3902.64,8.52
3941.66,8.62
3981.08,8.73
4020.89,8.84
4061.10,8.97
4101.71,9.11
4142.73,9.26
4184.15,9.42
4226.00,9.60
4268.26,9.79
4310.94,10.00
4354.05,10.22
4397.59,10.45
4441.56,10.69
4485.98,10.94
4530.84,11.19
4576.15,11.45
4621.91,11.70
4668.13,11.95
4714.81,12.17
4761.96,12.38
4809.58,12.55
4857.67,12.68
4906.25,12.74
4955.31,12.77
5004.87,12.72
5054.91,12.58
5105.46,12.39
5156.52,12.14
5208.08,11.81
5260.16,11.43
5312.77,11.01
5365.89,10.54
5419.55,10.05
5473.75,9.54
5528.49,9.04
5583.77,8.60
5639.61,8.26
5696.00,7.97
5752.96,7.72
5810.49,7.46
5868.60,7.18
5927.28,6.88
5986.56,6.59
6046.42,6.32
6106.89,6.06
6167.96,5.82
6229.64,5.60
6291.93,5.42
6354.85,5.26
6418.40,5.13
6482.58,5.02
6547.41,4.94
6612.88,4.89
6679.01,4.86
6745.80,4.87
6813.26,4.90
6881.39,4.96
6950.21,5.06
7019.71,5.18
7089.91,5.34
7160.81,5.53
7232.41,5.76
7304.74,6.01
7377.79,6.30
7451.56,6.62
7526.08,6.95
7601.34,7.29
7677.35,7.62
7754.13,7.95
7831.67,8.22
7909.98,8.44
7989.08,8.59
8068.98,8.60
8149.67,8.51
8231.16,8.31
8313.47,7.97
8396.61,7.56
8480.57,7.06
8565.38,6.50
8651.03,5.92
8737.54,5.33
8824.92,4.74
8913.17,4.19
9002.30,3.64
9092.32,3.15
9183.25,2.70
9275.08,2.29
9367.83,1.92
9461.51,1.61
9556.12,1.34
9651.68,1.13
9748.20,0.96
9845.68,0.86
9944.14,0.81
10043.58,0.83
10144.02,0.90
10245.46,1.07
10347.91,1.31
10451.39,1.62
10555.91,2.05
10661.46,2.57
10768.08,3.19
10875.76,3.97
10984.52,4.87
11094.36,5.82
11205.31,6.80
11317.36,7.59
11430.53,8.16
11544.84,8.17
11660.29,7.72
11776.89,6.99
11894.66,5.72
12013.60,4.38
12133.74,3.03
12255.08,1.74
12377.63,0.54
12501.41,-0.54
12626.42,-1.47
12752.68,-2.30
12880.21,-2.99
13009.01,-3.60
13139.10,-4.20
13270.49,-4.63
13403.20,-5.00
13537.23,-5.25
13672.60,-5.45
13809.33,-5.59
13947.42,-5.66
14086.90,-5.68
14227.77,-5.68
14370.04,-5.63
14513.74,-5.53
14658.88,-5.28
14805.47,-4.94
14953.52,-4.47
15103.06,-3.97
15254.09,-3.47
15406.63,-3.29
15560.70,-3.26
15716.30,-3.47
15873.47,-3.90
16032.20,-4.42
16192.52,-5.08
16354.45,-5.78
16517.99,-6.48
16683.17,-7.12
16850.01,-7.64
17018.51,-8.07
17188.69,-8.28
17360.58,-8.36
17534.18,-8.34
17709.53,-8.25
17886.62,-8.31
18065.49,-8.60
18246.14,-9.20
18428.60,-10.15
18612.89,-11.07
18799.02,-11.97
18987.01,-12.86
19176.88,-13.86
19368.65,-14.96
19562.33,-16.07
19757.96,-17.08
19955.54,-17.57
