frequency,raw
20.00,1.43
20.20,1.53
20.40,1.62
20.61,1.72
20.81,1.83
21.02,1.94
21.23,2.05
21.44,2.16
21.66,2.27
21.87,2.39
22.09,2.51
22.31,2.63
22.54,2.75
22.76,2.88
22.99,3.01
23.22,3.13
23.45,3.26
23.69,3.38
23.92,3.49
24.16,3.61
24.40,3.73
24.65,3.85
24.89,3.97
25.14,4.10
25.39,4.22
25.65,4.33
25.91,4.44
26.16,4.54
26.43,4.62
26.69,4.71
26.96,4.79
27.23,4.87
27.50,4.96
27.77,5.05
28.05,5.14
28.33,5.23
28.62,5.32
28.90,5.41
29.19,5.49
29.48,5.57
29.78,5.65
30.08,5.72
30.38,5.79
30.68,5.85
30.99,5.91
31.30,5.97
31.61,6.04
31.93,6.14
32.24,6.25
32.57,6.37
32.89,6.48
33.22,6.56
33.55,6.61
33.89,6.62
34.23,6.60
34.57,6.58
34.92,6.57
35.27,6.58
35.62,6.61
35.97,6.65
36.33,6.68
36.70,6.72
37.06,6.74
37.43,6.76
37.81,6.78
38.19,6.79
38.57,6.81
38.95,6.82
39.34,6.84
39.74,6.85
40.14,6.87
40.54,6.89
40.94,6.92
41.35,6.96
41.76,7.01
42.18,7.01
42.60,7.01
43.03,6.97
43.46,6.92
43.90,6.88
44.33,6.85
44.78,6.83
45.23,6.82
45.68,6.80
46.13,6.78
46.60,6.76
47.06,6.74
47.53,6.72
48.01,6.69
48.49,6.66
48.97,6.62
49.46,6.58
49.96,6.53
50.46,6.50
50.96,6.46
51.47,6.43
51.99,6.39
52.51,6.35
53.03,6.31
53.56,6.26
54.10,6.21
54.64,6.15
55.18,6.09
55.74,6.03
56.29,5.96
56.86,5.90
57.42,5.83
58.00,5.77
58.58,5.69
59.16,5.62
59.76,5.55
60.35,5.48
60.96,5.41
61.57,5.34
62.18,5.26
62.80,5.18
63.43,5.10
64.07,5.02
64.71,4.92
65.35,4.81
66.01,4.69
66.67,4.58
67.33,4.49
68.01,4.40
68.69,4.30
69.37,4.20
70.07,4.10
