frequency,raw
20.00,2.34
20.20,2.49
20.40,2.63
20.61,2.78
20.81,2.93
21.02,3.09
21.23,3.25
21.44,3.40
21.66,3.55
21.87,3.69
22.09,3.84
22.31,3.98
22.54,4.12
22.76,4.26
22.99,4.40
23.22,4.54
23.45,4.68
23.69,4.82
23.92,4.96
24.16,5.09
24.40,5.21
24.65,5.34
24.89,5.45
25.14,5.56
25.39,5.67
25.65,5.77
25.91,5.87
26.16,5.97
26.43,6.07
26.69,6.16
26.96,6.25
27.23,6.34
27.50,6.42
27.77,6.50
28.05,6.58
28.33,6.65
28.62,6.72
28.90,6.79
29.19,6.85
29.48,6.91
29.78,6.97
30.08,7.02
30.38,7.07
30.68,7.12
30.99,7.17
31.30,7.21
31.61,7.26
31.93,7.30
32.24,7.34
32.57,7.38
32.89,7.41
33.22,7.44
33.55,7.47
33.89,7.49
34.23,7.51
34.57,7.53
34.92,7.54
35.27,7.55
35.62,7.56
35.97,7.57
36.33,7.56
36.70,7.56
37.06,7.54
37.43,7.53
37.81,7.52
38.19,7.51
38.57,7.49
38.95,7.48
39.34,7.46
39.74,7.44
40.14,7.42
40.54,7.40
40.94,7.38
41.35,7.36
41.76,7.32
42.18,7.28
42.60,7.24
43.03,7.20
43.46,7.16
43.90,7.13
44.33,7.09
44.78,7.04
45.23,7.00
45.68,6.96
46.13,6.92
46.60,6.88
47.06,6.84
47.53,6.80
48.01,6.74
48.49,6.67
48.97,6.60
49.46,6.52
49.96,6.45
50.46,6.38
50.96,6.31
51.47,6.23
51.99,6.15
52.51,6.06
53.03,5.97
53.56,5.87
54.10,5.77
54.64,5.67
55.18,5.60
55.74,5.53
56.29,5.45
56.86,5.36
57.42,5.26
58.00,5.15
58.58,5.05
59.16,4.94
59.76,4.83
60.35,4.72
60.96,4.61
61.57,4.50
62.18,4.39
62.80,4.27
63.43,4.14
64.07,4.00
64.71,3.85
65.35,3.70
66.01,3.55
66.67,3.39
67.33,3.24
68.01,3.09
68.69,2.95
69.37,2.79
70.07,2.63
70.77,2.46
71.48,2.28
72.19,2.09
72.91,1.87
73.64,1.64
74.38,1.39
75.12,1.14
75.87,0.89
76.63,0.63
77.40,0.35
78.17,0.00
78.95,-0.36
79.74,-0.74
80.54,-1.07
81.35,-1.36
82.16,-1.50
82.98,-1.52
83.81,-1.45
84.65,-1.33
85.50,-1.23
86.35,-1.15
87.22,-1.12
88.09,-1.13
88.97,-1.21
89.86,-1.32
90.76,-1.48
91.66,-1.67
92.58,-1.86
93.51,-2.03
94.44,-2.21
95.39,-2.40
96.34,-2.59
97.30,-2.77
98.28,-2.96
99.26,-3.15
100.25,-3.35
101.25,-3.55
102.27,-3.75
103.29,-3.95
104.32,-4.16
105.37,-4.36
106.42,-4.56
107.48,-4.76
108.56,-4.95
109.64,-5.14
110.74,-5.33
111.85,-5.53
112.97,-5.72
114.10,-5.92
115.24,-6.11
116.39,-6.30
117.55,-6.49
118.73,-6.67
119.92,-6.84
121.12,-7.01
122.33,-7.18
123.55,-7.35
124.79,-7.51
126.03,-7.66
127.29,-7.81
128.57,-7.95
129.85,-8.10
131.15,-8.25
132.46,-8.39
133.79,-8.51
135.12,-8.62
136.48,-8.72
137.84,-8.83
139.22,-8.96
140.61,-9.08
142.02,-9.20
143.44,-9.31
144.87,-9.40
146.32,-9.50
147.78,-9.62
149.26,-9.74
150.75,-9.85
152.26,-9.93
153.78,-9.99
155.32,-10.06
156.88,-10.11
158.44,-10.17
160.03,-10.23
161.63,-10.31
163.24,-10.39
164.88,-10.47
166.53,-10.54
168.19,-10.61
169.87,-10.67
171.57,-10.73
173.29,-10.79
175.02,-10.84
176.77,-10.90
178.54,-10.97
180.32,-11.06
182.13,-11.11
183.95,-11.17
185.79,-11.23
187.65,-11.30
189.52,-11.36
191.42,-11.42
193.33,-11.48
195.27,-11.54
197.22,-11.60
199.19,-11.67
201.18,-11.72
203.19,-11.77
205.23,-11.80
207.28,-11.83
209.35,-11.86
211.44,-11.90
213.56,-11.94
215.69,-11.96
217.85,-11.97
220.03,-11.98
222.23,-11.99
224.45,-12.01
226.70,-12.01
228.96,-12.01
231.25,-11.98
233.57,-11.95
235.90,-11.92
238.26,-11.89
240.64,-11.87
243.05,-11.84
245.48,-11.80
247.93,-11.76
250.41,-11.70
252.92,-11.63
255.45,-11.56
258.00,-11.49
260.58,-11.41
263.19,-11.33
265.82,-11.23
268.48,-11.12
271.16,-11.02
273.87,-10.92
276.61,-10.81
279.38,-10.70
282.17,-10.60
284.99,-10.50
287.84,-10.37
290.72,-10.24
293.63,-10.10
296.57,-9.97
299.53,-9.84
302.53,-9.71
305.55,-9.58
308.61,-9.44
311.69,-9.30
314.81,-9.16
317.96,-9.03
321.14,-8.90
324.35,-8.76
327.59,-8.62
330.87,-8.48
334.18,-8.35
337.52,-8.21
340.90,-8.08
344.30,-7.94
347.75,-7.80
351.23,-7.66
354.74,-7.53
358.28,-7.39
361.87,-7.27
365.49,-7.14
369.14,-7.02
372.83,-6.89
376.56,-6.76
380.33,-6.63
384.13,-6.50
387.97,-6.37
391.85,-6.25
395.77,-6.14
399.73,-6.03
403.72,-5.92
407.76,-5.81
411.84,-5.70
415.96,-5.59
420.12,-5.48
424.32,-5.37
428.56,-5.27
432.85,-5.16
437.18,-5.06
441.55,-4.96
445.96,-4.86
450.42,-4.75
454.93,-4.65
459.48,-4.56
464.07,-4.47
468.71,-4.38
473.40,-4.28
478.13,-4.18
482.91,-4.09
487.74,-3.99
492.62,-3.89
497.55,-3.80
502.52,-3.72
507.55,-3.64
512.62,-3.55
517.75,-3.47
522.93,-3.38
528.16,-3.30
533.44,-3.23
538.77,-3.15
544.16,-3.07
549.60,-2.99
555.10,-2.91
560.65,-2.84
566.25,-2.77
571.92,-2.70
577.64,-2.63
583.41,-2.56
589.25,-2.50
595.14,-2.43
601.09,-2.37
607.10,-2.31
613.17,-2.25
619.30,-2.18
625.50,-2.12
631.75,-2.06
638.07,-2.00
644.45,-1.94
650.89,-1.88
657.40,-1.82
663.98,-1.77
670.62,-1.71
677.32,-1.65
684.10,-1.60
690.94,-1.55
697.85,-1.50
704.83,-1.45
711.87,-1.40
718.99,-1.34
726.18,-1.29
733.44,-1.24
740.78,-1.18
748.19,-1.13
755.67,-1.09
763.23,-1.04
770.86,-1.00
778.57,-0.95
786.35,-0.91
794.22,-0.86
802.16,-0.82
810.18,-0.77
818.28,-0.73
826.46,-0.69
834.73,-0.66
843.08,-0.62
851.51,-0.58
860.02,-0.55
868.62,-0.51
877.31,-0.48
886.08,-0.44
894.94,-0.41
903.89,-0.37
912.93,-0.33
922.06,-0.30
931.28,-0.26
940.59,-0.22
950.00,-0.19
959.50,-0.15
969.09,-0.11
978.78,-0.07
988.57,-0.04
998.46,-0.00
1008.44,0.03
1018.53,0.06
1028.71,0.09
1039.00,0.12
1049.39,0.15
1059.88,0.17
1070.48,0.20
1081.19,0.23
1092.00,0.26
1102.92,0.29
1113.95,0.32
1125.09,0.34
1136.34,0.37
1147.70,0.40
1159.18,0.42
1170.77,0.45
1182.48,0.47
1194.30,0.50
1206.25,0.52
1218.31,0.55
1230.49,0.57
1242.80,0.60
1255.22,0.63
1267.78,0.66
1280.45,0.69
1293.26,0.71
1306.19,0.74
1319.25,0.77
1332.45,0.80
1345.77,0.83
1359.23,0.86
1372.82,0.89
1386.55,0.92
1400.41,0.95
1414.42,0.98
1428.56,1.02
1442.85,1.05
1457.28,1.09
1471.85,1.12
1486.57,1.16
1501.43,1.21
1516.45,1.25
1531.61,1.29
1546.93,1.34
1562.40,1.39
1578.02,1.44
1593.80,1.49
1609.74,1.55
1625.84,1.61
1642.10,1.67
1658.52,1.74
1675.10,1.81
1691.85,1.89
1708.77,1.96
1725.86,2.03
1743.12,2.11
1760.55,2.19
1778.15,2.27
1795.94,2.36
1813.90,2.44
1832.03,2.53
1850.36,2.62
1868.86,2.71
1887.55,2.81
1906.42,2.90
1925.49,3.00
1944.74,3.11
1964.19,3.21
1983.83,3.31
2003.67,3.42
2023.71,3.53
2043.94,3.64
2064.38,3.75
2085.03,3.86
2105.88,3.98
2126.94,4.09
2148.20,4.21
2169.69,4.33
2191.38,4.45
2213.30,4.56
2235.43,4.67
2257.78,4.78
2280.36,4.88
2303.17,4.99
2326.20,5.11
2349.46,5.23
2372.95,5.36
2396.68,5.48
2420.65,5.61
2444.86,5.74
2469.31,5.86
2494.00,5.97
2518.94,6.09
2544.13,6.20
2569.57,6.32
2595.27,6.43
2621.22,6.55
2647.43,6.67
2673.90,6.79
2700.64,6.92
2727.65,7.06
2754.93,7.19
2782.48,7.31
2810.30,7.40
2838.40,7.46
2866.79,7.48
2895.46,7.47
2924.41,7.54
2953.65,7.62
2983.19,7.75
3013.02,7.85
3043.15,7.90
3073.58,7.92
3104.32,7.92
3135.36,7.90
3166.72,7.88
3198.38,7.84
3230.37,7.80
3262.67,7.74
3295.30,7.68
3328.25,7.59
3361.53,7.50
3395.15,7.39
3429.10,7.27
3463.39,7.15
3498.03,7.02
3533.01,6.89
3568.34,6.76
3604.02,6.63
3640.06,6.51
3676.46,6.40
3713.22,6.30
3750.36,6.20
3787.86,6.10
3825.74,6.00
3864.00,5.89
3902.64,5.79
3941.66,5.68
3981.08,5.57
4020.89,5.45
4061.10,5.32
4101.71,5.20
4142.73,5.11
4184.15,5.05
4226.00,5.03
4268.26,5.01
4310.94,4.98
4354.05,4.93
4397.59,4.89
4441.56,4.85
4485.98,4.82
4530.84,4.79
4576.15,4.77
4621.91,4.76
4668.13,4.76
4714.81,4.77
4761.96,4.78
4809.58,4.79
4857.67,4.82
4906.25,4.85
4955.31,4.89
5004.87,4.93
5054.91,4.98
5105.46,5.04
5156.52,5.09
5208.08,5.16
5260.16,5.24
5312.77,5.32
5365.89,5.40
5419.55,5.50
5473.75,5.59
5528.49,5.69
5583.77,5.78
5639.61,5.87
5696.00,5.96
5752.96,6.04
5810.49,6.11
5868.60,6.18
5927.28,6.23
5986.56,6.26
6046.42,6.28
6106.89,6.27
6167.96,6.24
6229.64,6.19
6291.93,6.11
6354.85,6.01
6418.40,5.90
6482.58,5.78
6547.41,5.64
6612.88,5.49
6679.01,5.34
6745.80,5.18
6813.26,5.02
6881.39,4.86
6950.21,4.73
7019.71,4.63
7089.91,4.57
7160.81,4.53
7232.41,4.52
7304.74,4.54
7377.79,4.61
7451.56,4.71
7526.08,4.83
7601.34,4.99
7677.35,5.15
7754.13,5.31
7831.67,5.44
7909.98,5.52
7989.08,5.53
8068.98,5.39
8149.67,5.14
8231.16,4.76
8313.47,4.20
8396.61,3.56
8480.57,2.78
8565.38,1.92
8651.03,1.03
8737.54,0.11
8824.92,-0.81
8913.17,-1.71
9002.30,-2.61
9092.32,-3.47
9183.25,-4.29
9275.08,-5.08
9367.83,-5.82
9461.51,-6.49
9556.12,-7.15
9651.68,-7.78
9748.20,-8.40
9845.68,-8.96
9944.14,-9.50
10043.58,-10.01
10144.02,-10.49
10245.46,-10.94
10347.91,-11.38
10451.39,-11.80
10555.91,-12.20
10661.46,-12.59
10768.08,-12.96
10875.76,-13.30
10984.52,-13.61
11094.36,-13.90
11205.31,-14.18
11317.36,-14.45
11430.53,-14.69
11544.84,-14.91
11660.29,-15.12
