frequency,raw
20.00,8.59
20.20,8.59
20.40,8.60
20.61,8.60
20.81,8.60
21.02,8.60
21.23,8.60
21.44,8.60
21.66,8.60
21.87,8.60
22.09,8.60
22.31,8.59
22.54,8.59
22.76,8.59
22.99,8.59
23.22,8.58
23.45,8.58
23.69,8.58
23.92,8.57
24.16,8.56
24.40,8.56
24.65,8.55
24.89,8.55
25.14,8.54
25.39,8.54
25.65,8.54
25.91,8.54
26.16,8.54
26.43,8.54
26.69,8.54
26.96,8.54
27.23,8.54
27.50,8.55
27.77,8.55
28.05,8.55
28.33,8.54
28.62,8.54
28.90,8.54
29.19,8.53
29.48,8.53
29.78,8.52
30.08,8.51
30.38,8.51
30.68,8.50
30.99,8.49
31.30,8.48
31.61,8.47
31.93,8.46
32.24,8.45
32.57,8.44
32.89,8.43
33.22,8.41
33.55,8.40
33.89,8.39
34.23,8.37
34.57,8.36
34.92,8.35
35.27,8.33
35.62,8.32
35.97,8.31
36.33,8.29
36.70,8.28
37.06,8.27
37.43,8.26
37.81,8.24
38.19,8.23
38.57,8.21
38.95,8.19
39.34,8.18
39.74,8.16
40.14,8.14
40.54,8.12
40.94,8.10
41.35,8.08
41.76,8.06
42.18,8.04
42.60,8.02
43.03,8.00
43.46,7.98
43.90,7.96
44.33,7.93
44.78,7.91
45.23,7.89
45.68,7.87
46.13,7.84
46.60,7.82
47.06,7.80
47.53,7.77
48.01,7.75
48.49,7.72
48.97,7.70
49.46,7.67
49.96,7.65
50.46,7.63
50.96,7.60
51.47,7.58
51.99,7.55
52.51,7.53
53.03,7.51
53.56,7.48
54.10,7.45
54.64,7.43
55.18,7.40
55.74,7.38
56.29,7.35
56.86,7.32
57.42,7.30
58.00,7.27
58.58,7.24
59.16,7.22
59.76,7.19
60.35,7.16
60.96,7.14
61.57,7.11
62.18,7.08
62.80,7.05
63.43,7.01
64.07,6.98
64.71,6.95
65.35,6.91
66.01,6.88
66.67,6.84
67.33,6.81
68.01,6.78
68.69,6.74
69.37,6.71
70.07,6.67
70.77,6.64
71.48,6.60
72.19,6.57
72.91,6.53
73.64,6.49
74.38,6.46
75.12,6.42
75.87,6.38
76.63,6.35
77.40,6.31
78.17,6.27
78.95,6.23
79.74,6.20
80.54,6.16
81.35,6.12
82.16,6.08
82.98,6.04
83.81,6.01
84.65,5.97
85.50,5.93
86.35,5.89
87.22,5.85
88.09,5.81
88.97,5.77
89.86,5.73
90.76,5.70
91.66,5.66
92.58,5.62
93.51,5.58
94.44,5.54
95.39,5.50
96.34,5.45
97.30,5.41
98.28,5.37
99.26,5.33
100.25,5.29
101.25,5.25
102.27,5.20
103.29,5.16
104.32,5.12
105.37,5.07
106.42,5.03
107.48,4.99
108.56,4.95
109.64,4.90
110.74,4.86
111.85,4.81
112.97,4.77
114.10,4.73
115.24,4.68
116.39,4.64
117.55,4.59
118.73,4.55
119.92,4.50
121.12,4.46
122.33,4.41
123.55,4.37
124.79,4.32
126.03,4.28
127.29,4.23
128.57,4.18
129.85,4.14
131.15,4.09
132.46,4.04
133.79,3.99
135.12,3.95
136.48,3.90
137.84,3.85
139.22,3.80
140.61,3.76
142.02,3.71
143.44,3.66
144.87,3.61
146.32,3.56
147.78,3.52
149.26,3.47
150.75,3.42
152.26,3.37
153.78,3.33
155.32,3.28
156.88,3.23
158.44,3.18
160.03,3.14
161.63,3.09
163.24,3.05
164.88,3.00
166.53,2.96
168.19,2.91
169.87,2.87
171.57,2.83
173.29,2.78
175.02,2.74
176.77,2.69
178.54,2.65
180.32,2.60
182.13,2.56
183.95,2.52
185.79,2.47
187.65,2.43
189.52,2.38
191.42,2.34
193.33,2.30
195.27,2.25
197.22,2.21
199.19,2.17
201.18,2.12
203.19,2.08
205.23,2.03
207.28,1.98
209.35,1.94
211.44,1.89
213.56,1.85
215.69,1.81
217.85,1.76
220.03,1.72
222.23,1.67
224.45,1.63
226.70,1.58
228.96,1.54
231.25,1.49
233.57,1.45
235.90,1.41
238.26,1.36
240.64,1.32
243.05,1.28
245.48,1.24
247.93,1.19
250.41,1.15
252.92,1.11
255.45,1.07
258.00,1.03
260.58,0.99
263.19,0.95
265.82,0.91
268.48,0.87
271.16,0.83
273.87,0.79
276.61,0.75
279.38,0.71
282.17,0.67
284.99,0.63
287.84,0.59
290.72,0.56
293.63,0.52
296.57,0.48
299.53,0.44
302.53,0.41
305.55,0.37
308.61,0.34
311.69,0.30
314.81,0.27
317.96,0.23
321.14,0.20
324.35,0.17
327.59,0.13
330.87,0.10
334.18,0.07
337.52,0.03
340.90,-0.00
344.30,-0.04
347.75,-0.07
351.23,-0.10
354.74,-0.13
358.28,-0.17
361.87,-0.20
365.49,-0.23
369.14,-0.25
372.83,-0.28
376.56,-0.31
380.33,-0.34
384.13,-0.37
387.97,-0.39
391.85,-0.42
395.77,-0.45
399.73,-0.48
403.72,-0.50
407.76,-0.53
411.84,-0.56
415.96,-0.58
420.12,-0.61
424.32,-0.63
428.56,-0.66
432.85,-0.68
437.18,-0.71
441.55,-0.73
445.96,-0.75
450.42,-0.78
454.93,-0.80
459.48,-0.82
464.07,-0.84
468.71,-0.87
473.40,-0.89
478.13,-0.91
482.91,-0.93
487.74,-0.95
492.62,-0.98
497.55,-1.00
