frequency,raw
20.00,8.00
20.20,8.00
20.40,8.01
20.61,8.01
20.81,8.01
21.02,8.02
21.23,8.02
21.44,8.03
21.66,8.03
21.87,8.04
22.09,8.05
22.31,8.05
22.54,8.05
22.76,8.06
22.99,8.06
23.22,8.06
23.45,8.06
23.69,8.06
23.92,8.05
24.16,8.05
24.40,8.05
24.65,8.04
24.89,8.04
25.14,8.03
25.39,8.03
25.65,8.02
25.91,8.02
26.16,8.01
26.43,8.01
26.69,8.01
26.96,8.00
27.23,8.00
27.50,7.99
27.77,7.99
28.05,7.98
28.33,7.98
28.62,7.97
28.90,7.96
29.19,7.95
29.48,7.94
29.78,7.93
30.08,7.92
30.38,7.91
30.68,7.90
30.99,7.89
31.30,7.87
31.61,7.86
31.93,7.84
32.24,7.83
32.57,7.82
32.89,7.80
33.22,7.79
33.55,7.77
33.89,7.76
34.23,7.74
34.57,7.73
34.92,7.72
35.27,7.70
35.62,7.68
35.97,7.66
36.33,7.64
36.70,7.62
37.06,7.60
37.43,7.58
37.81,7.57
38.19,7.55
38.57,7.53
38.95,7.51
39.34,7.48
39.74,7.46
40.14,7.44
40.54,7.43
40.94,7.40
41.35,7.38
41.76,7.35
42.18,7.32
42.60,7.29
43.03,7.27
43.46,7.25
43.90,7.23
44.33,7.20
44.78,7.18
45.23,7.15
45.68,7.12
46.13,7.10
46.60,7.06
47.06,7.03
47.53,6.99
48.01,6.97
48.49,6.94
48.97,6.91
49.46,6.88
49.96,6.85
50.46,6.82
50.96,6.79
51.47,6.76
51.99,6.73
52.51,6.70
53.03,6.67
53.56,6.64
54.10,6.61
54.64,6.58
55.18,6.55
55.74,6.51
56.29,6.48
56.86,6.45
57.42,6.42
58.00,6.40
58.58,6.36
59.16,6.32
59.76,6.28
60.35,6.24
60.96,6.21
61.57,6.18
62.18,6.15
62.80,6.11
63.43,6.08
64.07,6.05
64.71,6.01
65.35,5.97
66.01,5.93
66.67,5.89
67.33,5.86
68.01,5.82
68.69,5.78
69.37,5.73
70.07,5.69
70.77,5.65
71.48,5.62
72.19,5.58
72.91,5.54
73.64,5.49
74.38,5.45
75.12,5.40
75.87,5.36
76.63,5.32
77.40,5.28
78.17,5.24
78.95,5.20
79.74,5.15
80.54,5.11
81.35,5.07
82.16,5.02
82.98,4.98
83.81,4.94
84.65,4.90
85.50,4.86
86.35,4.81
87.22,4.77
88.09,4.73
88.97,4.68
89.86,4.64
90.76,4.60
91.66,4.56
92.58,4.51
93.51,4.47
94.44,4.42
95.39,4.38
96.34,4.33
97.30,4.29
98.28,4.25
99.26,4.21
100.25,4.16
101.25,4.12
102.27,4.07
103.29,4.03
104.32,3.98
105.37,3.93
106.42,3.89
107.48,3.84
108.56,3.80
109.64,3.75
110.74,3.71
111.85,3.66
112.97,3.61
114.10,3.57
115.24,3.52
116.39,3.47
117.55,3.42
118.73,3.38
119.92,3.33
121.12,3.29
122.33,3.24
123.55,3.20
124.79,3.15
126.03,3.10
127.29,3.05
128.57,3.00
129.85,2.95
131.15,2.91
132.46,2.86
133.79,2.81
135.12,2.77
136.48,2.72
137.84,2.67
139.22,2.62
140.61,2.57
142.02,2.53
143.44,2.48
144.87,2.43
146.32,2.38
147.78,2.34
149.26,2.29
150.75,2.24
152.26,2.20
153.78,2.15
155.32,2.10
156.88,2.05
158.44,2.01
160.03,1.96
161.63,1.91
163.24,1.87
164.88,1.83
166.53,1.78
168.19,1.74
169.87,1.69
171.57,1.65
173.29,1.61
175.02,1.56
176.77,1.52
178.54,1.48
180.32,1.44
182.13,1.41
183.95,1.37
185.79,1.34
187.65,1.31
189.52,1.28
191.42,1.24
193.33,1.21
195.27,1.17
197.22,1.13
199.19,1.08
201.18,1.04
203.19,0.99
205.23,0.94
207.28,0.90
209.35,0.86
211.44,0.81
213.56,0.77
215.69,0.73
217.85,0.68
220.03,0.64
222.23,0.60
224.45,0.56
226.70,0.52
228.96,0.48
231.25,0.44
233.57,0.40
235.90,0.35
238.26,0.31
240.64,0.27
243.05,0.23
245.48,0.19
247.93,0.16
250.41,0.13
252.92,0.09
255.45,0.06
258.00,0.02
260.58,-0.02
263.19,-0.06
265.82,-0.09
268.48,-0.13
271.16,-0.16
273.87,-0.20
276.61,-0.23
279.38,-0.27
282.17,-0.30
284.99,-0.34
287.84,-0.37
290.72,-0.40
293.63,-0.44
296.57,-0.47
299.53,-0.50
302.53,-0.53
305.55,-0.56
308.61,-0.59
311.69,-0.63
314.81,-0.66
317.96,-0.69
321.14,-0.71
324.35,-0.74
327.59,-0.77
330.87,-0.79
334.18,-0.82
337.52,-0.85
340.90,-0.88
344.30,-0.90
347.75,-0.93
351.23,-0.96
354.74,-0.98
358.28,-1.01
361.87,-1.03
365.49,-1.05
369.14,-1.08
372.83,-1.10
376.56,-1.13
380.33,-1.15
384.13,-1.17
387.97,-1.19
391.85,-1.21
395.77,-1.23
399.73,-1.25
403.72,-1.28
407.76,-1.30
411.84,-1.32
415.96,-1.34
420.12,-1.35
424.32,-1.37
428.56,-1.39
432.85,-1.41
437.18,-1.43
441.55,-1.44
445.96,-1.46
450.42,-1.48
454.93,-1.49
459.48,-1.51
464.07,-1.53
468.71,-1.54
