frequency,raw
20.00,10.50
20.20,10.49
20.40,10.48
20.61,10.46
20.81,10.45
21.02,10.43
21.23,10.42
21.44,10.40
21.66,10.38
21.87,10.37
22.09,10.35
22.31,10.33
22.54,10.32
22.76,10.30
22.99,10.29
23.22,10.27
23.45,10.25
23.69,10.24
23.92,10.22
24.16,10.20
24.40,10.18
24.65,10.16
24.89,10.14
25.14,10.12
25.39,10.11
25.65,10.09
25.91,10.07
26.16,10.06
26.43,10.04
26.69,10.03
26.96,10.01
27.23,9.99
27.50,9.98
27.77,9.96
28.05,9.93
28.33,9.91
28.62,9.89
28.90,9.86
29.19,9.83
29.48,9.81
29.78,9.78
30.08,9.75
30.38,9.73
30.68,9.70
30.99,9.67
31.30,9.65
31.61,9.62
31.93,9.60
32.24,9.57
32.57,9.55
32.89,9.52
33.22,9.49
33.55,9.46
33.89,9.43
34.23,9.40
34.57,9.37
34.92,9.34
35.27,9.31
35.62,9.28
35.97,9.25
36.33,9.23
36.70,9.20
37.06,9.17
37.43,9.13
37.81,9.10
38.19,9.06
38.57,9.03
38.95,9.00
39.34,8.97
39.74,8.94
40.14,8.91
40.54,8.87
40.94,8.83
41.35,8.79
41.76,8.75
42.18,8.71
42.60,8.67
43.03,8.64
43.46,8.60
43.90,8.56
44.33,8.52
44.78,8.48
45.23,8.45
45.68,8.40
46.13,8.36
46.60,8.32
47.06,8.28
47.53,8.24
48.01,8.20
48.49,8.16
48.97,8.12
49.46,8.07
49.96,8.03
50.46,7.99
50.96,7.95
51.47,7.91
51.99,7.87
52.51,7.83
53.03,7.79
53.56,7.75
54.10,7.70
54.64,7.66
55.18,7.62
55.74,7.58
56.29,7.54
56.86,7.49
57.42,7.45
58.00,7.41
58.58,7.36
59.16,7.32
59.76,7.27
60.35,7.23
60.96,7.18
61.57,7.14
62.18,7.09
62.80,7.04
63.43,7.00
64.07,6.95
64.71,6.90
65.35,6.85
66.01,6.80
66.67,6.75
67.33,6.70
68.01,6.65
68.69,6.60
69.37,6.55
70.07,6.50
70.77,6.45
71.48,6.40
72.19,6.35
72.91,6.30
73.64,6.25
74.38,6.20
75.12,6.14
75.87,6.09
76.63,6.04
77.40,5.99
78.17,5.94
78.95,5.88
79.74,5.83
80.54,5.78
81.35,5.73
82.16,5.68
82.98,5.63
83.81,5.58
84.65,5.52
85.50,5.47
86.35,5.42
87.22,5.37
88.09,5.31
88.97,5.26
89.86,5.21
90.76,5.16
91.66,5.10
92.58,5.04
93.51,4.99
94.44,4.95
95.39,4.89
96.34,4.83
97.30,4.78
98.28,4.73
99.26,4.68
100.25,4.62
101.25,4.56
102.27,4.51
103.29,4.46
104.32,4.41
105.37,4.35
106.42,4.29
107.48,4.23
108.56,4.19
109.64,4.14
110.74,4.09
111.85,4.02
112.97,3.96
114.10,3.90
115.24,3.86
116.39,3.82
117.55,3.77
118.73,3.69
119.92,3.62
121.12,3.55
122.33,3.51
123.55,3.48
124.79,3.46
126.03,3.41
127.29,3.35
128.57,3.26
129.85,3.17
131.15,3.07
132.46,3.00
133.79,2.96
135.12,2.94
136.48,2.93
137.84,2.94
139.22,2.93
140.61,2.92
142.02,2.89
143.44,2.85
144.87,2.79
146.32,2.70
147.78,2.61
149.26,2.51
150.75,2.41
152.26,2.30
153.78,2.19
155.32,2.08
156.88,1.99
158.44,1.90
160.03,1.83
161.63,1.80
163.24,1.77
164.88,1.77
166.53,1.79
168.19,1.80
169.87,1.80
171.57,1.76
173.29,1.69
175.02,1.59
176.77,1.50
178.54,1.44
180.32,1.41
182.13,1.39
183.95,1.35
185.79,1.30
187.65,1.23
189.52,1.18
191.42,1.14
193.33,1.10
195.27,1.05
197.22,1.00
199.19,0.95
201.18,0.90
203.19,0.86
205.23,0.81
207.28,0.76
209.35,0.71
211.44,0.66
213.56,0.61
215.69,0.56
217.85,0.51
220.03,0.46
222.23,0.42
224.45,0.37
226.70,0.32
228.96,0.28
231.25,0.23
233.57,0.18
235.90,0.14
238.26,0.09
240.64,0.04
243.05,0.00
245.48,-0.04
247.93,-0.09
250.41,-0.13
252.92,-0.17
255.45,-0.22
258.00,-0.26
260.58,-0.31
263.19,-0.35
265.82,-0.39
268.48,-0.43
271.16,-0.47
273.87,-0.51
276.61,-0.55
279.38,-0.59
282.17,-0.63
284.99,-0.67
287.84,-0.71
290.72,-0.75
293.63,-0.79
296.57,-0.83
299.53,-0.86
302.53,-0.90
305.55,-0.94
308.61,-0.97
311.69,-1.01
314.81,-1.04
317.96,-1.08
321.14,-1.11
324.35,-1.14
327.59,-1.17
330.87,-1.21
334.18,-1.24
337.52,-1.27
340.90,-1.30
344.30,-1.33
347.75,-1.36
351.23,-1.38
354.74,-1.41
358.28,-1.44
361.87,-1.47
365.49,-1.50
369.14,-1.52
372.83,-1.55
376.56,-1.58
380.33,-1.60
384.13,-1.63
387.97,-1.65
391.85,-1.68
395.77,-1.70
399.73,-1.72
403.72,-1.74
407.76,-1.77
411.84,-1.79
415.96,-1.81
420.12,-1.83
424.32,-1.85
428.56,-1.87
432.85,-1.89
437.18,-1.90
441.55,-1.92
445.96,-1.94
