frequency,raw
20.00,7.02
20.20,7.06
20.40,7.09
20.61,7.12
20.81,7.15
21.02,7.18
21.23,7.21
21.44,7.24
21.66,7.27
21.87,7.30
22.09,7.34
22.31,7.38
22.54,7.42
22.76,7.46
22.99,7.51
23.22,7.55
23.45,7.59
23.69,7.62
23.92,7.65
24.16,7.68
24.40,7.71
24.65,7.74
24.89,7.76
25.14,7.78
25.39,7.81
25.65,7.83
25.91,7.86
26.16,7.89
26.43,7.92
26.69,7.96
26.96,8.00
27.23,8.04
27.50,8.08
27.77,8.12
28.05,8.16
28.33,8.18
28.62,8.21
28.90,8.23
29.19,8.25
29.48,8.27
29.78,8.30
30.08,8.33
30.38,8.37
30.68,8.40
30.99,8.43
31.30,8.46
31.61,8.48
31.93,8.49
32.24,8.50
32.57,8.51
32.89,8.53
33.22,8.55
33.55,8.56
33.89,8.58
34.23,8.59
34.57,8.60
34.92,8.62
35.27,8.64
35.62,8.66
35.97,8.69
36.33,8.71
36.70,8.72
37.06,8.74
37.43,8.75
37.81,8.76
38.19,8.77
38.57,8.77
38.95,8.78
39.34,8.79
39.74,8.80
40.14,8.80
40.54,8.80
40.94,8.80
41.35,8.80
41.76,8.81
42.18,8.81
42.60,8.81
43.03,8.81
43.46,8.79
43.90,8.77
44.33,8.75
44.78,8.75
45.23,8.77
45.68,8.80
46.13,8.83
46.60,8.86
47.06,8.88
47.53,8.88
48.01,8.87
48.49,8.84
48.97,8.82
49.46,8.80
49.96,8.78
50.46,8.77
50.96,8.76
51.47,8.75
51.99,8.75
52.51,8.75
53.03,8.75
53.56,8.75
54.10,8.74
54.64,8.73
55.18,8.72
55.74,8.70
56.29,8.68
56.86,8.66
57.42,8.65
58.00,8.64
58.58,8.63
59.16,8.61
59.76,8.60
60.35,8.58
60.96,8.55
61.57,8.54
62.18,8.52
62.80,8.50
63.43,8.48
64.07,8.46
64.71,8.43
65.35,8.40
66.01,8.37
66.67,8.35
67.33,8.33
68.01,8.31
68.69,8.28
69.37,8.25
70.07,8.22
70.77,8.19
71.48,8.16
72.19,8.12
72.91,8.09
73.64,8.05
74.38,8.02
75.12,7.98
