frequency,raw
20.00,3.17
20.20,3.19
20.40,3.22
20.61,3.24
20.81,3.26
21.02,3.29
21.23,3.32
21.44,3.35
21.66,3.37
21.87,3.40
22.09,3.43
22.31,3.45
22.54,3.48
22.76,3.52
22.99,3.56
23.22,3.60
23.45,3.63
23.69,3.66
23.92,3.68
24.16,3.69
24.40,3.69
24.65,3.69
24.89,3.68
25.14,3.69
25.39,3.70
25.65,3.73
25.91,3.77
26.16,3.81
26.43,3.84
26.69,3.87
26.96,3.89
27.23,3.91
27.50,3.92
27.77,3.93
28.05,3.94
28.33,3.95
28.62,3.96
28.90,3.97
29.19,3.98
29.48,3.98
29.78,3.99
30.08,3.99
30.38,4.00
30.68,4.02
30.99,4.03
31.30,4.04
31.61,4.05
31.93,4.05
32.24,4.04
32.57,4.04
32.89,4.04
33.22,4.05
33.55,4.06
33.89,4.07
34.23,4.08
34.57,4.08
34.92,4.08
35.27,4.08
35.62,4.07
35.97,4.06
36.33,4.05
36.70,4.05
37.06,4.05
37.43,4.05
37.81,4.05
38.19,4.06
38.57,4.06
38.95,4.05
39.34,4.04
39.74,4.03
40.14,4.02
40.54,4.01
40.94,4.01
41.35,4.00
41.76,3.99
42.18,3.98
42.60,3.98
43.03,3.97
43.46,3.97
43.90,3.95
44.33,3.93
44.78,3.90
45.23,3.88
45.68,3.87
46.13,3.88
46.60,3.88
47.06,3.87
47.53,3.85
48.01,3.82
48.49,3.80
48.97,3.79
49.46,3.78
49.96,3.76
50.46,3.73
50.96,3.70
51.47,3.68
51.99,3.67
52.51,3.66
53.03,3.64
53.56,3.62
54.10,3.60
54.64,3.58
55.18,3.55
55.74,3.53
56.29,3.51
56.86,3.49
57.42,3.47
58.00,3.45
58.58,3.42
59.16,3.40
59.76,3.37
60.35,3.34
60.96,3.30
61.57,3.27
62.18,3.23
62.80,3.19
63.43,3.15
64.07,3.10
64.71,3.05
65.35,3.00
66.01,2.95
66.67,2.91
67.33,2.87
68.01,2.81
68.69,2.75
69.37,2.68
70.07,2.61
70.77,2.55
71.48,2.50
72.19,2.47
72.91,2.43
73.64,2.38
74.38,2.32
75.12,2.26
75.87,2.20
76.63,2.14
77.40,2.07
78.17,1.98
78.95,1.90
79.74,1.84
80.54,1.77
81.35,1.70
82.16,1.62
82.98,1.55
83.81,1.49
84.65,1.41
85.50,1.33
86.35,1.24
87.22,1.16
88.09,1.08
88.97,1.00
89.86,0.91
90.76,0.82
91.66,0.73
92.58,0.63
93.51,0.52
94.44,0.42
95.39,0.34
96.34,0.26
97.30,0.18
98.28,0.09
99.26,0.00
100.25,-0.10
101.25,-0.19
102.27,-0.30
103.29,-0.41
104.32,-0.52
105.37,-0.63
106.42,-0.74
107.48,-0.85
108.56,-0.96
109.64,-1.07
110.74,-1.17
111.85,-1.28
112.97,-1.38
114.10,-1.49
115.24,-1.62
116.39,-1.76
117.55,-1.91
118.73,-2.04
119.92,-2.17
121.12,-2.29
122.33,-2.39
123.55,-2.50
124.79,-2.63
126.03,-2.77
127.29,-2.91
128.57,-3.04
129.85,-3.16
131.15,-3.28
132.46,-3.40
133.79,-3.52
135.12,-3.65
136.48,-3.77
137.84,-3.89
139.22,-4.01
140.61,-4.13
142.02,-4.25
143.44,-4.38
144.87,-4.51
