frequency,raw
20.00,7.85
20.20,7.88
20.40,7.90
20.61,7.92
20.81,7.95
21.02,7.97
21.23,7.99
21.44,8.01
21.66,8.03
21.87,8.05
22.09,8.07
22.31,8.08
22.54,8.10
22.76,8.12
22.99,8.14
23.22,8.15
23.45,8.17
23.69,8.18
23.92,8.20
24.16,8.21
24.40,8.23
24.65,8.24
24.89,8.26
25.14,8.27
25.39,8.29
25.65,8.31
25.91,8.33
26.16,8.35
26.43,8.36
26.69,8.38
26.96,8.40
27.23,8.41
27.50,8.43
27.77,8.44
28.05,8.46
28.33,8.48
28.62,8.50
28.90,8.52
29.19,8.53
29.48,8.55
29.78,8.56
30.08,8.57
30.38,8.59
30.68,8.59
30.99,8.60
31.30,8.61
31.61,8.62
31.93,8.62
32.24,8.62
32.57,8.63
32.89,8.63
33.22,8.63
33.55,8.63
33.89,8.64
34.23,8.64
34.57,8.64
34.92,8.64
35.27,8.64
35.62,8.65
35.97,8.65
36.33,8.65
36.70,8.65
37.06,8.65
37.43,8.65
37.81,8.65
38.19,8.65
38.57,8.65
38.95,8.64
39.34,8.64
39.74,8.64
40.14,8.63
40.54,8.62
40.94,8.62
41.35,8.61
41.76,8.61
42.18,8.60
42.60,8.59
43.03,8.58
43.46,8.58
43.90,8.57
44.33,8.56
44.78,8.55
45.23,8.54
45.68,8.53
46.13,8.52
46.60,8.51
47.06,8.50
47.53,8.49
48.01,8.48
48.49,8.46
48.97,8.45
49.46,8.44
49.96,8.43
50.46,8.41
50.96,8.40
51.47,8.38
51.99,8.37
52.51,8.35
53.03,8.33
53.56,8.32
54.10,8.30
54.64,8.28
55.18,8.26
55.74,8.24
56.29,8.23
56.86,8.21
57.42,8.19
58.00,8.17
58.58,8.15
59.16,8.13
59.76,8.11
60.35,8.09
60.96,8.07
61.57,8.05
62.18,8.03
62.80,8.00
63.43,7.98
64.07,7.96
64.71,7.93
65.35,7.91
66.01,7.89
66.67,7.86
67.33,7.84
68.01,7.81
68.69,7.79
69.37,7.76
70.07,7.73
70.77,7.71
71.48,7.68
72.19,7.65
72.91,7.63
73.64,7.60
74.38,7.57
75.12,7.54
75.87,7.51
76.63,7.49
77.40,7.46
78.17,7.43
78.95,7.40
79.74,7.37
80.54,7.34
81.35,7.31
82.16,7.28
82.98,7.25
83.81,7.21
84.65,7.18
85.50,7.15
86.35,7.12
87.22,7.09
88.09,7.05
88.97,7.02
89.86,6.99
90.76,6.95
91.66,6.92
92.58,6.89
93.51,6.85
94.44,6.82
95.39,6.78
96.34,6.74
97.30,6.71
98.28,6.67
99.26,6.64
100.25,6.60
101.25,6.56
102.27,6.53
103.29,6.49
104.32,6.46
105.37,6.42
106.42,6.38
107.48,6.34
108.56,6.30
109.64,6.26
110.74,6.23
111.85,6.19
112.97,6.15
114.10,6.11
115.24,6.07
116.39,6.03
117.55,5.99
118.73,5.95
119.92,5.91
121.12,5.87
122.33,5.83
123.55,5.79
124.79,5.75
126.03,5.70
127.29,5.66
128.57,5.62
129.85,5.58
131.15,5.54
132.46,5.49
133.79,5.45
135.12,5.41
136.48,5.37
137.84,5.32
139.22,5.28
140.61,5.24
142.02,5.19
143.44,5.15
144.87,5.11
146.32,5.06
147.78,5.02
149.26,4.97
150.75,4.93
152.26,4.88
153.78,4.84
155.32,4.79
156.88,4.75
158.44,4.70
160.03,4.66
161.63,4.61
163.24,4.57
164.88,4.52
166.53,4.47
168.19,4.43
169.87,4.38
171.57,4.33
173.29,4.29
175.02,4.24
176.77,4.19
178.54,4.15
180.32,4.10
182.13,4.06
183.95,4.01
185.79,3.96
187.65,3.91
189.52,3.86
191.42,3.82
193.33,3.77
