frequency,raw
20.00,9.44
20.20,9.43
20.40,9.43
20.61,9.42
20.81,9.41
21.02,9.39
21.23,9.37
21.44,9.35
21.66,9.33
21.87,9.31
22.09,9.30
22.31,9.29
22.54,9.28
22.76,9.28
22.99,9.27
23.22,9.26
23.45,9.25
23.69,9.24
23.92,9.23
24.16,9.22
24.40,9.20
24.65,9.19
24.89,9.18
25.14,9.17
25.39,9.15
25.65,9.14
25.91,9.12
26.16,9.10
26.43,9.09
26.69,9.07
26.96,9.06
27.23,9.05
27.50,9.04
27.77,9.04
28.05,9.03
28.33,9.02
28.62,9.01
28.90,9.00
29.19,8.98
29.48,8.97
29.78,8.95
30.08,8.93
30.38,8.91
30.68,8.89
30.99,8.87
31.30,8.85
31.61,8.83
31.93,8.81
32.24,8.79
32.57,8.77
32.89,8.75
33.22,8.73
33.55,8.71
33.89,8.68
34.23,8.65
34.57,8.62
34.92,8.60
35.27,8.58
35.62,8.56
35.97,8.54
36.33,8.52
36.70,8.50
37.06,8.48
37.43,8.45
37.81,8.42
38.19,8.39
38.57,8.36
38.95,8.33
39.34,8.30
39.74,8.26
40.14,8.23
40.54,8.20
40.94,8.17
41.35,8.14
41.76,8.11
42.18,8.08
42.60,8.05
43.03,8.02
43.46,7.98
43.90,7.95
44.33,7.92
44.78,7.88
45.23,7.85
45.68,7.81
46.13,7.77
46.60,7.74
47.06,7.71
47.53,7.68
48.01,7.64
48.49,7.60
48.97,7.55
49.46,7.51
49.96,7.47
50.46,7.43
50.96,7.39
51.47,7.35
51.99,7.31
52.51,7.27
53.03,7.24
53.56,7.20
54.10,7.17
54.64,7.13
55.18,7.09
55.74,7.05
56.29,7.00
56.86,6.96
57.42,6.91
58.00,6.86
58.58,6.81
59.16,6.77
59.76,6.72
60.35,6.68
60.96,6.63
61.57,6.58
62.18,6.53
62.80,6.49
63.43,6.44
64.07,6.40
64.71,6.36
65.35,6.31
66.01,6.25
66.67,6.20
67.33,6.15
68.01,6.10
68.69,6.05
69.37,6.00
70.07,5.94
70.77,5.87
71.48,5.81
72.19,5.75
72.91,5.69
73.64,5.64
74.38,5.60
75.12,5.55
75.87,5.49
76.63,5.44
77.40,5.38
78.17,5.32
78.95,5.26
79.74,5.20
80.54,5.14
81.35,5.09
82.16,5.03
82.98,4.98
83.81,4.92
84.65,4.86
85.50,4.80
86.35,4.74
87.22,4.68
88.09,4.62
88.97,4.55
89.86,4.49
90.76,4.43
91.66,4.37
92.58,4.31
93.51,4.24
94.44,4.19
95.39,4.13
96.34,4.07
97.30,4.01
98.28,3.94
99.26,3.87
100.25,3.80
101.25,3.73
102.27,3.67
103.29,3.60
104.32,3.53
105.37,3.47
106.42,3.41
107.48,3.35
108.56,3.28
109.64,3.21
110.74,3.15
111.85,3.08
112.97,3.02
114.10,2.95
115.24,2.88
116.39,2.82
117.55,2.76
118.73,2.69
119.92,2.63
121.12,2.56
122.33,2.48
123.55,2.41
124.79,2.33
126.03,2.27
127.29,2.20
128.57,2.14
129.85,2.07
131.15,2.00
132.46,1.93
133.79,1.87
135.12,1.80
136.48,1.73
137.84,1.66
139.22,1.59
140.61,1.52
142.02,1.46
143.44,1.40
144.87,1.34
146.32,1.29
147.78,1.23
149.26,1.16
150.75,1.09
152.26,1.02
153.78,0.96
155.32,0.90
156.88,0.84
158.44,0.78
160.03,0.72
161.63,0.66
163.24,0.60
164.88,0.53
166.53,0.46
168.19,0.40
169.87,0.34
171.57,0.29
173.29,0.24
175.02,0.19
176.77,0.15
178.54,0.12
180.32,0.08
182.13,0.02
183.95,-0.04
185.79,-0.11
187.65,-0.16
189.52,-0.20
191.42,-0.25
193.33,-0.30
195.27,-0.34
197.22,-0.38
199.19,-0.43
201.18,-0.49
203.19,-0.54
205.23,-0.58
207.28,-0.61
209.35,-0.64
211.44,-0.68
213.56,-0.73
215.69,-0.77
217.85,-0.81
220.03,-0.85
222.23,-0.89
224.45,-0.94
226.70,-0.98
228.96,-1.01
231.25,-1.04
233.57,-1.07
235.90,-1.11
238.26,-1.14
240.64,-1.16
243.05,-1.17
245.48,-1.13
247.93,-1.11
250.41,-1.10
252.92,-1.19
255.45,-1.25
258.00,-1.31
260.58,-1.34
263.19,-1.37
265.82,-1.38
268.48,-1.39
271.16,-1.41
273.87,-1.43
276.61,-1.45
279.38,-1.47
282.17,-1.48
284.99,-1.49
287.84,-1.51
290.72,-1.53
293.63,-1.53
296.57,-1.54
299.53,-1.54
302.53,-1.55
305.55,-1.55
308.61,-1.55
311.69,-1.56
314.81,-1.57
317.96,-1.58
321.14,-1.58
324.35,-1.59
327.59,-1.59
330.87,-1.60
334.18,-1.61
337.52,-1.61
340.90,-1.61
344.30,-1.62
347.75,-1.62
351.23,-1.63
354.74,-1.64
358.28,-1.65
361.87,-1.66
365.49,-1.65
369.14,-1.64
372.83,-1.64
376.56,-1.64
380.33,-1.65
384.13,-1.67
387.97,-1.68
391.85,-1.68
395.77,-1.69
399.73,-1.69
403.72,-1.69
407.76,-1.68
411.84,-1.66
415.96,-1.66
420.12,-1.67
424.32,-1.68
428.56,-1.69
432.85,-1.69
437.18,-1.68
441.55,-1.67
445.96,-1.67
450.42,-1.66
454.93,-1.66
459.48,-1.66
464.07,-1.66
468.71,-1.66
473.40,-1.65
478.13,-1.65
482.91,-1.64
487.74,-1.64
492.62,-1.64
497.55,-1.65
502.52,-1.64
507.55,-1.63
512.62,-1.62
517.75,-1.62
522.93,-1.61
528.16,-1.61
533.44,-1.61
538.77,-1.61
544.16,-1.60
549.60,-1.59
555.10,-1.59
560.65,-1.59
566.25,-1.59
571.92,-1.58
577.64,-1.57
583.41,-1.56
589.25,-1.55
595.14,-1.55
601.09,-1.54
607.10,-1.54
613.17,-1.53
619.30,-1.52
625.50,-1.51
631.75,-1.50
638.07,-1.49
644.45,-1.48
650.89,-1.47
657.40,-1.46
663.98,-1.43
670.62,-1.41
677.32,-1.39
684.10,-1.38
690.94,-1.36
697.85,-1.34
704.83,-1.32
711.87,-1.30
718.99,-1.28
726.18,-1.26
733.44,-1.24
740.78,-1.22
748.19,-1.20
755.67,-1.17
763.23,-1.14
770.86,-1.12
778.57,-1.10
786.35,-1.07
794.22,-1.05
802.16,-1.02
810.18,-0.99
818.28,-0.96
826.46,-0.92
834.73,-0.89
843.08,-0.85
851.51,-0.82
860.02,-0.79
868.62,-0.75
877.31,-0.72
886.08,-0.67
894.94,-0.63
903.89,-0.59
912.93,-0.54
922.06,-0.49
931.28,-0.44
940.59,-0.38
950.00,-0.32
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.23
1049.39,0.29
1059.88,0.35
1070.48,0.41
1081.19,0.47
1092.00,0.53
1102.92,0.59
1113.95,0.65
1125.09,0.71
1136.34,0.77
1147.70,0.83
1159.18,0.88
1170.77,0.93
1182.48,0.98
1194.30,1.03
1206.25,1.08
1218.31,1.13
1230.49,1.18
1242.80,1.23
1255.22,1.27
1267.78,1.32
1280.45,1.37
1293.26,1.41
1306.19,1.45
1319.25,1.49
1332.45,1.53
1345.77,1.58
1359.23,1.61
1372.82,1.65
1386.55,1.69
1400.41,1.72
1414.42,1.75
1428.56,1.79
1442.85,1.82
1457.28,1.85
1471.85,1.89
1486.57,1.92
1501.43,1.95
1516.45,1.97
1531.61,2.00
1546.93,2.03
1562.40,2.05
1578.02,2.08
1593.80,2.11
1609.74,2.14
1625.84,2.17
1642.10,2.21
1658.52,2.24
1675.10,2.28
1691.85,2.32
1708.77,2.35
1725.86,2.39
1743.12,2.42
1760.55,2.46
1778.15,2.49
1795.94,2.53
1813.90,2.57
1832.03,2.61
1850.36,2.65
1868.86,2.68
1887.55,2.73
1906.42,2.77
1925.49,2.82
1944.74,2.87
1964.19,2.92
1983.83,2.97
2003.67,3.03
2023.71,3.08
2043.94,3.14
2064.38,3.20
2085.03,3.27
2105.88,3.33
2126.94,3.40
2148.20,3.48
2169.69,3.55
2191.38,3.64
2213.30,3.72
2235.43,3.81
2257.78,3.91
2280.36,4.01
2303.17,4.12
2326.20,4.23
2349.46,4.35
2372.95,4.47
2396.68,4.61
2420.65,4.75
2444.86,4.90
2469.31,5.05
2494.00,5.22
2518.94,5.40
2544.13,5.58
2569.57,5.78
2595.27,5.98
2621.22,6.20
2647.43,6.42
2673.90,6.66
2700.64,6.90
2727.65,7.15
2754.93,7.41
2782.48,7.68
2810.30,7.96
2838.40,8.25
2866.79,8.54
2895.46,8.84
2924.41,9.14
2953.65,9.45
2983.19,9.75
3013.02,10.05
3043.15,10.35
3073.58,10.64
3104.32,10.92
3135.36,11.20
3166.72,11.45
3198.38,11.70
3230.37,11.93
3262.67,12.13
3295.30,12.31
3328.25,12.47
3361.53,12.60
3395.15,12.71
3429.10,12.79
3463.39,12.86
3498.03,12.91
3533.01,12.93
3568.34,12.94
3604.02,12.93
3640.06,12.91
3676.46,12.88
3713.22,12.83
3750.36,12.78
3787.86,12.72
3825.74,12.65
3864.00,12.57
3902.64,12.49
3941.66,12.40
3981.08,12.30
4020.89,12.19
4061.10,12.07
4101.71,11.92
4142.73,11.74
4184.15,11.53
4226.00,11.25
4268.26,10.94
4310.94,10.57
4354.05,10.14
4397.59,9.68
4441.56,9.21
4485.98,8.75
4530.84,8.33
4576.15,8.00
4621.91,7.72
4668.13,7.58
4714.81,7.54
4761.96,7.55
4809.58,7.64
4857.67,7.75
