frequency,raw
20.00,11.49
20.20,11.49
20.40,11.50
20.61,11.50
20.81,11.50
21.02,11.50
21.23,11.50
21.44,11.49
21.66,11.48
21.87,11.47
22.09,11.46
22.31,11.44
22.54,11.43
22.76,11.42
22.99,11.41
23.22,11.40
23.45,11.39
23.69,11.38
23.92,11.37
24.16,11.36
24.40,11.35
24.65,11.34
24.89,11.33
25.14,11.31
25.39,11.30
25.65,11.29
25.91,11.28
26.16,11.27
26.43,11.26
26.69,11.25
26.96,11.24
27.23,11.22
27.50,11.19
27.77,11.17
28.05,11.14
28.33,11.12
28.62,11.10
28.90,11.09
29.19,11.08
29.48,11.08
29.78,11.07
30.08,11.06
30.38,11.05
30.68,11.03
30.99,11.01
31.30,10.99
31.61,10.96
31.93,10.94
32.24,10.92
32.57,10.91
32.89,10.89
33.22,10.88
33.55,10.86
33.89,10.84
34.23,10.81
34.57,10.78
34.92,10.76
35.27,10.73
35.62,10.71
35.97,10.68
36.33,10.67
36.70,10.65
37.06,10.64
37.43,10.61
37.81,10.58
38.19,10.54
38.57,10.50
38.95,10.46
39.34,10.43
39.74,10.41
40.14,10.39
40.54,10.37
40.94,10.33
41.35,10.30
41.76,10.27
42.18,10.23
42.60,10.20
43.03,10.17
43.46,10.14
43.90,10.11
44.33,10.09
44.78,10.06
45.23,10.03
45.68,9.99
46.13,9.96
46.60,9.93
47.06,9.89
47.53,9.86
48.01,9.81
48.49,9.76
48.97,9.73
49.46,9.70
49.96,9.67
50.46,9.62
50.96,9.58
51.47,9.55
51.99,9.53
52.51,9.50
53.03,9.47
53.56,9.41
54.10,9.36
54.64,9.31
55.18,9.28
55.74,9.23
56.29,9.17
56.86,9.11
57.42,9.07
58.00,9.03
58.58,8.99
59.16,8.95
59.76,8.90
60.35,8.85
60.96,8.80
61.57,8.76
62.18,8.72
62.80,8.67
63.43,8.62
64.07,8.56
64.71,8.51
65.35,8.46
66.01,8.41
66.67,8.37
67.33,8.31
68.01,8.24
68.69,8.18
69.37,8.13
70.07,8.09
70.77,8.05
71.48,8.00
72.19,7.96
72.91,7.90
73.64,7.85
74.38,7.80
75.12,7.74
75.87,7.68
76.63,7.62
77.40,7.55
78.17,7.49
78.95,7.43
79.74,7.37
80.54,7.33
81.35,7.29
82.16,7.23
82.98,7.16
83.81,7.09
84.65,7.02
85.50,6.95
86.35,6.89
87.22,6.83
88.09,6.77
88.97,6.70
89.86,6.63
90.76,6.57
91.66,6.51
92.58,6.46
93.51,6.41
94.44,6.35
95.39,6.28
96.34,6.22
97.30,6.16
98.28,6.10
