frequency,raw
20.00,8.19
20.20,8.19
20.40,8.19
20.61,8.18
20.81,8.16
21.02,8.14
21.23,8.12
21.44,8.13
21.66,8.14
21.87,8.15
22.09,8.14
22.31,8.11
22.54,8.09
22.76,8.07
22.99,8.06
23.22,8.06
23.45,8.05
23.69,8.02
23.92,7.99
24.16,7.96
24.40,7.97
24.65,7.98
24.89,7.98
25.14,7.97
25.39,7.94
25.65,7.93
25.91,7.93
26.16,7.95
26.43,7.94
26.69,7.92
26.96,7.88
27.23,7.86
27.50,7.86
27.77,7.85
28.05,7.81
28.33,7.76
28.62,7.73
28.90,7.71
29.19,7.71
29.48,7.68
29.78,7.63
30.08,7.60
30.38,7.58
30.68,7.56
30.99,7.53
31.30,7.49
31.61,7.46
31.93,7.45
32.24,7.45
32.57,7.43
32.89,7.41
33.22,7.42
33.55,7.44
33.89,7.41
34.23,7.35
34.57,7.30
34.92,7.26
35.27,7.22
35.62,7.18
35.97,7.16
36.33,7.17
36.70,7.16
37.06,7.12
37.43,7.10
37.81,7.10
38.19,7.09
38.57,7.04
38.95,7.00
39.34,6.98
39.74,6.93
40.14,6.86
40.54,6.81
40.94,6.79
41.35,6.76
41.76,6.73
42.18,6.73
42.60,6.72
43.03,6.67
43.46,6.64
43.90,6.63
44.33,6.58
44.78,6.54
45.23,6.53
45.68,6.50
46.13,6.44
46.60,6.42
47.06,6.39
47.53,6.32
48.01,6.30
48.49,6.26
48.97,6.19
49.46,6.14
49.96,6.09
50.46,6.02
50.96,6.00
51.47,6.00
51.99,6.00
52.51,6.00
53.03,5.96
53.56,5.89
54.10,5.86
54.64,5.82
55.18,5.79
55.74,5.77
56.29,5.71
56.86,5.66
57.42,5.61
58.00,5.54
58.58,5.51
59.16,5.44
59.76,5.38
60.35,5.33
60.96,5.26
61.57,5.23
62.18,5.17
62.80,5.15
63.43,5.11
64.07,5.08
64.71,5.06
65.35,5.01
66.01,4.99
66.67,4.93
67.33,4.90
68.01,4.82
68.69,4.77
69.37,4.74
70.07,4.73
70.77,4.67
71.48,4.59
72.19,4.50
72.91,4.46
73.64,4.44
74.38,4.41
75.12,4.38
75.87,4.35
76.63,4.29
77.40,4.21
78.17,4.15
78.95,4.13
79.74,4.07
80.54,4.01
81.35,3.96
82.16,3.94
82.98,3.89
83.81,3.84
84.65,3.78
85.50,3.72
86.35,3.67
87.22,3.62
88.09,3.60
88.97,3.57
89.86,3.54
90.76,3.47
91.66,3.41
92.58,3.37
93.51,3.31
94.44,3.27
95.39,3.24
96.34,3.18
97.30,3.12
98.28,3.07
99.26,3.02
100.25,2.98
101.25,2.96
102.27,2.89
103.29,2.83
104.32,2.80
105.37,2.76
106.42,2.71
107.48,2.66
108.56,2.60
109.64,2.52
110.74,2.45
111.85,2.40
112.97,2.37
114.10,2.34
115.24,2.29
116.39,2.23
117.55,2.17
118.73,2.13
119.92,2.12
121.12,2.09
122.33,2.01
123.55,1.92
124.79,1.86
126.03,1.83
127.29,1.80
128.57,1.76
129.85,1.70
131.15,1.63
132.46,1.57
133.79,1.53
135.12,1.49
136.48,1.46
137.84,1.42
139.22,1.37
140.61,1.32
142.02,1.27
143.44,1.23
144.87,1.18
146.32,1.14
147.78,1.11
149.26,1.04
150.75,0.97
152.26,0.91
153.78,0.88
155.32,0.86
156.88,0.85
158.44,0.82
160.03,0.78
161.63,0.73
163.24,0.69
164.88,0.65
166.53,0.63
168.19,0.60
169.87,0.55
171.57,0.50
173.29,0.44
175.02,0.37
176.77,0.34
178.54,0.31
180.32,0.26
182.13,0.22
183.95,0.19
185.79,0.16
187.65,0.14
189.52,0.08
191.42,0.01
193.33,-0.04
195.27,-0.06
197.22,-0.06
199.19,-0.09
201.18,-0.13
203.19,-0.17
205.23,-0.21
207.28,-0.25
209.35,-0.28
211.44,-0.32
213.56,-0.36
215.69,-0.42
217.85,-0.48
220.03,-0.52
222.23,-0.54
224.45,-0.55
226.70,-0.58
228.96,-0.62
231.25,-0.65
233.57,-0.68
235.90,-0.72
238.26,-0.75
240.64,-0.78
243.05,-0.84
245.48,-0.88
247.93,-0.89
250.41,-0.90
252.92,-0.92
255.45,-0.96
258.00,-1.01
260.58,-1.04
263.19,-1.04
265.82,-1.07
268.48,-1.11
271.16,-1.14
273.87,-1.16
276.61,-1.19
279.38,-1.23
282.17,-1.25
284.99,-1.26
287.84,-1.27
290.72,-1.31
293.63,-1.35
296.57,-1.39
299.53,-1.41
302.53,-1.44
305.55,-1.47
308.61,-1.48
311.69,-1.48
314.81,-1.48
317.96,-1.49
321.14,-1.51
324.35,-1.54
327.59,-1.59
330.87,-1.62
334.18,-1.63
337.52,-1.64
340.90,-1.66
344.30,-1.69
347.75,-1.73
351.23,-1.76
354.74,-1.76
358.28,-1.75
361.87,-1.75
365.49,-1.77
369.14,-1.79
372.83,-1.82
376.56,-1.85
380.33,-1.87
384.13,-1.88
387.97,-1.89
391.85,-1.92
395.77,-1.94
399.73,-1.95
403.72,-1.97
407.76,-1.98
411.84,-1.98
415.96,-1.96
420.12,-1.96
424.32,-1.96
428.56,-1.97
432.85,-1.98
437.18,-2.00
441.55,-2.02
445.96,-2.06
450.42,-2.09
454.93,-2.09
459.48,-2.07
464.07,-2.07
468.71,-2.09
473.40,-2.12
478.13,-2.13
482.91,-2.12
487.74,-2.11
492.62,-2.12
497.55,-2.12
502.52,-2.11
507.55,-2.14
512.62,-2.15
517.75,-2.17
522.93,-2.17
528.16,-2.16
533.44,-2.15
538.77,-2.16
544.16,-2.15
549.60,-2.13
555.10,-2.13
560.65,-2.15
566.25,-2.15
571.92,-2.14
577.64,-2.14
583.41,-2.11
589.25,-2.09
595.14,-2.09
601.09,-2.10
607.10,-2.10
613.17,-2.08
619.30,-2.07
625.50,-2.06
631.75,-2.05
638.07,-2.04
644.45,-2.02
650.89,-2.01
657.40,-2.01
663.98,-2.00
670.62,-1.99
677.32,-1.96
684.10,-1.92
690.94,-1.90
697.85,-1.90
704.83,-1.89
711.87,-1.87
718.99,-1.85
726.18,-1.82
733.44,-1.79
740.78,-1.76
748.19,-1.72
755.67,-1.68
763.23,-1.64
770.86,-1.62
778.57,-1.59
786.35,-1.54
794.22,-1.50
802.16,-1.47
810.18,-1.41
818.28,-1.35
826.46,-1.31
834.73,-1.28
843.08,-1.23
851.51,-1.17
860.02,-1.09
868.62,-1.01
877.31,-0.97
886.08,-0.93
894.94,-0.87
903.89,-0.80
912.93,-0.74
922.06,-0.67
931.28,-0.60
940.59,-0.52
950.00,-0.45
959.50,-0.37
969.09,-0.27
978.78,-0.18
988.57,-0.10
998.46,-0.02
1008.44,0.09
1018.53,0.22
1028.71,0.36
1039.00,0.48
1049.39,0.60
1059.88,0.74
1070.48,0.87
1081.19,0.99
1092.00,1.11
1102.92,1.23
1113.95,1.36
1125.09,1.50
1136.34,1.63
1147.70,1.76
1159.18,1.88
1170.77,1.98
1182.48,2.10
1194.30,2.21
1206.25,2.31
1218.31,2.40
1230.49,2.48
1242.80,2.54
1255.22,2.61
1267.78,2.70
1280.45,2.79
1293.26,2.87
1306.19,2.96
1319.25,3.05
1332.45,3.16
1345.77,3.26
1359.23,3.37
1372.82,3.47
1386.55,3.57
1400.41,3.67
1414.42,3.79
1428.56,3.92
1442.85,4.04
1457.28,4.16
1471.85,4.28
1486.57,4.40
1501.43,4.51
1516.45,4.61
1531.61,4.72
1546.93,4.84
1562.40,4.96
1578.02,5.07
1593.80,5.19
1609.74,5.32
1625.84,5.46
1642.10,5.60
1658.52,5.76
1675.10,5.93
1691.85,6.10
1708.77,6.26
1725.86,6.41
1743.12,6.56
1760.55,6.73
1778.15,6.90
1795.94,7.06
1813.90,7.22
1832.03,7.36
1850.36,7.51
1868.86,7.66
1887.55,7.82
1906.42,7.97
1925.49,8.11
1944.74,8.26
1964.19,8.39
1983.83,8.52
2003.67,8.66
2023.71,8.79
2043.94,8.92
2064.38,9.05
2085.03,9.18
2105.88,9.29
2126.94,9.40
2148.20,9.50
2169.69,9.58
2191.38,9.66
2213.30,9.73
2235.43,9.81
2257.78,9.87
2280.36,9.91
2303.17,9.94
2326.20,9.95
2349.46,9.95
2372.95,9.94
2396.68,9.93
2420.65,9.91
2444.86,9.88
2469.31,9.84
2494.00,9.80
2518.94,9.75
2544.13,9.67
2569.57,9.60
2595.27,9.53
2621.22,9.46
2647.43,9.38
2673.90,9.31
2700.64,9.27
2727.65,9.24
2754.93,9.23
2782.48,9.22
2810.30,9.21
2838.40,9.21
2866.79,9.19
2895.46,9.16
2924.41,9.10
2953.65,9.04
2983.19,8.99
3013.02,8.95
3043.15,8.90
3073.58,8.85
3104.32,8.81
3135.36,8.78
3166.72,8.75
3198.38,8.72
3230.37,8.69
3262.67,8.67
3295.30,8.65
3328.25,8.63
3361.53,8.63
3395.15,8.64
3429.10,8.63
3463.39,8.62
3498.03,8.63
3533.01,8.64
3568.34,8.66
3604.02,8.68
3640.06,8.72
3676.46,8.77
3713.22,8.82
3750.36,8.87
3787.86,8.93
3825.74,9.01
3864.00,9.07
3902.64,9.13
3941.66,9.20
3981.08,9.26
4020.89,9.30
4061.10,9.31
4101.71,9.29
4142.73,9.25
4184.15,9.20
4226.00,9.12
4268.26,9.03
4310.94,8.90
4354.05,8.74
4397.59,8.54
4441.56,8.31
4485.98,8.06
4530.84,7.78
4576.15,7.47
4621.91,7.14
4668.13,6.79
4714.81,6.43
4761.96,6.07
4809.58,5.71
4857.67,5.33
4906.25,4.96
4955.31,4.58
5004.87,4.20
5054.91,3.84
5105.46,3.48
5156.52,3.12
5208.08,2.76
5260.16,2.42
5312.77,2.09
5365.89,1.78
5419.55,1.49
5473.75,1.20
5528.49,0.91
5583.77,0.64
5639.61,0.39
5696.00,0.16
5752.96,-0.02
5810.49,-0.19
5868.60,-0.35
5927.28,-0.51
5986.56,-0.65
6046.42,-0.77
6106.89,-0.89
6167.96,-0.99
6229.64,-1.06
6291.93,-1.13
6354.85,-1.19
6418.40,-1.22
6482.58,-1.23
6547.41,-1.20
6612.88,-1.16
6679.01,-1.10
6745.80,-1.01
6813.26,-0.89
6881.39,-0.75
6950.21,-0.56
7019.71,-0.33
7089.91,-0.08
7160.81,0.22
7232.41,0.57
7304.74,0.98
7377.79,1.46
7451.56,1.99
7526.08,2.59
7601.34,3.26
7677.35,3.97
7754.13,4.67
7831.67,5.33
7909.98,5.80
7989.08,6.04
8068.98,6.01
8149.67,5.56
8231.16,4.88
8313.47,3.99
8396.61,2.98
8480.57,1.94
8565.38,0.89
8651.03,-0.11
8737.54,-1.05
8824.92,-1.92
8913.17,-2.74
9002.30,-3.51
9092.32,-4.20
9183.25,-4.83
9275.08,-5.31
9367.83,-5.62
9461.51,-5.75
9556.12,-5.57
9651.68,-5.14
9748.20,-4.51
9845.68,-3.75
9944.14,-3.02
10043.58,-2.44
10144.02,-2.04
10245.46,-1.82
10347.91,-1.71
10451.39,-1.67
10555.91,-1.65
10661.46,-1.60
10768.08,-1.50
10875.76,-1.34
10984.52,-1.10
11094.36,-0.78
11205.31,-0.34
11317.36,0.16
11430.53,0.69
11544.84,1.24
11660.29,1.82
11776.89,2.41
11894.66,2.89
12013.60,3.06
12133.74,2.80
12255.08,2.15
12377.63,1.16
12501.41,0.01
12626.42,-1.17
12752.68,-2.28
12880.21,-3.30
13009.01,-4.23
13139.10,-5.06
13270.49,-5.79
13403.20,-6.44
13537.23,-6.99
13672.60,-7.48
13809.33,-7.89
13947.42,-8.20
14086.90,-8.39
14227.77,-8.47
14370.04,-8.46
14513.74,-8.35
14658.88,-8.15
14805.47,-7.86
14953.52,-7.45
15103.06,-6.98
15254.09,-6.42
15406.63,-5.78
15560.70,-5.11
15716.30,-4.44
15873.47,-3.87
16032.20,-3.48
16192.52,-3.37
16354.45,-3.49
16517.99,-3.82
16683.17,-4.27
16850.01,-4.79
17018.51,-5.29
17188.69,-5.70
17360.58,-5.93
17534.18,-5.93
17709.53,-5.74
17886.62,-5.44
18065.49,-5.14
18246.14,-4.94
18428.60,-5.02
18612.89,-5.45
18799.02,-6.39
18987.01,-7.96
19176.88,-9.46
19368.65,-10.23
19562.33,-10.80
19757.96,-11.01
19955.54,-10.71
