frequency,raw
20.00,4.22
20.20,4.19
20.40,4.17
20.61,4.14
20.81,4.12
21.02,4.10
21.23,4.08
21.44,4.05
21.66,4.01
21.87,3.98
22.09,3.94
22.31,3.91
22.54,3.88
22.76,3.85
22.99,3.82
23.22,3.80
23.45,3.78
23.69,3.79
23.92,3.79
24.16,3.80
24.40,3.81
24.65,3.82
24.89,3.82
25.14,3.81
25.39,3.79
25.65,3.77
25.91,3.75
26.16,3.73
26.43,3.71
26.69,3.69
26.96,3.67
27.23,3.65
27.50,3.62
27.77,3.59
28.05,3.58
28.33,3.56
28.62,3.55
28.90,3.54
29.19,3.53
29.48,3.52
29.78,3.50
30.08,3.48
30.38,3.47
30.68,3.45
30.99,3.43
31.30,3.40
31.61,3.37
31.93,3.33
32.24,3.29
32.57,3.25
32.89,3.22
33.22,3.18
33.55,3.15
33.89,3.12
34.23,3.11
34.57,3.09
34.92,3.09
35.27,3.08
35.62,3.08
35.97,3.06
36.33,3.03
36.70,3.00
37.06,2.95
37.43,2.89
37.81,2.83
38.19,2.78
38.57,2.76
38.95,2.76
39.34,2.77
39.74,2.78
40.14,2.77
40.54,2.76
40.94,2.74
41.35,2.73
41.76,2.73
42.18,2.71
42.60,2.70
43.03,2.70
43.46,2.70
43.90,2.70
44.33,2.71
44.78,2.73
45.23,2.74
45.68,2.75
46.13,2.75
46.60,2.74
47.06,2.72
47.53,2.70
48.01,2.67
48.49,2.65
48.97,2.62
49.46,2.60
49.96,2.58
50.46,2.56
50.96,2.55
51.47,2.56
51.99,2.58
52.51,2.57
53.03,2.53
53.56,2.49
54.10,2.47
54.64,2.48
55.18,2.49
55.74,2.50
56.29,2.48
56.86,2.44
57.42,2.40
58.00,2.35
58.58,2.29
59.16,2.25
59.76,2.24
60.35,2.26
60.96,2.28
61.57,2.29
62.18,2.28
62.80,2.26
63.43,2.23
64.07,2.20
64.71,2.18
65.35,2.17
66.01,2.16
66.67,2.15
67.33,2.15
68.01,2.15
68.69,2.15
69.37,2.15
70.07,2.15
70.77,2.13
71.48,2.09
72.19,2.05
72.91,2.03
73.64,2.01
74.38,1.97
75.12,1.93
75.87,1.90
76.63,1.87
77.40,1.84
78.17,1.84
78.95,1.86
79.74,1.88
80.54,1.88
81.35,1.86
82.16,1.83
82.98,1.79
83.81,1.77
84.65,1.77
85.50,1.75
86.35,1.70
87.22,1.64
88.09,1.59
88.97,1.60
89.86,1.64
90.76,1.64
91.66,1.61
92.58,1.57
93.51,1.54
94.44,1.54
95.39,1.53
96.34,1.51
97.30,1.48
98.28,1.45
99.26,1.43
100.25,1.40
101.25,1.35
102.27,1.32
103.29,1.31
104.32,1.30
105.37,1.28
106.42,1.27
107.48,1.25
108.56,1.23
109.64,1.20
