frequency,raw
20.00,14.04
20.20,14.02
20.40,14.01
20.61,13.99
20.81,13.98
21.02,13.96
21.23,13.93
21.44,13.91
21.66,13.89
21.87,13.86
22.09,13.83
22.31,13.81
22.54,13.79
22.76,13.78
22.99,13.76
23.22,13.74
23.45,13.71
23.69,13.70
23.92,13.67
24.16,13.65
24.40,13.62
24.65,13.59
24.89,13.57
25.14,13.54
25.39,13.51
25.65,13.48
25.91,13.45
26.16,13.41
26.43,13.37
26.69,13.33
26.96,13.30
27.23,13.27
27.50,13.24
27.77,13.21
28.05,13.17
28.33,13.13
28.62,13.09
28.90,13.05
29.19,13.02
29.48,12.99
29.78,12.96
30.08,12.94
30.38,12.91
30.68,12.88
30.99,12.85
31.30,12.83
31.61,12.80
31.93,12.77
32.24,12.73
32.57,12.69
32.89,12.65
33.22,12.61
33.55,12.57
33.89,12.53
34.23,12.49
34.57,12.45
34.92,12.41
35.27,12.38
35.62,12.34
35.97,12.30
36.33,12.27
36.70,12.23
37.06,12.19
37.43,12.16
37.81,12.12
38.19,12.08
38.57,12.04
38.95,11.98
39.34,11.92
39.74,11.87
40.14,11.81
40.54,11.77
40.94,11.72
41.35,11.68
41.76,11.64
42.18,11.60
42.60,11.56
43.03,11.53
43.46,11.50
43.90,11.45
44.33,11.40
44.78,11.34
45.23,11.29
45.68,11.23
46.13,11.18
46.60,11.14
47.06,11.11
47.53,11.07
48.01,11.03
48.49,10.97
48.97,10.89
49.46,10.81
49.96,10.75
50.46,10.70
50.96,10.68
51.47,10.66
51.99,10.64
52.51,10.60
53.03,10.53
53.56,10.44
54.10,10.37
54.64,10.32
55.18,10.28
55.74,10.23
56.29,10.18
56.86,10.12
57.42,10.07
58.00,10.01
58.58,9.96
59.16,9.90
59.76,9.85
60.35,9.79
60.96,9.74
61.57,9.67
62.18,9.61
62.80,9.56
63.43,9.52
64.07,9.47
64.71,9.42
65.35,9.36
66.01,9.30
66.67,9.25
67.33,9.21
68.01,9.15
68.69,9.08
69.37,9.03
70.07,8.98
70.77,8.92
71.48,8.85
72.19,8.78
72.91,8.72
73.64,8.67
74.38,8.62
75.12,8.57
75.87,8.51
76.63,8.45
77.40,8.39
78.17,8.33
78.95,8.27
79.74,8.21
80.54,8.15
81.35,8.09
82.16,8.02
82.98,7.96
83.81,7.90
84.65,7.85
85.50,7.80
86.35,7.73
87.22,7.67
88.09,7.62
88.97,7.56
89.86,7.49
90.76,7.43
91.66,7.36
92.58,7.30
93.51,7.24
94.44,7.18
95.39,7.12
96.34,7.06
97.30,7.00
98.28,6.94
99.26,6.87
100.25,6.81
101.25,6.74
102.27,6.67
103.29,6.61
104.32,6.54
105.37,6.48
106.42,6.43
107.48,6.38
108.56,6.32
109.64,6.25
110.74,6.18
111.85,6.11
112.97,6.05
114.10,6.00
115.24,5.94
116.39,5.88
117.55,5.81
118.73,5.75
119.92,5.69
121.12,5.64
122.33,5.57
123.55,5.49
124.79,5.41
126.03,5.35
127.29,5.30
128.57,5.24
129.85,5.18
131.15,5.12
132.46,5.06
133.79,5.00
135.12,4.95
136.48,4.91
137.84,4.86
139.22,4.78
140.61,4.70
142.02,4.62
143.44,4.54
144.87,4.49
146.32,4.46
147.78,4.41
149.26,4.36
150.75,4.29
152.26,4.23
153.78,4.18
155.32,4.14
156.88,4.09
158.44,4.05
160.03,3.99
161.63,3.93
163.24,3.86
164.88,3.81
166.53,3.76
168.19,3.71
169.87,3.66
171.57,3.60
173.29,3.53
175.02,3.46
176.77,3.39
178.54,3.31
180.32,3.23
182.13,3.15
183.95,3.08
185.79,3.03
187.65,2.98
189.52,2.92
191.42,2.85
193.33,2.79
195.27,2.74
197.22,2.69
199.19,2.63
201.18,2.56
203.19,2.48
205.23,2.40
207.28,2.34
209.35,2.28
211.44,2.22
213.56,2.15
215.69,2.08
217.85,2.02
220.03,1.95
222.23,1.89
224.45,1.82
226.70,1.76
228.96,1.69
231.25,1.64
233.57,1.58
235.90,1.52
238.26,1.45
240.64,1.38
243.05,1.32
245.48,1.25
247.93,1.19
250.41,1.13
252.92,1.06
255.45,1.00
258.00,0.94
260.58,0.88
263.19,0.82
265.82,0.76
268.48,0.70
271.16,0.63
273.87,0.57
276.61,0.50
279.38,0.43
282.17,0.37
284.99,0.32
287.84,0.27
290.72,0.21
293.63,0.15
296.57,0.09
299.53,0.02
302.53,-0.04
305.55,-0.11
308.61,-0.17
311.69,-0.22
314.81,-0.27
317.96,-0.33
321.14,-0.38
324.35,-0.43
327.59,-0.49
330.87,-0.55
334.18,-0.61
337.52,-0.68
340.90,-0.74
344.30,-0.80
347.75,-0.86
351.23,-0.91
354.74,-0.95
358.28,-0.99
361.87,-1.04
365.49,-1.10
369.14,-1.15
372.83,-1.21
376.56,-1.27
380.33,-1.32
384.13,-1.36
387.97,-1.40
391.85,-1.45
395.77,-1.49
399.73,-1.54
403.72,-1.59
407.76,-1.63
411.84,-1.68
415.96,-1.73
420.12,-1.77
424.32,-1.81
428.56,-1.86
432.85,-1.89
437.18,-1.93
441.55,-1.98
445.96,-2.02
450.42,-2.06
454.93,-2.09
459.48,-2.12
464.07,-2.16
468.71,-2.20
473.40,-2.23
478.13,-2.25
482.91,-2.28
487.74,-2.32
492.62,-2.35
497.55,-2.38
502.52,-2.41
507.55,-2.44
512.62,-2.47
517.75,-2.50
522.93,-2.53
528.16,-2.55
533.44,-2.56
538.77,-2.58
544.16,-2.60
549.60,-2.62
555.10,-2.63
560.65,-2.65
566.25,-2.66
571.92,-2.66
577.64,-2.67
583.41,-2.68
589.25,-2.68
595.14,-2.69
601.09,-2.70
607.10,-2.70
613.17,-2.71
619.30,-2.72
625.50,-2.72
631.75,-2.71
638.07,-2.70
644.45,-2.70
650.89,-2.70
657.40,-2.70
663.98,-2.69
670.62,-2.68
677.32,-2.66
684.10,-2.64
690.94,-2.61
697.85,-2.59
704.83,-2.56
711.87,-2.53
718.99,-2.49
726.18,-2.45
733.44,-2.42
740.78,-2.39
748.19,-2.36
755.67,-2.32
763.23,-2.27
770.86,-2.22
778.57,-2.17
786.35,-2.12
794.22,-2.07
802.16,-2.01
810.18,-1.95
818.28,-1.88
826.46,-1.81
834.73,-1.74
843.08,-1.67
851.51,-1.60
860.02,-1.53
868.62,-1.45
877.31,-1.37
886.08,-1.28
894.94,-1.19
903.89,-1.10
912.93,-1.00
922.06,-0.89
931.28,-0.79
940.59,-0.69
950.00,-0.58
959.50,-0.47
969.09,-0.36
978.78,-0.25
988.57,-0.14
998.46,-0.02
1008.44,0.10
1018.53,0.23
1028.71,0.35
1039.00,0.47
1049.39,0.60
1059.88,0.73
1070.48,0.86
1081.19,0.99
1092.00,1.12
1102.92,1.26
1113.95,1.39
1125.09,1.53
1136.34,1.67
1147.70,1.82
1159.18,1.96
1170.77,2.10
1182.48,2.24
1194.30,2.38
1206.25,2.53
1218.31,2.67
1230.49,2.82
1242.80,2.96
1255.22,3.11
1267.78,3.26
1280.45,3.42
1293.26,3.57
1306.19,3.72
1319.25,3.87
1332.45,4.03
1345.77,4.19
1359.23,4.35
1372.82,4.52
1386.55,4.68
1400.41,4.85
1414.42,5.01
1428.56,5.18
1442.85,5.36
1457.28,5.54
1471.85,5.71
1486.57,5.88
1501.43,6.05
1516.45,6.21
1531.61,6.38
1546.93,6.55
1562.40,6.72
1578.02,6.89
1593.80,7.06
1609.74,7.24
1625.84,7.43
1642.10,7.62
1658.52,7.80
1675.10,7.96
1691.85,8.09
1708.77,8.19
1725.86,8.23
1743.12,8.24
1760.55,8.21
1778.15,8.17
1795.94,8.11
1813.90,8.02
1832.03,7.89
1850.36,7.73
1868.86,7.53
1887.55,7.31
1906.42,7.09
1925.49,6.89
1944.74,6.72
1964.19,6.59
1983.83,6.48
2003.67,6.38
2023.71,6.30
2043.94,6.22
2064.38,6.16
2085.03,6.11
2105.88,6.07
2126.94,6.06
2148.20,6.07
2169.69,6.09
2191.38,6.12
2213.30,6.15
2235.43,6.15
2257.78,6.13
2280.36,6.08
2303.17,6.01
2326.20,5.94
2349.46,5.87
2372.95,5.80
2396.68,5.74
2420.65,5.69
2444.86,5.64
2469.31,5.60
2494.00,5.57
2518.94,5.53
2544.13,5.51
2569.57,5.50
2595.27,5.50
2621.22,5.53
2647.43,5.57
2673.90,5.63
2700.64,5.69
2727.65,5.74
2754.93,5.77
2782.48,5.79
2810.30,5.81
2838.40,5.82
2866.79,5.83
2895.46,5.83
2924.41,5.82
2953.65,5.80
2983.19,5.79
3013.02,5.78
3043.15,5.76
3073.58,5.73
3104.32,5.71
3135.36,5.68
3166.72,5.64
3198.38,5.61
3230.37,5.57
3262.67,5.53
3295.30,5.49
3328.25,5.45
3361.53,5.40
3395.15,5.34
3429.10,5.27
3463.39,5.20
3498.03,5.13
3533.01,5.06
3568.34,5.00
3604.02,4.96
3640.06,4.91
3676.46,4.88
3713.22,4.85
3750.36,4.84
3787.86,4.85
3825.74,4.86
3864.00,4.88
3902.64,4.90
3941.66,4.92
3981.08,4.95
4020.89,4.98
4061.10,5.02
4101.71,5.07
4142.73,5.12
4184.15,5.16
4226.00,5.16
4268.26,5.12
4310.94,5.03
4354.05,4.91
4397.59,4.76
4441.56,4.58
4485.98,4.36
4530.84,4.10
4576.15,3.77
4621.91,3.39
4668.13,2.98
4714.81,2.57
4761.96,2.20
4809.58,1.83
4857.67,1.44
4906.25,1.03
4955.31,0.66
5004.87,0.42
5054.91,0.32
5105.46,0.33
5156.52,0.40
5208.08,0.50
5260.16,0.62
5312.77,0.76
5365.89,0.92
5419.55,1.12
5473.75,1.33
5528.49,1.57
5583.77,1.81
5639.61,2.07
5696.00,2.33
5752.96,2.58
5810.49,2.81
5868.60,3.03
5927.28,3.23
5986.56,3.38
6046.42,3.51
6106.89,3.62
6167.96,3.72
6229.64,3.79
6291.93,3.83
6354.85,3.87
6418.40,3.95
6482.58,4.05
6547.41,4.16
6612.88,4.26
6679.01,4.34
6745.80,4.39
6813.26,4.37
6881.39,4.27
6950.21,4.14
7019.71,4.09
7089.91,4.22
7160.81,4.51
7232.41,4.85
7304.74,5.17
7377.79,5.45
7451.56,5.65
7526.08,5.77
7601.34,5.85
7677.35,6.02
7754.13,6.34
7831.67,6.70
7909.98,6.99
7989.08,7.12
8068.98,7.07
8149.67,6.81
8231.16,6.38
8313.47,5.84
8396.61,5.23
8480.57,4.61
8565.38,3.98
8651.03,3.36
8737.54,2.73
8824.92,2.08
8913.17,1.42
9002.30,0.76
9092.32,0.17
9183.25,-0.32
9275.08,-0.65
9367.83,-0.81
9461.51,-0.89
9556.12,-0.96
9651.68,-1.06
9748.20,-1.10
9845.68,-0.96
9944.14,-0.64
10043.58,-0.25
10144.02,0.08
10245.46,0.29
10347.91,0.30
10451.39,0.06
10555.91,-0.49
10661.46,-1.30
10768.08,-2.27
10875.76,-3.34
10984.52,-4.47
11094.36,-5.61
11205.31,-6.63
11317.36,-7.45
11430.53,-8.01
11544.84,-8.36
11660.29,-8.59
11776.89,-8.74
11894.66,-8.86
12013.60,-8.88
12133.74,-8.77
12255.08,-8.52
12377.63,-8.16
12501.41,-7.73
12626.42,-7.24
12752.68,-6.67
12880.21,-6.06
13009.01,-5.46
13139.10,-4.91
13270.49,-4.45
13403.20,-4.14
13537.23,-4.02
13672.60,-4.11
13809.33,-4.43
13947.42,-4.92
14086.90,-5.54
14227.77,-6.22
14370.04,-6.93
14513.74,-7.71
14658.88,-8.56
14805.47,-9.45
14953.52,-10.23
15103.06,-10.74
15254.09,-10.82
15406.63,-10.56
15560.70,-10.06
15716.30,-9.38
15873.47,-8.63
16032.20,-7.98
16192.52,-7.60
16354.45,-7.40
16517.99,-7.09
16683.17,-6.49
16850.01,-5.84
17018.51,-5.43
17188.69,-5.34
17360.58,-5.54
17534.18,-5.99
17709.53,-6.57
17886.62,-7.25
18065.49,-7.98
18246.14,-8.67
18428.60,-9.24
18612.89,-9.67
18799.02,-9.93
18987.01,-10.02
19176.88,-9.95
19368.65,-9.75
19562.33,-9.40
19757.96,-8.78
19955.54,-7.83
