frequency,raw
20.00,0.53
20.20,0.52
20.40,0.51
20.61,0.51
20.81,0.51
21.02,0.51
21.23,0.51
21.44,0.51
21.66,0.51
21.87,0.51
22.09,0.51
22.31,0.50
22.54,0.50
22.76,0.49
22.99,0.49
23.22,0.48
23.45,0.47
23.69,0.47
23.92,0.47
24.16,0.47
24.40,0.47
24.65,0.48
24.89,0.49
25.14,0.50
25.39,0.50
25.65,0.51
25.91,0.52
26.16,0.53
26.43,0.54
26.69,0.56
26.96,0.57
27.23,0.58
27.50,0.59
27.77,0.60
28.05,0.60
28.33,0.60
28.62,0.61
28.90,0.63
29.19,0.64
29.48,0.66
29.78,0.66
30.08,0.66
30.38,0.65
30.68,0.64
30.99,0.65
31.30,0.66
31.61,0.67
31.93,0.67
32.24,0.66
32.57,0.64
32.89,0.63
33.22,0.63
33.55,0.63
33.89,0.64
34.23,0.64
34.57,0.65
34.92,0.65
35.27,0.67
35.62,0.70
35.97,0.72
36.33,0.73
36.70,0.72
37.06,0.69
37.43,0.64
37.81,0.60
38.19,0.57
38.57,0.55
38.95,0.56
39.34,0.57
39.74,0.57
40.14,0.55
40.54,0.52
40.94,0.50
41.35,0.50
41.76,0.54
42.18,0.57
42.60,0.58
43.03,0.55
43.46,0.54
43.90,0.61
44.33,0.76
44.78,0.93
45.23,1.01
45.68,0.94
46.13,0.79
46.60,0.64
47.06,0.57
47.53,0.56
48.01,0.57
48.49,0.57
48.97,0.55
49.46,0.52
49.96,0.47
50.46,0.42
50.96,0.39
51.47,0.41
51.99,0.46
52.51,0.48
53.03,0.46
53.56,0.42
54.10,0.39
54.64,0.39
55.18,0.39
55.74,0.40
56.29,0.40
56.86,0.40
57.42,0.38
58.00,0.38
58.58,0.38
59.16,0.39
59.76,0.40
60.35,0.40
60.96,0.40
61.57,0.41
62.18,0.42
62.80,0.44
63.43,0.46
64.07,0.47
64.71,0.49
65.35,0.51
66.01,0.52
66.67,0.53
67.33,0.54
68.01,0.53
68.69,0.53
69.37,0.55
70.07,0.57
70.77,0.59
71.48,0.59
72.19,0.58
72.91,0.58
73.64,0.60
74.38,0.62
75.12,0.64
75.87,0.65
76.63,0.67
77.40,0.69
78.17,0.70
78.95,0.71
79.74,0.72
80.54,0.74
81.35,0.76
82.16,0.77
82.98,0.78
83.81,0.79
84.65,0.80
85.50,0.81
86.35,0.83
87.22,0.84
88.09,0.85
88.97,0.86
89.86,0.88
90.76,0.89
91.66,0.90
92.58,0.92
93.51,0.94
94.44,0.96
95.39,0.98
96.34,1.00
97.30,1.01
98.28,1.03
99.26,1.07
100.25,1.09
101.25,1.11
102.27,1.13
103.29,1.16
104.32,1.19
105.37,1.22
106.42,1.24
107.48,1.27
108.56,1.29
109.64,1.30
110.74,1.31
111.85,1.33
112.97,1.34
114.10,1.36
115.24,1.37
116.39,1.37
117.55,1.37
118.73,1.37
119.92,1.37
121.12,1.36
122.33,1.35
123.55,1.34
124.79,1.34
126.03,1.35
127.29,1.35
128.57,1.35
129.85,1.35
131.15,1.34
132.46,1.33
133.79,1.33
135.12,1.33
136.48,1.33
137.84,1.33
139.22,1.31
140.61,1.29
142.02,1.27
143.44,1.24
144.87,1.22
146.32,1.21
147.78,1.18
149.26,1.15
150.75,1.11
152.26,1.08
153.78,1.07
155.32,1.06
156.88,1.04
158.44,1.02
160.03,0.98
161.63,0.94
163.24,0.90
164.88,0.87
166.53,0.84
168.19,0.80
169.87,0.75
171.57,0.71
173.29,0.67
175.02,0.62
176.77,0.58
178.54,0.53
180.32,0.48
182.13,0.43
183.95,0.40
185.79,0.35
187.65,0.31
189.52,0.26
191.42,0.23
193.33,0.21
195.27,0.20
197.22,0.20
199.19,0.19
201.18,0.16
203.19,0.13
205.23,0.09
207.28,0.07
209.35,0.06
211.44,0.04
213.56,0.02
215.69,-0.00
217.85,-0.02
220.03,-0.05
222.23,-0.07
224.45,-0.10
226.70,-0.13
228.96,-0.16
231.25,-0.19
233.57,-0.23
235.90,-0.27
238.26,-0.31
240.64,-0.36
243.05,-0.41
245.48,-0.47
247.93,-0.52
250.41,-0.57
252.92,-0.62
255.45,-0.67
258.00,-0.71
260.58,-0.75
263.19,-0.79
265.82,-0.83
268.48,-0.88
271.16,-0.93
273.87,-0.99
276.61,-1.06
279.38,-1.11
282.17,-1.15
284.99,-1.18
287.84,-1.21
290.72,-1.25
293.63,-1.29
296.57,-1.33
299.53,-1.36
302.53,-1.40
305.55,-1.44
308.61,-1.48
311.69,-1.50
314.81,-1.53
317.96,-1.57
321.14,-1.60
324.35,-1.63
327.59,-1.67
330.87,-1.72
334.18,-1.78
337.52,-1.84
340.90,-1.90
344.30,-1.97
347.75,-2.04
351.23,-2.11
354.74,-2.14
358.28,-2.18
361.87,-2.22
365.49,-2.27
369.14,-2.32
372.83,-2.37
376.56,-2.43
380.33,-2.47
384.13,-2.51
387.97,-2.55
391.85,-2.58
395.77,-2.62
399.73,-2.66
403.72,-2.69
407.76,-2.72
411.84,-2.73
415.96,-2.76
420.12,-2.80
424.32,-2.85
428.56,-2.87
432.85,-2.86
437.18,-2.85
441.55,-2.84
445.96,-2.83
450.42,-2.82
454.93,-2.81
459.48,-2.78
464.07,-2.76
468.71,-2.73
473.40,-2.69
478.13,-2.65
482.91,-2.63
487.74,-2.60
492.62,-2.57
497.55,-2.54
502.52,-2.53
507.55,-2.52
512.62,-2.52
517.75,-2.51
522.93,-2.51
528.16,-2.50
533.44,-2.48
538.77,-2.47
544.16,-2.47
549.60,-2.47
555.10,-2.46
560.65,-2.43
566.25,-2.40
571.92,-2.38
577.64,-2.37
583.41,-2.35
589.25,-2.33
595.14,-2.30
601.09,-2.29
607.10,-2.28
613.17,-2.28
619.30,-2.27
625.50,-2.26
631.75,-2.27
638.07,-2.31
644.45,-2.37
650.89,-2.41
657.40,-2.47
663.98,-2.55
670.62,-2.65
677.32,-2.74
