frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.04,-0.04,-6.48,-6.48,6.00,5.81,2.42,5.95,5.96,6.44
20.20,0.02,0.02,-6.45,-6.45,6.00,5.81,2.49,6.02,6.01,6.47
20.40,0.08,0.07,-6.42,-6.42,6.00,5.80,2.56,6.08,6.07,6.50
20.61,0.13,0.13,-6.39,-6.39,6.00,5.79,2.63,6.13,6.13,6.52
20.81,0.19,0.19,-6.36,-6.36,6.00,5.78,2.71,6.19,6.19,6.55
21.02,0.25,0.25,-6.33,-6.32,6.00,5.77,2.79,6.25,6.25,6.57
21.23,0.31,0.31,-6.28,-6.28,6.00,5.76,2.87,6.31,6.31,6.58
21.44,0.37,0.37,-6.23,-6.23,6.00,5.75,2.95,6.37,6.37,6.59
21.66,0.43,0.43,-6.18,-6.17,6.00,5.74,3.04,6.43,6.43,6.60
21.87,0.49,0.48,-6.11,-6.12,6.00,5.73,3.12,6.49,6.49,6.60
22.09,0.53,0.53,-6.08,-6.08,6.00,5.72,3.21,6.53,6.53,6.61
22.31,0.57,0.57,-6.04,-6.04,6.00,5.71,3.31,6.57,6.57,6.61
22.54,0.60,0.60,-6.01,-6.02,5.99,5.70,3.40,6.59,6.59,6.61
22.76,0.62,0.62,-5.99,-5.99,5.98,5.69,3.50,6.59,6.60,6.61
22.99,0.64,0.64,-5.96,-5.96,5.96,5.68,3.60,6.60,6.60,6.60
23.22,0.66,0.66,-5.94,-5.94,5.94,5.67,3.70,6.60,6.60,6.60
23.45,0.69,0.69,-5.91,-5.91,5.91,5.65,3.81,6.60,6.60,6.60
23.69,0.72,0.72,-5.88,-5.88,5.88,5.64,3.91,6.60,6.60,6.60
23.92,0.76,0.75,-5.84,-5.85,5.85,5.63,4.02,6.61,6.60,6.60
24.16,0.79,0.79,-5.82,-5.81,5.82,5.62,4.13,6.60,6.60,6.61
24.40,0.82,0.82,-5.79,-5.78,5.78,5.61,4.25,6.60,6.60,6.60
24.65,0.85,0.85,-5.75,-5.75,5.75,5.60,4.36,6.59,6.60,6.59
24.89,0.88,0.88,-5.71,-5.71,5.71,5.58,4.48,6.59,6.59,6.59
25.14,0.92,0.92,-5.67,-5.68,5.67,5.57,4.59,6.59,6.59,6.59
25.39,0.95,0.95,-5.64,-5.64,5.63,5.56,4.71,6.58,6.58,6.59
25.65,0.99,0.99,-5.60,-5.60,5.60,5.54,4.83,6.58,6.58,6.59
25.91,1.02,1.02,-5.56,-5.56,5.56,5.53,4.95,6.58,6.58,6.58
26.16,1.06,1.05,-5.52,-5.52,5.54,5.52,5.07,6.59,6.59,6.58
26.43,1.08,1.08,-5.50,-5.50,5.51,5.50,5.18,6.59,6.59,6.58
26.69,1.10,1.10,-5.48,-5.48,5.49,5.49,5.30,6.59,6.59,6.58
26.96,1.11,1.11,-5.47,-5.47,5.48,5.48,5.42,6.58,6.58,6.57
27.23,1.11,1.11,-5.46,-5.46,5.46,5.46,5.53,6.57,6.57,6.57
27.50,1.11,1.11,-5.46,-5.46,5.45,5.45,5.64,6.56,6.56,6.57
27.77,1.11,1.11,-5.45,-5.45,5.43,5.43,5.75,6.54,6.55,6.56
28.05,1.13,1.13,-5.43,-5.43,5.42,5.42,5.85,6.54,6.54,6.56
28.33,1.15,1.15,-5.40,-5.40,5.40,5.40,5.95,6.54,6.54,6.55
28.62,1.18,1.18,-5.37,-5.37,5.37,5.39,6.04,6.55,6.55,6.55
28.90,1.21,1.21,-5.34,-5.33,5.34,5.37,6.12,6.55,6.55,6.54
29.19,1.24,1.23,-5.29,-5.30,5.31,5.36,6.20,6.55,6.55,6.53
29.48,1.26,1.26,-5.28,-5.28,5.28,5.34,6.27,6.54,6.54,6.54
29.78,1.28,1.28,-5.25,-5.25,5.25,5.32,6.34,6.52,6.53,6.53
30.08,1.31,1.30,-5.22,-5.22,5.21,5.31,6.39,6.52,6.52,6.53
30.38,1.33,1.33,-5.19,-5.19,5.18,5.29,6.44,6.51,6.51,6.52
30.68,1.36,1.36,-5.16,-5.15,5.15,5.27,6.47,6.50,6.51,6.51
30.99,1.40,1.39,-5.10,-5.11,5.11,5.26,6.50,6.51,6.51,6.50
31.30,1.43,1.42,-5.07,-5.08,5.08,5.24,6.51,6.51,6.51,6.50
31.61,1.45,1.45,-5.05,-5.04,5.05,5.22,6.52,6.50,6.50,6.50
31.93,1.47,1.47,-5.02,-5.02,5.03,5.20,6.51,6.49,6.49,6.48
32.24,1.49,1.48,-4.98,-4.99,5.00,5.19,6.50,6.49,6.48,6.47
