frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.24,6.24,1.94,1.94,-1.94,-1.50,-0.76,4.30,4.30,4.30
20.20,6.24,6.24,1.91,1.91,-1.91,-1.50,-0.78,4.33,4.33,4.33
20.40,6.24,6.24,1.88,1.88,-1.88,-1.50,-0.81,4.36,4.36,4.36
20.61,6.25,6.24,1.87,1.86,-1.86,-1.50,-0.83,4.39,4.39,4.38
20.81,6.25,6.25,1.84,1.84,-1.83,-1.50,-0.86,4.41,4.41,4.41
21.02,6.25,6.25,1.81,1.82,-1.82,-1.50,-0.88,4.43,4.43,4.44
21.23,6.25,6.25,1.80,1.80,-1.80,-1.50,-0.91,4.44,4.44,4.45
21.44,6.25,6.25,1.79,1.79,-1.79,-1.50,-0.93,4.46,4.46,4.46
21.66,6.25,6.25,1.78,1.79,-1.79,-1.50,-0.96,4.46,4.47,4.47
21.87,6.26,6.25,1.79,1.78,-1.78,-1.50,-0.99,4.48,4.47,4.47
22.09,6.26,6.26,1.78,1.78,-1.78,-1.50,-1.02,4.47,4.47,4.48
22.31,6.26,6.26,1.78,1.79,-1.79,-1.50,-1.05,4.47,4.47,4.48
22.54,6.27,6.26,1.79,1.79,-1.79,-1.50,-1.08,4.47,4.47,4.47
22.76,6.27,6.27,1.79,1.80,-1.80,-1.50,-1.11,4.46,4.47,4.47
22.99,6.28,6.28,1.81,1.81,-1.81,-1.50,-1.15,4.47,4.47,4.46
23.22,6.29,6.28,1.82,1.82,-1.82,-1.50,-1.18,4.47,4.47,4.46
23.45,6.29,6.29,1.83,1.83,-1.82,-1.50,-1.21,4.46,4.47,4.46
23.69,6.30,6.30,1.84,1.83,-1.83,-1.50,-1.25,4.47,4.47,4.46
23.92,6.30,6.30,1.84,1.83,-1.83,-1.50,-1.28,4.47,4.47,4.46
24.16,6.30,6.30,1.83,1.83,-1.83,-1.50,-1.32,4.47,4.47,4.47
24.40,6.29,6.29,1.82,1.82,-1.82,-1.50,-1.36,4.46,4.46,4.47
24.65,6.28,6.28,1.82,1.82,-1.82,-1.50,-1.39,4.46,4.46,4.46
24.89,6.27,6.27,1.81,1.81,-1.81,-1.49,-1.43,4.46,4.46,4.46
25.14,6.26,6.25,1.80,1.80,-1.80,-1.49,-1.47,4.46,4.45,4.46
25.39,6.24,6.24,1.78,1.79,-1.79,-1.49,-1.51,4.45,4.45,4.45
25.65,6.23,6.23,1.77,1.78,-1.78,-1.49,-1.54,4.45,4.45,4.45
25.91,6.22,6.22,1.77,1.77,-1.77,-1.49,-1.58,4.44,4.44,4.44
26.16,6.21,6.21,1.77,1.77,-1.76,-1.49,-1.62,4.44,4.44,4.44
26.43,6.20,6.20,1.76,1.76,-1.75,-1.49,-1.66,4.44,4.44,4.44
26.69,6.19,6.19,1.75,1.75,-1.74,-1.49,-1.69,4.44,4.44,4.44
26.96,6.18,6.18,1.74,1.74,-1.73,-1.49,-1.73,4.44,4.44,4.44
27.23,6.17,6.16,1.73,1.73,-1.72,-1.49,-1.76,4.44,4.44,4.44
27.50,6.15,6.15,1.71,1.71,-1.72,-1.49,-1.80,4.43,4.43,4.44
27.77,6.13,6.13,1.70,1.70,-1.71,-1.49,-1.83,4.42,4.42,4.42
28.05,6.12,6.12,1.69,1.70,-1.70,-1.49,-1.86,4.41,4.41,4.42
28.33,6.11,6.11,1.70,1.69,-1.70,-1.49,-1.89,4.41,4.41,4.41
28.62,6.11,6.11,1.70,1.70,-1.70,-1.49,-1.92,4.41,4.41,4.41
28.90,6.11,6.11,1.70,1.70,-1.71,-1.49,-1.95,4.40,4.40,4.41
29.19,6.12,6.11,1.72,1.71,-1.71,-1.49,-1.97,4.41,4.40,4.40
29.48,6.12,6.12,1.71,1.72,-1.72,-1.49,-1.99,4.40,4.40,4.40
29.78,6.13,6.13,1.73,1.73,-1.73,-1.49,-2.01,4.40,4.40,4.39
30.08,6.13,6.13,1.74,1.74,-1.74,-1.48,-2.02,4.39,4.39,4.39
30.38,6.13,6.13,1.75,1.75,-1.75,-1.48,-2.04,4.38,4.38,4.38
30.68,6.13,6.13,1.75,1.75,-1.75,-1.48,-2.05,4.38,4.38,4.38
30.99,6.13,6.12,1.76,1.76,-1.75,-1.48,-2.06,4.37,4.37,4.37
31.30,6.12,6.12,1.75,1.76,-1.75,-1.48,-2.06,4.36,4.36,4.36
31.61,6.11,6.11,1.75,1.75,-1.75,-1.48,-2.06,4.36,4.36,4.36
31.93,6.10,6.09,1.75,1.75,-1.74,-1.48,-2.06,4.35,4.35,4.35
32.24,6.08,6.08,1.74,1.74,-1.73,-1.48,-2.06,4.34,4.34,4.34
