frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.48,4.48,0.06,0.06,-0.06,-1.49,-0.74,4.42,4.42,4.42
20.20,4.52,4.52,0.07,0.07,-0.07,-1.49,-0.76,4.45,4.45,4.45
20.40,4.57,4.57,0.09,0.09,-0.09,-1.50,-0.79,4.48,4.48,4.48
20.61,4.61,4.61,0.11,0.11,-0.11,-1.50,-0.81,4.50,4.51,4.50
20.81,4.66,4.66,0.13,0.13,-0.13,-1.51,-0.83,4.53,4.53,4.53
21.02,4.71,4.71,0.15,0.16,-0.16,-1.51,-0.86,4.55,4.55,4.56
21.23,4.75,4.76,0.18,0.18,-0.19,-1.52,-0.88,4.56,4.56,4.57
21.44,4.80,4.80,0.22,0.22,-0.22,-1.52,-0.91,4.58,4.58,4.58
21.66,4.85,4.85,0.26,0.27,-0.26,-1.53,-0.93,4.59,4.59,4.59
21.87,4.90,4.90,0.32,0.31,-0.31,-1.53,-0.96,4.60,4.59,4.59
22.09,4.94,4.95,0.35,0.35,-0.35,-1.54,-0.98,4.59,4.59,4.60
22.31,4.99,4.99,0.40,0.40,-0.40,-1.55,-1.01,4.59,4.59,4.60
22.54,5.04,5.04,0.45,0.45,-0.45,-1.55,-1.04,4.59,4.59,4.59
22.76,5.09,5.09,0.50,0.50,-0.50,-1.56,-1.07,4.59,4.59,4.59
22.99,5.14,5.14,0.56,0.55,-0.55,-1.57,-1.10,4.59,4.59,4.58
23.22,5.19,5.19,0.61,0.61,-0.61,-1.57,-1.13,4.59,4.58,4.58
23.45,5.24,5.24,0.66,0.66,-0.66,-1.58,-1.16,4.58,4.58,4.58
23.69,5.29,5.29,0.71,0.71,-0.71,-1.59,-1.20,4.58,4.58,4.58
23.92,5.35,5.35,0.77,0.76,-0.76,-1.59,-1.23,4.59,4.59,4.58
24.16,5.40,5.40,0.81,0.82,-0.81,-1.60,-1.26,4.59,4.59,4.59
24.40,5.45,5.45,0.86,0.87,-0.86,-1.61,-1.29,4.59,4.59,4.59
24.65,5.49,5.50,0.91,0.91,-0.91,-1.62,-1.33,4.58,4.58,4.58
24.89,5.54,5.54,0.97,0.96,-0.96,-1.62,-1.36,4.58,4.58,4.58
25.14,5.58,5.58,1.01,1.01,-1.01,-1.63,-1.40,4.57,4.58,4.58
25.39,5.62,5.63,1.05,1.05,-1.05,-1.64,-1.43,4.57,4.57,4.57
25.65,5.67,5.67,1.10,1.10,-1.10,-1.65,-1.47,4.57,4.57,4.57
25.91,5.71,5.71,1.15,1.14,-1.14,-1.66,-1.51,4.57,4.57,4.56
26.16,5.75,5.75,1.19,1.19,-1.19,-1.67,-1.54,4.56,4.56,4.56
26.43,5.79,5.79,1.23,1.24,-1.23,-1.68,-1.58,4.56,4.56,4.56
26.69,5.84,5.84,1.28,1.28,-1.28,-1.69,-1.61,4.56,4.56,4.56
26.96,5.88,5.88,1.32,1.32,-1.33,-1.70,-1.65,4.56,4.56,4.56
27.23,5.92,5.93,1.36,1.37,-1.37,-1.71,-1.68,4.55,4.55,4.56
27.50,5.97,5.97,1.42,1.42,-1.42,-1.72,-1.72,4.55,4.55,4.56
27.77,6.01,6.01,1.47,1.46,-1.46,-1.73,-1.75,4.55,4.55,4.54
28.05,6.05,6.05,1.51,1.51,-1.51,-1.74,-1.78,4.54,4.54,4.54
28.33,6.09,6.09,1.56,1.56,-1.56,-1.75,-1.81,4.54,4.54,4.53
28.62,6.13,6.13,1.60,1.60,-1.60,-1.76,-1.84,4.53,4.53,4.53
28.90,6.17,6.17,1.64,1.65,-1.64,-1.78,-1.87,4.53,4.53,4.53
29.19,6.21,6.21,1.70,1.69,-1.69,-1.79,-1.90,4.53,4.52,4.52
29.48,6.24,6.24,1.72,1.73,-1.73,-1.80,-1.92,4.51,4.52,4.52
29.78,6.28,6.28,1.77,1.77,-1.77,-1.81,-1.95,4.51,4.51,4.51
30.08,6.31,6.31,1.80,1.80,-1.81,-1.83,-1.97,4.50,4.51,4.51
30.38,6.35,6.35,1.85,1.85,-1.85,-1.84,-1.99,4.51,4.50,4.50
30.68,6.38,6.38,1.88,1.89,-1.88,-1.86,-2.01,4.50,4.50,4.50
30.99,6.41,6.41,1.93,1.92,-1.92,-1.87,-2.03,4.49,4.49,4.49
31.30,6.44,6.44,1.96,1.96,-1.96,-1.89,-2.04,4.48,4.48,4.48
31.61,6.47,6.47,1.99,2.00,-2.00,-1.90,-2.05,4.47,4.47,4.48
31.93,6.50,6.50,2.03,2.03,-2.03,-1.92,-2.06,4.47,4.47,4.47
32.24,6.53,6.53,2.08,2.07,-2.07,-1.94,-2.07,4.46,4.46,4.46
32.57,6.56,6.56,2.11,2.11,-2.11,-1.96,-2.08,4.46,4.46,4.45
32.89,6.59,6.59,2.14,2.14,-2.14,-1.97,-2.09,4.45,4.45,4.45
33.22,6.61,6.62,2.17,2.17,-2.18,-1.99,-2.09,4.43,4.44,4.44
33.55,6.64,6.64,2.21,2.21,-2.21,-2.01,-2.09,4.43,4.43,4.44
33.89,6.67,6.67,2.25,2.25,-2.25,-2.03,-2.09,4.42,4.42,4.42
34.23,6.70,6.70,2.28,2.28,-2.28,-2.06,-2.09,4.42,4.42,4.42
34.57,6.72,6.73,2.32,2.32,-2.32,-2.08,-2.09,4.40,4.41,4.41
34.92,6.75,6.75,2.36,2.35,-2.35,-2.10,-2.09,4.40,4.40,4.39
35.27,6.77,6.77,2.38,2.39,-2.38,-2.12,-2.09,4.39,4.39,4.39
35.62,6.79,6.79,2.42,2.41,-2.41,-2.15,-2.08,4.38,4.38,4.38
35.97,6.80,6.81,2.44,2.44,-2.44,-2.17,-2.08,4.36,4.37,4.36
36.33,6.82,6.82,2.46,2.47,-2.47,-2.20,-2.08,4.35,4.35,4.36
36.70,6.84,6.84,2.50,2.49,-2.50,-2.23,-2.07,4.35,4.34,4.34
37.06,6.85,6.85,2.52,2.52,-2.52,-2.25,-2.07,4.33,4.33,4.33
37.43,6.87,6.87,2.55,2.55,-2.55,-2.28,-2.06,4.32,4.32,4.33
37.81,6.88,6.88,2.57,2.57,-2.57,-2.31,-2.06,4.31,4.31,4.31
38.19,6.90,6.90,2.60,2.60,-2.60,-2.34,-2.06,4.30,4.30,4.30
38.57,6.91,6.91,2.62,2.62,-2.62,-2.37,-2.06,4.29,4.29,4.29
