frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-15.03,-15.03,-18.81,-18.81,6.00,5.59,2.70,-9.03,-9.03,3.78
20.20,-14.87,-14.87,-18.68,-18.68,6.00,5.61,2.78,-8.87,-8.87,3.81
20.40,-14.70,-14.71,-18.54,-18.55,6.00,5.62,2.86,-8.70,-8.71,3.84
20.61,-14.55,-14.54,-18.41,-18.41,6.00,5.64,2.94,-8.55,-8.54,3.86
20.81,-14.37,-14.38,-18.26,-18.27,6.00,5.66,3.02,-8.37,-8.38,3.89
21.02,-14.20,-14.21,-18.12,-18.12,6.00,5.68,3.11,-8.20,-8.21,3.92
21.23,-14.03,-14.02,-17.96,-17.95,6.00,5.70,3.20,-8.03,-8.02,3.93
21.44,-13.80,-13.80,-17.74,-17.74,6.00,5.73,3.29,-7.80,-7.80,3.94
21.66,-13.56,-13.56,-17.50,-17.50,6.00,5.75,3.38,-7.56,-7.56,3.95
21.87,-13.30,-13.30,-17.25,-17.25,6.00,5.78,3.48,-7.30,-7.30,3.95
22.09,-13.06,-13.06,-17.02,-17.01,6.00,5.80,3.58,-7.06,-7.06,3.96
22.31,-12.83,-12.84,-16.79,-16.79,6.00,5.83,3.68,-6.83,-6.84,3.96
22.54,-12.64,-12.64,-16.59,-16.60,6.00,5.86,3.78,-6.64,-6.64,3.96
22.76,-12.46,-12.47,-16.42,-16.42,6.00,5.89,3.89,-6.46,-6.47,3.95
22.99,-12.30,-12.30,-16.25,-16.25,6.00,5.92,4.00,-6.30,-6.30,3.94
23.22,-12.12,-12.12,-16.07,-16.07,6.00,5.95,4.11,-6.12,-6.12,3.94
23.45,-11.92,-11.92,-15.86,-15.86,6.00,5.99,4.23,-5.92,-5.92,3.94
23.69,-11.69,-11.68,-15.63,-15.62,6.00,6.02,4.35,-5.69,-5.68,3.94
23.92,-11.40,-11.40,-15.34,-15.34,6.00,6.05,4.47,-5.40,-5.40,3.94
24.16,-11.09,-11.09,-15.04,-15.04,6.00,6.08,4.59,-5.09,-5.09,3.95
24.40,-10.78,-10.78,-14.73,-14.72,6.00,6.11,4.71,-4.78,-4.78,3.95
24.65,-10.49,-10.49,-14.42,-14.43,6.00,6.14,4.84,-4.49,-4.49,3.94
24.89,-10.24,-10.24,-14.18,-14.18,6.00,6.16,4.97,-4.24,-4.24,3.94
25.14,-10.06,-10.06,-14.00,-13.99,6.00,6.18,5.10,-4.06,-4.06,3.94
25.39,-9.92,-9.94,-13.86,-13.88,6.00,6.20,5.23,-3.92,-3.94,3.94
25.65,-9.89,-9.89,-13.83,-13.82,6.00,6.20,5.36,-3.89,-3.89,3.93
25.91,-9.88,-9.89,-13.81,-13.81,6.00,6.21,5.49,-3.88,-3.89,3.92
26.16,-9.91,-9.92,-13.84,-13.84,6.00,6.21,5.62,-3.91,-3.92,3.92
26.43,-9.95,-9.95,-13.87,-13.87,6.00,6.21,5.75,-3.95,-3.95,3.92
26.69,-9.96,-9.96,-13.88,-13.88,6.00,6.19,5.88,-3.96,-3.96,3.92
26.96,-9.93,-9.93,-13.85,-13.85,6.00,6.18,6.01,-3.93,-3.93,3.92
27.23,-9.84,-9.83,-13.76,-13.75,6.00,6.16,6.13,-3.84,-3.83,3.92
27.50,-9.68,-9.68,-13.60,-13.60,6.00,6.14,6.26,-3.68,-3.68,3.92
27.77,-9.49,-9.50,-13.39,-13.40,6.00,6.11,6.38,-3.49,-3.50,3.90
28.05,-9.29,-9.30,-13.20,-13.20,6.00,6.08,6.49,-3.29,-3.30,3.90
28.33,-9.10,-9.10,-12.99,-12.99,6.00,6.05,6.60,-3.10,-3.10,3.89
28.62,-8.92,-8.92,-12.81,-12.81,6.00,6.02,6.71,-2.92,-2.92,3.89
28.90,-8.75,-8.76,-12.64,-12.64,6.00,5.99,6.80,-2.75,-2.76,3.89
