frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.14,2.14,0.24,0.24,-0.25,-0.22,0.02,1.90,1.90,1.90
20.20,2.15,2.15,0.22,0.21,-0.21,-0.22,0.02,1.94,1.94,1.93
20.40,2.15,2.15,0.19,0.19,-0.18,-0.21,0.02,1.97,1.97,1.96
20.61,2.15,2.15,0.17,0.17,-0.16,-0.21,0.02,1.99,1.99,1.98
20.81,2.15,2.15,0.14,0.14,-0.14,-0.21,0.02,2.01,2.01,2.01
21.02,2.15,2.15,0.11,0.12,-0.12,-0.20,0.02,2.03,2.03,2.04
21.23,2.15,2.15,0.10,0.10,-0.11,-0.20,0.02,2.04,2.04,2.05
21.44,2.15,2.16,0.09,0.09,-0.10,-0.19,0.02,2.05,2.06,2.06
21.66,2.16,2.16,0.09,0.09,-0.09,-0.19,0.02,2.07,2.07,2.07
21.87,2.17,2.17,0.10,0.09,-0.09,-0.19,0.02,2.08,2.07,2.07
22.09,2.17,2.17,0.09,0.10,-0.10,-0.18,0.02,2.07,2.08,2.08
22.31,2.18,2.18,0.10,0.10,-0.11,-0.18,0.02,2.07,2.07,2.08
22.54,2.19,2.19,0.11,0.11,-0.12,-0.17,0.02,2.07,2.07,2.08
22.76,2.20,2.20,0.13,0.13,-0.13,-0.17,0.02,2.07,2.07,2.08
22.99,2.21,2.21,0.15,0.14,-0.14,-0.17,0.02,2.08,2.07,2.07
23.22,2.21,2.22,0.15,0.15,-0.14,-0.16,0.02,2.07,2.07,2.07
23.45,2.22,2.22,0.16,0.16,-0.15,-0.16,0.02,2.07,2.07,2.06
23.69,2.22,2.22,0.16,0.16,-0.15,-0.15,0.01,2.07,2.07,2.06
23.92,2.22,2.22,0.16,0.15,-0.15,-0.15,0.01,2.07,2.07,2.06
24.16,2.21,2.21,0.14,0.15,-0.15,-0.14,0.01,2.06,2.06,2.07
24.40,2.21,2.21,0.14,0.14,-0.15,-0.14,0.01,2.06,2.06,2.07
24.65,2.20,2.20,0.14,0.14,-0.14,-0.13,0.01,2.06,2.06,2.06
24.89,2.20,2.20,0.14,0.14,-0.14,-0.13,0.01,2.06,2.06,2.06
25.14,2.20,2.20,0.14,0.14,-0.14,-0.12,0.01,2.06,2.06,2.06
25.39,2.19,2.19,0.13,0.14,-0.14,-0.12,0.01,2.05,2.05,2.06
25.65,2.19,2.19,0.14,0.14,-0.14,-0.11,0.01,2.05,2.05,2.06
25.91,2.19,2.19,0.15,0.14,-0.14,-0.10,0.01,2.05,2.05,2.05
26.16,2.19,2.19,0.15,0.15,-0.14,-0.10,0.02,2.05,2.05,2.04
26.43,2.19,2.19,0.15,0.15,-0.14,-0.09,0.02,2.05,2.05,2.04
26.69,2.18,2.19,0.14,0.14,-0.14,-0.09,0.02,2.04,2.05,2.04
26.96,2.18,2.18,0.14,0.14,-0.14,-0.08,0.02,2.04,2.04,2.04
27.23,2.17,2.17,0.13,0.13,-0.13,-0.07,0.02,2.04,2.04,2.04
27.50,2.16,2.16,0.12,0.13,-0.13,-0.07,0.02,2.03,2.03,2.04
27.77,2.15,2.15,0.13,0.12,-0.12,-0.06,0.02,2.03,2.03,2.03
28.05,2.14,2.14,0.12,0.12,-0.12,-0.05,0.02,2.02,2.02,2.02
28.33,2.13,2.13,0.12,0.11,-0.11,-0.05,0.03,2.02,2.02,2.01
28.62,2.12,2.12,0.11,0.11,-0.11,-0.04,0.03,2.01,2.01,2.01
28.90,2.11,2.11,0.10,0.10,-0.11,-0.03,0.03,2.01,2.01,2.01
29.19,2.10,2.10,0.10,0.10,-0.10,-0.03,0.04,2.00,2.00,2.00
29.48,2.10,2.10,0.09,0.10,-0.10,-0.02,0.04,2.00,2.00,2.01
29.78,2.09,2.09,0.10,0.10,-0.09,-0.01,0.05,2.00,2.00,2.00
30.08,2.08,2.08,0.09,0.09,-0.09,-0.00,0.05,1.99,2.00,1.99
30.38,2.07,2.07,0.09,0.08,-0.08,0.01,0.06,1.99,1.99,1.98
30.68,2.05,2.05,0.07,0.08,-0.07,0.01,0.06,1.98,1.98,1.98
30.99,2.03,2.04,0.06,0.07,-0.07,0.02,0.07,1.97,1.97,1.97
31.30,2.02,2.02,0.06,0.05,-0.06,0.03,0.08,1.97,1.96,1.97
31.61,2.00,2.00,0.04,0.04,-0.05,0.04,0.08,1.95,1.96,1.96
31.93,1.98,1.99,0.03,0.04,-0.04,0.05,0.09,1.95,1.95,1.95
32.24,1.97,1.97,0.03,0.03,-0.02,0.06,0.10,1.95,1.94,1.94
32.57,1.95,1.95,0.02,0.02,-0.01,0.07,0.11,1.94,1.94,1.94
32.89,1.93,1.93,-0.00,0.00,-0.00,0.08,0.12,1.93,1.93,1.93
33.22,1.91,1.91,-0.01,-0.01,0.01,0.09,0.13,1.92,1.92,1.92
33.55,1.89,1.89,-0.03,-0.02,0.02,0.10,0.14,1.91,1.91,1.92
33.89,1.87,1.87,-0.03,-0.04,0.04,0.11,0.15,1.91,1.91,1.90
34.23,1.84,1.85,-0.06,-0.05,0.05,0.12,0.16,1.89,1.90,1.90
34.57,1.82,1.82,-0.07,-0.07,0.07,0.13,0.18,1.89,1.89,1.89
34.92,1.80,1.80,-0.07,-0.08,0.08,0.14,0.19,1.88,1.88,1.88
35.27,1.77,1.77,-0.10,-0.09,0.10,0.15,0.20,1.87,1.87,1.87
35.62,1.74,1.75,-0.12,-0.11,0.11,0.16,0.22,1.85,1.86,1.86
35.97,1.72,1.72,-0.12,-0.13,0.13,0.17,0.23,1.85,1.85,1.84
36.33,1.69,1.69,-0.15,-0.14,0.15,0.19,0.25,1.84,1.84,1.84
36.70,1.66,1.66,-0.17,-0.17,0.17,0.20,0.26,1.83,1.83,1.83
37.06,1.63,1.63,-0.18,-0.19,0.19,0.21,0.28,1.82,1.82,1.81
37.43,1.59,1.59,-0.22,-0.21,0.21,0.22,0.29,1.80,1.80,1.81
37.81,1.56,1.56,-0.23,-0.23,0.23,0.24,0.31,1.79,1.79,1.79
38.19,1.53,1.53,-0.25,-0.25,0.25,0.25,0.33,1.78,1.78,1.78
38.57,1.50,1.50,-0.27,-0.27,0.27,0.26,0.35,1.77,1.77,1.78
38.95,1.47,1.47,-0.29,-0.29,0.29,0.28,0.37,1.76,1.76,1.76
39.34,1.44,1.44,-0.30,-0.31,0.31,0.29,0.38,1.75,1.75,1.75
39.74,1.41,1.41,-0.32,-0.32,0.32,0.30,0.40,1.74,1.74,1.73
40.14,1.38,1.38,-0.34,-0.34,0.34,0.32,0.42,1.72,1.72,1.72
40.54,1.35,1.35,-0.36,-0.36,0.36,0.33,0.44,1.72,1.71,1.71
40.94,1.31,1.32,-0.39,-0.38,0.39,0.35,0.46,1.70,1.70,1.70
41.35,1.28,1.28,-0.41,-0.41,0.41,0.36,0.48,1.69,1.69,1.69
41.76,1.25,1.25,-0.43,-0.43,0.44,0.38,0.50,1.69,1.68,1.68
42.18,1.21,1.21,-0.46,-0.46,0.46,0.40,0.53,1.67,1.67,1.67
42.60,1.17,1.17,-0.49,-0.49,0.49,0.41,0.55,1.66,1.66,1.66
43.03,1.13,1.13,-0.52,-0.52,0.51,0.43,0.57,1.64,1.64,1.65
43.46,1.09,1.09,-0.54,-0.54,0.53,0.45,0.59,1.63,1.63,1.63
43.90,1.05,1.05,-0.55,-0.56,0.56,0.46,0.62,1.61,1.61,1.61
44.33,1.01,1.01,-0.58,-0.58,0.58,0.48,0.64,1.59,1.59,1.59
44.78,0.97,0.97,-0.60,-0.60,0.60,0.50,0.67,1.57,1.57,1.57
45.23,0.93,0.93,-0.62,-0.62,0.62,0.52,0.69,1.56,1.56,1.55
45.68,0.89,0.89,-0.64,-0.64,0.65,0.54,0.72,1.54,1.54,1.53
46.13,0.85,0.85,-0.66,-0.67,0.67,0.56,0.74,1.52,1.52,1.51
46.60,0.81,0.81,-0.69,-0.69,0.69,0.58,0.77,1.50,1.50,1.51
47.06,0.77,0.77,-0.71,-0.71,0.71,0.60,0.80,1.48,1.48,1.49
47.53,0.73,0.73,-0.73,-0.74,0.73,0.62,0.83,1.46,1.46,1.47
48.01,0.69,0.69,-0.76,-0.76,0.75,0.64,0.85,1.44,1.44,1.46
48.49,0.65,0.65,-0.77,-0.77,0.76,0.66,0.88,1.41,1.42,1.42
