frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,17.95,17.95,9.88,9.88,-9.99,-10.00,-5.60,7.96,7.96,8.07
20.20,18.03,18.03,9.96,9.96,-9.98,-10.06,-5.74,8.05,8.05,8.07
20.40,18.10,18.09,10.03,10.02,-9.98,-10.11,-5.88,8.12,8.12,8.07
20.61,18.14,18.14,10.07,10.07,-9.99,-10.18,-6.04,8.15,8.15,8.07
20.81,18.16,18.16,10.09,10.09,-10.00,-10.24,-6.19,8.16,8.16,8.07
21.02,18.16,18.16,10.09,10.09,-10.03,-10.30,-6.34,8.13,8.13,8.07
21.23,18.16,18.16,10.09,10.09,-10.07,-10.36,-6.50,8.09,8.09,8.07
21.44,18.16,18.17,10.09,10.10,-10.12,-10.42,-6.67,8.05,8.05,8.07
21.66,18.19,18.19,10.12,10.12,-10.15,-10.48,-6.84,8.04,8.04,8.07
21.87,18.23,18.24,10.17,10.17,-10.21,-10.55,-7.02,8.03,8.03,8.07
22.09,18.31,18.31,10.25,10.25,-10.28,-10.61,-7.19,8.03,8.03,8.07
22.31,18.42,18.42,10.36,10.35,-10.38,-10.67,-7.38,8.04,8.04,8.07
22.54,18.55,18.55,10.48,10.49,-10.50,-10.74,-7.56,8.04,8.05,8.06
22.76,18.70,18.70,10.64,10.64,-10.64,-10.80,-7.76,8.06,8.06,8.06
22.99,18.86,18.86,10.80,10.79,-10.78,-10.86,-7.96,8.08,8.07,8.06
23.22,19.00,19.00,10.94,10.94,-10.92,-10.93,-8.16,8.08,8.08,8.06
23.45,19.14,19.14,11.08,11.08,-11.05,-10.99,-8.37,8.09,8.08,8.06
23.69,19.25,19.25,11.19,11.19,-11.17,-11.06,-8.58,8.08,8.08,8.06
23.92,19.35,19.35,11.29,11.29,-11.27,-11.13,-8.80,8.08,8.08,8.06
24.16,19.43,19.43,11.37,11.37,-11.35,-11.19,-9.03,8.08,8.08,8.06
24.40,19.48,19.48,11.43,11.43,-11.41,-11.26,-9.25,8.07,8.07,8.06
24.65,19.52,19.52,11.47,11.47,-11.46,-11.33,-9.49,8.06,8.06,8.05
24.89,19.55,19.55,11.50,11.50,-11.50,-11.39,-9.72,8.05,8.05,8.05
25.14,19.58,19.58,11.53,11.53,-11.54,-11.46,-9.97,8.04,8.04,8.05
25.39,19.61,19.62,11.56,11.57,-11.58,-11.53,-10.21,8.04,8.04,8.05
25.65,19.66,19.66,11.61,11.61,-11.62,-11.60,-10.46,8.04,8.04,8.05
25.91,19.71,19.71,11.66,11.66,-11.67,-11.67,-10.72,8.04,8.04,8.05
26.16,19.77,19.77,11.73,11.73,-11.73,-11.73,-10.97,8.04,8.04,8.05
26.43,19.84,19.84,11.80,11.80,-11.81,-11.80,-11.23,8.03,8.04,8.04
26.69,19.93,19.93,11.89,11.89,-11.90,-11.87,-11.49,8.03,8.03,8.04
26.96,20.03,20.03,11.99,11.99,-12.00,-11.94,-11.75,8.03,8.03,8.04
27.23,20.14,20.14,12.10,12.10,-12.11,-12.01,-12.01,8.02,8.03,8.04
27.50,20.26,20.26,12.22,12.23,-12.23,-12.08,-12.27,8.03,8.03,8.04
27.77,20.39,20.39,12.36,12.36,-12.36,-12.15,-12.52,8.03,8.03,8.04
28.05,20.52,20.52,12.49,12.49,-12.48,-12.22,-12.78,8.04,8.04,8.03
28.33,20.64,20.64,12.61,12.61,-12.60,-12.29,-13.02,8.05,8.05,8.03
28.62,20.75,20.75,12.72,12.72,-12.70,-12.36,-13.25,8.05,8.05,8.03
28.90,20.84,20.84,12.81,12.81,-12.79,-12.43,-13.47,8.05,8.04,8.03
29.19,20.91,20.91,12.89,12.89,-12.87,-12.50,-13.69,8.04,8.04,8.02
29.48,20.97,20.97,12.95,12.95,-12.94,-12.56,-13.88,8.04,8.03,8.02
29.78,21.01,21.01,12.99,12.99,-12.99,-12.63,-14.07,8.02,8.02,8.02
30.08,21.04,21.04,13.02,13.03,-13.03,-12.70,-14.22,8.01,8.02,8.02
30.38,21.07,21.07,13.06,13.05,-13.06,-12.77,-14.37,8.01,8.01,8.01
30.68,21.09,21.09,13.08,13.08,-13.09,-12.84,-14.48,8.00,8.00,8.01
