frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.83,5.83,0.21,0.21,-0.21,-0.77,-0.57,5.62,5.62,5.62
20.20,5.91,5.91,0.29,0.29,-0.29,-0.78,-0.59,5.62,5.62,5.62
20.40,5.99,5.98,0.37,0.37,-0.37,-0.79,-0.61,5.62,5.62,5.62
20.61,6.06,6.06,0.44,0.44,-0.44,-0.80,-0.63,5.62,5.62,5.62
20.81,6.13,6.13,0.51,0.51,-0.51,-0.82,-0.65,5.62,5.62,5.62
21.02,6.19,6.19,0.57,0.58,-0.58,-0.83,-0.67,5.61,5.61,5.62
21.23,6.26,6.26,0.64,0.64,-0.64,-0.84,-0.69,5.61,5.61,5.62
21.44,6.32,6.32,0.70,0.70,-0.70,-0.85,-0.71,5.61,5.61,5.61
21.66,6.38,6.38,0.76,0.76,-0.76,-0.87,-0.73,5.61,5.61,5.61
21.87,6.43,6.43,0.82,0.82,-0.82,-0.88,-0.75,5.61,5.61,5.61
22.09,6.49,6.49,0.88,0.87,-0.87,-0.90,-0.77,5.62,5.61,5.61
22.31,6.54,6.54,0.93,0.92,-0.92,-0.91,-0.80,5.62,5.62,5.61
22.54,6.58,6.58,0.97,0.97,-0.96,-0.93,-0.82,5.61,5.62,5.61
22.76,6.62,6.62,1.01,1.01,-1.00,-0.94,-0.85,5.61,5.61,5.61
22.99,6.65,6.65,1.04,1.04,-1.04,-0.96,-0.87,5.61,5.61,5.61
23.22,6.68,6.68,1.07,1.07,-1.07,-0.98,-0.90,5.61,5.61,5.61
23.45,6.71,6.71,1.10,1.10,-1.10,-1.00,-0.92,5.60,5.60,5.61
23.69,6.74,6.73,1.13,1.13,-1.13,-1.01,-0.95,5.60,5.60,5.61
23.92,6.76,6.76,1.15,1.16,-1.16,-1.03,-0.98,5.60,5.60,5.60
24.16,6.79,6.79,1.18,1.18,-1.19,-1.05,-1.00,5.60,5.60,5.60
24.40,6.82,6.81,1.22,1.21,-1.21,-1.07,-1.03,5.60,5.60,5.60
24.65,6.84,6.84,1.24,1.24,-1.24,-1.09,-1.06,5.60,5.60,5.60
24.89,6.87,6.87,1.27,1.27,-1.26,-1.11,-1.09,5.60,5.60,5.60
25.14,6.89,6.89,1.29,1.29,-1.29,-1.13,-1.12,5.60,5.60,5.60
25.39,6.91,6.91,1.31,1.31,-1.31,-1.16,-1.15,5.60,5.60,5.60
25.65,6.92,6.92,1.32,1.33,-1.33,-1.18,-1.18,5.59,5.60,5.60
25.91,6.94,6.94,1.34,1.34,-1.34,-1.20,-1.21,5.60,5.59,5.59
26.16,6.95,6.95,1.36,1.35,-1.36,-1.22,-1.23,5.59,5.59,5.59
26.43,6.96,6.96,1.37,1.37,-1.37,-1.24,-1.26,5.59,5.59,5.59
26.69,6.97,6.97,1.38,1.38,-1.38,-1.26,-1.29,5.59,5.59,5.59
26.96,6.98,6.98,1.39,1.39,-1.39,-1.28,-1.32,5.59,5.59,5.59
27.23,6.99,6.99,1.40,1.40,-1.40,-1.30,-1.34,5.59,5.59,5.59
27.50,7.00,6.99,1.41,1.41,-1.41,-1.32,-1.37,5.59,5.59,5.58
27.77,7.00,7.00,1.42,1.42,-1.41,-1.34,-1.39,5.58,5.58,5.58
28.05,7.00,7.00,1.42,1.42,-1.42,-1.36,-1.42,5.58,5.58,5.58
28.33,7.00,7.00,1.42,1.42,-1.42,-1.38,-1.44,5.58,5.58,5.58
28.62,7.00,7.00,1.42,1.42,-1.42,-1.39,-1.46,5.57,5.57,5.58
28.90,7.00,7.00,1.42,1.42,-1.42,-1.41,-1.48,5.57,5.57,5.57
29.19,7.00,7.00,1.43,1.42,-1.42,-1.42,-1.50,5.57,5.57,5.57
29.48,6.99,6.99,1.42,1.42,-1.42,-1.43,-1.51,5.57,5.57,5.57
29.78,6.99,6.98,1.42,1.42,-1.42,-1.44,-1.52,5.57,5.57,5.57
30.08,6.98,6.98,1.41,1.41,-1.42,-1.45,-1.53,5.56,5.56,5.56
30.38,6.97,6.97,1.41,1.41,-1.41,-1.45,-1.54,5.56,5.56,5.56
