frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.73,9.73,2.34,2.35,-2.34,-2.20,-1.13,7.38,7.39,7.39
20.20,9.72,9.71,2.33,2.33,-2.33,-2.21,-1.16,7.39,7.39,7.38
20.40,9.70,9.70,2.31,2.31,-2.31,-2.21,-1.20,7.38,7.38,7.38
20.61,9.69,9.69,2.30,2.30,-2.30,-2.21,-1.23,7.39,7.38,7.38
20.81,9.67,9.67,2.29,2.29,-2.29,-2.22,-1.27,7.38,7.38,7.38
21.02,9.67,9.66,2.29,2.28,-2.28,-2.22,-1.31,7.38,7.38,7.38
21.23,9.66,9.65,2.28,2.27,-2.28,-2.22,-1.35,7.38,7.38,7.38
21.44,9.65,9.65,2.27,2.27,-2.27,-2.23,-1.39,7.37,7.38,7.38
21.66,9.65,9.65,2.27,2.27,-2.27,-2.23,-1.43,7.37,7.38,7.38
21.87,9.66,9.65,2.28,2.28,-2.28,-2.24,-1.47,7.38,7.38,7.38
22.09,9.66,9.66,2.28,2.28,-2.28,-2.24,-1.51,7.38,7.38,7.38
22.31,9.67,9.67,2.29,2.29,-2.29,-2.25,-1.56,7.38,7.38,7.38
22.54,9.67,9.67,2.29,2.29,-2.29,-2.25,-1.60,7.37,7.38,7.38
22.76,9.68,9.68,2.30,2.30,-2.30,-2.25,-1.65,7.38,7.38,7.38
22.99,9.68,9.68,2.30,2.31,-2.30,-2.26,-1.70,7.37,7.38,7.37
23.22,9.69,9.69,2.31,2.31,-2.31,-2.27,-1.75,7.38,7.38,7.37
23.45,9.69,9.69,2.32,2.31,-2.31,-2.27,-1.80,7.38,7.38,7.37
23.69,9.69,9.69,2.32,2.32,-2.31,-2.28,-1.85,7.37,7.37,7.37
23.92,9.69,9.69,2.32,2.32,-2.32,-2.28,-1.90,7.37,7.37,7.37
24.16,9.69,9.69,2.32,2.32,-2.32,-2.29,-1.96,7.37,7.37,7.37
24.40,9.69,9.69,2.32,2.32,-2.32,-2.30,-2.01,7.36,7.36,7.37
24.65,9.69,9.69,2.32,2.32,-2.33,-2.30,-2.06,7.36,7.36,7.37
24.89,9.70,9.70,2.33,2.33,-2.34,-2.31,-2.12,7.36,7.36,7.36
25.14,9.71,9.71,2.34,2.34,-2.35,-2.32,-2.17,7.36,7.36,7.36
25.39,9.72,9.72,2.36,2.36,-2.36,-2.33,-2.23,7.36,7.36,7.36
25.65,9.73,9.73,2.37,2.37,-2.37,-2.33,-2.29,7.36,7.36,7.36
25.91,9.75,9.74,2.39,2.38,-2.38,-2.34,-2.34,7.36,7.36,7.36
26.16,9.76,9.76,2.40,2.40,-2.40,-2.35,-2.40,7.36,7.36,7.36
26.43,9.77,9.77,2.41,2.41,-2.41,-2.36,-2.45,7.36,7.36,7.36
26.69,9.78,9.78,2.42,2.42,-2.42,-2.37,-2.51,7.36,7.36,7.35
26.96,9.79,9.79,2.43,2.43,-2.43,-2.38,-2.56,7.36,7.35,7.35
27.23,9.79,9.79,2.44,2.44,-2.44,-2.39,-2.61,7.35,7.35,7.35
27.50,9.80,9.79,2.45,2.45,-2.45,-2.40,-2.67,7.35,7.35,7.35
27.77,9.80,9.80,2.45,2.45,-2.46,-2.41,-2.71,7.34,7.35,7.35
28.05,9.81,9.81,2.46,2.46,-2.46,-2.42,-2.76,7.34,7.34,7.35
28.33,9.82,9.81,2.47,2.47,-2.47,-2.44,-2.81,7.35,7.34,7.34
28.62,9.82,9.82,2.48,2.48,-2.48,-2.45,-2.85,7.34,7.34,7.34
