frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.48,14.48,6.62,6.62,-6.63,-5.34,-2.57,7.85,7.85,7.86
20.20,14.46,14.47,6.60,6.61,-6.62,-5.34,-2.64,7.85,7.85,7.86
20.40,14.45,14.46,6.60,6.60,-6.60,-5.34,-2.72,7.86,7.86,7.86
20.61,14.44,14.44,6.59,6.58,-6.58,-5.34,-2.80,7.87,7.86,7.86
20.81,14.42,14.42,6.57,6.57,-6.56,-5.33,-2.87,7.87,7.87,7.86
21.02,14.39,14.40,6.54,6.54,-6.53,-5.33,-2.96,7.86,7.87,7.86
21.23,14.37,14.37,6.52,6.51,-6.50,-5.33,-3.04,7.87,7.86,7.86
21.44,14.33,14.33,6.48,6.48,-6.47,-5.33,-3.13,7.86,7.86,7.85
21.66,14.29,14.30,6.44,6.44,-6.44,-5.33,-3.22,7.86,7.86,7.85
21.87,14.25,14.25,6.40,6.40,-6.40,-5.33,-3.31,7.86,7.86,7.85
22.09,14.21,14.21,6.36,6.36,-6.35,-5.33,-3.41,7.86,7.85,7.85
22.31,14.16,14.17,6.31,6.31,-6.32,-5.32,-3.51,7.85,7.85,7.85
22.54,14.12,14.13,6.27,6.27,-6.28,-5.32,-3.60,7.84,7.84,7.85
22.76,14.09,14.09,6.24,6.24,-6.25,-5.32,-3.71,7.84,7.84,7.85
22.99,14.06,14.07,6.22,6.22,-6.23,-5.32,-3.81,7.83,7.84,7.85
23.22,14.05,14.06,6.21,6.21,-6.22,-5.32,-3.92,7.84,7.84,7.85
23.45,14.05,14.05,6.21,6.20,-6.21,-5.31,-4.03,7.84,7.84,7.85
23.69,14.05,14.05,6.21,6.21,-6.20,-5.31,-4.14,7.85,7.85,7.85
23.92,14.05,14.05,6.21,6.21,-6.20,-5.31,-4.26,7.85,7.85,7.84
24.16,14.05,14.05,6.21,6.21,-6.20,-5.31,-4.37,7.85,7.85,7.84
24.40,14.04,14.05,6.20,6.21,-6.20,-5.31,-4.49,7.84,7.85,7.84
24.65,14.04,14.04,6.20,6.20,-6.19,-5.30,-4.61,7.85,7.84,7.84
24.89,14.02,14.03,6.18,6.19,-6.19,-5.30,-4.73,7.84,7.84,7.84
25.14,14.01,14.01,6.18,6.17,-6.18,-5.30,-4.86,7.84,7.84,7.84
25.39,13.99,14.00,6.16,6.16,-6.16,-5.30,-4.98,7.83,7.83,7.84
25.65,13.98,13.98,6.15,6.15,-6.15,-5.29,-5.11,7.84,7.83,7.84
25.91,13.96,13.96,6.13,6.13,-6.13,-5.29,-5.23,7.83,7.83,7.83
26.16,13.94,13.94,6.11,6.11,-6.11,-5.29,-5.36,7.83,7.83,7.83
26.43,13.92,13.92,6.09,6.09,-6.09,-5.28,-5.48,7.83,7.83,7.83
26.69,13.90,13.90,6.07,6.08,-6.07,-5.28,-5.61,7.83,7.83,7.83
26.96,13.88,13.88,6.06,6.05,-6.05,-5.28,-5.73,7.83,7.83,7.83
27.23,13.85,13.85,6.03,6.03,-6.03,-5.27,-5.85,7.83,7.83,7.83
27.50,13.82,13.83,6.00,6.00,-6.00,-5.27,-5.96,7.82,7.83,7.82
27.77,13.79,13.79,5.97,5.97,-5.97,-5.27,-6.08,7.82,7.82,7.82
28.05,13.76,13.76,5.94,5.94,-5.94,-5.26,-6.19,7.82,7.82,7.82
28.33,13.72,13.73,5.91,5.91,-5.91,-5.26,-6.29,7.81,7.82,7.82
28.62,13.69,13.69,5.88,5.88,-5.88,-5.26,-6.39,7.82,7.81,7.82
28.90,13.65,13.66,5.84,5.84,-5.85,-5.25,-6.48,7.81,7.81,7.81
29.19,13.62,13.62,5.81,5.81,-5.81,-5.25,-6.57,7.81,7.81,7.81
29.48,13.59,13.59,5.79,5.78,-5.78,-5.24,-6.64,7.81,7.81,7.81
29.78,13.55,13.56,5.75,5.75,-5.75,-5.24,-6.71,7.80,7.81,7.81
30.08,13.52,13.52,5.72,5.72,-5.72,-5.23,-6.77,7.80,7.80,7.80
30.38,13.49,13.49,5.69,5.69,-5.69,-5.23,-6.82,7.80,7.80,7.80
30.68,13.45,13.46,5.66,5.66,-5.66,-5.22,-6.85,7.79,7.80,7.80
30.99,13.42,13.42,5.63,5.63,-5.63,-5.22,-6.89,7.79,7.79,7.79
31.30,13.39,13.39,5.60,5.60,-5.60,-5.21,-6.90,7.79,7.79,7.79
31.61,13.35,13.36,5.57,5.57,-5.57,-5.21,-6.91,7.78,7.79,7.79
31.93,13.32,13.32,5.54,5.54,-5.54,-5.20,-6.91,7.79,7.78,7.78
32.24,13.29,13.29,5.51,5.51,-5.51,-5.19,-6.90,7.78,7.78,7.78
32.57,13.25,13.26,5.48,5.48,-5.48,-5.19,-6.87,7.78,7.78,7.78
32.89,13.22,13.22,5.45,5.45,-5.45,-5.18,-6.84,7.78,7.77,7.77
33.22,13.18,13.19,5.41,5.42,-5.42,-5.17,-6.80,7.77,7.77,7.77
33.55,13.15,13.15,5.39,5.38,-5.38,-5.17,-6.75,7.77,7.77,7.77
33.89,13.11,13.11,5.35,5.35,-5.35,-5.16,-6.69,7.76,7.76,7.76
34.23,13.07,13.08,5.32,5.32,-5.32,-5.15,-6.63,7.75,7.76,7.76
34.57,13.04,13.04,5.29,5.29,-5.29,-5.14,-6.56,7.76,7.75,7.75
34.92,13.00,13.00,5.25,5.25,-5.25,-5.14,-6.49,7.75,7.75,7.75
35.27,12.96,12.96,5.22,5.22,-5.22,-5.13,-6.41,7.75,7.75,7.74
35.62,12.92,12.92,5.18,5.18,-5.18,-5.12,-6.33,7.74,7.74,7.74
35.97,12.88,12.88,5.15,5.15,-5.15,-5.11,-6.24,7.73,7.73,7.73
36.33,12.84,12.84,5.11,5.11,-5.12,-5.10,-6.15,7.73,7.73,7.73
36.70,12.80,12.80,5.08,5.08,-5.08,-5.09,-6.06,7.72,7.72,7.72
37.06,12.76,12.76,5.04,5.05,-5.05,-5.08,-5.97,7.72,7.72,7.72
37.43,12.72,12.72,5.01,5.01,-5.01,-5.07,-5.88,7.71,7.71,7.71
37.81,12.68,12.68,4.98,4.98,-4.98,-5.05,-5.79,7.71,7.71,7.71
38.19,12.64,12.64,4.94,4.94,-4.94,-5.04,-5.70,7.70,7.70,7.70
38.57,12.60,12.60,4.91,4.91,-4.90,-5.03,-5.61,7.70,7.70,7.69
38.95,12.55,12.56,4.87,4.87,-4.87,-5.02,-5.52,7.68,7.69,7.69
39.34,12.51,12.51,4.83,4.83,-4.84,-5.00,-5.44,7.68,7.68,7.68
39.74,12.47,12.47,4.80,4.80,-4.80,-4.99,-5.36,7.67,7.67,7.67
40.14,12.43,12.43,4.77,4.77,-4.77,-4.97,-5.27,7.66,7.66,7.66
40.54,12.39,12.40,4.74,4.74,-4.74,-4.96,-5.20,7.65,7.65,7.66
40.94,12.36,12.36,4.71,4.71,-4.72,-4.94,-5.12,7.65,7.65,7.65
41.35,12.33,12.33,4.69,4.69,-4.69,-4.93,-5.05,7.64,7.64,7.64
41.76,12.30,12.30,4.67,4.67,-4.67,-4.91,-4.98,7.63,7.63,7.63
42.18,12.27,12.27,4.65,4.65,-4.65,-4.89,-4.91,7.62,7.63,7.62
42.60,12.24,12.24,4.63,4.63,-4.63,-4.87,-4.85,7.62,7.62,7.61
43.03,12.21,12.21,4.61,4.61,-4.61,-4.85,-4.79,7.61,7.60,7.60
43.46,12.17,12.18,4.58,4.58,-4.58,-4.83,-4.74,7.59,7.59,7.59
43.90,12.14,12.14,4.56,4.56,-4.56,-4.81,-4.68,7.58,7.58,7.58
44.33,12.11,12.11,4.54,4.54,-4.54,-4.79,-4.64,7.58,7.57,7.57
44.78,12.07,12.08,4.51,4.52,-4.52,-4.77,-4.59,7.56,7.56,7.56
45.23,12.04,12.04,4.49,4.49,-4.49,-4.75,-4.55,7.55,7.55,7.55
45.68,12.00,12.01,4.47,4.47,-4.47,-4.72,-4.51,7.53,7.54,7.54
46.13,11.97,11.97,4.45,4.45,-4.45,-4.70,-4.48,7.52,7.52,7.52
46.60,11.94,11.94,4.43,4.43,-4.43,-4.67,-4.45,7.51,7.51,7.51
47.06,11.90,11.91,4.41,4.41,-4.41,-4.65,-4.42,7.50,7.50,7.50
47.53,11.87,11.87,4.39,4.39,-4.39,-4.62,-4.39,7.49,7.49,7.48
48.01,11.84,11.84,4.37,4.37,-4.37,-4.59,-4.37,7.48,7.47,7.47
48.49,11.80,11.81,4.35,4.35,-4.35,-4.56,-4.35,7.46,7.46,7.46
48.97,11.77,11.77,4.33,4.33,-4.33,-4.54,-4.34,7.45,7.44,7.44
49.46,11.73,11.73,4.31,4.31,-4.31,-4.51,-4.33,7.42,7.42,7.42
49.96,11.69,11.70,4.29,4.29,-4.30,-4.48,-4.32,7.40,7.40,7.41
50.46,11.66,11.67,4.27,4.27,-4.28,-4.45,-4.31,7.38,7.38,7.39
50.96,11.64,11.64,4.27,4.27,-4.27,-4.42,-4.30,7.37,7.37,7.37
51.47,11.61,11.62,4.26,4.26,-4.26,-4.39,-4.30,7.35,7.36,7.36
51.99,11.59,11.59,4.26,4.25,-4.25,-4.35,-4.30,7.34,7.34,7.34
52.51,11.56,11.56,4.25,4.25,-4.24,-4.32,-4.30,7.32,7.32,7.32
53.03,11.53,11.53,4.24,4.24,-4.24,-4.29,-4.30,7.30,7.30,7.30
53.56,11.50,11.50,4.23,4.23,-4.23,-4.26,-4.30,7.28,7.28,7.28
54.10,11.47,11.47,4.22,4.22,-4.22,-4.23,-4.30,7.26,7.26,7.26
54.64,11.44,11.44,4.21,4.21,-4.21,-4.21,-4.30,7.24,7.23,7.23
55.18,11.40,11.41,4.19,4.20,-4.19,-4.18,-4.30,7.21,7.21,7.21
55.74,11.37,11.37,4.19,4.18,-4.18,-4.15,-4.30,7.19,7.19,7.19
56.29,11.33,11.33,4.17,4.17,-4.17,-4.13,-4.31,7.16,7.16,7.16
56.86,11.29,11.29,4.16,4.16,-4.16,-4.10,-4.31,7.14,7.14,7.14
57.42,11.25,11.25,4.14,4.14,-4.14,-4.08,-4.30,7.11,7.11,7.11
58.00,11.21,11.21,4.13,4.13,-4.13,-4.06,-4.30,7.09,7.09,7.09
58.58,11.17,11.17,4.11,4.11,-4.11,-4.04,-4.30,7.06,7.06,7.06
59.16,11.13,11.13,4.10,4.10,-4.10,-4.02,-4.29,7.03,7.03,7.03
59.76,11.09,11.09,4.09,4.09,-4.09,-4.01,-4.28,7.01,7.00,7.00
60.35,11.04,11.05,4.07,4.07,-4.07,-3.99,-4.27,6.97,6.97,6.97
60.96,11.00,11.00,4.06,4.06,-4.06,-3.98,-4.25,6.94,6.94,6.94
61.57,10.95,10.96,4.04,4.05,-4.05,-3.97,-4.24,6.91,6.91,6.91
62.18,10.91,10.91,4.03,4.03,-4.03,-3.95,-4.21,6.88,6.88,6.88
