frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.97,11.96,4.78,4.78,-4.79,-4.88,-2.67,7.18,7.18,7.18
20.20,12.02,12.02,4.83,4.83,-4.84,-4.89,-2.75,7.18,7.18,7.18
20.40,12.07,12.07,4.88,4.88,-4.88,-4.91,-2.83,7.18,7.18,7.18
20.61,12.11,12.11,4.93,4.93,-4.93,-4.93,-2.91,7.19,7.18,7.18
20.81,12.16,12.16,4.98,4.98,-4.97,-4.95,-2.99,7.18,7.18,7.18
21.02,12.20,12.20,5.02,5.02,-5.01,-4.96,-3.08,7.18,7.18,7.18
21.23,12.24,12.24,5.06,5.06,-5.05,-4.98,-3.16,7.18,7.18,7.18
21.44,12.28,12.27,5.10,5.09,-5.09,-5.00,-3.25,7.18,7.18,7.18
21.66,12.30,12.31,5.13,5.13,-5.13,-5.02,-3.35,7.18,7.18,7.18
21.87,12.34,12.34,5.16,5.16,-5.16,-5.04,-3.44,7.17,7.17,7.18
22.09,12.37,12.37,5.19,5.19,-5.19,-5.07,-3.54,7.17,7.17,7.18
22.31,12.40,12.40,5.22,5.22,-5.23,-5.09,-3.64,7.17,7.17,7.17
22.54,12.43,12.43,5.26,5.26,-5.26,-5.11,-3.74,7.18,7.17,7.17
22.76,12.47,12.46,5.29,5.29,-5.29,-5.13,-3.85,7.18,7.17,7.17
22.99,12.50,12.50,5.32,5.32,-5.32,-5.16,-3.96,7.17,7.17,7.17
23.22,12.53,12.53,5.35,5.35,-5.35,-5.18,-4.07,7.17,7.17,7.17
23.45,12.56,12.56,5.39,5.39,-5.39,-5.21,-4.18,7.17,7.17,7.17
23.69,12.58,12.59,5.42,5.42,-5.42,-5.23,-4.30,7.17,7.17,7.17
23.92,12.62,12.62,5.45,5.45,-5.45,-5.26,-4.42,7.17,7.17,7.17
24.16,12.65,12.65,5.48,5.48,-5.48,-5.28,-4.54,7.17,7.17,7.17
24.40,12.68,12.68,5.51,5.51,-5.51,-5.31,-4.66,7.17,7.17,7.17
24.65,12.71,12.71,5.54,5.54,-5.54,-5.34,-4.79,7.17,7.16,7.16
24.89,12.74,12.73,5.57,5.57,-5.57,-5.37,-4.91,7.17,7.16,7.16
25.14,12.76,12.76,5.59,5.60,-5.60,-5.40,-5.04,7.16,7.16,7.16
