frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.81,10.81,5.61,5.61,-5.63,-4.96,-2.09,5.18,5.18,5.20
20.20,10.79,10.79,5.59,5.60,-5.60,-4.96,-2.16,5.19,5.19,5.20
20.40,10.77,10.77,5.57,5.58,-5.57,-4.95,-2.22,5.20,5.20,5.20
20.61,10.75,10.74,5.56,5.55,-5.54,-4.95,-2.28,5.21,5.21,5.19
20.81,10.71,10.71,5.52,5.52,-5.51,-4.94,-2.35,5.20,5.21,5.19
21.02,10.68,10.68,5.49,5.48,-5.48,-4.94,-2.42,5.20,5.20,5.19
21.23,10.64,10.64,5.45,5.45,-5.44,-4.93,-2.49,5.20,5.20,5.19
21.44,10.60,10.60,5.41,5.41,-5.41,-4.93,-2.56,5.19,5.19,5.19
21.66,10.56,10.56,5.37,5.37,-5.37,-4.92,-2.64,5.19,5.19,5.19
21.87,10.51,10.52,5.32,5.33,-5.33,-4.92,-2.72,5.18,5.19,5.19
22.09,10.48,10.48,5.29,5.29,-5.29,-4.91,-2.79,5.19,5.19,5.19
22.31,10.44,10.44,5.25,5.25,-5.26,-4.91,-2.88,5.18,5.18,5.19
22.54,10.41,10.41,5.22,5.22,-5.22,-4.90,-2.96,5.19,5.18,5.19
22.76,10.37,10.37,5.18,5.19,-5.19,-4.89,-3.05,5.18,5.18,5.19
22.99,10.34,10.34,5.15,5.16,-5.16,-4.89,-3.13,5.18,5.18,5.19
23.22,10.32,10.32,5.14,5.13,-5.13,-4.88,-3.22,5.19,5.19,5.18
23.45,10.29,10.29,5.11,5.10,-5.10,-4.87,-3.31,5.19,5.19,5.18
23.69,10.25,10.25,5.07,5.07,-5.07,-4.87,-3.41,5.18,5.19,5.18
23.92,10.22,10.22,5.04,5.04,-5.03,-4.86,-3.50,5.19,5.18,5.18
24.16,10.18,10.18,5.00,5.00,-5.00,-4.85,-3.60,5.18,5.18,5.18
24.40,10.14,10.14,4.96,4.96,-4.96,-4.84,-3.70,5.18,5.18,5.18
24.65,10.10,10.10,4.92,4.92,-4.92,-4.84,-3.80,5.18,5.18,5.18
24.89,10.06,10.06,4.88,4.88,-4.87,-4.83,-3.90,5.18,5.18,5.18
25.14,10.01,10.01,4.83,4.83,-4.83,-4.82,-4.00,5.18,5.18,5.18
25.39,9.96,9.96,4.79,4.79,-4.79,-4.81,-4.11,5.17,5.17,5.17
25.65,9.92,9.92,4.75,4.75,-4.75,-4.80,-4.21,5.17,5.17,5.17
25.91,9.88,9.88,4.71,4.71,-4.72,-4.79,-4.31,5.16,5.16,5.17
26.16,9.85,9.85,4.68,4.68,-4.69,-4.78,-4.41,5.16,5.16,5.17
26.43,9.82,9.82,4.65,4.65,-4.66,-4.77,-4.52,5.16,5.16,5.17
26.69,9.80,9.80,4.63,4.63,-4.64,-4.76,-4.62,5.16,5.16,5.17
26.96,9.78,9.78,4.62,4.62,-4.61,-4.75,-4.72,5.17,5.17,5.16
27.23,9.76,9.76,4.60,4.60,-4.59,-4.74,-4.81,5.17,5.17,5.16
27.50,9.74,9.74,4.58,4.58,-4.57,-4.73,-4.91,5.17,5.17,5.16
27.77,9.71,9.71,4.55,4.55,-4.55,-4.72,-5.00,5.16,5.16,5.16
28.05,9.68,9.68,4.52,4.52,-4.52,-4.71,-5.09,5.16,5.16,5.16
28.33,9.65,9.65,4.50,4.50,-4.50,-4.70,-5.17,5.15,5.15,5.15
28.62,9.63,9.63,4.48,4.47,-4.48,-4.69,-5.24,5.15,5.15,5.15
28.90,9.60,9.60,4.45,4.45,-4.46,-4.68,-5.31,5.14,5.15,5.15
29.19,9.58,9.58,4.43,4.44,-4.44,-4.66,-5.38,5.14,5.14,5.15
29.48,9.57,9.57,4.42,4.42,-4.42,-4.65,-5.44,5.15,5.14,5.15
29.78,9.55,9.55,4.41,4.41,-4.41,-4.64,-5.49,5.14,5.14,5.14
30.08,9.54,9.54,4.40,4.40,-4.40,-4.62,-5.53,5.14,5.14,5.14
30.38,9.53,9.53,4.39,4.39,-4.39,-4.61,-5.56,5.14,5.14,5.14
30.68,9.51,9.51,4.38,4.38,-4.38,-4.59,-5.59,5.13,5.14,5.13
30.99,9.50,9.50,4.37,4.37,-4.37,-4.58,-5.61,5.13,5.13,5.13
31.30,9.48,9.48,4.35,4.35,-4.35,-4.56,-5.61,5.13,5.13,5.13
31.61,9.47,9.47,4.34,4.34,-4.34,-4.55,-5.61,5.13,5.12,5.13
31.93,9.45,9.45,4.33,4.33,-4.33,-4.53,-5.60,5.12,5.12,5.12
32.24,9.43,9.43,4.31,4.32,-4.32,-4.52,-5.58,5.11,5.12,5.12
32.57,9.42,9.42,4.30,4.30,-4.30,-4.50,-5.55,5.12,5.12,5.12
32.89,9.40,9.40,4.29,4.29,-4.28,-4.48,-5.52,5.12,5.11,5.11
33.22,9.38,9.38,4.27,4.27,-4.27,-4.46,-5.47,5.11,5.11,5.11
33.55,9.35,9.35,4.25,4.25,-4.25,-4.44,-5.42,5.10,5.10,5.10
33.89,9.33,9.33,4.23,4.23,-4.23,-4.42,-5.36,5.10,5.10,5.10
34.23,9.30,9.30,4.20,4.21,-4.21,-4.40,-5.30,5.09,5.09,5.10
34.57,9.28,9.28,4.19,4.19,-4.19,-4.38,-5.23,5.09,5.09,5.09
34.92,9.25,9.25,4.16,4.17,-4.17,-4.36,-5.15,5.08,5.09,5.09
35.27,9.23,9.23,4.15,4.15,-4.14,-4.34,-5.07,5.09,5.08,5.08
35.62,9.20,9.20,4.12,4.12,-4.12,-4.32,-4.99,5.08,5.08,5.08
35.97,9.17,9.17,4.10,4.10,-4.10,-4.29,-4.91,5.07,5.08,5.07
36.33,9.14,9.14,4.07,4.07,-4.07,-4.27,-4.82,5.07,5.07,5.07
36.70,9.11,9.11,4.05,4.04,-4.04,-4.25,-4.73,5.07,5.06,5.06
37.06,9.07,9.07,4.01,4.01,-4.02,-4.22,-4.64,5.05,5.05,5.06
37.43,9.03,9.03,3.98,3.98,-3.99,-4.19,-4.54,5.04,5.04,5.05
37.81,9.00,9.00,3.96,3.96,-3.96,-4.17,-4.45,5.04,5.04,5.04
38.19,8.97,8.97,3.93,3.93,-3.93,-4.14,-4.36,5.04,5.03,5.04
38.57,8.93,8.93,3.90,3.90,-3.90,-4.11,-4.26,5.03,5.03,5.03
38.95,8.90,8.90,3.88,3.87,-3.87,-4.08,-4.17,5.03,5.03,5.02
39.34,8.86,8.86,3.84,3.84,-3.83,-4.05,-4.08,5.03,5.02,5.02
39.74,8.81,8.81,3.80,3.80,-3.79,-4.02,-3.99,5.02,5.02,5.01
40.14,8.76,8.76,3.76,3.76,-3.75,-3.99,-3.90,5.01,5.01,5.00
40.54,8.70,8.70,3.71,3.71,-3.71,-3.95,-3.82,4.99,4.99,4.99
40.94,8.65,8.65,3.66,3.66,-3.66,-3.92,-3.73,4.99,4.98,4.99
41.35,8.59,8.59,3.61,3.61,-3.62,-3.88,-3.65,4.97,4.97,4.98
41.76,8.54,8.54,3.57,3.57,-3.57,-3.85,-3.57,4.97,4.97,4.97
42.18,8.49,8.49,3.53,3.53,-3.53,-3.81,-3.49,4.96,4.96,4.96
42.60,8.44,8.44,3.49,3.49,-3.49,-3.77,-3.41,4.95,4.95,4.95
43.03,8.39,8.39,3.45,3.45,-3.46,-3.73,-3.34,4.93,4.93,4.94
43.46,8.35,8.35,3.42,3.42,-3.43,-3.69,-3.26,4.92,4.92,4.93
43.90,8.31,8.31,3.39,3.39,-3.40,-3.65,-3.19,4.91,4.92,4.92
44.33,8.28,8.28,3.37,3.37,-3.37,-3.61,-3.13,4.91,4.91,4.91
44.78,8.24,8.24,3.34,3.34,-3.34,-3.56,-3.06,4.90,4.90,4.90
45.23,8.20,8.20,3.31,3.31,-3.31,-3.52,-3.00,4.89,4.89,4.89
45.68,8.16,8.16,3.29,3.28,-3.27,-3.47,-2.94,4.89,4.89,4.87
46.13,8.11,8.11,3.25,3.25,-3.23,-3.43,-2.88,4.88,4.88,4.86
46.60,8.06,8.06,3.21,3.21,-3.19,-3.38,-2.83,4.87,4.87,4.85
47.06,8.01,8.00,3.17,3.17,-3.16,-3.33,-2.77,4.85,4.84,4.84
47.53,7.95,7.95,3.13,3.12,-3.14,-3.28,-2.72,4.81,4.81,4.82
48.01,7.89,7.89,3.08,3.08,-3.13,-3.23,-2.67,4.76,4.76,4.81
48.49,7.85,7.86,3.06,3.06,-3.13,-3.17,-2.63,4.72,4.73,4.79
48.97,7.85,7.86,3.07,3.08,-3.13,-3.12,-2.58,4.72,4.73,4.78
49.46,7.88,7.89,3.12,3.13,-3.13,-3.06,-2.54,4.75,4.76,4.76
49.96,7.93,7.91,3.18,3.17,-3.12,-3.01,-2.50,4.81,4.80,4.75
50.46,7.90,7.90,3.17,3.17,-3.09,-2.95,-2.46,4.81,4.81,4.73
50.96,7.84,7.83,3.13,3.12,-3.04,-2.89,-2.43,4.80,4.79,4.71
51.47,7.71,7.71,3.02,3.02,-2.98,-2.83,-2.39,4.73,4.73,4.69
51.99,7.56,7.57,2.89,2.89,-2.90,-2.77,-2.36,4.67,4.67,4.67
52.51,7.41,7.42,2.76,2.76,-2.80,-2.71,-2.33,4.61,4.62,4.65
53.03,7.29,7.29,2.65,2.66,-2.70,-2.65,-2.29,4.59,4.59,4.63
53.56,7.18,7.18,2.57,2.57,-2.60,-2.59,-2.27,4.58,4.58,4.61
54.10,7.09,7.09,2.50,2.50,-2.51,-2.53,-2.24,4.58,4.58,4.59
54.64,7.01,7.01,2.44,2.44,-2.45,-2.47,-2.21,4.56,4.56,4.57
55.18,6.94,6.94,2.39,2.39,-2.40,-2.41,-2.18,4.54,4.54,4.55
55.74,6.88,6.88,2.36,2.36,-2.36,-2.35,-2.16,4.52,4.52,4.53
56.29,6.84,6.84,2.34,2.33,-2.34,-2.28,-2.13,4.50,4.50,4.50
56.86,6.79,6.79,2.31,2.32,-2.31,-2.22,-2.11,4.48,4.48,4.48
57.42,6.75,6.75,2.30,2.30,-2.29,-2.16,-2.09,4.46,4.46,4.45
58.00,6.70,6.70,2.28,2.27,-2.26,-2.10,-2.06,4.44,4.43,4.42
58.58,6.64,6.64,2.24,2.25,-2.23,-2.04,-2.04,4.41,4.41,4.40
59.16,6.58,6.58,2.21,2.21,-2.20,-1.99,-2.02,4.38,4.38,4.37
59.76,6.51,6.51,2.17,2.17,-2.16,-1.93,-1.99,4.35,4.35,4.34
60.35,6.43,6.43,2.12,2.12,-2.12,-1.88,-1.97,4.31,4.31,4.31
60.96,6.36,6.35,2.08,2.07,-2.08,-1.82,-1.95,4.29,4.28,4.28
61.57,6.27,6.27,2.02,2.03,-2.03,-1.77,-1.93,4.24,4.24,4.25
62.18,6.19,6.19,1.97,1.98,-1.98,-1.72,-1.91,4.21,4.21,4.22
62.80,6.12,6.11,1.94,1.93,-1.94,-1.68,-1.88,4.18,4.18,4.18
63.43,6.04,6.04,1.89,1.89,-1.90,-1.63,-1.86,4.14,4.14,4.15
64.07,5.97,5.97,1.86,1.86,-1.86,-1.59,-1.84,4.11,4.11,4.11
64.71,5.90,5.90,1.82,1.82,-1.82,-1.55,-1.81,4.08,4.08,4.08
65.35,5.83,5.83,1.79,1.79,-1.79,-1.52,-1.79,4.04,4.04,4.04
66.01,5.76,5.76,1.76,1.76,-1.76,-1.49,-1.77,4.00,4.00,4.00
66.67,5.69,5.69,1.73,1.73,-1.73,-1.46,-1.74,3.96,3.96,3.96
67.33,5.62,5.62,1.70,1.70,-1.70,-1.43,-1.72,3.92,3.93,3.92
68.01,5.55,5.55,1.67,1.67,-1.66,-1.41,-1.70,3.89,3.88,3.88
68.69,5.47,5.47,1.63,1.63,-1.63,-1.39,-1.67,3.84,3.84,3.84
69.37,5.39,5.39,1.59,1.60,-1.59,-1.37,-1.65,3.80,3.80,3.80
70.07,5.31,5.31,1.56,1.56,-1.56,-1.35,-1.63,3.75,3.75,3.75
70.77,5.23,5.23,1.52,1.52,-1.52,-1.34,-1.60,3.71,3.71,3.71
71.48,5.14,5.14,1.48,1.48,-1.48,-1.33,-1.58,3.66,3.66,3.66
72.19,5.06,5.06,1.45,1.44,-1.45,-1.32,-1.56,3.61,3.61,3.61
72.91,4.97,4.97,1.40,1.41,-1.41,-1.32,-1.54,3.56,3.56,3.57
73.64,4.89,4.89,1.37,1.37,-1.38,-1.32,-1.51,3.51,3.51,3.52
74.38,4.81,4.81,1.34,1.34,-1.34,-1.32,-1.49,3.47,3.46,3.47
75.12,4.73,4.73,1.31,1.31,-1.31,-1.32,-1.47,3.42,3.42,3.42
75.87,4.65,4.65,1.29,1.29,-1.28,-1.32,-1.45,3.36,3.36,3.36
76.63,4.57,4.57,1.26,1.26,-1.26,-1.32,-1.43,3.31,3.31,3.31
77.40,4.49,4.49,1.23,1.23,-1.23,-1.33,-1.41,3.26,3.26,3.26
78.17,4.41,4.41,1.21,1.21,-1.21,-1.34,-1.40,3.20,3.20,3.20
78.95,4.33,4.33,1.19,1.19,-1.19,-1.34,-1.38,3.14,3.14,3.14
79.74,4.25,4.25,1.16,1.16,-1.17,-1.35,-1.36,3.08,3.08,3.09
80.54,4.17,4.17,1.14,1.15,-1.15,-1.36,-1.35,3.02,3.02,3.03
81.35,4.10,4.10,1.13,1.13,-1.14,-1.37,-1.33,2.96,2.96,2.97
82.16,4.04,4.04,1.13,1.13,-1.13,-1.38,-1.32,2.91,2.91,2.91
82.98,3.97,3.97,1.12,1.12,-1.12,-1.38,-1.30,2.85,2.85,2.85
83.81,3.90,3.90,1.11,1.12,-1.11,-1.39,-1.29,2.79,2.79,2.79
84.65,3.83,3.83,1.11,1.10,-1.10,-1.40,-1.28,2.73,2.73,2.72
85.50,3.75,3.75,1.09,1.09,-1.09,-1.41,-1.27,2.66,2.66,2.66
86.35,3.67,3.67,1.07,1.08,-1.07,-1.41,-1.26,2.59,2.60,2.59
87.22,3.59,3.59,1.06,1.06,-1.06,-1.42,-1.25,2.53,2.53,2.53
88.09,3.51,3.51,1.05,1.05,-1.05,-1.43,-1.25,2.46,2.46,2.46
88.97,3.43,3.43,1.03,1.03,-1.03,-1.43,-1.24,2.40,2.40,2.40
89.86,3.35,3.35,1.02,1.02,-1.02,-1.43,-1.23,2.33,2.33,2.33
90.76,3.27,3.27,1.01,1.01,-1.01,-1.44,-1.23,2.26,2.26,2.26
91.66,3.19,3.19,1.00,1.00,-1.01,-1.44,-1.22,2.18,2.19,2.19
92.58,3.12,3.12,1.00,1.00,-1.00,-1.44,-1.22,2.12,2.12,2.12
93.51,3.05,3.05,1.00,1.00,-1.00,-1.44,-1.22,2.05,2.05,2.05
94.44,2.99,2.99,1.01,1.00,-1.00,-1.43,-1.22,1.99,1.99,1.98
95.39,2.92,2.92,1.01,1.01,-1.00,-1.43,-1.22,1.92,1.92,1.91
96.34,2.86,2.86,1.02,1.01,-1.00,-1.43,-1.22,1.86,1.85,1.84
97.30,2.78,2.78,1.01,1.01,-1.01,-1.42,-1.22,1.77,1.78,1.77
98.28,2.71,2.71,1.01,1.01,-1.01,-1.42,-1.22,1.70,1.70,1.70
99.26,2.63,2.63,1.00,1.01,-1.01,-1.41,-1.22,1.62,1.62,1.63
100.25,2.56,2.56,1.01,1.01,-1.01,-1.40,-1.22,1.55,1.55,1.55
101.25,2.49,2.49,1.01,1.01,-1.02,-1.39,-1.23,1.47,1.47,1.48
102.27,2.43,2.43,1.02,1.02,-1.02,-1.38,-1.23,1.41,1.40,1.41
103.29,2.37,2.37,1.03,1.03,-1.03,-1.37,-1.23,1.34,1.33,1.34
104.32,2.31,2.31,1.05,1.05,-1.05,-1.36,-1.24,1.26,1.26,1.26
105.37,2.25,2.25,1.06,1.06,-1.06,-1.35,-1.24,1.19,1.19,1.19
106.42,2.19,2.19,1.07,1.08,-1.08,-1.34,-1.25,1.11,1.12,1.12
107.48,2.14,2.13,1.10,1.09,-1.09,-1.32,-1.25,1.05,1.04,1.04
108.56,2.07,2.07,1.10,1.10,-1.10,-1.31,-1.25,0.97,0.97,0.97
109.64,2.01,2.01,1.11,1.11,-1.11,-1.30,-1.26,0.90,0.90,0.90
110.74,1.95,1.95,1.12,1.12,-1.12,-1.28,-1.26,0.83,0.83,0.82
111.85,1.88,1.88,1.13,1.13,-1.12,-1.27,-1.26,0.76,0.76,0.75
112.97,1.81,1.81,1.13,1.13,-1.13,-1.25,-1.27,0.68,0.68,0.68
114.10,1.74,1.74,1.13,1.13,-1.13,-1.23,-1.27,0.61,0.61,0.61
115.24,1.67,1.67,1.13,1.13,-1.13,-1.22,-1.27,0.54,0.53,0.54
116.39,1.60,1.60,1.13,1.13,-1.14,-1.20,-1.27,0.46,0.46,0.47
117.55,1.53,1.53,1.13,1.14,-1.14,-1.19,-1.27,0.39,0.39,0.40
118.73,1.47,1.47,1.14,1.14,-1.15,-1.17,-1.26,0.32,0.32,0.33
119.92,1.41,1.41,1.15,1.15,-1.15,-1.15,-1.26,0.26,0.26,0.26
121.12,1.35,1.35,1.16,1.16,-1.15,-1.14,-1.26,0.20,0.19,0.19
122.33,1.28,1.28,1.16,1.16,-1.16,-1.12,-1.25,0.12,0.13,0.12
123.55,1.22,1.22,1.17,1.16,-1.16,-1.11,-1.24,0.06,0.06,0.05
124.79,1.15,1.15,1.16,1.16,-1.16,-1.09,-1.23,-0.01,-0.01,-0.01
126.03,1.07,1.07,1.15,1.15,-1.16,-1.07,-1.22,-0.09,-0.09,-0.08
127.29,1.00,1.00,1.15,1.15,-1.16,-1.06,-1.21,-0.16,-0.16,-0.15
128.57,0.94,0.94,1.15,1.15,-1.16,-1.05,-1.20,-0.22,-0.22,-0.21
129.85,0.88,0.88,1.15,1.15,-1.15,-1.03,-1.18,-0.28,-0.28,-0.27
131.15,0.82,0.82,1.16,1.16,-1.15,-1.02,-1.17,-0.33,-0.33,-0.34
132.46,0.75,0.75,1.15,1.15,-1.14,-1.01,-1.15,-0.39,-0.39,-0.40
133.79,0.68,0.68,1.14,1.14,-1.13,-0.99,-1.13,-0.45,-0.45,-0.46
135.12,0.60,0.60,1.12,1.12,-1.11,-0.98,-1.11,-0.51,-0.51,-0.52
136.48,0.52,0.52,1.10,1.10,-1.09,-0.97,-1.09,-0.57,-0.58,-0.58
137.84,0.43,0.43,1.07,1.07,-1.07,-0.96,-1.07,-0.64,-0.64,-0.64
139.22,0.35,0.35,1.05,1.05,-1.05,-0.95,-1.05,-0.70,-0.70,-0.70
140.61,0.28,0.27,1.03,1.03,-1.03,-0.94,-1.02,-0.75,-0.76,-0.75
142.02,0.20,0.20,1.01,1.01,-1.02,-0.93,-1.00,-0.82,-0.82,-0.81
143.44,0.13,0.13,0.99,1.00,-1.02,-0.92,-0.98,-0.89,-0.88,-0.86
