frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.24,9.23,3.68,3.68,-3.62,-4.35,-2.15,5.61,5.61,5.56
20.20,9.29,9.29,3.73,3.73,-3.72,-4.36,-2.22,5.56,5.56,5.56
20.40,9.35,9.35,3.79,3.79,-3.82,-4.37,-2.28,5.53,5.53,5.56
20.61,9.41,9.42,3.86,3.86,-3.91,-4.37,-2.35,5.51,5.51,5.56
20.81,9.51,9.50,3.95,3.95,-3.99,-4.38,-2.41,5.52,5.52,5.55
21.02,9.60,9.60,4.04,4.04,-4.06,-4.39,-2.48,5.53,5.53,5.55
21.23,9.69,9.68,4.13,4.13,-4.13,-4.40,-2.56,5.55,5.55,5.55
21.44,9.77,9.76,4.21,4.21,-4.19,-4.41,-2.63,5.57,5.57,5.55
21.66,9.82,9.83,4.27,4.28,-4.26,-4.42,-2.71,5.57,5.57,5.55
21.87,9.89,9.88,4.34,4.33,-4.31,-4.44,-2.79,5.58,5.57,5.55
22.09,9.92,9.91,4.37,4.36,-4.35,-4.45,-2.87,5.57,5.56,5.55
22.31,9.94,9.94,4.39,4.39,-4.38,-4.46,-2.95,5.55,5.55,5.55
22.54,9.95,9.95,4.40,4.40,-4.41,-4.47,-3.03,5.54,5.54,5.55
22.76,9.97,9.96,4.42,4.42,-4.43,-4.49,-3.12,5.53,5.53,5.55
22.99,9.99,9.99,4.44,4.44,-4.46,-4.50,-3.21,5.53,5.53,5.55
23.22,10.02,10.02,4.47,4.47,-4.49,-4.52,-3.30,5.53,5.53,5.55
23.45,10.06,10.05,4.51,4.51,-4.52,-4.53,-3.40,5.54,5.53,5.54
23.69,10.09,10.09,4.55,4.55,-4.55,-4.55,-3.49,5.54,5.54,5.54
23.92,10.14,10.14,4.59,4.60,-4.59,-4.57,-3.59,5.55,5.55,5.54
24.16,10.18,10.18,4.64,4.64,-4.62,-4.59,-3.69,5.55,5.55,5.54
24.40,10.22,10.21,4.68,4.67,-4.66,-4.61,-3.79,5.56,5.55,5.54
24.65,10.24,10.23,4.70,4.70,-4.69,-4.63,-3.89,5.55,5.55,5.54
24.89,10.25,10.25,4.71,4.71,-4.71,-4.65,-3.99,5.54,5.54,5.54
25.14,10.27,10.26,4.73,4.73,-4.73,-4.67,-4.10,5.53,5.53,5.54
25.39,10.28,10.28,4.74,4.74,-4.75,-4.70,-4.20,5.52,5.53,5.53
25.65,10.30,10.30,4.76,4.76,-4.77,-4.72,-4.31,5.53,5.53,5.53
25.91,10.31,10.31,4.78,4.78,-4.79,-4.74,-4.41,5.53,5.53,5.53
26.16,10.34,10.34,4.81,4.81,-4.81,-4.77,-4.52,5.53,5.53,5.53
26.43,10.36,10.36,4.83,4.83,-4.82,-4.79,-4.62,5.53,5.53,5.53
26.69,10.38,10.37,4.85,4.85,-4.84,-4.82,-4.73,5.53,5.53,5.53
26.96,10.40,10.39,4.87,4.87,-4.86,-4.84,-4.83,5.53,5.53,5.52
27.23,10.41,10.41,4.88,4.89,-4.88,-4.86,-4.93,5.52,5.52,5.52
27.50,10.43,10.42,4.90,4.90,-4.91,-4.88,-5.02,5.52,5.52,5.52
27.77,10.44,10.44,4.92,4.92,-4.93,-4.90,-5.12,5.51,5.51,5.52
28.05,10.46,10.46,4.94,4.94,-4.95,-4.92,-5.21,5.51,5.51,5.52
28.33,10.48,10.48,4.96,4.96,-4.97,-4.94,-5.29,5.50,5.51,5.51
28.62,10.50,10.50,4.99,4.99,-4.99,-4.95,-5.38,5.51,5.51,5.51
28.90,10.53,10.52,5.02,5.01,-5.01,-4.96,-5.45,5.52,5.52,5.51
29.19,10.54,10.54,5.03,5.03,-5.02,-4.97,-5.52,5.52,5.52,5.51
29.48,10.55,10.54,5.04,5.04,-5.02,-4.98,-5.58,5.52,5.52,5.51
29.78,10.54,10.53,5.03,5.03,-5.02,-4.98,-5.64,5.51,5.51,5.50
30.08,10.52,10.52,5.02,5.02,-5.01,-4.98,-5.68,5.50,5.50,5.50
30.38,10.50,10.50,5.00,5.00,-5.00,-4.97,-5.72,5.49,5.49,5.50
30.68,10.48,10.47,4.98,4.98,-4.99,-4.96,-5.75,5.49,5.49,5.49
30.99,10.46,10.46,4.96,4.96,-4.97,-4.95,-5.78,5.48,5.48,5.49
31.30,10.44,10.44,4.95,4.95,-4.96,-4.93,-5.79,5.48,5.48,5.49
31.61,10.43,10.43,4.94,4.94,-4.95,-4.91,-5.80,5.48,5.48,5.49
31.93,10.42,10.41,4.93,4.93,-4.93,-4.89,-5.79,5.48,5.48,5.48
32.24,10.41,10.40,4.93,4.92,-4.92,-4.87,-5.78,5.49,5.49,5.48
32.57,10.39,10.39,4.91,4.91,-4.90,-4.84,-5.76,5.48,5.48,5.48
32.89,10.37,10.36,4.89,4.89,-4.88,-4.82,-5.73,5.48,5.48,5.47
33.22,10.34,10.34,4.87,4.87,-4.86,-4.79,-5.69,5.47,5.47,5.47
33.55,10.31,10.31,4.84,4.84,-4.84,-4.76,-5.65,5.47,5.47,5.46
33.89,10.28,10.27,4.82,4.81,-4.81,-4.73,-5.60,5.46,5.46,5.46
34.23,10.24,10.24,4.78,4.78,-4.79,-4.70,-5.55,5.45,5.45,5.46
34.57,10.21,10.21,4.75,4.75,-4.76,-4.67,-5.49,5.45,5.45,5.45
34.92,10.18,10.17,4.73,4.73,-4.73,-4.64,-5.42,5.44,5.44,5.45
35.27,10.15,10.15,4.70,4.70,-4.71,-4.62,-5.35,5.44,5.44,5.44
35.62,10.12,10.12,4.68,4.68,-4.68,-4.59,-5.28,5.43,5.44,5.44
35.97,10.10,10.09,4.66,4.66,-4.66,-4.56,-5.21,5.44,5.43,5.43
36.33,10.06,10.06,4.64,4.64,-4.63,-4.53,-5.13,5.43,5.43,5.43
36.70,10.03,10.03,4.60,4.61,-4.60,-4.50,-5.05,5.42,5.43,5.42
37.06,9.99,9.99,4.58,4.58,-4.57,-4.48,-4.97,5.42,5.42,5.42
37.43,9.95,9.95,4.54,4.54,-4.54,-4.45,-4.89,5.41,5.41,5.41
37.81,9.91,9.91,4.50,4.51,-4.50,-4.43,-4.81,5.40,5.41,5.40
38.19,9.87,9.86,4.47,4.47,-4.46,-4.40,-4.73,5.40,5.40,5.40
38.57,9.82,9.82,4.42,4.42,-4.42,-4.38,-4.65,5.39,5.39,5.39
38.95,9.76,9.77,4.38,4.38,-4.38,-4.35,-4.58,5.39,5.39,5.38
39.34,9.71,9.71,4.34,4.33,-4.34,-4.33,-4.50,5.38,5.38,5.38
39.74,9.66,9.66,4.29,4.29,-4.29,-4.31,-4.42,5.36,5.36,5.37
40.14,9.61,9.61,4.24,4.25,-4.25,-4.29,-4.35,5.35,5.35,5.36
40.54,9.57,9.56,4.21,4.21,-4.22,-4.26,-4.28,5.35,5.35,5.35
40.94,9.53,9.52,4.18,4.18,-4.18,-4.24,-4.21,5.35,5.35,5.35
41.35,9.49,9.49,4.15,4.15,-4.14,-4.22,-4.14,5.34,5.34,5.34
41.76,9.44,9.44,4.12,4.12,-4.11,-4.20,-4.08,5.34,5.34,5.33
42.18,9.41,9.40,4.08,4.08,-4.08,-4.18,-4.02,5.33,5.33,5.32
42.60,9.35,9.36,4.04,4.05,-4.05,-4.16,-3.96,5.31,5.31,5.31
43.03,9.32,9.31,4.01,4.01,-4.02,-4.14,-3.90,5.30,5.30,5.30
43.46,9.28,9.27,3.98,3.98,-3.99,-4.12,-3.85,5.29,5.29,5.29
43.90,9.24,9.24,3.96,3.96,-3.96,-4.10,-3.80,5.27,5.28,5.28
44.33,9.21,9.20,3.94,3.93,-3.94,-4.08,-3.75,5.27,5.27,5.27
44.78,9.18,9.18,3.92,3.92,-3.92,-4.06,-3.71,5.26,5.26,5.26
45.23,9.15,9.15,3.90,3.90,-3.90,-4.04,-3.66,5.24,5.25,5.25
45.68,9.13,9.12,3.89,3.89,-3.89,-4.02,-3.62,5.24,5.24,5.23
46.13,9.10,9.10,3.87,3.88,-3.87,-4.00,-3.59,5.22,5.23,5.22
46.60,9.08,9.07,3.87,3.86,-3.86,-3.98,-3.55,5.22,5.21,5.21
47.06,9.05,9.04,3.85,3.85,-3.85,-3.96,-3.52,5.20,5.20,5.20
47.53,9.02,9.02,3.83,3.83,-3.83,-3.94,-3.50,5.18,5.18,5.18
48.01,8.99,8.99,3.82,3.82,-3.82,-3.92,-3.47,5.17,5.17,5.17
48.49,8.96,8.96,3.80,3.80,-3.80,-3.89,-3.45,5.15,5.15,5.15
48.97,8.93,8.93,3.79,3.79,-3.79,-3.87,-3.43,5.14,5.14,5.14
49.46,8.90,8.89,3.77,3.77,-3.77,-3.85,-3.41,5.12,5.12,5.12
49.96,8.87,8.86,3.76,3.76,-3.76,-3.83,-3.39,5.11,5.11,5.11
50.46,8.83,8.83,3.74,3.74,-3.74,-3.80,-3.38,5.09,5.09,5.09
50.96,8.80,8.79,3.72,3.72,-3.72,-3.78,-3.36,5.08,5.07,5.07
51.47,8.76,8.75,3.70,3.70,-3.70,-3.75,-3.35,5.05,5.05,5.05
51.99,8.72,8.72,3.68,3.68,-3.68,-3.73,-3.34,5.03,5.03,5.03
52.51,8.68,8.68,3.66,3.66,-3.67,-3.70,-3.34,5.01,5.01,5.02
53.03,8.65,8.64,3.65,3.65,-3.65,-3.68,-3.33,4.99,4.99,5.00
53.56,8.61,8.61,3.63,3.63,-3.63,-3.65,-3.33,4.97,4.97,4.97
54.10,8.57,8.57,3.61,3.62,-3.62,-3.62,-3.32,4.95,4.96,4.95
54.64,8.54,8.53,3.60,3.60,-3.60,-3.59,-3.32,4.94,4.94,4.93
55.18,8.50,8.49,3.59,3.58,-3.58,-3.56,-3.31,4.92,4.91,4.91
55.74,8.45,8.45,3.56,3.56,-3.56,-3.53,-3.31,4.89,4.89,4.89
56.29,8.40,8.40,3.53,3.53,-3.53,-3.50,-3.31,4.86,4.86,4.86
56.86,8.35,8.35,3.51,3.51,-3.51,-3.47,-3.31,4.84,4.83,4.84
57.42,8.29,8.30,3.48,3.48,-3.49,-3.44,-3.30,4.81,4.81,4.81
58.00,8.25,8.25,3.46,3.46,-3.46,-3.41,-3.30,4.78,4.78,4.78
58.58,8.20,8.19,3.44,3.44,-3.44,-3.38,-3.29,4.75,4.75,4.76
59.16,8.14,8.15,3.42,3.42,-3.42,-3.35,-3.29,4.72,4.72,4.73
59.76,8.10,8.10,3.40,3.40,-3.40,-3.32,-3.28,4.70,4.70,4.70
60.35,8.06,8.05,3.38,3.38,-3.38,-3.29,-3.27,4.68,4.67,4.67
60.96,8.01,8.00,3.37,3.36,-3.36,-3.25,-3.26,4.65,4.65,4.64
61.57,7.95,7.95,3.34,3.34,-3.33,-3.22,-3.25,4.61,4.61,4.61
62.18,7.89,7.89,3.31,3.31,-3.31,-3.19,-3.24,4.58,4.58,4.58
62.80,7.82,7.82,3.28,3.28,-3.28,-3.16,-3.23,4.54,4.54,4.54
63.43,7.76,7.76,3.25,3.25,-3.25,-3.13,-3.21,4.50,4.51,4.51
64.07,7.70,7.69,3.22,3.22,-3.22,-3.10,-3.19,4.48,4.48,4.47
64.71,7.63,7.62,3.19,3.19,-3.19,-3.08,-3.18,4.44,4.44,4.44
65.35,7.55,7.55,3.15,3.15,-3.15,-3.05,-3.16,4.40,4.40,4.40
66.01,7.48,7.48,3.11,3.12,-3.12,-3.02,-3.14,4.36,4.36,4.36
66.67,7.41,7.41,3.08,3.08,-3.09,-3.00,-3.11,4.32,4.32,4.32
67.33,7.33,7.33,3.05,3.05,-3.06,-2.98,-3.09,4.28,4.28,4.28
68.01,7.27,7.27,3.02,3.02,-3.03,-2.96,-3.07,4.24,4.24,4.24
68.69,7.20,7.20,3.00,3.00,-3.00,-2.94,-3.04,4.20,4.20,4.20
69.37,7.12,7.13,2.97,2.97,-2.97,-2.92,-3.02,4.16,4.16,4.16
70.07,7.06,7.06,2.94,2.94,-2.94,-2.90,-2.99,4.11,4.11,4.11
70.77,6.99,6.99,2.92,2.92,-2.91,-2.89,-2.96,4.07,4.07,4.07
71.48,6.92,6.91,2.89,2.89,-2.88,-2.88,-2.94,4.03,4.03,4.02
72.19,6.84,6.84,2.86,2.86,-2.85,-2.86,-2.91,3.98,3.98,3.97
72.91,6.75,6.75,2.83,2.83,-2.83,-2.85,-2.88,3.93,3.93,3.93
73.64,6.67,6.67,2.79,2.79,-2.80,-2.84,-2.86,3.87,3.87,3.88
74.38,6.59,6.59,2.76,2.76,-2.77,-2.84,-2.83,3.82,3.82,3.83
75.12,6.52,6.51,2.74,2.73,-2.74,-2.83,-2.81,3.77,3.77,3.78
75.87,6.43,6.44,2.71,2.72,-2.72,-2.82,-2.78,3.72,3.72,3.72
76.63,6.37,6.37,2.70,2.70,-2.69,-2.81,-2.76,3.67,3.67,3.67
77.40,6.30,6.29,2.68,2.67,-2.67,-2.81,-2.74,3.62,3.62,3.62
78.17,6.22,6.22,2.65,2.66,-2.65,-2.80,-2.72,3.56,3.56,3.56
78.95,6.13,6.14,2.63,2.64,-2.63,-2.80,-2.70,3.50,3.51,3.50
79.74,6.06,6.06,2.62,2.62,-2.61,-2.79,-2.68,3.45,3.45,3.45
80.54,5.99,5.98,2.60,2.60,-2.59,-2.79,-2.67,3.39,3.39,3.39
81.35,5.91,5.91,2.58,2.58,-2.57,-2.78,-2.65,3.33,3.33,3.33
82.16,5.83,5.83,2.56,2.56,-2.56,-2.77,-2.64,3.27,3.27,3.27
82.98,5.75,5.74,2.54,2.54,-2.54,-2.77,-2.63,3.21,3.21,3.21
83.81,5.67,5.67,2.52,2.52,-2.52,-2.76,-2.62,3.14,3.14,3.15
84.65,5.59,5.59,2.50,2.50,-2.51,-2.75,-2.61,3.08,3.08,3.08
85.50,5.52,5.51,2.50,2.49,-2.50,-2.74,-2.61,3.02,3.02,3.02
86.35,5.44,5.44,2.48,2.48,-2.49,-2.74,-2.61,2.95,2.95,2.96
87.22,5.37,5.37,2.48,2.48,-2.48,-2.73,-2.61,2.89,2.89,2.89
88.09,5.30,5.30,2.47,2.47,-2.47,-2.72,-2.61,2.83,2.83,2.82
88.97,5.23,5.23,2.47,2.47,-2.46,-2.71,-2.61,2.76,2.76,2.76
89.86,5.16,5.15,2.47,2.46,-2.46,-2.70,-2.61,2.70,2.69,2.69
90.76,5.08,5.08,2.45,2.46,-2.45,-2.68,-2.62,2.62,2.62,2.62
91.66,5.00,5.00,2.45,2.45,-2.45,-2.67,-2.63,2.55,2.55,2.55
92.58,4.93,4.93,2.44,2.44,-2.45,-2.66,-2.64,2.48,2.48,2.48
93.51,4.86,4.86,2.44,2.44,-2.44,-2.65,-2.65,2.42,2.42,2.41
