frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.08,5.08,0.11,0.11,-0.16,-0.36,-0.20,4.93,4.92,4.97
20.20,5.18,5.19,0.22,0.22,-0.23,-0.38,-0.20,4.95,4.95,4.97
20.40,5.27,5.28,0.31,0.31,-0.30,-0.39,-0.21,4.97,4.98,4.97
20.61,5.36,5.36,0.39,0.39,-0.37,-0.41,-0.22,5.00,4.99,4.97
20.81,5.42,5.43,0.46,0.46,-0.42,-0.42,-0.22,5.00,5.00,4.97
21.02,5.48,5.48,0.52,0.51,-0.47,-0.44,-0.23,5.01,5.01,4.97
21.23,5.51,5.51,0.55,0.55,-0.52,-0.46,-0.24,5.00,5.00,4.97
21.44,5.53,5.53,0.57,0.57,-0.55,-0.48,-0.25,4.98,4.98,4.96
21.66,5.53,5.53,0.57,0.57,-0.57,-0.49,-0.25,4.97,4.97,4.96
21.87,5.53,5.53,0.57,0.57,-0.58,-0.51,-0.26,4.96,4.96,4.96
22.09,5.53,5.54,0.57,0.57,-0.59,-0.53,-0.27,4.95,4.95,4.96
22.31,5.54,5.54,0.58,0.58,-0.60,-0.55,-0.28,4.94,4.94,4.96
22.54,5.56,5.56,0.60,0.60,-0.63,-0.57,-0.29,4.94,4.94,4.96
22.76,5.59,5.60,0.63,0.64,-0.66,-0.59,-0.29,4.94,4.94,4.96
22.99,5.64,5.64,0.69,0.69,-0.70,-0.61,-0.30,4.94,4.94,4.96
23.22,5.70,5.70,0.75,0.74,-0.75,-0.63,-0.31,4.96,4.95,4.96
23.45,5.75,5.76,0.80,0.80,-0.80,-0.65,-0.32,4.96,4.96,4.96
23.69,5.81,5.81,0.86,0.85,-0.85,-0.67,-0.33,4.97,4.96,4.96
23.92,5.85,5.85,0.90,0.90,-0.89,-0.69,-0.34,4.96,4.96,4.95
24.16,5.88,5.89,0.93,0.93,-0.92,-0.71,-0.35,4.96,4.96,4.95
24.40,5.90,5.90,0.95,0.95,-0.94,-0.73,-0.36,4.96,4.96,4.95
24.65,5.90,5.90,0.95,0.95,-0.94,-0.75,-0.37,4.96,4.96,4.95
24.89,5.89,5.89,0.94,0.94,-0.93,-0.77,-0.38,4.96,4.96,4.95
25.14,5.86,5.86,0.92,0.92,-0.90,-0.78,-0.39,4.96,4.96,4.95
25.39,5.82,5.82,0.88,0.87,-0.86,-0.79,-0.40,4.96,4.96,4.95
25.65,5.76,5.77,0.82,0.82,-0.81,-0.80,-0.41,4.95,4.95,4.94
25.91,5.70,5.70,0.76,0.76,-0.76,-0.81,-0.42,4.95,4.95,4.94
26.16,5.63,5.64,0.69,0.69,-0.70,-0.82,-0.43,4.93,4.94,4.94
26.43,5.57,5.58,0.63,0.64,-0.65,-0.82,-0.44,4.92,4.92,4.94
26.69,5.52,5.52,0.59,0.59,-0.61,-0.82,-0.45,4.91,4.91,4.94
26.96,5.49,5.49,0.56,0.56,-0.58,-0.82,-0.46,4.91,4.91,4.94
27.23,5.47,5.48,0.54,0.54,-0.57,-0.82,-0.47,4.91,4.91,4.93
27.50,5.48,5.48,0.55,0.55,-0.56,-0.81,-0.47,4.93,4.92,4.93
27.77,5.49,5.49,0.56,0.56,-0.56,-0.80,-0.48,4.94,4.94,4.93
28.05,5.51,5.51,0.58,0.58,-0.56,-0.79,-0.49,4.96,4.95,4.93
28.33,5.51,5.51,0.59,0.59,-0.56,-0.77,-0.50,4.95,4.95,4.93
28.62,5.51,5.51,0.59,0.59,-0.56,-0.76,-0.50,4.95,4.95,4.92
28.90,5.49,5.50,0.57,0.57,-0.56,-0.73,-0.51,4.93,4.93,4.92
29.19,5.48,5.48,0.56,0.56,-0.57,-0.71,-0.51,4.92,4.91,4.92
