frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.89,0.89,-0.34,-0.34,0.34,-1.40,-0.72,1.23,1.23,1.23
20.20,1.01,1.01,-0.22,-0.22,0.23,-1.40,-0.74,1.23,1.23,1.23
20.40,1.12,1.12,-0.11,-0.11,0.11,-1.40,-0.76,1.23,1.23,1.23
20.61,1.23,1.23,-0.00,-0.00,0.00,-1.40,-0.79,1.23,1.23,1.23
20.81,1.34,1.33,0.11,0.10,-0.11,-1.40,-0.81,1.23,1.23,1.23
21.02,1.44,1.44,0.20,0.20,-0.21,-1.40,-0.84,1.23,1.23,1.24
21.23,1.54,1.54,0.30,0.30,-0.31,-1.40,-0.86,1.23,1.23,1.24
21.44,1.64,1.64,0.40,0.40,-0.41,-1.40,-0.89,1.23,1.23,1.24
21.66,1.74,1.73,0.50,0.50,-0.50,-1.40,-0.91,1.24,1.24,1.24
21.87,1.83,1.83,0.59,0.59,-0.59,-1.40,-0.94,1.24,1.24,1.24
22.09,1.91,1.91,0.67,0.68,-0.67,-1.40,-0.97,1.23,1.24,1.24
22.31,2.00,1.99,0.76,0.76,-0.76,-1.40,-1.00,1.24,1.24,1.23
22.54,2.07,2.07,0.83,0.83,-0.83,-1.40,-1.03,1.24,1.24,1.23
22.76,2.15,2.15,0.90,0.90,-0.90,-1.40,-1.06,1.25,1.24,1.24
22.99,2.22,2.22,0.96,0.96,-0.97,-1.40,-1.09,1.25,1.25,1.25
23.22,2.28,2.28,1.02,1.02,-1.03,-1.40,-1.12,1.25,1.26,1.26
23.45,2.35,2.34,1.08,1.07,-1.08,-1.40,-1.15,1.27,1.26,1.27
23.69,2.40,2.40,1.12,1.12,-1.13,-1.40,-1.18,1.27,1.27,1.28
23.92,2.45,2.45,1.17,1.17,-1.16,-1.40,-1.22,1.28,1.28,1.28
24.16,2.49,2.49,1.21,1.21,-1.20,-1.39,-1.25,1.29,1.29,1.28
24.40,2.52,2.52,1.24,1.24,-1.22,-1.39,-1.29,1.30,1.29,1.28
24.65,2.54,2.54,1.25,1.25,-1.24,-1.39,-1.32,1.30,1.30,1.29
24.89,2.55,2.55,1.25,1.25,-1.25,-1.39,-1.36,1.29,1.30,1.30
25.14,2.56,2.56,1.25,1.25,-1.26,-1.39,-1.39,1.30,1.30,1.31
25.39,2.57,2.57,1.25,1.26,-1.26,-1.39,-1.43,1.30,1.30,1.31
25.65,2.58,2.58,1.26,1.26,-1.27,-1.39,-1.46,1.31,1.31,1.31
25.91,2.59,2.58,1.27,1.26,-1.27,-1.39,-1.50,1.32,1.32,1.32
26.16,2.59,2.59,1.27,1.27,-1.27,-1.39,-1.54,1.32,1.32,1.32
26.43,2.60,2.60,1.27,1.27,-1.27,-1.39,-1.57,1.32,1.32,1.33
26.69,2.61,2.61,1.29,1.28,-1.28,-1.39,-1.61,1.33,1.33,1.32
26.96,2.62,2.62,1.29,1.29,-1.29,-1.39,-1.64,1.33,1.33,1.33
27.23,2.63,2.62,1.30,1.30,-1.30,-1.39,-1.67,1.33,1.33,1.33
27.50,2.63,2.63,1.30,1.30,-1.31,-1.39,-1.71,1.32,1.32,1.32
27.77,2.64,2.64,1.31,1.32,-1.32,-1.38,-1.74,1.32,1.32,1.32
28.05,2.65,2.65,1.34,1.33,-1.34,-1.38,-1.77,1.31,1.31,1.31
28.33,2.66,2.66,1.36,1.35,-1.35,-1.38,-1.80,1.30,1.31,1.30
