frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.02,12.02,9.96,9.96,-9.95,-8.84,-4.33,2.07,2.07,2.06
20.20,12.06,12.05,10.00,10.00,-10.00,-8.84,-4.45,2.06,2.06,2.06
20.40,12.09,12.09,10.03,10.04,-10.04,-8.84,-4.56,2.04,2.05,2.05
20.61,12.13,12.13,10.07,10.07,-10.08,-8.84,-4.68,2.04,2.05,2.05
20.81,12.17,12.17,10.11,10.11,-10.12,-8.84,-4.81,2.05,2.05,2.05
21.02,12.21,12.21,10.14,10.15,-10.15,-8.84,-4.94,2.06,2.05,2.06
21.23,12.24,12.24,10.17,10.18,-10.18,-8.83,-5.07,2.06,2.06,2.06
21.44,12.27,12.27,10.21,10.20,-10.20,-8.83,-5.21,2.07,2.07,2.06
21.66,12.29,12.29,10.23,10.22,-10.22,-8.83,-5.34,2.07,2.07,2.06
21.87,12.30,12.30,10.24,10.24,-10.24,-8.83,-5.49,2.06,2.06,2.06
22.09,12.31,12.31,10.25,10.25,-10.24,-8.83,-5.63,2.06,2.06,2.06
22.31,12.31,12.31,10.25,10.25,-10.25,-8.82,-5.79,2.06,2.06,2.06
22.54,12.31,12.31,10.25,10.25,-10.24,-8.82,-5.94,2.06,2.07,2.06
22.76,12.31,12.30,10.24,10.24,-10.23,-8.82,-6.10,2.07,2.07,2.07
22.99,12.30,12.30,10.22,10.22,-10.22,-8.82,-6.26,2.07,2.07,2.08
23.22,12.29,12.29,10.20,10.20,-10.21,-8.82,-6.43,2.08,2.08,2.09
23.45,12.28,12.28,10.18,10.18,-10.19,-8.81,-6.60,2.09,2.09,2.10
23.69,12.27,12.26,10.16,10.16,-10.17,-8.81,-6.78,2.10,2.10,2.11
23.92,12.25,12.25,10.14,10.14,-10.14,-8.81,-6.95,2.11,2.11,2.11
24.16,12.22,12.22,10.11,10.11,-10.11,-8.81,-7.14,2.11,2.11,2.10
24.40,12.19,12.19,10.08,10.08,-10.07,-8.80,-7.32,2.12,2.12,2.10
24.65,12.15,12.15,10.04,10.04,-10.03,-8.80,-7.52,2.12,2.12,2.11
24.89,12.11,12.10,9.98,9.98,-9.98,-8.80,-7.71,2.13,2.12,2.12
25.14,12.06,12.06,9.93,9.93,-9.93,-8.79,-7.91,2.13,2.13,2.13
25.39,12.01,12.01,9.87,9.87,-9.88,-8.79,-8.11,2.13,2.13,2.14
25.65,11.96,11.96,9.82,9.82,-9.82,-8.79,-8.31,2.14,2.14,2.14
25.91,11.91,11.91,9.76,9.76,-9.77,-8.79,-8.51,2.14,2.14,2.15
26.16,11.86,11.86,9.71,9.71,-9.71,-8.78,-8.72,2.15,2.15,2.15
26.43,11.81,11.81,9.65,9.66,-9.66,-8.78,-8.92,2.15,2.15,2.16
26.69,11.76,11.76,9.61,9.61,-9.61,-8.77,-9.13,2.15,2.15,2.14
26.96,11.71,11.71,9.56,9.56,-9.56,-8.77,-9.33,2.15,2.15,2.15
27.23,11.66,11.66,9.51,9.51,-9.51,-8.77,-9.54,2.15,2.15,2.15
27.50,11.61,11.61,9.46,9.46,-9.46,-8.76,-9.74,2.15,2.15,2.15
27.77,11.56,11.56,9.41,9.41,-9.41,-8.76,-9.93,2.14,2.14,2.15
28.05,11.51,11.51,9.37,9.37,-9.37,-8.75,-10.12,2.14,2.14,2.14
28.33,11.46,11.46,9.33,9.33,-9.32,-8.75,-10.31,2.13,2.13,2.13
28.62,11.41,11.41,9.28,9.28,-9.28,-8.75,-10.48,2.12,2.12,2.12
28.90,11.36,11.36,9.23,9.24,-9.24,-8.74,-10.65,2.11,2.11,2.12
29.19,11.31,11.31,9.21,9.20,-9.20,-8.74,-10.80,2.10,2.10,2.10
29.48,11.26,11.26,9.17,9.17,-9.17,-8.73,-10.94,2.09,2.09,2.09
29.78,11.21,11.21,9.13,9.13,-9.13,-8.73,-11.07,2.08,2.08,2.08
30.08,11.16,11.16,9.10,9.10,-9.10,-8.72,-11.17,2.06,2.06,2.06
30.38,11.12,11.12,9.06,9.06,-9.06,-8.72,-11.27,2.06,2.05,2.05
30.68,11.07,11.07,9.03,9.03,-9.03,-8.71,-11.34,2.04,2.04,2.04
30.99,11.03,11.03,9.00,9.00,-9.00,-8.70,-11.39,2.03,2.02,2.03
31.30,10.98,10.98,8.97,8.97,-8.97,-8.70,-11.42,2.00,2.01,2.01
31.61,10.94,10.93,8.95,8.94,-8.95,-8.69,-11.44,1.99,1.99,1.99
31.93,10.89,10.89,8.92,8.92,-8.92,-8.68,-11.43,1.97,1.97,1.97
32.24,10.84,10.84,8.89,8.90,-8.89,-8.68,-11.41,1.94,1.95,1.95
32.57,10.80,10.79,8.88,8.87,-8.87,-8.67,-11.37,1.93,1.93,1.92
32.89,10.75,10.75,8.85,8.85,-8.84,-8.66,-11.31,1.90,1.90,1.90
33.22,10.70,10.70,8.81,8.82,-8.82,-8.66,-11.23,1.88,1.88,1.88
33.55,10.65,10.65,8.79,8.79,-8.79,-8.65,-11.15,1.86,1.86,1.86
33.89,10.60,10.60,8.77,8.77,-8.77,-8.64,-11.04,1.83,1.83,1.83
34.23,10.55,10.55,8.74,8.74,-8.75,-8.63,-10.94,1.80,1.80,1.80
34.57,10.50,10.50,8.72,8.72,-8.73,-8.62,-10.81,1.77,1.77,1.78
34.92,10.46,10.46,8.70,8.70,-8.71,-8.61,-10.69,1.75,1.75,1.76
35.27,10.42,10.42,8.69,8.69,-8.69,-8.60,-10.55,1.73,1.73,1.72
35.62,10.39,10.39,8.68,8.68,-8.67,-8.59,-10.41,1.71,1.71,1.71
35.97,10.36,10.36,8.66,8.66,-8.66,-8.58,-10.27,1.70,1.70,1.70
36.33,10.33,10.33,8.64,8.64,-8.64,-8.57,-10.13,1.68,1.68,1.68
36.70,10.30,10.30,8.63,8.63,-8.63,-8.56,-9.98,1.67,1.67,1.67
37.06,10.27,10.27,8.61,8.61,-8.61,-8.55,-9.84,1.66,1.66,1.66
37.43,10.24,10.24,8.59,8.59,-8.59,-8.54,-9.70,1.65,1.65,1.65
37.81,10.21,10.21,8.57,8.57,-8.56,-8.53,-9.56,1.64,1.64,1.64
38.19,10.18,10.17,8.55,8.54,-8.54,-8.51,-9.42,1.64,1.64,1.63
38.57,10.14,10.14,8.51,8.51,-8.51,-8.50,-9.28,1.63,1.63,1.63
38.95,10.11,10.11,8.47,8.48,-8.48,-8.49,-9.15,1.63,1.63,1.63
39.34,10.07,10.07,8.44,8.44,-8.44,-8.47,-9.02,1.63,1.63,1.63
