frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.36,11.36,2.33,2.34,-2.36,-2.33,-1.12,8.99,9.00,9.02
20.20,11.38,11.38,2.36,2.35,-2.36,-2.33,-1.15,9.02,9.02,9.02
20.40,11.39,11.39,2.37,2.37,-2.36,-2.33,-1.19,9.03,9.03,9.02
20.61,11.40,11.40,2.38,2.38,-2.36,-2.34,-1.22,9.04,9.04,9.02
20.81,11.40,11.40,2.38,2.38,-2.36,-2.34,-1.26,9.04,9.04,9.02
21.02,11.40,11.40,2.38,2.38,-2.36,-2.34,-1.29,9.04,9.04,9.02
21.23,11.39,11.39,2.37,2.37,-2.36,-2.34,-1.33,9.03,9.03,9.02
21.44,11.38,11.38,2.36,2.36,-2.36,-2.35,-1.37,9.02,9.02,9.02
21.66,11.36,11.36,2.34,2.34,-2.35,-2.35,-1.41,9.01,9.01,9.02
21.87,11.35,11.35,2.33,2.33,-2.35,-2.35,-1.45,9.00,9.01,9.02
22.09,11.35,11.35,2.33,2.33,-2.35,-2.36,-1.49,9.00,9.00,9.02
22.31,11.36,11.36,2.34,2.34,-2.35,-2.36,-1.54,9.01,9.01,9.02
22.54,11.37,11.37,2.35,2.36,-2.36,-2.36,-1.58,9.01,9.01,9.01
22.76,11.39,11.39,2.38,2.37,-2.37,-2.37,-1.63,9.02,9.01,9.01
22.99,11.41,11.41,2.40,2.39,-2.39,-2.37,-1.68,9.02,9.02,9.01
23.22,11.42,11.42,2.41,2.41,-2.40,-2.37,-1.72,9.02,9.02,9.01
23.45,11.44,11.44,2.43,2.43,-2.42,-2.37,-1.77,9.02,9.02,9.01
23.69,11.45,11.44,2.44,2.43,-2.43,-2.38,-1.82,9.02,9.02,9.01
23.92,11.45,11.45,2.44,2.44,-2.44,-2.38,-1.87,9.01,9.01,9.01
24.16,11.45,11.45,2.44,2.44,-2.45,-2.38,-1.93,9.00,9.01,9.01
24.40,11.46,11.45,2.45,2.45,-2.45,-2.39,-1.98,9.00,9.00,9.01
24.65,11.46,11.46,2.45,2.46,-2.46,-2.39,-2.03,9.00,9.00,9.00
24.89,11.47,11.47,2.47,2.47,-2.47,-2.39,-2.09,9.00,9.00,9.00
25.14,11.48,11.48,2.48,2.48,-2.48,-2.40,-2.14,9.00,9.00,9.00
25.39,11.49,11.49,2.49,2.49,-2.49,-2.40,-2.19,9.00,9.00,9.00
25.65,11.50,11.50,2.50,2.50,-2.50,-2.40,-2.25,9.00,9.00,9.00
25.91,11.51,11.51,2.51,2.51,-2.50,-2.41,-2.30,9.00,9.00,9.00
26.16,11.51,11.51,2.51,2.51,-2.51,-2.41,-2.36,9.00,9.00,9.00
26.43,11.51,11.51,2.51,2.52,-2.51,-2.41,-2.41,9.00,9.00,8.99
26.69,11.51,11.51,2.52,2.52,-2.52,-2.42,-2.47,8.99,8.99,8.99
26.96,11.51,11.51,2.52,2.51,-2.52,-2.42,-2.52,8.99,8.99,8.99
27.23,11.50,11.50,2.51,2.51,-2.52,-2.42,-2.57,8.98,8.99,8.99
27.50,11.50,11.50,2.51,2.51,-2.51,-2.43,-2.62,8.99,8.99,8.99
27.77,11.50,11.50,2.51,2.51,-2.51,-2.43,-2.67,8.99,8.99,8.99
28.05,11.50,11.50,2.51,2.51,-2.51,-2.43,-2.72,8.99,8.99,8.98
28.33,11.49,11.49,2.51,2.51,-2.51,-2.43,-2.76,8.98,8.98,8.98
