frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.09,5.09,-2.57,-2.57,2.57,1.96,0.73,7.66,7.66,7.66
20.20,5.11,5.11,-2.55,-2.54,2.54,1.96,0.75,7.65,7.66,7.65
20.40,5.14,5.14,-2.52,-2.52,2.52,1.95,0.77,7.65,7.65,7.65
20.61,5.17,5.17,-2.49,-2.49,2.48,1.94,0.80,7.65,7.65,7.65
20.81,5.20,5.20,-2.45,-2.46,2.45,1.94,0.82,7.65,7.65,7.65
21.02,5.23,5.23,-2.42,-2.42,2.42,1.93,0.85,7.65,7.65,7.65
21.23,5.26,5.26,-2.39,-2.39,2.39,1.92,0.87,7.65,7.65,7.65
21.44,5.30,5.29,-2.35,-2.36,2.35,1.92,0.90,7.65,7.65,7.65
21.66,5.33,5.33,-2.32,-2.32,2.32,1.91,0.93,7.65,7.65,7.65
21.87,5.37,5.37,-2.28,-2.28,2.28,1.90,0.95,7.65,7.65,7.65
22.09,5.41,5.40,-2.24,-2.24,2.25,1.90,0.98,7.65,7.65,7.65
22.31,5.44,5.44,-2.21,-2.21,2.21,1.89,1.01,7.65,7.65,7.65
22.54,5.48,5.48,-2.17,-2.17,2.17,1.88,1.04,7.65,7.65,7.65
22.76,5.51,5.51,-2.14,-2.14,2.14,1.87,1.07,7.64,7.64,7.65
22.99,5.55,5.55,-2.10,-2.10,2.10,1.87,1.10,7.65,7.64,7.64
23.22,5.58,5.58,-2.07,-2.06,2.06,1.86,1.14,7.64,7.64,7.64
23.45,5.62,5.62,-2.02,-2.03,2.03,1.85,1.17,7.64,7.64,7.64
23.69,5.65,5.65,-1.99,-1.99,1.99,1.84,1.20,7.64,7.64,7.64
23.92,5.69,5.68,-1.95,-1.96,1.95,1.84,1.24,7.64,7.64,7.64
24.16,5.72,5.72,-1.92,-1.92,1.92,1.83,1.27,7.63,7.64,7.64
24.40,5.76,5.76,-1.88,-1.88,1.88,1.82,1.31,7.64,7.64,7.64
24.65,5.80,5.79,-1.84,-1.84,1.84,1.81,1.34,7.64,7.64,7.64
24.89,5.83,5.83,-1.81,-1.81,1.81,1.81,1.38,7.63,7.64,7.64
25.14,5.86,5.86,-1.78,-1.77,1.77,1.80,1.42,7.63,7.63,7.63
25.39,5.90,5.89,-1.73,-1.74,1.74,1.79,1.45,7.64,7.63,7.63
25.65,5.92,5.92,-1.71,-1.71,1.71,1.78,1.49,7.63,7.63,7.63
25.91,5.95,5.95,-1.68,-1.68,1.69,1.77,1.52,7.63,7.63,7.63
26.16,5.97,5.97,-1.66,-1.66,1.66,1.77,1.56,7.63,7.63,7.63
26.43,5.99,5.99,-1.64,-1.64,1.64,1.76,1.60,7.63,7.63,7.63
26.69,6.00,6.00,-1.63,-1.63,1.63,1.75,1.63,7.62,7.62,7.62
26.96,6.01,6.01,-1.62,-1.61,1.61,1.74,1.67,7.62,7.62,7.62
27.23,6.02,6.02,-1.60,-1.60,1.60,1.73,1.70,7.61,7.62,7.62
27.50,6.04,6.03,-1.58,-1.59,1.58,1.72,1.73,7.62,7.62,7.62
27.77,6.05,6.05,-1.57,-1.57,1.57,1.72,1.77,7.62,7.62,7.62
28.05,6.06,6.06,-1.56,-1.56,1.56,1.71,1.80,7.62,7.62,7.62
28.33,6.07,6.07,-1.55,-1.55,1.54,1.70,1.82,7.61,7.61,7.61
28.62,6.08,6.08,-1.53,-1.53,1.53,1.69,1.85,7.61,7.61,7.61
28.90,6.09,6.09,-1.52,-1.52,1.52,1.68,1.88,7.61,7.61,7.61
29.19,6.10,6.10,-1.51,-1.51,1.51,1.67,1.90,7.61,7.61,7.61
29.48,6.12,6.11,-1.49,-1.49,1.50,1.66,1.92,7.61,7.61,7.60
