frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.30,7.30,0.32,0.32,-0.32,-0.76,-0.47,6.98,6.98,6.98
20.20,7.33,7.33,0.35,0.35,-0.35,-0.76,-0.49,6.98,6.98,6.98
20.40,7.35,7.35,0.37,0.37,-0.37,-0.76,-0.50,6.98,6.98,6.98
20.61,7.38,7.38,0.40,0.40,-0.40,-0.76,-0.52,6.98,6.98,6.98
20.81,7.40,7.40,0.42,0.42,-0.43,-0.77,-0.53,6.98,6.98,6.98
21.02,7.43,7.43,0.45,0.45,-0.45,-0.77,-0.55,6.98,6.98,6.98
21.23,7.45,7.45,0.47,0.48,-0.48,-0.77,-0.56,6.97,6.98,6.98
21.44,7.48,7.48,0.50,0.50,-0.50,-0.77,-0.58,6.98,6.98,6.98
21.66,7.50,7.50,0.52,0.52,-0.52,-0.78,-0.59,6.98,6.98,6.98
21.87,7.52,7.53,0.55,0.55,-0.55,-0.78,-0.61,6.97,6.98,6.98
22.09,7.55,7.55,0.58,0.57,-0.57,-0.78,-0.63,6.98,6.97,6.97
22.31,7.57,7.57,0.60,0.60,-0.60,-0.78,-0.65,6.98,6.97,6.97
22.54,7.59,7.59,0.62,0.62,-0.62,-0.79,-0.67,6.97,6.97,6.97
22.76,7.61,7.61,0.64,0.64,-0.64,-0.79,-0.69,6.97,6.97,6.97
22.99,7.63,7.63,0.66,0.66,-0.66,-0.79,-0.70,6.97,6.97,6.97
23.22,7.65,7.65,0.68,0.68,-0.68,-0.80,-0.72,6.97,6.97,6.97
23.45,7.67,7.67,0.70,0.70,-0.70,-0.80,-0.74,6.97,6.97,6.97
23.69,7.69,7.69,0.72,0.72,-0.72,-0.80,-0.77,6.97,6.97,6.97
23.92,7.70,7.70,0.73,0.74,-0.74,-0.81,-0.79,6.96,6.97,6.97
24.16,7.72,7.72,0.76,0.76,-0.76,-0.81,-0.81,6.96,6.96,6.97
24.40,7.74,7.74,0.78,0.78,-0.78,-0.81,-0.83,6.96,6.96,6.96
24.65,7.76,7.76,0.80,0.79,-0.79,-0.82,-0.85,6.97,6.96,6.96
24.89,7.77,7.78,0.81,0.81,-0.81,-0.82,-0.87,6.96,6.96,6.96
25.14,7.79,7.79,0.83,0.83,-0.83,-0.82,-0.90,6.96,6.96,6.96
25.39,7.81,7.81,0.85,0.85,-0.85,-0.83,-0.92,6.96,6.96,6.96
25.65,7.82,7.82,0.86,0.86,-0.86,-0.83,-0.94,6.96,6.96,6.96
25.91,7.83,7.83,0.87,0.88,-0.88,-0.83,-0.97,6.95,6.95,6.96
26.16,7.85,7.85,0.90,0.89,-0.90,-0.84,-0.99,6.96,6.95,6.95
26.43,7.86,7.86,0.91,0.91,-0.91,-0.84,-1.01,6.95,6.95,6.95
26.69,7.88,7.88,0.93,0.93,-0.92,-0.85,-1.03,6.96,6.95,6.95
26.96,7.89,7.89,0.94,0.94,-0.94,-0.85,-1.06,6.95,6.95,6.95
27.23,7.90,7.90,0.95,0.95,-0.95,-0.86,-1.08,6.95,6.95,6.95
27.50,7.91,7.91,0.96,0.96,-0.97,-0.86,-1.10,6.95,6.95,6.95
27.77,7.92,7.92,0.98,0.98,-0.98,-0.86,-1.12,6.94,6.94,6.94
28.05,7.93,7.93,0.99,0.99,-0.99,-0.87,-1.14,6.94,6.94,6.94
