frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.79,6.79,1.44,1.44,-1.46,-1.49,-0.71,5.33,5.33,5.35
20.20,6.80,6.81,1.46,1.46,-1.47,-1.49,-0.73,5.33,5.34,5.35
20.40,6.82,6.82,1.48,1.48,-1.47,-1.48,-0.75,5.35,5.35,5.35
20.61,6.83,6.83,1.49,1.49,-1.48,-1.48,-0.77,5.36,5.36,5.35
20.81,6.84,6.84,1.50,1.50,-1.48,-1.48,-0.80,5.36,5.36,5.34
21.02,6.84,6.84,1.50,1.50,-1.48,-1.48,-0.82,5.36,5.36,5.34
21.23,6.84,6.84,1.50,1.49,-1.48,-1.48,-0.85,5.36,5.36,5.34
21.44,6.82,6.83,1.48,1.48,-1.48,-1.48,-0.87,5.34,5.35,5.34
21.66,6.81,6.81,1.47,1.47,-1.47,-1.47,-0.90,5.34,5.34,5.34
21.87,6.80,6.80,1.46,1.46,-1.47,-1.47,-0.93,5.33,5.33,5.34
22.09,6.79,6.79,1.45,1.45,-1.46,-1.47,-0.95,5.33,5.33,5.34
22.31,6.79,6.79,1.45,1.45,-1.46,-1.47,-0.98,5.33,5.33,5.34
22.54,6.79,6.80,1.45,1.46,-1.47,-1.47,-1.01,5.33,5.33,5.34
22.76,6.80,6.81,1.46,1.47,-1.47,-1.46,-1.04,5.33,5.34,5.34
22.99,6.82,6.82,1.49,1.48,-1.47,-1.46,-1.07,5.35,5.34,5.34
23.22,6.82,6.82,1.49,1.49,-1.48,-1.46,-1.10,5.35,5.35,5.34
23.45,6.82,6.82,1.49,1.49,-1.48,-1.46,-1.13,5.35,5.35,5.33
23.69,6.82,6.82,1.49,1.48,-1.47,-1.45,-1.17,5.35,5.34,5.33
23.92,6.80,6.81,1.47,1.47,-1.47,-1.45,-1.20,5.33,5.34,5.33
24.16,6.79,6.79,1.46,1.46,-1.46,-1.45,-1.23,5.33,5.33,5.33
24.40,6.77,6.77,1.44,1.44,-1.45,-1.45,-1.27,5.32,5.32,5.33
24.65,6.76,6.76,1.43,1.44,-1.45,-1.44,-1.30,5.31,5.31,5.33
24.89,6.76,6.76,1.43,1.43,-1.45,-1.44,-1.34,5.31,5.31,5.33
25.14,6.76,6.77,1.44,1.44,-1.45,-1.44,-1.37,5.32,5.32,5.33
25.39,6.77,6.77,1.45,1.45,-1.45,-1.43,-1.41,5.33,5.33,5.32
25.65,6.78,6.78,1.46,1.46,-1.45,-1.43,-1.44,5.34,5.33,5.32
25.91,6.78,6.78,1.46,1.46,-1.44,-1.43,-1.48,5.34,5.34,5.32
26.16,6.77,6.77,1.45,1.45,-1.44,-1.43,-1.51,5.34,5.34,5.32
26.43,6.76,6.76,1.44,1.44,-1.43,-1.42,-1.55,5.33,5.33,5.32
26.69,6.73,6.73,1.42,1.42,-1.42,-1.42,-1.58,5.31,5.31,5.32
26.96,6.71,6.71,1.40,1.40,-1.41,-1.41,-1.62,5.30,5.30,5.32
27.23,6.69,6.70,1.38,1.38,-1.40,-1.41,-1.65,5.29,5.29,5.31
27.50,6.69,6.69,1.38,1.38,-1.40,-1.41,-1.68,5.29,5.30,5.31
27.77,6.70,6.70,1.39,1.39,-1.39,-1.40,-1.71,5.31,5.31,5.31
28.05,6.70,6.70,1.39,1.40,-1.38,-1.40,-1.74,5.32,5.32,5.31
28.33,6.70,6.70,1.40,1.40,-1.38,-1.39,-1.76,5.33,5.32,5.31
28.62,6.69,6.69,1.39,1.39,-1.37,-1.39,-1.79,5.32,5.32,5.30
28.90,6.67,6.67,1.37,1.37,-1.36,-1.39,-1.81,5.31,5.31,5.30
29.19,6.65,6.65,1.35,1.35,-1.35,-1.38,-1.83,5.30,5.30,5.30
29.48,6.62,6.63,1.33,1.33,-1.35,-1.38,-1.85,5.28,5.28,5.30
29.78,6.61,6.61,1.32,1.32,-1.34,-1.37,-1.86,5.27,5.27,5.29
30.08,6.61,6.61,1.32,1.32,-1.34,-1.37,-1.88,5.27,5.27,5.29
30.38,6.62,6.62,1.33,1.33,-1.34,-1.36,-1.89,5.28,5.28,5.29
30.68,6.63,6.63,1.35,1.35,-1.34,-1.35,-1.89,5.29,5.29,5.29
30.99,6.64,6.64,1.36,1.36,-1.35,-1.35,-1.90,5.29,5.29,5.28
31.30,6.64,6.64,1.36,1.36,-1.35,-1.34,-1.90,5.29,5.29,5.28
31.61,6.64,6.64,1.37,1.36,-1.35,-1.34,-1.89,5.29,5.29,5.28
31.93,6.62,6.62,1.35,1.35,-1.34,-1.33,-1.89,5.28,5.28,5.27
32.24,6.60,6.60,1.33,1.33,-1.33,-1.32,-1.88,5.27,5.27,5.27
32.57,6.58,6.58,1.32,1.31,-1.31,-1.32,-1.87,5.27,5.27,5.27
32.89,6.55,6.55,1.29,1.29,-1.29,-1.31,-1.86,5.26,5.26,5.26
33.22,6.52,6.52,1.26,1.26,-1.27,-1.30,-1.84,5.26,5.26,5.26
33.55,6.49,6.49,1.24,1.24,-1.24,-1.29,-1.82,5.25,5.25,5.25
33.89,6.46,6.46,1.21,1.21,-1.22,-1.29,-1.80,5.24,5.24,5.25
34.23,6.44,6.44,1.20,1.19,-1.20,-1.28,-1.78,5.24,5.24,5.25
34.57,6.41,6.42,1.17,1.18,-1.18,-1.27,-1.75,5.23,5.24,5.24
34.92,6.40,6.40,1.16,1.17,-1.16,-1.26,-1.72,5.24,5.24,5.24
35.27,6.39,6.39,1.16,1.16,-1.15,-1.25,-1.69,5.24,5.24,5.23
35.62,6.37,6.37,1.14,1.14,-1.14,-1.24,-1.66,5.24,5.24,5.23
35.97,6.35,6.35,1.13,1.13,-1.12,-1.23,-1.63,5.23,5.23,5.22
36.33,6.32,6.32,1.10,1.11,-1.11,-1.22,-1.60,5.21,5.21,5.22
36.70,6.30,6.30,1.09,1.09,-1.10,-1.21,-1.56,5.20,5.20,5.21
37.06,6.28,6.29,1.08,1.08,-1.09,-1.20,-1.53,5.20,5.20,5.21
37.43,6.27,6.27,1.07,1.07,-1.07,-1.19,-1.49,5.20,5.21,5.20
37.81,6.26,6.26,1.07,1.06,-1.05,-1.17,-1.46,5.21,5.21,5.19
38.19,6.24,6.24,1.05,1.05,-1.03,-1.16,-1.42,5.21,5.20,5.19
38.57,6.20,6.20,1.02,1.02,-1.02,-1.15,-1.38,5.18,5.18,5.18
38.95,6.16,6.16,0.99,0.99,-1.00,-1.14,-1.35,5.16,5.16,5.17
39.34,6.13,6.14,0.96,0.97,-0.99,-1.12,-1.31,5.15,5.15,5.17
39.74,6.11,6.12,0.95,0.96,-0.96,-1.11,-1.28,5.15,5.15,5.16
40.14,6.11,6.11,0.96,0.95,-0.94,-1.09,-1.24,5.17,5.17,5.15
40.54,6.09,6.09,0.95,0.94,-0.92,-1.08,-1.20,5.17,5.17,5.15
40.94,6.06,6.05,0.93,0.92,-0.91,-1.06,-1.17,5.16,5.15,5.14
41.35,6.01,6.01,0.88,0.88,-0.89,-1.05,-1.14,5.12,5.12,5.13
41.76,5.96,5.97,0.84,0.85,-0.88,-1.03,-1.10,5.08,5.09,5.12
42.18,5.95,5.96,0.84,0.84,-0.87,-1.01,-1.07,5.08,5.09,5.11
42.60,5.95,5.95,0.85,0.85,-0.85,-0.99,-1.04,5.10,5.10,5.10
43.03,5.96,5.96,0.87,0.86,-0.84,-0.97,-1.00,5.13,5.12,5.09
43.46,5.94,5.93,0.86,0.85,-0.83,-0.96,-0.97,5.12,5.11,5.08
43.90,5.90,5.90,0.83,0.83,-0.82,-0.94,-0.94,5.08,5.07,5.07
44.33,5.84,5.85,0.78,0.79,-0.82,-0.92,-0.91,5.02,5.04,5.06
44.78,5.82,5.83,0.77,0.78,-0.81,-0.89,-0.88,5.01,5.02,5.05
45.23,5.82,5.82,0.78,0.79,-0.80,-0.87,-0.85,5.02,5.03,5.04
45.68,5.83,5.83,0.81,0.80,-0.78,-0.85,-0.82,5.05,5.04,5.03
46.13,5.82,5.81,0.81,0.80,-0.77,-0.83,-0.80,5.05,5.04,5.01
46.60,5.78,5.78,0.78,0.78,-0.76,-0.81,-0.77,5.03,5.02,5.00
47.06,5.72,5.73,0.74,0.74,-0.74,-0.78,-0.74,4.98,4.98,4.99
47.53,5.67,5.69,0.70,0.71,-0.73,-0.76,-0.72,4.94,4.96,4.97
48.01,5.66,5.66,0.70,0.70,-0.71,-0.74,-0.69,4.95,4.94,4.96
48.49,5.64,5.63,0.70,0.69,-0.69,-0.71,-0.67,4.95,4.94,4.94
48.97,5.60,5.61,0.67,0.68,-0.68,-0.69,-0.65,4.93,4.93,4.93
49.46,5.57,5.57,0.66,0.66,-0.66,-0.67,-0.62,4.91,4.91,4.91
49.96,5.54,5.55,0.65,0.65,-0.65,-0.64,-0.60,4.89,4.90,4.90
50.46,5.53,5.53,0.65,0.65,-0.64,-0.62,-0.58,4.89,4.88,4.88
50.96,5.51,5.50,0.65,0.64,-0.64,-0.59,-0.56,4.88,4.87,4.86
51.47,5.47,5.47,0.63,0.63,-0.63,-0.57,-0.54,4.84,4.84,4.84
51.99,5.43,5.44,0.61,0.61,-0.62,-0.55,-0.52,4.81,4.82,4.83
52.51,5.41,5.41,0.61,0.61,-0.61,-0.53,-0.51,4.80,4.80,4.81
53.03,5.39,5.39,0.61,0.61,-0.61,-0.51,-0.49,4.79,4.79,4.79
53.56,5.37,5.37,0.61,0.60,-0.60,-0.49,-0.47,4.78,4.77,4.77
54.10,5.33,5.33,0.59,0.59,-0.59,-0.47,-0.46,4.75,4.75,4.74
54.64,5.29,5.30,0.57,0.58,-0.57,-0.45,-0.44,4.72,4.72,4.72
55.18,5.26,5.26,0.56,0.56,-0.56,-0.43,-0.43,4.70,4.70,4.70
55.74,5.23,5.23,0.56,0.55,-0.55,-0.42,-0.41,4.68,4.68,4.68
56.29,5.19,5.19,0.54,0.54,-0.54,-0.40,-0.40,4.66,4.65,4.65
56.86,5.14,5.15,0.52,0.52,-0.52,-0.39,-0.39,4.62,4.62,4.63
57.42,5.10,5.10,0.50,0.50,-0.51,-0.38,-0.38,4.59,4.60,4.60
58.00,5.06,5.06,0.49,0.49,-0.49,-0.37,-0.37,4.57,4.57,4.57
58.58,5.03,5.03,0.48,0.48,-0.48,-0.37,-0.36,4.55,4.55,4.55
59.16,4.99,4.99,0.47,0.47,-0.47,-0.36,-0.36,4.52,4.52,4.52
59.76,4.95,4.95,0.46,0.46,-0.46,-0.36,-0.35,4.49,4.50,4.49
60.35,4.91,4.91,0.45,0.45,-0.45,-0.36,-0.34,4.46,4.46,4.46
60.96,4.87,4.87,0.44,0.44,-0.44,-0.36,-0.34,4.43,4.43,4.43
61.57,4.82,4.83,0.42,0.43,-0.43,-0.36,-0.34,4.39,4.40,4.40
62.18,4.79,4.79,0.43,0.43,-0.43,-0.37,-0.34,4.36,4.36,4.37
62.80,4.76,4.76,0.43,0.42,-0.42,-0.38,-0.34,4.34,4.33,4.33
63.43,4.72,4.72,0.42,0.42,-0.42,-0.38,-0.34,4.30,4.30,4.30
64.07,4.68,4.68,0.42,0.42,-0.42,-0.39,-0.34,4.26,4.26,4.26
64.71,4.64,4.65,0.41,0.42,-0.42,-0.41,-0.34,4.22,4.23,4.23
