frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.32,-18.31,-23.93,-23.92,6.00,6.58,2.79,-12.32,-12.31,5.61
20.20,-18.29,-18.30,-23.90,-23.91,6.00,6.58,2.87,-12.29,-12.30,5.61
20.40,-18.24,-18.25,-23.85,-23.86,6.00,6.57,2.95,-12.24,-12.25,5.61
20.61,-18.18,-18.16,-23.79,-23.77,6.00,6.57,3.04,-12.18,-12.16,5.61
20.81,-18.05,-18.04,-23.65,-23.65,6.00,6.56,3.12,-12.05,-12.04,5.61
21.02,-17.88,-17.88,-23.48,-23.49,6.00,6.56,3.21,-11.88,-11.88,5.61
21.23,-17.68,-17.67,-23.28,-23.28,6.00,6.55,3.30,-11.68,-11.67,5.61
21.44,-17.44,-17.45,-23.05,-23.05,6.00,6.55,3.40,-11.44,-11.45,5.61
21.66,-17.21,-17.21,-22.82,-22.81,6.00,6.54,3.49,-11.21,-11.21,5.60
21.87,-16.96,-16.97,-22.57,-22.57,6.00,6.54,3.60,-10.96,-10.97,5.60
22.09,-16.72,-16.73,-22.33,-22.33,6.00,6.53,3.70,-10.72,-10.73,5.60
22.31,-16.48,-16.49,-22.09,-22.09,6.00,6.53,3.80,-10.48,-10.49,5.60
22.54,-16.25,-16.25,-21.85,-21.85,6.00,6.52,3.91,-10.25,-10.25,5.60
22.76,-16.01,-16.01,-21.61,-21.61,6.00,6.52,4.02,-10.01,-10.01,5.60
22.99,-15.77,-15.77,-21.37,-21.37,6.00,6.51,4.13,-9.77,-9.77,5.60
23.22,-15.54,-15.54,-21.14,-21.14,6.00,6.50,4.25,-9.54,-9.54,5.60
23.45,-15.33,-15.33,-20.92,-20.93,6.00,6.50,4.37,-9.33,-9.33,5.60
23.69,-15.16,-15.16,-20.76,-20.76,6.00,6.49,4.49,-9.16,-9.16,5.60
23.92,-15.03,-15.03,-20.62,-20.63,6.00,6.48,4.61,-9.03,-9.03,5.59
24.16,-14.94,-14.94,-20.53,-20.53,6.00,6.48,4.74,-8.94,-8.94,5.59
24.40,-14.87,-14.88,-20.46,-20.47,6.00,6.47,4.87,-8.87,-8.88,5.59
24.65,-14.82,-14.81,-20.41,-20.40,6.00,6.46,5.00,-8.82,-8.81,5.59
24.89,-14.74,-14.73,-20.32,-20.32,6.00,6.46,5.13,-8.74,-8.73,5.59
25.14,-14.59,-14.58,-20.17,-20.17,6.00,6.45,5.27,-8.59,-8.58,5.59
25.39,-14.39,-14.38,-19.98,-19.97,6.00,6.44,5.40,-8.39,-8.38,5.59
25.65,-14.12,-14.12,-19.70,-19.71,6.00,6.44,5.54,-8.12,-8.12,5.59
25.91,-13.83,-13.83,-19.42,-19.41,6.00,6.43,5.67,-7.83,-7.83,5.58
26.16,-13.52,-13.53,-19.11,-19.12,6.00,6.42,5.81,-7.52,-7.53,5.58
26.43,-13.26,-13.27,-18.84,-18.85,6.00,6.41,5.94,-7.26,-7.27,5.58
26.69,-13.05,-13.05,-18.63,-18.62,6.00,6.41,6.08,-7.05,-7.05,5.58
26.96,-12.87,-12.88,-18.45,-18.46,6.00,6.40,6.21,-6.87,-6.88,5.58
27.23,-12.75,-12.75,-18.32,-18.33,6.00,6.39,6.34,-6.75,-6.75,5.58
27.50,-12.66,-12.66,-18.23,-18.23,6.00,6.38,6.47,-6.66,-6.66,5.57
27.77,-12.58,-12.58,-18.15,-18.15,6.00,6.37,6.59,-6.58,-6.58,5.57
28.05,-12.51,-12.50,-18.08,-18.07,6.00,6.36,6.72,-6.51,-6.50,5.57
28.33,-12.42,-12.42,-17.98,-17.99,6.00,6.35,6.83,-6.42,-6.42,5.57
28.62,-12.34,-12.34,-17.90,-17.91,6.00,6.34,6.94,-6.34,-6.34,5.57
28.90,-12.26,-12.26,-17.82,-17.83,6.00,6.34,7.04,-6.26,-6.26,5.56
29.19,-12.17,-12.17,-17.73,-17.73,6.00,6.33,7.13,-6.17,-6.17,5.56
29.48,-12.08,-12.06,-17.63,-17.62,6.00,6.32,7.22,-6.08,-6.06,5.56
29.78,-11.90,-11.91,-17.46,-17.46,6.00,6.31,7.29,-5.90,-5.91,5.56
30.08,-11.70,-11.69,-17.25,-17.24,6.00,6.30,7.36,-5.70,-5.69,5.55
30.38,-11.42,-11.40,-16.97,-16.95,6.00,6.29,7.42,-5.42,-5.40,5.55
30.68,-11.09,-11.10,-16.64,-16.65,6.00,6.28,7.46,-5.09,-5.10,5.55
30.99,-10.79,-10.80,-16.34,-16.35,6.00,6.27,7.49,-4.79,-4.80,5.55
31.30,-10.56,-10.57,-16.10,-16.11,6.00,6.25,7.51,-4.56,-4.57,5.54
31.61,-10.42,-10.43,-15.96,-15.97,6.00,6.24,7.52,-4.42,-4.43,5.54
31.93,-10.37,-10.39,-15.90,-15.92,6.00,6.23,7.52,-4.37,-4.39,5.54
32.24,-10.39,-10.39,-15.92,-15.92,6.00,6.22,7.51,-4.39,-4.39,5.53
32.57,-10.39,-10.37,-15.92,-15.90,6.00,6.21,7.49,-4.39,-4.37,5.53
32.89,-10.29,-10.26,-15.81,-15.79,6.00,6.20,7.46,-4.29,-4.26,5.53
33.22,-10.05,-10.03,-15.57,-15.55,6.00,6.19,7.41,-4.05,-4.03,5.52
33.55,-9.71,-9.71,-15.23,-15.23,6.00,6.17,7.36,-3.71,-3.71,5.52
33.89,-9.35,-9.37,-14.86,-14.88,6.00,6.16,7.30,-3.35,-3.37,5.51
34.23,-9.09,-9.10,-14.60,-14.60,6.00,6.15,7.24,-3.09,-3.10,5.51
34.57,-8.92,-8.95,-14.42,-14.46,6.00,6.14,7.16,-2.92,-2.95,5.50
34.92,-8.93,-8.95,-14.43,-14.45,6.00,6.13,7.09,-2.93,-2.95,5.50
35.27,-9.03,-9.03,-14.52,-14.53,6.00,6.11,7.00,-3.03,-3.03,5.50
35.62,-9.12,-9.10,-14.61,-14.59,6.00,6.10,6.92,-3.12,-3.10,5.49
35.97,-9.10,-9.05,-14.59,-14.53,6.00,6.09,6.83,-3.10,-3.05,5.49
36.33,-8.84,-8.84,-14.32,-14.32,6.00,6.07,6.73,-2.84,-2.84,5.48
36.70,-8.51,-8.51,-13.98,-13.98,6.00,6.06,6.64,-2.51,-2.51,5.47
37.06,-8.13,-8.16,-13.60,-13.63,6.00,6.05,6.55,-2.13,-2.16,5.47
37.43,-7.85,-7.88,-13.31,-13.34,6.00,6.03,6.45,-1.85,-1.88,5.46
37.81,-7.69,-7.69,-13.14,-13.15,6.00,6.02,6.36,-1.69,-1.69,5.46
38.19,-7.57,-7.57,-13.02,-13.02,6.00,6.01,6.27,-1.57,-1.57,5.45
38.57,-7.47,-7.45,-12.91,-12.90,6.00,5.99,6.18,-1.47,-1.45,5.44
38.95,-7.32,-7.31,-12.75,-12.74,6.00,5.98,6.09,-1.32,-1.31,5.44
39.34,-7.13,-7.13,-12.56,-12.56,6.00,5.97,6.00,-1.13,-1.13,5.43
39.74,-6.93,-6.93,-12.35,-12.35,6.00,5.95,5.92,-0.93,-0.93,5.42
40.14,-6.73,-6.74,-12.15,-12.15,6.00,5.94,5.83,-0.73,-0.74,5.42
40.54,-6.55,-6.56,-11.96,-11.96,6.00,5.93,5.76,-0.55,-0.56,5.41
40.94,-6.40,-6.39,-11.80,-11.79,6.00,5.92,5.68,-0.40,-0.39,5.40
41.35,-6.24,-6.24,-11.63,-11.63,6.00,5.90,5.61,-0.24,-0.24,5.39
41.76,-6.10,-6.09,-11.48,-11.48,6.00,5.89,5.54,-0.10,-0.09,5.38
42.18,-5.95,-5.95,-11.32,-11.32,6.00,5.88,5.48,0.05,0.05,5.37
42.60,-5.81,-5.80,-11.17,-11.17,6.00,5.87,5.42,0.19,0.20,5.36
43.03,-5.66,-5.65,-11.01,-11.01,6.00,5.86,5.36,0.34,0.35,5.35
43.46,-5.50,-5.50,-10.84,-10.84,6.00,5.85,5.31,0.50,0.50,5.34
43.90,-5.35,-5.35,-10.68,-10.68,6.00,5.84,5.26,0.65,0.65,5.33
44.33,-5.20,-5.20,-10.52,-10.53,6.00,5.84,5.22,0.80,0.80,5.32
44.78,-5.07,-5.07,-10.38,-10.38,6.00,5.83,5.18,0.93,0.93,5.31
45.23,-4.94,-4.94,-10.24,-10.24,6.00,5.83,5.14,1.06,1.06,5.30
45.68,-4.80,-4.79,-10.09,-10.08,6.00,5.83,5.11,1.20,1.21,5.29
46.13,-4.62,-4.61,-9.89,-9.89,6.00,5.83,5.08,1.38,1.39,5.28
46.60,-4.41,-4.41,-9.67,-9.67,6.00,5.83,5.05,1.59,1.59,5.26
47.06,-4.20,-4.20,-9.45,-9.45,6.00,5.84,5.03,1.80,1.80,5.25
47.53,-4.00,-4.02,-9.23,-9.25,6.00,5.84,5.02,2.00,1.98,5.24
48.01,-3.86,-3.86,-9.08,-9.08,6.00,5.86,5.00,2.14,2.14,5.22
48.49,-3.72,-3.71,-8.92,-8.92,6.00,5.87,4.99,2.28,2.29,5.21
48.97,-3.57,-3.55,-8.76,-8.75,6.00,5.89,4.98,2.43,2.45,5.19
49.46,-3.39,-3.39,-8.56,-8.57,6.00,5.91,4.98,2.61,2.61,5.18
49.96,-3.22,-3.23,-8.38,-8.39,6.00,5.94,4.97,2.78,2.77,5.16
50.46,-3.10,-3.10,-8.24,-8.24,6.00,5.97,4.97,2.90,2.90,5.14
50.96,-2.97,-2.97,-8.09,-8.09,6.00,6.00,4.98,3.03,3.03,5.12
51.47,-2.84,-2.83,-7.94,-7.93,6.00,6.03,4.98,3.16,3.17,5.11
51.99,-2.67,-2.67,-7.76,-7.75,6.00,6.07,4.99,3.33,3.33,5.09
52.51,-2.50,-2.51,-7.57,-7.58,6.00,6.10,4.99,3.50,3.49,5.07
53.03,-2.35,-2.36,-7.40,-7.41,6.00,6.14,5.00,3.65,3.64,5.05
53.56,-2.23,-2.22,-7.26,-7.25,6.00,6.16,5.01,3.77,3.78,5.03
54.10,-2.10,-2.09,-7.11,-7.10,6.00,6.18,5.01,3.90,3.91,5.01
54.64,-1.96,-1.96,-6.94,-6.95,6.01,6.19,5.02,4.05,4.05,4.98
55.18,-1.83,-1.83,-6.79,-6.79,6.03,6.18,5.03,4.20,4.19,4.96
55.74,-1.71,-1.70,-6.65,-6.64,6.03,6.16,5.03,4.32,4.33,4.94
56.29,-1.58,-1.57,-6.49,-6.49,6.03,6.11,5.03,4.45,4.46,4.91
56.86,-1.44,-1.44,-6.33,-6.33,6.01,6.05,5.03,4.57,4.56,4.89
57.42,-1.31,-1.31,-6.17,-6.17,5.96,5.96,5.03,4.65,4.65,4.86
58.00,-1.18,-1.17,-6.02,-6.01,5.89,5.86,5.02,4.71,4.71,4.84
58.58,-1.04,-1.03,-5.85,-5.84,5.79,5.74,5.01,4.75,4.76,4.81
59.16,-0.89,-0.89,-5.67,-5.67,5.67,5.60,4.99,4.78,4.78,4.78
59.76,-0.74,-0.74,-5.49,-5.50,5.52,5.46,4.97,4.78,4.78,4.75
60.35,-0.60,-0.60,-5.32,-5.32,5.36,5.31,4.95,4.76,4.76,4.72
60.96,-0.47,-0.46,-5.16,-5.15,5.17,5.16,4.91,4.71,4.71,4.69
61.57,-0.32,-0.32,-4.98,-4.99,4.99,5.00,4.88,4.67,4.66,4.66
62.18,-0.19,-0.19,-4.82,-4.82,4.81,4.85,4.83,4.62,4.62,4.63
62.80,-0.05,-0.03,-4.64,-4.63,4.64,4.69,4.79,4.60,4.61,4.60
63.43,0.10,0.10,-4.46,-4.46,4.48,4.54,4.73,4.58,4.58,4.56
64.07,0.25,0.22,-4.27,-4.30,4.32,4.39,4.67,4.57,4.54,4.53
64.71,0.31,0.32,-4.18,-4.17,4.16,4.24,4.60,4.47,4.47,4.49
65.35,0.40,0.42,-4.05,-4.03,4.00,4.09,4.53,4.41,4.42,4.45
66.01,0.52,0.55,-3.89,-3.87,3.86,3.95,4.45,4.38,4.40,4.42
66.67,0.70,0.68,-3.67,-3.70,3.72,3.81,4.37,4.42,4.39,4.38
67.33,0.81,0.79,-3.52,-3.55,3.58,3.67,4.28,4.40,4.37,4.34
68.01,0.85,0.87,-3.44,-3.43,3.45,3.53,4.18,4.30,4.32,4.30
68.69,0.92,0.93,-3.33,-3.33,3.32,3.40,4.09,4.24,4.25,4.25
69.37,0.99,1.00,-3.22,-3.21,3.19,3.26,3.98,4.19,4.19,4.21
70.07,1.08,1.08,-3.08,-3.08,3.07,3.13,3.88,4.15,4.15,4.17
70.77,1.17,1.17,-2.95,-2.95,2.95,2.99,3.77,4.12,4.12,4.12
71.48,1.26,1.26,-2.81,-2.82,2.82,2.86,3.66,4.08,4.08,4.07
72.19,1.34,1.33,-2.68,-2.69,2.69,2.73,3.54,4.03,4.03,4.03
72.91,1.40,1.41,-2.58,-2.57,2.55,2.60,3.42,3.96,3.96,3.98
73.64,1.49,1.50,-2.44,-2.43,2.41,2.47,3.31,3.91,3.91,3.93
74.38,1.59,1.59,-2.29,-2.29,2.28,2.34,3.19,3.87,3.87,3.88
75.12,1.70,1.69,-2.13,-2.14,2.15,2.21,3.07,3.85,3.84,3.83
75.87,1.77,1.78,-2.00,-2.00,2.03,2.09,2.94,3.80,3.80,3.78
76.63,1.84,1.85,-1.88,-1.88,1.90,1.97,2.82,3.75,3.75,3.72
77.40,1.91,1.89,-1.76,-1.77,1.78,1.85,2.70,3.69,3.68,3.67
