frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.93,-1.93,-9.88,-9.88,6.00,6.04,2.60,4.07,4.07,7.95
20.20,-1.90,-1.90,-9.85,-9.85,6.00,6.04,2.67,4.10,4.10,7.95
20.40,-1.88,-1.87,-9.82,-9.82,6.00,6.04,2.75,4.12,4.13,7.95
20.61,-1.85,-1.85,-9.79,-9.79,6.00,6.04,2.82,4.15,4.15,7.95
20.81,-1.82,-1.82,-9.76,-9.77,6.00,6.04,2.90,4.18,4.18,7.95
21.02,-1.80,-1.79,-9.74,-9.74,6.00,6.04,2.99,4.20,4.21,7.95
21.23,-1.78,-1.78,-9.72,-9.73,6.00,6.04,3.07,4.22,4.22,7.95
21.44,-1.78,-1.78,-9.72,-9.72,6.00,6.04,3.16,4.22,4.22,7.94
21.66,-1.80,-1.79,-9.74,-9.74,6.00,6.04,3.25,4.20,4.21,7.94
21.87,-1.82,-1.82,-9.76,-9.76,6.00,6.04,3.34,4.18,4.18,7.94
22.09,-1.85,-1.85,-9.79,-9.79,6.00,6.04,3.44,4.15,4.15,7.94
22.31,-1.89,-1.88,-9.83,-9.82,6.00,6.04,3.54,4.11,4.12,7.94
22.54,-1.91,-1.91,-9.85,-9.85,6.00,6.04,3.64,4.09,4.09,7.94
22.76,-1.94,-1.93,-9.88,-9.87,6.00,6.04,3.74,4.06,4.07,7.94
22.99,-1.94,-1.93,-9.88,-9.87,6.00,6.04,3.84,4.06,4.07,7.94
23.22,-1.93,-1.92,-9.86,-9.86,6.00,6.04,3.95,4.07,4.08,7.94
23.45,-1.90,-1.90,-9.83,-9.84,6.00,6.04,4.06,4.10,4.10,7.94
23.69,-1.87,-1.86,-9.80,-9.80,6.00,6.04,4.18,4.13,4.14,7.94
23.92,-1.83,-1.83,-9.76,-9.76,6.00,6.04,4.29,4.17,4.17,7.93
24.16,-1.79,-1.79,-9.72,-9.72,6.00,6.04,4.41,4.21,4.21,7.93
24.40,-1.76,-1.76,-9.69,-9.69,6.00,6.04,4.53,4.24,4.24,7.93
24.65,-1.74,-1.73,-9.67,-9.66,6.00,6.03,4.65,4.26,4.27,7.93
24.89,-1.71,-1.71,-9.64,-9.64,6.00,6.03,4.77,4.29,4.29,7.93
25.14,-1.68,-1.68,-9.60,-9.60,6.00,6.03,4.89,4.32,4.32,7.93
25.39,-1.64,-1.63,-9.56,-9.56,6.00,6.03,5.02,4.36,4.37,7.93
25.65,-1.59,-1.58,-9.51,-9.51,6.00,6.03,5.15,4.41,4.42,7.93
25.91,-1.52,-1.52,-9.44,-9.44,6.00,6.03,5.27,4.48,4.48,7.92
26.16,-1.45,-1.45,-9.37,-9.37,6.00,6.03,5.40,4.55,4.55,7.92
26.43,-1.38,-1.38,-9.30,-9.30,6.00,6.03,5.52,4.62,4.62,7.92
26.69,-1.33,-1.33,-9.25,-9.25,6.00,6.03,5.65,4.67,4.67,7.92
26.96,-1.29,-1.29,-9.20,-9.21,6.00,6.03,5.77,4.71,4.71,7.92
27.23,-1.28,-1.27,-9.19,-9.19,6.00,6.03,5.90,4.72,4.73,7.92
27.50,-1.27,-1.26,-9.18,-9.18,6.00,6.03,6.02,4.73,4.74,7.91
27.77,-1.26,-1.26,-9.17,-9.17,6.00,6.03,6.13,4.74,4.74,7.91
28.05,-1.26,-1.25,-9.17,-9.16,6.00,6.03,6.25,4.74,4.75,7.91
28.33,-1.25,-1.25,-9.15,-9.16,6.00,6.03,6.35,4.75,4.75,7.91
28.62,-1.25,-1.25,-9.15,-9.16,6.00,6.03,6.46,4.75,4.75,7.91
28.90,-1.27,-1.27,-9.17,-9.17,6.00,6.03,6.55,4.73,4.73,7.90
29.19,-1.29,-1.29,-9.19,-9.19,6.00,6.03,6.64,4.71,4.71,7.90
29.48,-1.30,-1.29,-9.19,-9.19,6.00,6.03,6.73,4.70,4.71,7.90
29.78,-1.26,-1.26,-9.15,-9.15,6.00,6.03,6.80,4.74,4.74,7.90
30.08,-1.20,-1.18,-9.09,-9.07,6.00,6.03,6.87,4.80,4.82,7.89
30.38,-1.06,-1.05,-8.95,-8.94,6.00,6.03,6.93,4.94,4.95,7.89
30.68,-0.91,-0.92,-8.79,-8.80,6.00,6.03,6.98,5.09,5.08,7.89
30.99,-0.81,-0.82,-8.69,-8.71,6.00,6.03,7.02,5.19,5.18,7.88
31.30,-0.81,-0.82,-8.69,-8.70,6.00,6.03,7.05,5.19,5.18,7.88
31.61,-0.90,-0.91,-8.77,-8.79,6.00,6.03,7.07,5.10,5.09,7.88
31.93,-1.07,-1.08,-8.95,-8.96,6.00,6.03,7.08,4.93,4.92,7.88
32.24,-1.26,-1.25,-9.13,-9.12,6.00,6.03,7.09,4.74,4.75,7.87
32.57,-1.38,-1.34,-9.24,-9.21,6.00,6.03,7.08,4.62,4.66,7.87
32.89,-1.32,-1.30,-9.19,-9.16,6.00,6.03,7.07,4.68,4.70,7.86
33.22,-1.15,-1.14,-9.01,-9.00,6.00,6.03,7.05,4.85,4.86,7.86
33.55,-0.91,-0.93,-8.77,-8.79,6.00,6.03,7.02,5.09,5.07,7.86
33.89,-0.75,-0.77,-8.60,-8.62,6.00,6.03,6.99,5.25,5.23,7.85
34.23,-0.68,-0.69,-8.53,-8.54,6.00,6.03,6.95,5.32,5.31,7.85
34.57,-0.69,-0.70,-8.53,-8.55,6.00,6.03,6.90,5.31,5.30,7.84
34.92,-0.78,-0.76,-8.62,-8.60,6.00,6.03,6.85,5.22,5.24,7.84
35.27,-0.83,-0.81,-8.66,-8.65,6.00,6.03,6.80,5.17,5.19,7.84
35.62,-0.84,-0.83,-8.67,-8.66,6.00,6.03,6.74,5.16,5.17,7.83
35.97,-0.80,-0.79,-8.62,-8.62,6.00,6.03,6.68,5.20,5.21,7.83
36.33,-0.74,-0.75,-8.56,-8.57,6.00,6.02,6.62,5.26,5.25,7.82
36.70,-0.70,-0.70,-8.51,-8.52,6.00,6.02,6.56,5.30,5.30,7.81
37.06,-0.68,-0.68,-8.48,-8.49,6.00,6.02,6.50,5.32,5.32,7.81
37.43,-0.67,-0.66,-8.47,-8.47,6.00,6.02,6.44,5.33,5.34,7.80
37.81,-0.65,-0.64,-8.44,-8.44,6.00,6.02,6.38,5.35,5.36,7.80
38.19,-0.62,-0.61,-8.41,-8.41,6.00,6.02,6.32,5.38,5.39,7.79
38.57,-0.58,-0.58,-8.36,-8.37,6.00,6.02,6.26,5.42,5.42,7.78
38.95,-0.56,-0.55,-8.33,-8.33,6.00,6.02,6.21,5.44,5.45,7.78
39.34,-0.53,-0.53,-8.30,-8.30,6.00,6.02,6.16,5.47,5.47,7.77
39.74,-0.50,-0.50,-8.26,-8.26,6.00,6.02,6.11,5.50,5.50,7.76
40.14,-0.47,-0.46,-8.22,-8.21,6.00,6.02,6.06,5.53,5.54,7.76
40.54,-0.42,-0.42,-8.16,-8.16,6.00,6.02,6.02,5.58,5.58,7.75
40.94,-0.37,-0.37,-8.11,-8.11,6.00,6.02,5.98,5.63,5.63,7.74
41.35,-0.33,-0.33,-8.06,-8.06,6.00,6.02,5.95,5.67,5.67,7.73
41.76,-0.30,-0.30,-8.02,-8.02,6.00,6.02,5.92,5.70,5.70,7.72
42.18,-0.28,-0.28,-7.99,-7.99,6.00,6.02,5.89,5.72,5.72,7.71
42.60,-0.27,-0.26,-7.97,-7.97,6.00,6.02,5.87,5.73,5.74,7.70
43.03,-0.25,-0.24,-7.94,-7.94,6.00,6.02,5.85,5.75,5.76,7.69
43.46,-0.22,-0.22,-7.90,-7.90,6.00,6.02,5.84,5.78,5.78,7.68
43.90,-0.19,-0.19,-7.86,-7.86,6.00,6.02,5.83,5.81,5.81,7.67
44.33,-0.16,-0.16,-7.82,-7.82,6.00,6.02,5.82,5.84,5.84,7.66
