frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.65,9.65,2.16,2.16,-2.19,-1.99,-1.04,7.46,7.46,7.48
20.20,9.66,9.66,2.17,2.17,-2.18,-1.99,-1.07,7.48,7.48,7.48
20.40,9.67,9.66,2.18,2.18,-2.17,-1.99,-1.11,7.50,7.50,7.48
20.61,9.67,9.66,2.18,2.18,-2.16,-1.99,-1.14,7.50,7.50,7.48
20.81,9.66,9.66,2.17,2.18,-2.16,-1.99,-1.17,7.49,7.50,7.48
21.02,9.66,9.65,2.18,2.17,-2.16,-1.99,-1.21,7.49,7.49,7.48
21.23,9.65,9.65,2.17,2.17,-2.17,-1.99,-1.24,7.48,7.48,7.48
21.44,9.65,9.65,2.17,2.17,-2.18,-1.99,-1.28,7.47,7.47,7.48
21.66,9.66,9.65,2.18,2.17,-2.19,-1.99,-1.32,7.47,7.46,7.48
21.87,9.67,9.67,2.19,2.19,-2.20,-1.99,-1.36,7.46,7.46,7.48
22.09,9.69,9.69,2.21,2.22,-2.22,-1.99,-1.40,7.46,7.47,7.48
22.31,9.73,9.72,2.25,2.25,-2.25,-1.99,-1.44,7.48,7.47,7.48
22.54,9.76,9.76,2.28,2.28,-2.27,-1.99,-1.48,7.48,7.48,7.48
22.76,9.79,9.78,2.31,2.31,-2.30,-1.99,-1.53,7.49,7.49,7.47
22.99,9.81,9.80,2.33,2.33,-2.32,-1.99,-1.57,7.49,7.49,7.47
23.22,9.82,9.82,2.34,2.35,-2.34,-1.99,-1.62,7.48,7.48,7.47
23.45,9.83,9.82,2.35,2.35,-2.35,-1.99,-1.66,7.48,7.47,7.47
23.69,9.83,9.83,2.36,2.36,-2.36,-1.99,-1.71,7.47,7.47,7.47
23.92,9.83,9.83,2.36,2.36,-2.36,-1.99,-1.76,7.46,7.47,7.47
24.16,9.83,9.83,2.36,2.36,-2.36,-1.99,-1.81,7.46,7.46,7.47
24.40,9.83,9.83,2.36,2.36,-2.36,-1.99,-1.86,7.47,7.47,7.47
24.65,9.83,9.83,2.36,2.36,-2.36,-1.99,-1.91,7.47,7.47,7.47
24.89,9.83,9.83,2.36,2.36,-2.36,-1.99,-1.96,7.47,7.47,7.46
25.14,9.83,9.82,2.36,2.36,-2.36,-1.99,-2.01,7.47,7.47,7.46
25.39,9.83,9.82,2.36,2.36,-2.36,-1.99,-2.06,7.46,7.46,7.46
25.65,9.82,9.82,2.36,2.36,-2.37,-1.99,-2.11,7.44,7.45,7.46
25.91,9.83,9.83,2.37,2.37,-2.39,-1.99,-2.16,7.44,7.44,7.46
26.16,9.84,9.84,2.38,2.38,-2.40,-1.99,-2.21,7.43,7.44,7.46
26.43,9.87,9.86,2.41,2.41,-2.41,-1.99,-2.27,7.45,7.45,7.46
26.69,9.89,9.89,2.43,2.43,-2.42,-1.99,-2.32,7.47,7.47,7.45
26.96,9.91,9.90,2.45,2.45,-2.42,-1.99,-2.36,7.49,7.49,7.45
27.23,9.91,9.90,2.46,2.45,-2.41,-1.99,-2.41,7.50,7.49,7.45
27.50,9.88,9.87,2.43,2.43,-2.40,-1.99,-2.46,7.48,7.48,7.45
27.77,9.84,9.83,2.39,2.39,-2.39,-1.99,-2.50,7.45,7.44,7.45
28.05,9.79,9.79,2.34,2.34,-2.38,-1.99,-2.55,7.40,7.41,7.44
28.33,9.76,9.76,2.31,2.32,-2.38,-1.99,-2.59,7.38,7.38,7.44
28.62,9.76,9.76,2.32,2.32,-2.38,-1.99,-2.63,7.38,7.38,7.44
28.90,9.79,9.79,2.35,2.35,-2.37,-1.99,-2.66,7.42,7.42,7.44
29.19,9.82,9.82,2.38,2.39,-2.35,-1.99,-2.69,7.47,7.47,7.44
29.48,9.86,9.84,2.42,2.41,-2.33,-1.98,-2.72,7.53,7.51,7.43
29.78,9.82,9.82,2.39,2.39,-2.29,-1.98,-2.75,7.52,7.52,7.43
30.08,9.77,9.75,2.34,2.32,-2.27,-1.98,-2.77,7.50,7.48,7.43
30.38,9.66,9.65,2.23,2.23,-2.25,-1.98,-2.79,7.41,7.41,7.42
30.68,9.56,9.57,2.13,2.15,-2.24,-1.98,-2.80,7.32,7.33,7.42
30.99,9.53,9.54,2.11,2.12,-2.25,-1.98,-2.81,7.28,7.29,7.42
31.30,9.57,9.58,2.15,2.16,-2.27,-1.98,-2.81,7.30,7.31,7.42
31.61,9.67,9.67,2.25,2.26,-2.29,-1.98,-2.82,7.37,7.38,7.41
31.93,9.79,9.79,2.38,2.38,-2.32,-1.98,-2.81,7.48,7.47,7.41
32.24,9.88,9.87,2.47,2.46,-2.34,-1.98,-2.81,7.53,7.53,7.41
32.57,9.91,9.89,2.50,2.48,-2.36,-1.98,-2.80,7.55,7.53,7.40
32.89,9.84,9.83,2.44,2.43,-2.36,-1.98,-2.78,7.48,7.47,7.40
33.22,9.74,9.74,2.34,2.34,-2.35,-1.97,-2.76,7.39,7.39,7.40
33.55,9.63,9.64,2.23,2.25,-2.32,-1.97,-2.74,7.30,7.32,7.39
33.89,9.57,9.58,2.18,2.19,-2.29,-1.97,-2.72,7.28,7.29,7.39
34.23,9.57,9.57,2.18,2.19,-2.26,-1.97,-2.69,7.31,7.31,7.38
34.57,9.60,9.60,2.22,2.22,-2.23,-1.97,-2.66,7.36,7.36,7.38
34.92,9.64,9.63,2.26,2.25,-2.22,-1.97,-2.63,7.41,7.40,7.37
35.27,9.65,9.64,2.28,2.27,-2.22,-1.97,-2.60,7.42,7.42,7.37
35.62,9.64,9.63,2.27,2.27,-2.23,-1.97,-2.56,7.41,7.41,7.36
35.97,9.61,9.60,2.25,2.24,-2.23,-1.96,-2.52,7.38,7.38,7.36
36.33,9.57,9.57,2.21,2.22,-2.22,-1.96,-2.48,7.34,7.35,7.35
36.70,9.54,9.54,2.19,2.19,-2.21,-1.96,-2.44,7.33,7.33,7.35
37.06,9.52,9.51,2.17,2.17,-2.19,-1.96,-2.40,7.33,7.33,7.34
37.43,9.50,9.50,2.16,2.16,-2.17,-1.96,-2.36,7.33,7.33,7.34
37.81,9.48,9.48,2.14,2.14,-2.15,-1.95,-2.32,7.33,7.33,7.33
38.19,9.46,9.46,2.13,2.13,-2.13,-1.95,-2.28,7.32,7.32,7.32
38.57,9.44,9.44,2.12,2.12,-2.12,-1.95,-2.24,7.32,7.32,7.32
38.95,9.42,9.42,2.10,2.11,-2.09,-1.95,-2.20,7.32,7.32,7.31
39.34,9.40,9.39,2.09,2.09,-2.07,-1.94,-2.16,7.33,7.32,7.30
39.74,9.36,9.36,2.06,2.06,-2.04,-1.94,-2.12,7.31,7.31,7.30
40.14,9.32,9.31,2.03,2.02,-2.02,-1.94,-2.08,7.30,7.30,7.29
40.54,9.27,9.27,1.98,1.99,-1.99,-1.93,-2.04,7.27,7.27,7.28
40.94,9.23,9.23,1.95,1.95,-1.98,-1.93,-2.00,7.25,7.25,7.27
41.35,9.20,9.20,1.93,1.93,-1.96,-1.93,-1.96,7.23,7.24,7.27
41.76,9.19,9.19,1.93,1.93,-1.96,-1.92,-1.93,7.23,7.23,7.26
42.18,9.20,9.20,1.95,1.95,-1.96,-1.92,-1.90,7.24,7.24,7.25
42.60,9.21,9.21,1.97,1.97,-1.96,-1.92,-1.86,7.25,7.25,7.24
43.03,9.22,9.21,1.99,1.98,-1.96,-1.91,-1.83,7.26,7.25,7.23
43.46,9.20,9.20,1.98,1.98,-1.96,-1.91,-1.80,7.24,7.24,7.22
43.90,9.18,9.17,1.97,1.97,-1.95,-1.90,-1.77,7.22,7.22,7.21
44.33,9.14,9.14,1.94,1.94,-1.94,-1.90,-1.74,7.19,7.20,7.20
44.78,9.11,9.11,1.92,1.92,-1.92,-1.89,-1.72,7.18,7.18,7.19
45.23,9.08,9.07,1.90,1.90,-1.90,-1.89,-1.69,7.17,7.17,7.17
45.68,9.04,9.04,1.87,1.88,-1.88,-1.88,-1.67,7.16,7.16,7.16
46.13,9.01,9.00,1.86,1.85,-1.86,-1.87,-1.65,7.15,7.14,7.15
46.60,8.97,8.97,1.83,1.83,-1.84,-1.87,-1.63,7.12,7.13,7.14
47.06,8.95,8.94,1.82,1.82,-1.83,-1.86,-1.61,7.12,7.11,7.12
47.53,8.92,8.92,1.81,1.81,-1.82,-1.85,-1.59,7.10,7.10,7.11
48.01,8.91,8.90,1.81,1.81,-1.81,-1.85,-1.57,7.10,7.10,7.10
48.49,8.89,8.89,1.81,1.81,-1.80,-1.84,-1.55,7.09,7.09,7.08
48.97,8.87,8.86,1.80,1.80,-1.78,-1.83,-1.54,7.08,7.08,7.07
49.46,8.84,8.83,1.79,1.78,-1.78,-1.82,-1.53,7.06,7.06,7.05
49.96,8.80,8.80,1.76,1.76,-1.77,-1.81,-1.51,7.03,7.03,7.03
50.46,8.76,8.76,1.74,1.74,-1.76,-1.80,-1.50,7.00,7.00,7.02
50.96,8.73,8.73,1.73,1.73,-1.75,-1.79,-1.49,6.98,6.98,7.00
51.47,8.71,8.71,1.73,1.73,-1.73,-1.78,-1.48,6.97,6.98,6.98
51.99,8.70,8.69,1.73,1.73,-1.72,-1.77,-1.47,6.98,6.97,6.96
52.51,8.67,8.66,1.72,1.72,-1.71,-1.76,-1.47,6.96,6.95,6.94
53.03,8.63,8.63,1.70,1.71,-1.70,-1.75,-1.46,6.93,6.93,6.92
53.56,8.59,8.59,1.68,1.68,-1.69,-1.74,-1.45,6.90,6.90,6.90
54.10,8.55,8.55,1.67,1.67,-1.67,-1.72,-1.45,6.87,6.87,6.88
54.64,8.51,8.51,1.65,1.65,-1.65,-1.71,-1.44,6.85,6.85,6.86
55.18,8.48,8.47,1.64,1.64,-1.64,-1.70,-1.44,6.84,6.84,6.84
55.74,8.44,8.44,1.62,1.62,-1.62,-1.69,-1.44,6.82,6.82,6.81
56.29,8.40,8.39,1.61,1.61,-1.60,-1.67,-1.43,6.79,6.79,6.79
56.86,8.35,8.35,1.58,1.59,-1.59,-1.66,-1.43,6.76,6.76,6.76
57.42,8.31,8.31,1.57,1.57,-1.57,-1.64,-1.43,6.73,6.73,6.74
58.00,8.27,8.27,1.55,1.55,-1.56,-1.63,-1.43,6.71,6.71,6.71
58.58,8.23,8.23,1.54,1.55,-1.54,-1.62,-1.43,6.68,6.69,6.68
59.16,8.20,8.19,1.54,1.54,-1.53,-1.60,-1.42,6.66,6.66,6.66
