frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.82,8.82,1.33,1.33,-1.33,-1.43,0.06,7.49,7.49,7.49
20.20,8.78,8.78,1.29,1.29,-1.29,-1.39,0.06,7.49,7.49,7.49
20.40,8.75,8.75,1.26,1.26,-1.26,-1.34,0.07,7.49,7.49,7.49
20.61,8.71,8.71,1.22,1.22,-1.22,-1.29,0.07,7.49,7.49,7.49
20.81,8.68,8.68,1.19,1.19,-1.19,-1.25,0.07,7.49,7.49,7.49
21.02,8.64,8.64,1.15,1.15,-1.15,-1.20,0.07,7.49,7.49,7.49
21.23,8.60,8.60,1.11,1.12,-1.12,-1.16,0.07,7.48,7.49,7.49
21.44,8.57,8.56,1.08,1.08,-1.08,-1.11,0.08,7.49,7.48,7.48
21.66,8.53,8.53,1.05,1.05,-1.05,-1.07,0.08,7.48,7.48,7.48
21.87,8.49,8.49,1.01,1.01,-1.01,-1.02,0.08,7.48,7.48,7.48
22.09,8.46,8.46,0.98,0.97,-0.97,-0.98,0.08,7.49,7.48,7.48
22.31,8.42,8.42,0.94,0.94,-0.94,-0.93,0.08,7.48,7.48,7.48
22.54,8.38,8.38,0.90,0.90,-0.90,-0.89,0.09,7.48,7.48,7.48
22.76,8.34,8.34,0.86,0.86,-0.86,-0.84,0.09,7.47,7.48,7.48
22.99,8.31,8.31,0.83,0.83,-0.83,-0.80,0.09,7.48,7.48,7.48
23.22,8.27,8.27,0.79,0.79,-0.79,-0.75,0.09,7.48,7.48,7.48
23.45,8.23,8.23,0.75,0.75,-0.75,-0.71,0.10,7.48,7.48,7.48
23.69,8.19,8.19,0.71,0.71,-0.71,-0.66,0.10,7.48,7.48,7.48
23.92,8.15,8.15,0.67,0.67,-0.68,-0.62,0.10,7.47,7.47,7.47
24.16,8.11,8.11,0.64,0.64,-0.64,-0.58,0.11,7.47,7.47,7.47
24.40,8.07,8.07,0.60,0.60,-0.60,-0.53,0.11,7.47,7.47,7.47
24.65,8.03,8.03,0.56,0.56,-0.56,-0.49,0.11,7.47,7.47,7.47
24.89,7.99,7.99,0.52,0.52,-0.52,-0.45,0.11,7.47,7.47,7.47
25.14,7.95,7.95,0.48,0.48,-0.48,-0.41,0.12,7.47,7.47,7.47
25.39,7.91,7.91,0.44,0.44,-0.44,-0.36,0.12,7.47,7.47,7.47
25.65,7.87,7.87,0.40,0.40,-0.40,-0.32,0.12,7.47,7.47,7.46
25.91,7.83,7.83,0.37,0.37,-0.37,-0.28,0.13,7.46,7.46,7.46
26.16,7.79,7.79,0.33,0.33,-0.33,-0.24,0.13,7.46,7.46,7.46
26.43,7.75,7.75,0.29,0.29,-0.29,-0.20,0.13,7.46,7.46,7.46
26.69,7.71,7.71,0.25,0.25,-0.25,-0.16,0.14,7.46,7.46,7.46
26.96,7.67,7.67,0.21,0.21,-0.21,-0.12,0.14,7.46,7.46,7.46
27.23,7.63,7.63,0.17,0.17,-0.17,-0.08,0.14,7.45,7.45,7.46
27.50,7.59,7.59,0.14,0.14,-0.14,-0.04,0.14,7.45,7.45,7.45
27.77,7.55,7.55,0.10,0.10,-0.10,-0.01,0.15,7.45,7.45,7.45
28.05,7.51,7.51,0.06,0.06,-0.06,0.03,0.15,7.45,7.45,7.45
28.33,7.47,7.47,0.02,0.02,-0.02,0.07,0.15,7.45,7.45,7.45
28.62,7.43,7.43,-0.02,-0.02,0.02,0.11,0.16,7.45,7.45,7.44
28.90,7.39,7.39,-0.05,-0.06,0.06,0.14,0.16,7.45,7.44,7.44
29.19,7.34,7.34,-0.10,-0.10,0.10,0.18,0.16,7.44,7.44,7.44
29.48,7.30,7.30,-0.14,-0.14,0.14,0.21,0.17,7.43,7.43,7.44
29.78,7.26,7.26,-0.18,-0.18,0.17,0.24,0.17,7.43,7.43,7.44
30.08,7.22,7.22,-0.21,-0.21,0.21,0.28,0.17,7.43,7.43,7.43
30.38,7.19,7.19,-0.24,-0.24,0.24,0.31,0.18,7.43,7.43,7.43
30.68,7.15,7.15,-0.28,-0.28,0.28,0.34,0.18,7.43,7.43,7.43
30.99,7.11,7.11,-0.31,-0.31,0.31,0.37,0.18,7.42,7.43,7.42
31.30,7.08,7.08,-0.34,-0.35,0.35,0.40,0.18,7.43,7.42,7.42
31.61,7.04,7.04,-0.38,-0.38,0.38,0.43,0.19,7.42,7.42,7.42
31.93,7.00,7.00,-0.42,-0.41,0.41,0.46,0.19,7.41,7.42,7.41
32.24,6.96,6.96,-0.45,-0.45,0.45,0.49,0.19,7.41,7.41,7.41
32.57,6.93,6.92,-0.48,-0.48,0.48,0.52,0.20,7.41,7.41,7.41
32.89,6.89,6.89,-0.52,-0.52,0.52,0.55,0.20,7.40,7.40,7.40
33.22,6.85,6.85,-0.55,-0.55,0.55,0.57,0.20,7.40,7.40,7.40
33.55,6.82,6.82,-0.58,-0.58,0.58,0.60,0.20,7.40,7.40,7.40
33.89,6.78,6.78,-0.61,-0.61,0.61,0.62,0.21,7.39,7.39,7.39
34.23,6.75,6.75,-0.64,-0.64,0.64,0.64,0.21,7.39,7.39,7.39
