frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.76,7.76,3.41,3.41,-3.40,-4.46,-2.09,4.35,4.35,4.35
20.20,7.80,7.80,3.42,3.42,-3.42,-4.46,-2.15,4.38,4.38,4.38
20.40,7.84,7.84,3.43,3.43,-3.43,-4.47,-2.21,4.41,4.41,4.41
20.61,7.88,7.88,3.45,3.44,-3.45,-4.47,-2.27,4.43,4.43,4.43
20.81,7.92,7.92,3.46,3.46,-3.46,-4.47,-2.34,4.46,4.45,4.46
21.02,7.96,7.96,3.47,3.48,-3.49,-4.48,-2.40,4.47,4.47,4.49
21.23,8.00,8.00,3.50,3.50,-3.51,-4.48,-2.47,4.49,4.49,4.50
21.44,8.05,8.05,3.54,3.54,-3.54,-4.49,-2.54,4.51,4.51,4.51
21.66,8.09,8.09,3.57,3.58,-3.57,-4.49,-2.62,4.52,4.52,4.52
21.87,8.13,8.13,3.61,3.61,-3.60,-4.50,-2.69,4.53,4.53,4.52
22.09,8.17,8.17,3.64,3.64,-3.64,-4.50,-2.77,4.53,4.52,4.53
22.31,8.20,8.20,3.67,3.68,-3.68,-4.51,-2.85,4.52,4.52,4.53
22.54,8.24,8.24,3.71,3.72,-3.72,-4.51,-2.93,4.52,4.52,4.52
22.76,8.28,8.28,3.76,3.76,-3.76,-4.52,-3.01,4.52,4.52,4.52
22.99,8.32,8.32,3.81,3.80,-3.80,-4.52,-3.10,4.52,4.52,4.51
23.22,8.35,8.35,3.84,3.84,-3.83,-4.53,-3.18,4.52,4.52,4.51
23.45,8.39,8.39,3.88,3.88,-3.87,-4.53,-3.27,4.52,4.52,4.51
23.69,8.42,8.42,3.91,3.91,-3.91,-4.54,-3.36,4.51,4.51,4.51
23.92,8.46,8.46,3.95,3.94,-3.94,-4.54,-3.45,4.51,4.51,4.51
24.16,8.49,8.49,3.97,3.98,-3.98,-4.55,-3.55,4.51,4.51,4.52
24.40,8.53,8.53,4.01,4.01,-4.02,-4.56,-3.65,4.51,4.51,4.52
24.65,8.56,8.56,4.05,4.05,-4.05,-4.56,-3.74,4.51,4.51,4.51
24.89,8.60,8.60,4.09,4.09,-4.09,-4.57,-3.84,4.51,4.51,4.51
25.14,8.63,8.63,4.12,4.12,-4.12,-4.57,-3.94,4.50,4.51,4.51
25.39,8.66,8.66,4.16,4.16,-4.16,-4.58,-4.04,4.50,4.50,4.50
25.65,8.70,8.70,4.20,4.20,-4.20,-4.59,-4.14,4.50,4.50,4.50
25.91,8.73,8.73,4.24,4.23,-4.23,-4.59,-4.24,4.50,4.50,4.49
26.16,8.76,8.76,4.27,4.27,-4.26,-4.60,-4.34,4.50,4.50,4.49
26.43,8.79,8.79,4.30,4.30,-4.29,-4.61,-4.44,4.50,4.49,4.49
26.69,8.81,8.81,4.32,4.32,-4.32,-4.62,-4.54,4.49,4.49,4.49
26.96,8.84,8.84,4.35,4.35,-4.35,-4.62,-4.64,4.49,4.48,4.49
27.23,8.86,8.86,4.37,4.38,-4.38,-4.63,-4.74,4.48,4.48,4.49
27.50,8.89,8.89,4.40,4.40,-4.41,-4.64,-4.83,4.48,4.48,4.49
27.77,8.91,8.91,4.44,4.43,-4.43,-4.65,-4.93,4.48,4.48,4.47
28.05,8.93,8.93,4.46,4.46,-4.46,-4.66,-5.02,4.47,4.47,4.47
28.33,8.95,8.95,4.49,4.48,-4.48,-4.66,-5.10,4.47,4.47,4.46
28.62,8.96,8.96,4.50,4.50,-4.50,-4.67,-5.18,4.46,4.46,4.46
28.90,8.98,8.98,4.52,4.53,-4.53,-4.68,-5.26,4.45,4.46,4.46
29.19,9.00,9.00,4.55,4.55,-4.55,-4.69,-5.33,4.45,4.45,4.45
29.48,9.02,9.02,4.56,4.57,-4.57,-4.70,-5.40,4.45,4.45,4.45
29.78,9.03,9.03,4.59,4.59,-4.59,-4.71,-5.46,4.44,4.44,4.44
30.08,9.05,9.05,4.61,4.61,-4.61,-4.72,-5.51,4.44,4.44,4.44
30.38,9.06,9.06,4.63,4.63,-4.63,-4.73,-5.56,4.43,4.43,4.43
30.68,9.08,9.08,4.65,4.65,-4.65,-4.74,-5.60,4.43,4.43,4.43
30.99,9.09,9.09,4.67,4.67,-4.67,-4.75,-5.63,4.42,4.42,4.41
31.30,9.11,9.11,4.70,4.69,-4.70,-4.76,-5.66,4.41,4.41,4.41
31.61,9.12,9.12,4.71,4.72,-4.72,-4.78,-5.68,4.40,4.40,4.41
31.93,9.14,9.14,4.74,4.74,-4.74,-4.79,-5.69,4.40,4.40,4.40
32.24,9.15,9.15,4.76,4.76,-4.76,-4.80,-5.69,4.39,4.39,4.39
32.57,9.17,9.17,4.79,4.78,-4.78,-4.81,-5.69,4.39,4.39,4.38
32.89,9.18,9.18,4.80,4.80,-4.80,-4.83,-5.68,4.38,4.38,4.38
33.22,9.19,9.19,4.82,4.82,-4.82,-4.84,-5.67,4.37,4.37,4.37
33.55,9.21,9.21,4.84,4.84,-4.85,-4.85,-5.65,4.36,4.36,4.37
33.89,9.22,9.22,4.87,4.87,-4.87,-4.87,-5.62,4.35,4.35,4.35
34.23,9.24,9.24,4.89,4.89,-4.89,-4.88,-5.60,4.35,4.35,4.35
34.57,9.26,9.26,4.92,4.92,-4.92,-4.90,-5.56,4.34,4.34,4.34
34.92,9.28,9.28,4.96,4.95,-4.95,-4.91,-5.52,4.33,4.33,4.32
35.27,9.30,9.30,4.98,4.98,-4.99,-4.93,-5.48,4.31,4.31,4.32
35.62,9.32,9.32,5.01,5.02,-5.02,-4.95,-5.44,4.30,4.30,4.31
35.97,9.35,9.35,5.06,5.05,-5.06,-4.96,-5.40,4.29,4.29,4.29
36.33,9.38,9.38,5.09,5.09,-5.10,-4.98,-5.35,4.28,4.28,4.29
36.70,9.41,9.41,5.13,5.14,-5.13,-5.00,-5.31,4.28,4.28,4.27
37.06,9.44,9.44,5.18,5.18,-5.17,-5.02,-5.26,4.27,4.27,4.26
37.43,9.47,9.47,5.21,5.21,-5.21,-5.04,-5.21,4.26,4.26,4.26
37.81,9.49,9.49,5.25,5.24,-5.24,-5.06,-5.17,4.25,4.25,4.24
38.19,9.50,9.50,5.27,5.27,-5.27,-5.08,-5.12,4.23,4.23,4.23
38.57,9.51,9.51,5.29,5.29,-5.30,-5.10,-5.08,4.21,4.21,4.22
38.95,9.53,9.53,5.32,5.32,-5.33,-5.12,-5.04,4.20,4.20,4.21
39.34,9.54,9.54,5.35,5.35,-5.35,-5.14,-5.00,4.19,4.19,4.19
39.74,9.55,9.55,5.37,5.37,-5.36,-5.17,-4.96,4.18,4.19,4.18
40.14,9.56,9.56,5.39,5.39,-5.38,-5.19,-4.92,4.18,4.18,4.17
40.54,9.56,9.56,5.40,5.40,-5.39,-5.21,-4.89,4.17,4.17,4.16
40.94,9.55,9.55,5.40,5.40,-5.40,-5.24,-4.86,4.15,4.15,4.15
41.35,9.54,9.54,5.40,5.40,-5.40,-5.26,-4.83,4.14,4.14,4.13
41.76,9.53,9.53,5.40,5.40,-5.40,-5.28,-4.81,4.12,4.13,4.13
42.18,9.52,9.52,5.40,5.40,-5.41,-5.31,-4.79,4.11,4.11,4.12
42.60,9.52,9.52,5.41,5.41,-5.41,-5.33,-4.77,4.10,4.10,4.11
43.03,9.51,9.51,5.41,5.42,-5.42,-5.35,-4.76,4.09,4.09,4.10
43.46,9.51,9.51,5.43,5.43,-5.44,-5.37,-4.75,4.07,4.07,4.08
43.90,9.51,9.51,5.46,5.45,-5.45,-5.39,-4.74,4.06,4.06,4.05
44.33,9.51,9.51,5.47,5.47,-5.47,-5.41,-4.74,4.04,4.04,4.04
44.78,9.51,9.51,5.49,5.49,-5.49,-5.43,-4.74,4.02,4.02,4.02
45.23,9.51,9.51,5.51,5.51,-5.51,-5.45,-4.74,4.00,4.00,4.00
45.68,9.51,9.51,5.53,5.53,-5.52,-5.47,-4.75,3.98,3.98,3.98
46.13,9.51,9.51,5.55,5.54,-5.54,-5.48,-4.76,3.97,3.97,3.96
46.60,9.51,9.51,5.56,5.56,-5.56,-5.50,-4.77,3.95,3.95,3.95
47.06,9.51,9.51,5.58,5.57,-5.57,-5.51,-4.79,3.93,3.93,3.93
47.53,9.50,9.50,5.59,5.59,-5.59,-5.52,-4.81,3.91,3.91,3.91
48.01,9.50,9.50,5.60,5.60,-5.61,-5.53,-4.84,3.89,3.89,3.90
48.49,9.49,9.49,5.62,5.62,-5.62,-5.54,-4.86,3.87,3.87,3.87
48.97,9.48,9.48,5.64,5.64,-5.64,-5.54,-4.89,3.84,3.84,3.84
49.46,9.47,9.47,5.66,5.66,-5.65,-5.55,-4.93,3.82,3.82,3.81
49.96,9.45,9.45,5.67,5.67,-5.66,-5.55,-4.96,3.79,3.79,3.78
50.46,9.44,9.44,5.67,5.68,-5.68,-5.55,-5.00,3.76,3.76,3.77
50.96,9.42,9.42,5.68,5.68,-5.68,-5.56,-5.04,3.73,3.74,3.74
51.47,9.41,9.41,5.70,5.69,-5.69,-5.56,-5.08,3.72,3.71,3.71
51.99,9.39,9.39,5.70,5.70,-5.70,-5.56,-5.13,3.69,3.69,3.69
