frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.18,-6.18,-8.43,-8.43,6.00,6.74,2.36,-0.18,-0.18,2.25
20.20,-6.08,-6.08,-8.36,-8.36,6.00,6.70,2.43,-0.08,-0.08,2.28
20.40,-5.98,-5.98,-8.29,-8.30,6.00,6.66,2.50,0.02,0.02,2.31
20.61,-5.89,-5.89,-8.22,-8.22,6.00,6.62,2.57,0.11,0.11,2.33
20.81,-5.79,-5.79,-8.15,-8.15,6.00,6.58,2.65,0.21,0.21,2.36
21.02,-5.69,-5.69,-8.08,-8.07,6.00,6.54,2.72,0.31,0.31,2.39
21.23,-5.59,-5.59,-7.99,-7.99,6.00,6.50,2.80,0.41,0.41,2.40
21.44,-5.49,-5.49,-7.90,-7.90,6.00,6.46,2.88,0.51,0.51,2.41
21.66,-5.40,-5.40,-7.82,-7.81,6.00,6.42,2.97,0.60,0.60,2.42
21.87,-5.30,-5.30,-7.72,-7.72,6.00,6.38,3.05,0.70,0.70,2.42
22.09,-5.20,-5.20,-7.63,-7.63,6.00,6.34,3.14,0.80,0.80,2.43
22.31,-5.11,-5.11,-7.54,-7.54,6.00,6.30,3.23,0.89,0.89,2.43
22.54,-5.02,-5.02,-7.45,-7.45,6.00,6.25,3.32,0.98,0.98,2.43
22.76,-4.93,-4.93,-7.36,-7.35,6.00,6.21,3.42,1.07,1.07,2.43
22.99,-4.83,-4.83,-7.25,-7.25,6.00,6.17,3.52,1.17,1.17,2.42
23.22,-4.74,-4.74,-7.15,-7.16,6.00,6.13,3.62,1.26,1.26,2.41
23.45,-4.65,-4.65,-7.06,-7.06,6.00,6.08,3.72,1.35,1.35,2.41
23.69,-4.56,-4.56,-6.97,-6.97,6.00,6.04,3.83,1.44,1.44,2.41
23.92,-4.47,-4.47,-6.88,-6.89,6.00,6.00,3.93,1.53,1.53,2.41
24.16,-4.38,-4.38,-6.80,-6.79,6.00,5.96,4.04,1.62,1.62,2.42
24.40,-4.28,-4.28,-6.70,-6.70,6.00,5.91,4.15,1.72,1.72,2.42
24.65,-4.19,-4.19,-6.60,-6.60,6.00,5.87,4.26,1.81,1.81,2.41
24.89,-4.10,-4.10,-6.51,-6.51,6.00,5.83,4.38,1.90,1.90,2.41
25.14,-4.02,-4.01,-6.43,-6.42,6.01,5.78,4.49,1.99,1.99,2.41
25.39,-3.93,-3.93,-6.34,-6.34,6.01,5.74,4.61,2.08,2.08,2.41
25.65,-3.85,-3.85,-6.26,-6.26,6.01,5.69,4.72,2.16,2.16,2.41
25.91,-3.78,-3.78,-6.18,-6.17,6.00,5.65,4.84,2.22,2.23,2.39
26.16,-3.70,-3.70,-6.09,-6.10,5.99,5.61,4.95,2.29,2.28,2.39
26.43,-3.63,-3.63,-6.02,-6.02,5.96,5.56,5.07,2.33,2.33,2.39
26.69,-3.56,-3.56,-5.95,-5.95,5.93,5.52,5.18,2.37,2.37,2.39
26.96,-3.49,-3.49,-5.88,-5.88,5.88,5.47,5.29,2.39,2.39,2.39
27.23,-3.43,-3.43,-5.82,-5.82,5.83,5.43,5.40,2.40,2.40,2.39
27.50,-3.37,-3.37,-5.76,-5.75,5.76,5.38,5.51,2.39,2.39,2.39
27.77,-3.31,-3.31,-5.69,-5.69,5.70,5.34,5.61,2.39,2.39,2.38
28.05,-3.25,-3.25,-5.62,-5.62,5.63,5.30,5.71,2.38,2.38,2.37
28.33,-3.19,-3.19,-5.55,-5.56,5.56,5.25,5.80,2.37,2.37,2.36
28.62,-3.13,-3.13,-5.49,-5.49,5.49,5.21,5.89,2.36,2.36,2.36
28.90,-3.07,-3.07,-5.43,-5.43,5.43,5.16,5.97,2.36,2.36,2.36
29.19,-3.02,-3.02,-5.37,-5.37,5.37,5.12,6.05,2.35,2.36,2.35
