frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.96,-0.96,-3.09,-3.09,3.10,0.42,0.16,2.13,2.13,2.13
20.20,-0.89,-0.89,-3.05,-3.05,3.06,0.42,0.17,2.16,2.16,2.16
20.40,-0.82,-0.82,-3.01,-3.01,3.01,0.41,0.17,2.19,2.19,2.19
20.61,-0.75,-0.75,-2.96,-2.97,2.97,0.41,0.18,2.21,2.21,2.21
20.81,-0.68,-0.68,-2.92,-2.92,2.92,0.41,0.18,2.23,2.23,2.24
21.02,-0.60,-0.61,-2.87,-2.87,2.86,0.41,0.19,2.26,2.26,2.27
21.23,-0.53,-0.53,-2.81,-2.81,2.80,0.40,0.19,2.27,2.27,2.28
21.44,-0.45,-0.46,-2.74,-2.74,2.74,0.40,0.20,2.29,2.29,2.29
21.66,-0.38,-0.38,-2.68,-2.67,2.68,0.40,0.21,2.29,2.30,2.30
21.87,-0.30,-0.30,-2.60,-2.60,2.60,0.40,0.21,2.30,2.30,2.30
22.09,-0.22,-0.23,-2.53,-2.53,2.53,0.39,0.22,2.31,2.30,2.31
22.31,-0.15,-0.15,-2.46,-2.45,2.45,0.39,0.23,2.30,2.30,2.30
22.54,-0.07,-0.07,-2.38,-2.38,2.37,0.38,0.23,2.30,2.30,2.30
22.76,0.01,0.00,-2.30,-2.30,2.30,0.38,0.24,2.30,2.30,2.30
22.99,0.08,0.08,-2.22,-2.22,2.22,0.38,0.25,2.30,2.30,2.29
23.22,0.16,0.15,-2.14,-2.14,2.14,0.37,0.25,2.30,2.30,2.29
23.45,0.23,0.23,-2.06,-2.06,2.07,0.37,0.26,2.30,2.30,2.29
23.69,0.30,0.30,-1.99,-1.99,1.99,0.36,0.27,2.29,2.29,2.29
23.92,0.38,0.37,-1.91,-1.92,1.92,0.36,0.28,2.30,2.29,2.29
24.16,0.45,0.45,-1.85,-1.85,1.84,0.35,0.29,2.29,2.29,2.30
24.40,0.52,0.52,-1.78,-1.77,1.77,0.35,0.29,2.29,2.29,2.30
24.65,0.60,0.59,-1.69,-1.70,1.69,0.34,0.30,2.29,2.29,2.29
24.89,0.67,0.67,-1.62,-1.62,1.62,0.34,0.31,2.28,2.29,2.29
25.14,0.75,0.75,-1.54,-1.54,1.54,0.33,0.32,2.29,2.29,2.29
25.39,0.83,0.82,-1.46,-1.46,1.46,0.33,0.33,2.29,2.28,2.28
25.65,0.90,0.90,-1.39,-1.38,1.38,0.32,0.34,2.28,2.28,2.28
25.91,0.98,0.97,-1.30,-1.30,1.30,0.31,0.34,2.28,2.28,2.27
26.16,1.05,1.05,-1.22,-1.22,1.23,0.30,0.35,2.27,2.28,2.27
26.43,1.13,1.12,-1.14,-1.15,1.15,0.30,0.36,2.28,2.28,2.27
26.69,1.20,1.19,-1.07,-1.08,1.08,0.29,0.37,2.28,2.27,2.27
26.96,1.26,1.26,-1.01,-1.01,1.01,0.28,0.38,2.26,2.27,2.27
27.23,1.33,1.32,-0.94,-0.94,0.94,0.27,0.38,2.26,2.26,2.27
27.50,1.39,1.39,-0.88,-0.87,0.87,0.26,0.39,2.25,2.26,2.26
