frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.97,3.97,3.49,3.49,-3.51,-3.05,-1.45,0.46,0.46,0.48
20.20,3.98,3.98,3.47,3.47,-3.47,-3.09,-1.49,0.52,0.51,0.51
20.40,3.98,3.98,3.44,3.44,-3.42,-3.14,-1.54,0.56,0.56,0.54
20.61,3.99,3.98,3.43,3.42,-3.39,-3.18,-1.59,0.60,0.59,0.56
20.81,3.98,3.98,3.39,3.39,-3.37,-3.22,-1.64,0.61,0.61,0.59
21.02,3.98,3.98,3.36,3.36,-3.36,-3.27,-1.69,0.62,0.62,0.62
21.23,3.98,3.98,3.35,3.35,-3.36,-3.31,-1.74,0.62,0.62,0.63
21.44,3.99,3.99,3.35,3.35,-3.36,-3.35,-1.79,0.63,0.63,0.64
21.66,4.02,4.01,3.37,3.37,-3.38,-3.39,-1.85,0.64,0.63,0.65
21.87,4.04,4.05,3.39,3.40,-3.41,-3.43,-1.90,0.63,0.64,0.65
22.09,4.09,4.09,3.43,3.44,-3.45,-3.47,-1.96,0.64,0.65,0.66
22.31,4.15,4.15,3.49,3.49,-3.50,-3.51,-2.02,0.65,0.65,0.66
22.54,4.20,4.21,3.54,3.55,-3.55,-3.55,-2.08,0.65,0.66,0.66
22.76,4.27,4.27,3.61,3.61,-3.61,-3.58,-2.15,0.66,0.66,0.66
22.99,4.32,4.32,3.67,3.67,-3.66,-3.61,-2.21,0.66,0.66,0.65
23.22,4.37,4.37,3.73,3.73,-3.71,-3.64,-2.28,0.66,0.67,0.65
23.45,4.41,4.41,3.77,3.76,-3.74,-3.67,-2.34,0.67,0.66,0.64
23.69,4.43,4.43,3.79,3.79,-3.77,-3.70,-2.41,0.66,0.66,0.64
23.92,4.44,4.44,3.80,3.80,-3.79,-3.72,-2.48,0.65,0.65,0.64
24.16,4.45,4.45,3.80,3.80,-3.81,-3.74,-2.55,0.64,0.64,0.65
24.40,4.45,4.45,3.80,3.80,-3.81,-3.76,-2.62,0.64,0.64,0.65
24.65,4.45,4.45,3.81,3.81,-3.81,-3.78,-2.70,0.64,0.64,0.64
24.89,4.45,4.45,3.81,3.81,-3.81,-3.79,-2.77,0.64,0.64,0.64
25.14,4.44,4.44,3.80,3.81,-3.81,-3.80,-2.84,0.63,0.64,0.64
25.39,4.44,4.44,3.80,3.80,-3.80,-3.81,-2.92,0.64,0.64,0.64
25.65,4.43,4.43,3.79,3.80,-3.80,-3.81,-2.99,0.63,0.63,0.64
25.91,4.42,4.42,3.80,3.79,-3.78,-3.81,-3.06,0.64,0.63,0.63
26.16,4.40,4.40,3.78,3.78,-3.77,-3.80,-3.13,0.63,0.63,0.62
26.43,4.38,4.38,3.76,3.76,-3.75,-3.80,-3.21,0.63,0.63,0.62
26.69,4.35,4.35,3.73,3.73,-3.73,-3.78,-3.28,0.62,0.62,0.62
26.96,4.33,4.33,3.71,3.71,-3.71,-3.77,-3.34,0.62,0.62,0.62
27.23,4.30,4.30,3.68,3.68,-3.69,-3.75,-3.41,0.61,0.61,0.62
27.50,4.27,4.27,3.65,3.66,-3.66,-3.73,-3.47,0.61,0.61,0.62
27.77,4.24,4.24,3.63,3.63,-3.64,-3.70,-3.53,0.60,0.60,0.61
28.05,4.21,4.21,3.61,3.61,-3.61,-3.67,-3.59,0.60,0.60,0.61
28.33,4.18,4.18,3.59,3.58,-3.58,-3.64,-3.64,0.60,0.60,0.59
28.62,4.14,4.14,3.55,3.55,-3.54,-3.60,-3.68,0.60,0.60,0.59
28.90,4.09,4.09,3.50,3.50,-3.50,-3.56,-3.72,0.59,0.60,0.59
29.19,4.04,4.04,3.46,3.45,-3.45,-3.52,-3.76,0.59,0.59,0.58
29.48,3.98,3.98,3.39,3.40,-3.40,-3.47,-3.79,0.58,0.59,0.59
29.78,3.92,3.92,3.35,3.34,-3.34,-3.42,-3.81,0.58,0.58,0.58
30.08,3.85,3.85,3.28,3.28,-3.28,-3.37,-3.83,0.58,0.57,0.57
30.38,3.78,3.78,3.22,3.22,-3.22,-3.31,-3.84,0.57,0.57,0.56
30.68,3.71,3.71,3.15,3.16,-3.16,-3.25,-3.83,0.55,0.55,0.56
30.99,3.65,3.65,3.10,3.10,-3.11,-3.19,-3.83,0.54,0.54,0.55
31.30,3.59,3.59,3.05,3.05,-3.06,-3.13,-3.81,0.53,0.53,0.55
31.61,3.55,3.55,3.01,3.01,-3.03,-3.06,-3.79,0.53,0.52,0.54
31.93,3.51,3.51,2.98,2.98,-3.00,-2.99,-3.75,0.52,0.52,0.53
