frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.83,6.83,7.29,7.29,-7.27,-7.92,-1.68,-0.44,-0.44,-0.46
20.20,6.78,6.78,7.21,7.21,-7.20,-7.84,-1.73,-0.42,-0.42,-0.43
20.40,6.73,6.73,7.13,7.13,-7.14,-7.76,-1.79,-0.40,-0.40,-0.40
20.61,6.69,6.69,7.07,7.07,-7.07,-7.67,-1.84,-0.38,-0.38,-0.38
20.81,6.65,6.65,7.00,7.00,-7.02,-7.59,-1.90,-0.37,-0.36,-0.35
21.02,6.62,6.62,6.94,6.95,-6.97,-7.50,-1.96,-0.34,-0.34,-0.32
21.23,6.59,6.59,6.90,6.90,-6.92,-7.41,-2.02,-0.33,-0.33,-0.31
21.44,6.57,6.57,6.87,6.87,-6.88,-7.32,-2.08,-0.30,-0.31,-0.30
21.66,6.55,6.55,6.84,6.85,-6.85,-7.23,-2.14,-0.30,-0.30,-0.29
21.87,6.53,6.53,6.82,6.82,-6.82,-7.13,-2.21,-0.29,-0.29,-0.29
22.09,6.51,6.51,6.79,6.80,-6.80,-7.04,-2.28,-0.29,-0.29,-0.28
22.31,6.49,6.49,6.78,6.78,-6.78,-6.94,-2.35,-0.29,-0.28,-0.28
22.54,6.47,6.47,6.76,6.75,-6.75,-6.84,-2.42,-0.28,-0.28,-0.28
22.76,6.44,6.44,6.73,6.73,-6.72,-6.74,-2.49,-0.28,-0.28,-0.29
22.99,6.39,6.40,6.69,6.69,-6.68,-6.64,-2.57,-0.29,-0.28,-0.30
23.22,6.34,6.34,6.64,6.64,-6.63,-6.54,-2.64,-0.29,-0.29,-0.30
23.45,6.28,6.28,6.58,6.58,-6.57,-6.44,-2.72,-0.29,-0.29,-0.30
23.69,6.20,6.21,6.50,6.51,-6.50,-6.33,-2.80,-0.30,-0.29,-0.30
23.92,6.13,6.13,6.43,6.42,-6.43,-6.23,-2.88,-0.30,-0.30,-0.30
24.16,6.05,6.05,6.34,6.34,-6.35,-6.12,-2.97,-0.30,-0.30,-0.29
24.40,5.96,5.96,6.25,6.26,-6.26,-6.01,-3.05,-0.30,-0.30,-0.29
24.65,5.87,5.87,6.17,6.17,-6.17,-5.90,-3.13,-0.30,-0.30,-0.30
24.89,5.78,5.78,6.08,6.08,-6.08,-5.79,-3.22,-0.30,-0.30,-0.30
25.14,5.68,5.68,5.98,5.99,-5.99,-5.67,-3.31,-0.31,-0.30,-0.30
25.39,5.59,5.59,5.89,5.89,-5.89,-5.56,-3.39,-0.30,-0.31,-0.30
25.65,5.48,5.48,5.79,5.79,-5.79,-5.44,-3.48,-0.31,-0.31,-0.31
25.91,5.37,5.37,5.69,5.69,-5.68,-5.32,-3.56,-0.31,-0.31,-0.32
26.16,5.26,5.26,5.58,5.58,-5.58,-5.20,-3.65,-0.32,-0.32,-0.32
26.43,5.14,5.14,5.46,5.46,-5.46,-5.08,-3.73,-0.32,-0.32,-0.32
26.69,5.02,5.02,5.34,5.34,-5.34,-4.95,-3.81,-0.32,-0.32,-0.32
26.96,4.90,4.90,5.22,5.22,-5.22,-4.83,-3.89,-0.32,-0.32,-0.32
27.23,4.77,4.77,5.10,5.10,-5.10,-4.70,-3.97,-0.33,-0.33,-0.32
27.50,4.64,4.64,4.97,4.97,-4.97,-4.57,-4.04,-0.33,-0.33,-0.32
27.77,4.50,4.50,4.84,4.84,-4.84,-4.44,-4.11,-0.34,-0.33,-0.34
28.05,4.37,4.37,4.71,4.71,-4.70,-4.31,-4.17,-0.33,-0.34,-0.34
28.33,4.22,4.22,4.57,4.57,-4.56,-4.18,-4.23,-0.34,-0.34,-0.35
28.62,4.07,4.07,4.42,4.43,-4.42,-4.05,-4.28,-0.35,-0.35,-0.35
28.90,3.92,3.92,4.27,4.28,-4.27,-3.91,-4.33,-0.35,-0.35,-0.35
29.19,3.77,3.77,4.13,4.13,-4.12,-3.77,-4.37,-0.35,-0.36,-0.36
29.48,3.61,3.61,3.97,3.97,-3.97,-3.63,-4.39,-0.36,-0.36,-0.36
29.78,3.45,3.45,3.82,3.82,-3.82,-3.49,-4.42,-0.37,-0.37,-0.37
30.08,3.29,3.29,3.66,3.66,-3.67,-3.35,-4.43,-0.37,-0.38,-0.37
30.38,3.13,3.14,3.51,3.51,-3.52,-3.21,-4.43,-0.38,-0.38,-0.38
30.68,2.98,2.98,3.36,3.36,-3.37,-3.06,-4.42,-0.39,-0.39,-0.38
30.99,2.82,2.82,3.22,3.22,-3.22,-2.92,-4.41,-0.40,-0.40,-0.39
31.30,2.67,2.67,3.07,3.07,-3.08,-2.77,-4.38,-0.40,-0.40,-0.40
31.61,2.52,2.52,2.92,2.93,-2.93,-2.62,-4.35,-0.41,-0.41,-0.40
31.93,2.37,2.37,2.78,2.78,-2.78,-2.47,-4.30,-0.41,-0.41,-0.41
32.24,2.21,2.21,2.63,2.63,-2.63,-2.32,-4.24,-0.42,-0.41,-0.42
32.57,2.05,2.05,2.48,2.48,-2.47,-2.17,-4.17,-0.42,-0.42,-0.43
32.89,1.88,1.88,2.31,2.31,-2.31,-2.01,-4.10,-0.43,-0.43,-0.43
33.22,1.70,1.70,2.14,2.14,-2.13,-1.86,-4.01,-0.43,-0.43,-0.44
33.55,1.51,1.51,1.95,1.96,-1.96,-1.71,-3.91,-0.45,-0.44,-0.44
33.89,1.32,1.32,1.78,1.77,-1.77,-1.55,-3.81,-0.45,-0.45,-0.46
34.23,1.11,1.12,1.57,1.58,-1.58,-1.39,-3.70,-0.47,-0.46,-0.46
34.57,0.91,0.91,1.38,1.38,-1.38,-1.24,-3.58,-0.47,-0.47,-0.47
34.92,0.70,0.70,1.19,1.18,-1.18,-1.08,-3.45,-0.48,-0.48,-0.49
35.27,0.48,0.49,0.97,0.98,-0.98,-0.92,-3.32,-0.50,-0.49,-0.49
35.62,0.27,0.27,0.78,0.78,-0.78,-0.77,-3.19,-0.50,-0.51,-0.50
35.97,0.06,0.06,0.58,0.57,-0.57,-0.61,-3.05,-0.51,-0.52,-0.52
36.33,-0.16,-0.16,0.36,0.37,-0.37,-0.45,-2.90,-0.53,-0.53,-0.52
36.70,-0.37,-0.37,0.17,0.16,-0.16,-0.30,-2.75,-0.53,-0.54,-0.53
37.06,-0.59,-0.59,-0.04,-0.04,0.04,-0.14,-2.60,-0.55,-0.55,-0.55
37.43,-0.80,-0.80,-0.25,-0.24,0.24,0.02,-2.45,-0.56,-0.56,-0.55
37.81,-1.01,-1.01,-0.44,-0.44,0.45,0.17,-2.29,-0.56,-0.56,-0.57
38.19,-1.22,-1.22,-0.64,-0.64,0.64,0.33,-2.13,-0.57,-0.58,-0.58
38.57,-1.43,-1.43,-0.84,-0.84,0.84,0.48,-1.97,-0.59,-0.59,-0.59
38.95,-1.64,-1.64,-1.04,-1.04,1.03,0.63,-1.81,-0.61,-0.61,-0.60
39.34,-1.84,-1.84,-1.22,-1.22,1.22,0.78,-1.64,-0.62,-0.62,-0.62
39.74,-2.04,-2.03,-1.41,-1.40,1.41,0.93,-1.48,-0.63,-0.63,-0.63
40.14,-2.22,-2.22,-1.58,-1.58,1.59,1.07,-1.31,-0.63,-0.63,-0.64
40.54,-2.41,-2.41,-1.75,-1.76,1.76,1.22,-1.15,-0.65,-0.65,-0.65
40.94,-2.59,-2.59,-1.93,-1.93,1.93,1.36,-0.98,-0.66,-0.66,-0.66
41.35,-2.76,-2.76,-2.08,-2.09,2.08,1.50,-0.82,-0.68,-0.68,-0.67
41.76,-2.92,-2.92,-2.24,-2.24,2.23,1.63,-0.65,-0.69,-0.69,-0.68
42.18,-3.06,-3.06,-2.37,-2.37,2.37,1.77,-0.48,-0.69,-0.70,-0.69
42.60,-3.20,-3.20,-2.50,-2.50,2.49,1.90,-0.32,-0.71,-0.70,-0.70
