frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-44.91,-44.92,-42.44,-42.45,6.00,6.01,2.71,-38.91,-38.92,-2.46
20.20,-44.75,-44.74,-42.31,-42.31,6.00,6.01,2.78,-38.75,-38.74,-2.43
20.40,-44.57,-44.56,-42.16,-42.15,6.00,6.01,2.86,-38.57,-38.56,-2.41
20.61,-44.36,-44.36,-41.98,-41.98,6.00,6.01,2.94,-38.36,-38.36,-2.39
20.81,-44.15,-44.15,-41.79,-41.79,6.00,6.01,3.02,-38.15,-38.15,-2.36
21.02,-43.93,-43.93,-41.60,-41.59,6.00,6.01,3.11,-37.93,-37.93,-2.33
21.23,-43.71,-43.72,-41.39,-41.40,6.00,6.01,3.20,-37.71,-37.72,-2.32
21.44,-43.52,-43.52,-41.21,-41.21,6.00,6.01,3.29,-37.52,-37.52,-2.31
21.66,-43.34,-43.34,-41.04,-41.04,6.00,6.01,3.38,-37.34,-37.34,-2.30
21.87,-43.18,-43.18,-40.88,-40.89,6.00,6.01,3.48,-37.18,-37.18,-2.30
22.09,-43.06,-43.06,-40.77,-40.77,6.00,6.01,3.58,-37.06,-37.06,-2.29
22.31,-42.96,-42.96,-40.67,-40.67,6.00,6.01,3.68,-36.96,-36.96,-2.29
22.54,-42.89,-42.89,-40.60,-40.60,6.00,6.02,3.78,-36.89,-36.89,-2.29
22.76,-42.83,-42.83,-40.54,-40.54,6.00,6.02,3.89,-36.83,-36.83,-2.29
22.99,-42.78,-42.77,-40.48,-40.47,6.00,6.02,4.00,-36.78,-36.77,-2.30
23.22,-42.70,-42.70,-40.40,-40.39,6.00,6.02,4.11,-36.70,-36.70,-2.30
23.45,-42.60,-42.60,-40.29,-40.29,6.00,6.02,4.22,-36.60,-36.60,-2.30
23.69,-42.49,-42.49,-40.19,-40.18,6.00,6.02,4.34,-36.49,-36.49,-2.30
23.92,-42.37,-42.38,-40.06,-40.08,6.00,6.02,4.46,-36.37,-36.38,-2.31
24.16,-42.28,-42.29,-39.98,-39.99,6.00,6.02,4.58,-36.28,-36.29,-2.30
24.40,-42.21,-42.22,-39.91,-39.92,6.00,6.02,4.70,-36.21,-36.22,-2.30
24.65,-42.16,-42.16,-39.85,-39.86,6.00,6.02,4.83,-36.16,-36.16,-2.31
24.89,-42.09,-42.09,-39.78,-39.78,6.00,6.02,4.96,-36.09,-36.09,-2.31
25.14,-41.94,-41.94,-39.63,-39.63,6.00,6.02,5.09,-35.94,-35.94,-2.31
25.39,-41.71,-41.68,-39.40,-39.36,6.00,6.02,5.21,-35.71,-35.68,-2.31
25.65,-41.29,-41.28,-38.98,-38.97,6.00,6.02,5.35,-35.29,-35.28,-2.31
25.91,-40.82,-40.80,-38.50,-38.48,6.00,6.03,5.48,-34.82,-34.80,-2.32
26.16,-40.28,-40.30,-37.96,-37.98,6.00,6.03,5.61,-34.28,-34.30,-2.32
26.43,-39.88,-39.89,-37.55,-37.56,6.00,6.03,5.74,-33.88,-33.89,-2.33
26.69,-39.63,-39.62,-37.30,-37.29,6.00,6.03,5.87,-33.63,-33.62,-2.33
26.96,-39.54,-39.57,-37.21,-37.24,6.00,6.03,6.00,-33.54,-33.57,-2.33
27.23,-39.72,-39.76,-37.39,-37.43,6.00,6.03,6.12,-33.72,-33.76,-2.33
27.50,-40.16,-40.17,-37.83,-37.84,6.00,6.03,6.25,-34.16,-34.17,-2.33
27.77,-40.71,-40.72,-38.37,-38.38,6.00,6.03,6.36,-34.71,-34.72,-2.34
28.05,-41.24,-41.24,-38.90,-38.90,6.00,6.03,6.48,-35.24,-35.24,-2.34
28.33,-41.57,-41.52,-39.21,-39.17,6.00,6.03,6.59,-35.57,-35.52,-2.35
28.62,-41.52,-41.42,-39.16,-39.06,6.00,6.03,6.70,-35.52,-35.42,-2.36
28.90,-40.90,-40.86,-38.55,-38.50,6.00,6.03,6.80,-34.90,-34.86,-2.36
29.19,-40.08,-40.07,-37.71,-37.71,6.00,6.03,6.89,-34.08,-34.07,-2.37
29.48,-39.13,-39.27,-36.76,-36.90,6.00,6.04,6.97,-33.13,-33.27,-2.36
29.78,-38.70,-38.70,-36.33,-36.33,6.00,6.04,7.05,-32.70,-32.70,-2.37
30.08,-38.41,-38.44,-36.04,-36.07,6.00,6.04,7.12,-32.41,-32.44,-2.37
30.38,-38.43,-38.46,-36.04,-36.07,6.00,6.04,7.18,-32.43,-32.46,-2.39
30.68,-38.58,-38.56,-36.19,-36.17,6.00,6.04,7.22,-32.58,-32.56,-2.39
30.99,-38.70,-38.66,-36.30,-36.26,6.00,6.04,7.27,-32.70,-32.66,-2.40
31.30,-38.65,-38.62,-36.25,-36.22,6.00,6.04,7.29,-32.65,-32.62,-2.40
31.61,-38.44,-38.43,-36.03,-36.02,6.00,6.04,7.31,-32.44,-32.43,-2.41
31.93,-38.10,-38.12,-35.69,-35.70,6.00,6.04,7.32,-32.10,-32.12,-2.42
32.24,-37.76,-37.78,-35.34,-35.36,6.00,6.04,7.32,-31.76,-31.78,-2.43
32.57,-37.45,-37.45,-35.02,-35.02,6.00,6.04,7.31,-31.45,-31.45,-2.43
32.89,-37.16,-37.15,-34.72,-34.71,6.00,6.04,7.29,-31.16,-31.15,-2.44
33.22,-36.88,-36.87,-34.43,-34.42,6.00,6.04,7.26,-30.88,-30.87,-2.45
33.55,-36.61,-36.61,-34.16,-34.16,6.00,6.04,7.23,-30.61,-30.61,-2.45
33.89,-36.39,-36.40,-33.93,-33.94,6.00,6.04,7.19,-30.39,-30.40,-2.46
34.23,-36.25,-36.25,-33.78,-33.78,6.00,6.04,7.14,-30.25,-30.25,-2.47
34.57,-36.16,-36.17,-33.68,-33.69,6.00,6.04,7.08,-30.16,-30.17,-2.48
34.92,-36.13,-36.13,-33.64,-33.64,6.00,6.05,7.02,-30.13,-30.13,-2.49
35.27,-36.12,-36.12,-33.62,-33.62,6.00,6.05,6.96,-30.12,-30.12,-2.50
35.62,-36.11,-36.11,-33.60,-33.60,6.00,6.05,6.89,-30.11,-30.11,-2.51
35.97,-36.08,-36.07,-33.56,-33.55,6.00,6.05,6.83,-30.08,-30.07,-2.52
36.33,-35.99,-35.98,-33.46,-33.45,6.00,6.05,6.76,-29.99,-29.98,-2.53
36.70,-35.85,-35.85,-33.31,-33.31,6.00,6.05,6.68,-29.85,-29.85,-2.54
37.06,-35.68,-35.68,-33.12,-33.13,6.00,6.05,6.61,-29.68,-29.68,-2.55
37.43,-35.48,-35.49,-32.92,-32.92,6.00,6.05,6.54,-29.48,-29.49,-2.56
37.81,-35.29,-35.29,-32.72,-32.71,6.00,6.05,6.47,-29.29,-29.29,-2.57
38.19,-35.09,-35.09,-32.50,-32.51,6.00,6.05,6.40,-29.09,-29.09,-2.59
38.57,-34.90,-34.90,-32.31,-32.30,6.00,6.05,6.33,-28.90,-28.90,-2.59
38.95,-34.71,-34.71,-32.10,-32.10,6.00,6.05,6.26,-28.71,-28.71,-2.61
39.34,-34.52,-34.52,-31.89,-31.90,6.00,6.05,6.20,-28.52,-28.52,-2.62
39.74,-34.34,-34.34,-31.70,-31.71,6.00,6.05,6.14,-28.34,-28.34,-2.64
40.14,-34.17,-34.17,-31.53,-31.52,6.00,6.05,6.08,-28.17,-28.17,-2.64
40.54,-34.00,-34.00,-31.34,-31.34,6.00,6.05,6.03,-28.00,-28.00,-2.66
40.94,-33.82,-33.82,-31.15,-31.15,6.00,6.05,5.97,-27.82,-27.82,-2.66
41.35,-33.65,-33.65,-30.97,-30.97,6.00,6.05,5.93,-27.65,-27.65,-2.68
41.76,-33.49,-33.49,-30.80,-30.80,6.00,6.04,5.88,-27.49,-27.49,-2.69
42.18,-33.36,-33.36,-30.67,-30.66,6.00,6.04,5.84,-27.36,-27.36,-2.69
42.60,-33.24,-33.25,-30.53,-30.54,6.00,6.04,5.81,-27.24,-27.25,-2.71
43.03,-33.15,-33.15,-30.43,-30.43,6.00,6.04,5.78,-27.15,-27.15,-2.72
43.46,-33.05,-33.04,-30.31,-30.30,6.00,6.04,5.75,-27.05,-27.04,-2.73
43.90,-32.92,-32.92,-30.16,-30.16,6.00,6.04,5.73,-26.92,-26.92,-2.76
44.33,-32.77,-32.77,-29.99,-30.00,6.00,6.04,5.71,-26.77,-26.77,-2.78
44.78,-32.62,-32.62,-29.82,-29.82,6.00,6.04,5.69,-26.62,-26.62,-2.80
45.23,-32.46,-32.46,-29.65,-29.64,6.00,6.04,5.68,-26.46,-26.46,-2.82
45.68,-32.29,-32.29,-29.46,-29.46,6.00,6.04,5.68,-26.29,-26.29,-2.83
46.13,-32.11,-32.10,-29.25,-29.25,6.00,6.03,5.67,-26.11,-26.10,-2.85
46.60,-31.90,-31.90,-29.04,-29.03,6.00,6.03,5.68,-25.90,-25.90,-2.86
47.06,-31.70,-31.71,-28.82,-28.82,6.00,6.03,5.68,-25.70,-25.71,-2.88
47.53,-31.52,-31.53,-28.62,-28.63,6.00,6.03,5.69,-25.52,-25.53,-2.90
48.01,-31.38,-31.37,-28.47,-28.45,6.00,6.03,5.71,-25.38,-25.37,-2.91
48.49,-31.23,-31.23,-28.29,-28.29,6.00,6.02,5.73,-25.23,-25.23,-2.94
