frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.58,-10.58,-14.08,-14.08,6.00,6.15,2.70,-4.58,-4.58,3.50
20.20,-10.55,-10.55,-14.08,-14.07,6.00,6.15,2.78,-4.55,-4.55,3.53
20.40,-10.51,-10.51,-14.07,-14.07,6.00,6.15,2.85,-4.51,-4.51,3.56
20.61,-10.48,-10.48,-14.06,-14.06,6.00,6.15,2.93,-4.48,-4.48,3.57
20.81,-10.45,-10.45,-14.05,-14.05,6.00,6.15,3.02,-4.45,-4.45,3.60
21.02,-10.42,-10.42,-14.05,-14.05,6.00,6.15,3.10,-4.42,-4.42,3.63
21.23,-10.38,-10.38,-14.02,-14.03,6.00,6.15,3.19,-4.38,-4.38,3.64
21.44,-10.35,-10.35,-14.00,-14.00,6.00,6.15,3.28,-4.35,-4.35,3.65
21.66,-10.30,-10.30,-13.96,-13.96,6.00,6.15,3.37,-4.30,-4.30,3.66
21.87,-10.26,-10.26,-13.92,-13.92,6.00,6.15,3.47,-4.26,-4.26,3.66
22.09,-10.21,-10.21,-13.88,-13.88,6.00,6.15,3.57,-4.21,-4.21,3.67
22.31,-10.17,-10.17,-13.84,-13.84,6.00,6.15,3.67,-4.17,-4.17,3.67
22.54,-10.12,-10.12,-13.79,-13.79,6.00,6.15,3.77,-4.12,-4.12,3.67
22.76,-10.07,-10.07,-13.74,-13.74,6.00,6.15,3.88,-4.07,-4.07,3.67
22.99,-10.03,-10.03,-13.69,-13.69,6.00,6.15,3.99,-4.03,-4.03,3.66
23.22,-9.99,-9.99,-13.65,-13.65,6.00,6.15,4.10,-3.99,-3.99,3.66
23.45,-9.96,-9.96,-13.62,-13.61,6.00,6.15,4.21,-3.96,-3.96,3.66
23.69,-9.93,-9.93,-13.59,-13.59,6.00,6.15,4.33,-3.93,-3.93,3.66
23.92,-9.91,-9.91,-13.57,-13.57,6.00,6.15,4.45,-3.91,-3.91,3.66
24.16,-9.89,-9.89,-13.55,-13.55,6.00,6.15,4.57,-3.89,-3.89,3.66
24.40,-9.86,-9.86,-13.52,-13.52,6.00,6.14,4.69,-3.86,-3.86,3.66
24.65,-9.84,-9.84,-13.49,-13.50,6.00,6.14,4.82,-3.84,-3.84,3.65
24.89,-9.81,-9.81,-13.46,-13.46,6.00,6.14,4.95,-3.81,-3.81,3.65
25.14,-9.77,-9.77,-13.42,-13.42,6.00,6.14,5.07,-3.77,-3.77,3.65
25.39,-9.73,-9.73,-13.38,-13.38,6.00,6.14,5.20,-3.73,-3.73,3.65
25.65,-9.69,-9.69,-13.34,-13.33,6.00,6.14,5.33,-3.69,-3.69,3.65
25.91,-9.64,-9.64,-13.28,-13.28,6.00,6.14,5.46,-3.64,-3.64,3.64
26.16,-9.60,-9.60,-13.24,-13.24,6.00,6.14,5.60,-3.60,-3.60,3.64
26.43,-9.56,-9.56,-13.20,-13.19,6.00,6.14,5.73,-3.56,-3.56,3.64
26.69,-9.53,-9.53,-13.16,-13.17,6.00,6.14,5.86,-3.53,-3.53,3.63
26.96,-9.52,-9.52,-13.15,-13.16,6.00,6.14,5.98,-3.52,-3.52,3.63
27.23,-9.52,-9.52,-13.15,-13.15,6.00,6.14,6.11,-3.52,-3.52,3.63
27.50,-9.52,-9.52,-13.15,-13.15,6.00,6.14,6.24,-3.52,-3.52,3.63
27.77,-9.52,-9.52,-13.14,-13.14,6.00,6.14,6.35,-3.52,-3.52,3.62
28.05,-9.50,-9.50,-13.12,-13.12,6.00,6.14,6.47,-3.50,-3.50,3.62
28.33,-9.47,-9.47,-13.08,-13.08,6.00,6.13,6.58,-3.47,-3.47,3.61
28.62,-9.41,-9.41,-13.02,-13.01,6.00,6.13,6.69,-3.41,-3.41,3.60
28.90,-9.33,-9.33,-12.93,-12.93,6.00,6.13,6.79,-3.33,-3.33,3.60
29.19,-9.24,-9.24,-12.83,-12.83,6.00,6.13,6.88,-3.24,-3.24,3.59
29.48,-9.14,-9.14,-12.74,-12.74,6.00,6.13,6.97,-3.14,-3.14,3.60
29.78,-9.07,-9.07,-12.66,-12.66,6.00,6.13,7.05,-3.07,-3.07,3.59
30.08,-9.01,-9.02,-12.60,-12.60,6.00,6.13,7.11,-3.01,-3.02,3.59
30.38,-9.00,-9.01,-12.57,-12.58,6.00,6.13,7.18,-3.00,-3.01,3.57
30.68,-9.02,-9.02,-12.59,-12.59,6.00,6.13,7.22,-3.02,-3.02,3.57
30.99,-9.06,-9.06,-12.62,-12.62,6.00,6.12,7.27,-3.06,-3.06,3.56
31.30,-9.09,-9.09,-12.65,-12.65,6.00,6.12,7.30,-3.09,-3.09,3.56
31.61,-9.12,-9.11,-12.68,-12.66,6.00,6.12,7.32,-3.12,-3.11,3.56
31.93,-9.12,-9.12,-12.66,-12.66,6.00,6.12,7.33,-3.12,-3.12,3.54
