frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.66,5.66,0.27,0.27,-0.28,0.81,1.09,5.38,5.38,5.39
20.20,5.57,5.57,0.15,0.15,-0.15,0.83,1.12,5.42,5.42,5.42
20.40,5.48,5.48,0.03,0.04,-0.03,0.86,1.16,5.44,5.45,5.45
20.61,5.40,5.40,-0.06,-0.08,0.08,0.88,1.20,5.48,5.48,5.47
20.81,5.31,5.31,-0.19,-0.19,0.19,0.90,1.23,5.50,5.50,5.50
21.02,5.22,5.22,-0.30,-0.30,0.30,0.93,1.27,5.52,5.52,5.52
21.23,5.14,5.14,-0.39,-0.40,0.40,0.96,1.31,5.53,5.53,5.53
21.44,5.05,5.05,-0.49,-0.49,0.49,0.98,1.35,5.54,5.54,5.54
21.66,4.97,4.97,-0.58,-0.58,0.58,1.01,1.39,5.55,5.55,5.55
21.87,4.89,4.89,-0.66,-0.67,0.67,1.04,1.44,5.55,5.56,5.55
22.09,4.82,4.82,-0.74,-0.74,0.74,1.07,1.48,5.56,5.56,5.56
22.31,4.74,4.74,-0.82,-0.82,0.82,1.10,1.53,5.56,5.56,5.56
22.54,4.67,4.67,-0.89,-0.89,0.89,1.13,1.57,5.56,5.56,5.56
22.76,4.60,4.60,-0.96,-0.95,0.95,1.16,1.62,5.55,5.55,5.56
22.99,4.54,4.54,-1.01,-1.01,1.02,1.19,1.67,5.55,5.55,5.55
23.22,4.48,4.48,-1.07,-1.07,1.08,1.22,1.72,5.56,5.55,5.55
23.45,4.41,4.41,-1.14,-1.13,1.14,1.26,1.77,5.55,5.55,5.55
23.69,4.35,4.35,-1.20,-1.20,1.20,1.29,1.82,5.55,5.55,5.55
23.92,4.29,4.29,-1.26,-1.26,1.26,1.33,1.88,5.55,5.55,5.55
24.16,4.22,4.22,-1.34,-1.33,1.33,1.37,1.93,5.55,5.55,5.56
24.40,4.16,4.16,-1.40,-1.39,1.39,1.40,1.98,5.55,5.55,5.55
24.65,4.09,4.09,-1.45,-1.46,1.46,1.44,2.04,5.55,5.55,5.54
24.89,4.02,4.02,-1.52,-1.52,1.52,1.48,2.10,5.54,5.54,5.54
25.14,3.95,3.95,-1.59,-1.59,1.59,1.52,2.15,5.54,5.54,5.54
25.39,3.89,3.89,-1.65,-1.65,1.65,1.56,2.21,5.54,5.54,5.54
25.65,3.82,3.82,-1.72,-1.72,1.72,1.60,2.26,5.54,5.54,5.54
25.91,3.75,3.75,-1.78,-1.78,1.79,1.65,2.32,5.54,5.54,5.53
26.16,3.68,3.68,-1.85,-1.85,1.85,1.69,2.38,5.53,5.53,5.53
26.43,3.61,3.61,-1.92,-1.92,1.92,1.74,2.43,5.53,5.53,5.53
26.69,3.54,3.54,-1.99,-1.99,1.99,1.78,2.49,5.53,5.53,5.52
26.96,3.47,3.47,-2.05,-2.05,2.05,1.83,2.54,5.52,5.52,5.52
27.23,3.40,3.40,-2.12,-2.12,2.11,1.88,2.59,5.51,5.52,5.52
27.50,3.34,3.34,-2.18,-2.18,2.17,1.92,2.64,5.51,5.51,5.52
27.77,3.28,3.28,-2.23,-2.23,2.23,1.97,2.68,5.51,5.51,5.51
28.05,3.22,3.22,-2.29,-2.28,2.28,2.02,2.73,5.50,5.51,5.51
28.33,3.17,3.17,-2.33,-2.33,2.34,2.07,2.77,5.50,5.50,5.50
28.62,3.11,3.11,-2.38,-2.38,2.39,2.12,2.81,5.50,5.50,5.50
28.90,3.06,3.06,-2.43,-2.43,2.44,2.18,2.84,5.50,5.50,5.49
29.19,3.01,3.00,-2.47,-2.48,2.49,2.23,2.87,5.50,5.49,5.48
29.48,2.95,2.95,-2.54,-2.53,2.54,2.28,2.90,5.48,5.49,5.49
29.78,2.89,2.89,-2.59,-2.59,2.59,2.33,2.92,5.48,5.48,5.48
30.08,2.84,2.84,-2.64,-2.64,2.63,2.39,2.94,5.48,5.47,5.48
30.38,2.78,2.78,-2.68,-2.68,2.68,2.44,2.95,5.46,5.47,5.46
30.68,2.73,2.73,-2.73,-2.73,2.73,2.49,2.96,5.46,5.46,5.46
30.99,2.68,2.68,-2.77,-2.77,2.78,2.55,2.96,5.46,5.46,5.45
31.30,2.63,2.63,-2.82,-2.82,2.82,2.60,2.95,5.45,5.45,5.45
31.61,2.58,2.58,-2.87,-2.86,2.86,2.65,2.95,5.44,5.44,5.45
31.93,2.53,2.53,-2.90,-2.90,2.90,2.70,2.93,5.43,5.43,5.43
32.24,2.49,2.49,-2.93,-2.94,2.94,2.75,2.91,5.43,5.43,5.42
32.57,2.45,2.45,-2.97,-2.97,2.97,2.80,2.89,5.42,5.42,5.42
32.89,2.41,2.41,-3.01,-3.00,3.01,2.85,2.86,5.41,5.42,5.42
33.22,2.37,2.37,-3.03,-3.03,3.04,2.90,2.82,5.41,5.41,5.40
33.55,2.34,2.34,-3.06,-3.06,3.06,2.95,2.79,5.40,5.40,5.40
33.89,2.30,2.30,-3.09,-3.09,3.09,2.99,2.74,5.39,5.39,5.39
34.23,2.27,2.27,-3.12,-3.11,3.11,3.03,2.70,5.38,5.38,5.38
34.57,2.24,2.24,-3.13,-3.13,3.13,3.07,2.65,5.37,5.37,5.37
34.92,2.22,2.22,-3.14,-3.14,3.14,3.11,2.59,5.36,5.36,5.36
35.27,2.20,2.20,-3.16,-3.15,3.15,3.14,2.54,5.35,5.35,5.36
35.62,2.18,2.18,-3.16,-3.16,3.16,3.17,2.48,5.34,5.34,5.34
35.97,2.16,2.16,-3.17,-3.17,3.17,3.20,2.42,5.33,5.33,5.33
36.33,2.15,2.15,-3.17,-3.17,3.17,3.22,2.35,5.32,5.32,5.32
36.70,2.14,2.14,-3.17,-3.17,3.17,3.24,2.29,5.31,5.31,5.31
37.06,2.13,2.13,-3.17,-3.17,3.17,3.26,2.22,5.30,5.30,5.30
37.43,2.12,2.12,-3.17,-3.17,3.17,3.27,2.16,5.29,5.29,5.29
37.81,2.12,2.11,-3.16,-3.16,3.16,3.27,2.09,5.28,5.28,5.28
38.19,2.11,2.11,-3.15,-3.16,3.15,3.27,2.02,5.26,5.27,5.26
38.57,2.11,2.11,-3.15,-3.14,3.14,3.27,1.95,5.25,5.25,5.26
38.95,2.12,2.12,-3.12,-3.13,3.13,3.26,1.88,5.25,5.24,5.24
39.34,2.12,2.12,-3.11,-3.11,3.11,3.25,1.82,5.23,5.23,5.23
39.74,2.14,2.14,-3.07,-3.08,3.08,3.23,1.75,5.22,5.22,5.21
40.14,2.15,2.15,-3.06,-3.05,3.06,3.20,1.68,5.21,5.21,5.21
40.54,2.17,2.17,-3.02,-3.02,3.02,3.17,1.61,5.19,5.20,5.19
40.94,2.20,2.20,-2.99,-2.99,2.99,3.14,1.55,5.19,5.18,5.19
41.35,2.23,2.23,-2.94,-2.95,2.95,3.09,1.48,5.17,5.17,5.17
41.76,2.26,2.26,-2.90,-2.90,2.90,3.05,1.42,5.16,5.16,5.16
42.18,2.31,2.31,-2.85,-2.85,2.84,3.00,1.35,5.15,5.15,5.16
42.60,2.36,2.36,-2.78,-2.79,2.77,2.94,1.29,5.13,5.13,5.14
43.03,2.42,2.42,-2.71,-2.71,2.70,2.88,1.23,5.12,5.12,5.13
43.46,2.48,2.48,-2.64,-2.63,2.63,2.81,1.16,5.11,5.11,5.12
43.90,2.55,2.55,-2.54,-2.55,2.55,2.74,1.10,5.10,5.10,5.09
44.33,2.61,2.61,-2.46,-2.46,2.47,2.66,1.04,5.08,5.08,5.07
44.78,2.67,2.67,-2.38,-2.38,2.39,2.58,0.99,5.06,5.06,5.05
45.23,2.72,2.72,-2.32,-2.31,2.32,2.50,0.93,5.04,5.05,5.04
45.68,2.77,2.77,-2.25,-2.25,2.26,2.41,0.87,5.03,5.03,5.02
46.13,2.81,2.81,-2.19,-2.19,2.20,2.32,0.82,5.01,5.01,5.00
46.60,2.84,2.84,-2.15,-2.14,2.15,2.23,0.76,4.99,4.99,4.99
47.06,2.87,2.87,-2.10,-2.10,2.10,2.13,0.71,4.97,4.97,4.97
47.53,2.89,2.89,-2.06,-2.06,2.06,2.03,0.65,4.95,4.95,4.95
48.01,2.92,2.92,-2.02,-2.02,2.01,1.93,0.60,4.93,4.92,4.94
48.49,2.94,2.94,-1.97,-1.96,1.95,1.83,0.55,4.89,4.90,4.91
48.97,2.98,2.98,-1.90,-1.90,1.89,1.72,0.50,4.87,4.87,4.88
49.46,3.02,3.02,-1.83,-1.83,1.82,1.61,0.45,4.84,4.84,4.85
49.96,3.07,3.07,-1.74,-1.75,1.75,1.50,0.40,4.81,4.82,4.81
50.46,3.14,3.14,-1.66,-1.66,1.66,1.39,0.35,4.80,4.79,4.80
50.96,3.21,3.21,-1.57,-1.56,1.56,1.28,0.30,4.77,4.77,4.78
51.47,3.29,3.29,-1.46,-1.46,1.46,1.17,0.25,4.74,4.75,4.75
51.99,3.38,3.38,-1.34,-1.35,1.34,1.06,0.20,4.72,4.72,4.72
52.51,3.48,3.48,-1.23,-1.23,1.23,0.94,0.16,4.71,4.70,4.71
53.03,3.58,3.58,-1.10,-1.11,1.11,0.83,0.11,4.69,4.68,4.68
53.56,3.68,3.68,-0.98,-0.98,0.98,0.71,0.06,4.66,4.66,4.66
54.10,3.78,3.78,-0.85,-0.85,0.86,0.60,0.01,4.64,4.64,4.63
54.64,3.88,3.88,-0.73,-0.73,0.73,0.48,-0.03,4.61,4.61,4.61
55.18,3.98,3.98,-0.60,-0.60,0.61,0.37,-0.08,4.59,4.59,4.58
55.74,4.08,4.08,-0.48,-0.48,0.48,0.25,-0.13,4.56,4.56,4.55
56.29,4.17,4.17,-0.37,-0.36,0.36,0.14,-0.18,4.53,4.53,4.54
56.86,4.27,4.27,-0.24,-0.24,0.23,0.02,-0.23,4.50,4.51,4.51
57.42,4.38,4.37,-0.10,-0.11,0.11,-0.09,-0.28,4.49,4.48,4.48
58.00,4.48,4.48,0.02,0.02,-0.02,-0.20,-0.32,4.46,4.46,4.46
58.58,4.59,4.59,0.15,0.15,-0.15,-0.32,-0.37,4.44,4.44,4.44
59.16,4.70,4.70,0.28,0.28,-0.29,-0.43,-0.42,4.41,4.41,4.42
59.76,4.82,4.82,0.42,0.42,-0.43,-0.54,-0.48,4.39,4.39,4.40
60.35,4.93,4.93,0.56,0.56,-0.57,-0.66,-0.53,4.36,4.36,4.37
60.96,5.05,5.05,0.70,0.71,-0.71,-0.77,-0.58,4.34,4.33,4.34
61.57,5.16,5.16,0.86,0.86,-0.86,-0.88,-0.63,4.30,4.31,4.30
62.18,5.28,5.28,1.01,1.01,-1.00,-0.99,-0.69,4.28,4.28,4.27
62.80,5.40,5.40,1.16,1.16,-1.15,-1.10,-0.74,4.25,4.25,4.24
63.43,5.51,5.51,1.30,1.30,-1.29,-1.21,-0.80,4.22,4.22,4.21
64.07,5.62,5.62,1.44,1.44,-1.44,-1.32,-0.86,4.18,4.18,4.18
64.71,5.73,5.73,1.57,1.57,-1.58,-1.43,-0.92,4.15,4.15,4.16
65.35,5.84,5.84,1.71,1.71,-1.72,-1.54,-0.98,4.12,4.12,4.13
66.01,5.95,5.95,1.85,1.85,-1.85,-1.65,-1.04,4.10,4.10,4.10
66.67,6.06,6.06,1.99,1.99,-1.99,-1.75,-1.10,4.07,4.07,4.07
67.33,6.16,6.16,2.12,2.12,-2.12,-1.86,-1.17,4.04,4.04,4.04
68.01,6.26,6.26,2.25,2.25,-2.25,-1.97,-1.23,4.01,4.01,4.01
68.69,6.36,6.36,2.38,2.38,-2.38,-2.07,-1.30,3.98,3.98,3.98
69.37,6.45,6.45,2.50,2.50,-2.50,-2.18,-1.37,3.95,3.95,3.95
70.07,6.54,6.54,2.62,2.62,-2.61,-2.28,-1.44,3.93,3.92,3.91
70.77,6.61,6.61,2.72,2.73,-2.73,-2.38,-1.51,3.88,3.89,3.89
71.48,6.69,6.69,2.83,2.83,-2.83,-2.49,-1.58,3.86,3.86,3.86
72.19,6.76,6.76,2.94,2.93,-2.94,-2.59,-1.66,3.82,3.82,3.82
72.91,6.82,6.82,3.03,3.04,-3.03,-2.69,-1.73,3.79,3.79,3.79
73.64,6.88,6.88,3.13,3.13,-3.13,-2.80,-1.81,3.75,3.75,3.75
74.38,6.94,6.94,3.22,3.22,-3.22,-2.90,-1.89,3.72,3.72,3.72
75.12,6.99,6.99,3.31,3.31,-3.31,-3.00,-1.97,3.68,3.68,3.68
75.87,7.05,7.05,3.40,3.39,-3.39,-3.10,-2.06,3.66,3.65,3.65
76.63,7.10,7.10,3.48,3.48,-3.48,-3.20,-2.14,3.62,3.62,3.62
77.40,7.15,7.15,3.56,3.56,-3.56,-3.30,-2.23,3.59,3.59,3.59
78.17,7.19,7.19,3.64,3.63,-3.63,-3.40,-2.32,3.56,3.56,3.55
78.95,7.23,7.24,3.70,3.71,-3.71,-3.50,-2.41,3.52,3.53,3.53
79.74,7.28,7.28,3.79,3.78,-3.78,-3.60,-2.50,3.50,3.49,3.49
80.54,7.32,7.32,3.86,3.86,-3.86,-3.69,-2.60,3.46,3.46,3.46
81.35,7.35,7.35,3.92,3.93,-3.93,-3.79,-2.70,3.42,3.43,3.43
82.16,7.39,7.39,4.00,4.00,-4.00,-3.89,-2.80,3.39,3.39,3.39
82.98,7.43,7.43,4.07,4.07,-4.07,-3.98,-2.90,3.36,3.35,3.36
83.81,7.47,7.47,4.15,4.15,-4.15,-4.08,-3.01,3.32,3.32,3.32
84.65,7.50,7.50,4.22,4.22,-4.22,-4.18,-3.11,3.28,3.28,3.28
85.50,7.54,7.54,4.29,4.29,-4.29,-4.27,-3.22,3.25,3.25,3.25
86.35,7.58,7.58,4.37,4.37,-4.37,-4.36,-3.34,3.21,3.21,3.21
87.22,7.62,7.62,4.45,4.45,-4.45,-4.46,-3.45,3.17,3.17,3.17
88.09,7.66,7.66,4.53,4.52,-4.52,-4.55,-3.57,3.14,3.13,3.13
88.97,7.69,7.69,4.59,4.60,-4.60,-4.64,-3.69,3.09,3.09,3.10
89.86,7.73,7.73,4.67,4.67,-4.68,-4.73,-3.81,3.05,3.05,3.06
