frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.83,3.83,-3.48,-3.48,3.48,3.32,0.93,7.31,7.31,7.31
20.20,3.87,3.87,-3.44,-3.44,3.44,3.29,0.96,7.31,7.31,7.31
20.40,3.91,3.91,-3.40,-3.40,3.39,3.26,0.99,7.30,7.30,7.30
20.61,3.95,3.95,-3.36,-3.36,3.35,3.23,1.02,7.30,7.30,7.30
20.81,3.99,3.99,-3.31,-3.31,3.31,3.20,1.05,7.30,7.30,7.30
21.02,4.03,4.03,-3.27,-3.27,3.27,3.17,1.08,7.30,7.30,7.30
21.23,4.07,4.07,-3.23,-3.24,3.24,3.14,1.12,7.31,7.30,7.30
21.44,4.10,4.10,-3.20,-3.20,3.20,3.11,1.15,7.30,7.30,7.30
21.66,4.14,4.14,-3.16,-3.16,3.16,3.08,1.19,7.30,7.30,7.30
21.87,4.18,4.18,-3.12,-3.12,3.12,3.04,1.22,7.30,7.30,7.30
22.09,4.21,4.21,-3.09,-3.09,3.09,3.01,1.26,7.30,7.30,7.30
22.31,4.25,4.25,-3.05,-3.05,3.05,2.98,1.30,7.30,7.30,7.30
22.54,4.28,4.28,-3.02,-3.02,3.02,2.95,1.34,7.30,7.30,7.30
22.76,4.31,4.31,-2.99,-2.98,2.98,2.92,1.38,7.29,7.30,7.30
22.99,4.35,4.35,-2.95,-2.95,2.95,2.89,1.42,7.30,7.30,7.30
23.22,4.38,4.38,-2.92,-2.92,2.92,2.86,1.46,7.30,7.30,7.29
23.45,4.41,4.41,-2.88,-2.88,2.88,2.83,1.50,7.29,7.29,7.29
23.69,4.44,4.44,-2.85,-2.85,2.85,2.80,1.54,7.29,7.29,7.29
23.92,4.47,4.47,-2.82,-2.82,2.82,2.77,1.59,7.29,7.29,7.29
24.16,4.51,4.51,-2.78,-2.78,2.78,2.74,1.63,7.29,7.29,7.29
24.40,4.54,4.54,-2.75,-2.75,2.75,2.71,1.68,7.29,7.29,7.29
24.65,4.57,4.57,-2.72,-2.71,2.71,2.69,1.72,7.28,7.29,7.29
24.89,4.61,4.61,-2.68,-2.68,2.68,2.66,1.77,7.29,7.29,7.29
25.14,4.64,4.64,-2.65,-2.64,2.64,2.63,1.82,7.28,7.29,7.28
25.39,4.68,4.68,-2.60,-2.61,2.61,2.60,1.86,7.29,7.28,7.28
25.65,4.71,4.71,-2.57,-2.57,2.57,2.57,1.91,7.28,7.28,7.28
25.91,4.74,4.74,-2.54,-2.54,2.54,2.54,1.96,7.28,7.28,7.28
26.16,4.78,4.77,-2.50,-2.50,2.50,2.51,2.00,7.28,7.28,7.28
26.43,4.81,4.81,-2.47,-2.47,2.47,2.49,2.05,7.28,7.28,7.28
26.69,4.84,4.84,-2.44,-2.43,2.43,2.46,2.10,7.27,7.28,7.28
26.96,4.88,4.87,-2.40,-2.40,2.40,2.43,2.14,7.28,7.27,7.27
27.23,4.91,4.91,-2.36,-2.36,2.36,2.40,2.18,7.27,7.27,7.27
27.50,4.94,4.94,-2.33,-2.33,2.33,2.38,2.23,7.26,7.27,7.27
27.77,4.98,4.98,-2.29,-2.29,2.29,2.35,2.27,7.27,7.27,7.27
28.05,5.01,5.01,-2.26,-2.25,2.25,2.32,2.31,7.26,7.27,7.27
28.33,5.05,5.05,-2.21,-2.22,2.22,2.30,2.34,7.27,7.27,7.26
28.62,5.08,5.08,-2.18,-2.18,2.18,2.27,2.38,7.26,7.26,7.26
28.90,5.11,5.11,-2.15,-2.15,2.15,2.25,2.41,7.26,7.26,7.26
29.19,5.14,5.14,-2.12,-2.12,2.12,2.22,2.44,7.26,7.26,7.26
29.48,5.16,5.16,-2.10,-2.09,2.09,2.19,2.46,7.25,7.26,7.25
29.78,5.19,5.19,-2.06,-2.07,2.07,2.17,2.48,7.25,7.25,7.25
30.08,5.21,5.21,-2.04,-2.04,2.04,2.14,2.50,7.25,7.25,7.25
30.38,5.23,5.23,-2.02,-2.02,2.02,2.12,2.52,7.25,7.25,7.25
30.68,5.25,5.25,-2.00,-2.00,2.00,2.10,2.53,7.24,7.24,7.24
