frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.65,2.65,-4.61,-4.61,4.61,4.04,1.54,7.26,7.26,7.26
20.20,2.67,2.67,-4.59,-4.59,4.59,4.03,1.59,7.26,7.26,7.26
20.40,2.70,2.70,-4.56,-4.56,4.56,4.03,1.63,7.26,7.26,7.26
20.61,2.73,2.72,-4.53,-4.53,4.53,4.02,1.68,7.26,7.26,7.26
20.81,2.75,2.75,-4.51,-4.50,4.51,4.01,1.73,7.26,7.26,7.26
21.02,2.78,2.78,-4.48,-4.48,4.48,4.01,1.78,7.26,7.26,7.26
21.23,2.81,2.81,-4.45,-4.45,4.44,4.00,1.84,7.25,7.25,7.26
21.44,2.84,2.84,-4.42,-4.42,4.41,3.99,1.89,7.25,7.25,7.25
21.66,2.87,2.87,-4.39,-4.38,4.38,3.99,1.95,7.25,7.25,7.25
21.87,2.91,2.91,-4.34,-4.34,4.34,3.98,2.00,7.25,7.25,7.25
22.09,2.95,2.95,-4.30,-4.30,4.30,3.97,2.06,7.25,7.25,7.25
22.31,2.99,2.99,-4.26,-4.26,4.26,3.96,2.12,7.25,7.25,7.25
22.54,3.03,3.03,-4.22,-4.22,4.23,3.96,2.19,7.25,7.25,7.25
22.76,3.06,3.06,-4.19,-4.19,4.19,3.95,2.25,7.25,7.25,7.25
22.99,3.10,3.10,-4.15,-4.15,4.15,3.94,2.32,7.25,7.25,7.25
23.22,3.13,3.13,-4.12,-4.12,4.12,3.93,2.38,7.25,7.25,7.25
23.45,3.16,3.16,-4.09,-4.09,4.09,3.92,2.45,7.25,7.25,7.25
23.69,3.18,3.18,-4.07,-4.06,4.06,3.91,2.52,7.24,7.25,7.25
23.92,3.21,3.21,-4.03,-4.04,4.04,3.90,2.59,7.25,7.24,7.24
24.16,3.23,3.23,-4.01,-4.01,4.01,3.90,2.67,7.24,7.24,7.24
24.40,3.25,3.25,-3.99,-3.99,3.99,3.89,2.74,7.24,7.24,7.24
24.65,3.28,3.28,-3.96,-3.96,3.96,3.88,2.81,7.24,7.24,7.24
24.89,3.30,3.30,-3.94,-3.94,3.94,3.87,2.89,7.24,7.24,7.24
25.14,3.33,3.33,-3.91,-3.91,3.91,3.86,2.97,7.24,7.24,7.24
25.39,3.35,3.35,-3.89,-3.89,3.88,3.85,3.04,7.23,7.24,7.24
25.65,3.38,3.38,-3.86,-3.86,3.86,3.84,3.12,7.24,7.24,7.24
25.91,3.40,3.40,-3.83,-3.83,3.83,3.83,3.20,7.23,7.23,7.23
26.16,3.43,3.43,-3.80,-3.81,3.81,3.82,3.27,7.24,7.23,7.23
26.43,3.45,3.45,-3.78,-3.78,3.78,3.81,3.35,7.23,7.23,7.23
26.69,3.47,3.47,-3.76,-3.76,3.76,3.80,3.42,7.23,7.23,7.23
26.96,3.49,3.49,-3.74,-3.73,3.73,3.79,3.50,7.22,7.23,7.23
27.23,3.52,3.52,-3.71,-3.71,3.71,3.78,3.57,7.23,7.23,7.23
27.50,3.54,3.54,-3.68,-3.68,3.69,3.76,3.64,7.23,7.22,7.22
27.77,3.56,3.56,-3.66,-3.66,3.66,3.75,3.70,7.22,7.22,7.22
28.05,3.58,3.58,-3.64,-3.64,3.64,3.74,3.77,7.22,7.22,7.22
28.33,3.60,3.60,-3.62,-3.62,3.62,3.73,3.83,7.22,7.22,7.22
28.62,3.62,3.62,-3.60,-3.60,3.60,3.72,3.89,7.21,7.21,7.22
28.90,3.64,3.64,-3.57,-3.57,3.57,3.71,3.94,7.21,7.21,7.21
29.19,3.66,3.66,-3.55,-3.55,3.55,3.69,3.99,7.21,7.21,7.21
29.48,3.68,3.68,-3.53,-3.53,3.53,3.68,4.03,7.21,7.21,7.21
29.78,3.70,3.70,-3.51,-3.51,3.51,3.67,4.07,7.20,7.20,7.21
30.08,3.72,3.72,-3.48,-3.48,3.48,3.66,4.11,7.20,7.20,7.20
30.38,3.74,3.74,-3.46,-3.46,3.46,3.64,4.14,7.20,7.20,7.20
30.68,3.76,3.76,-3.44,-3.44,3.44,3.63,4.16,7.20,7.20,7.20
30.99,3.78,3.78,-3.42,-3.42,3.42,3.62,4.17,7.20,7.20,7.19
31.30,3.80,3.80,-3.39,-3.39,3.40,3.60,4.18,7.20,7.19,7.19
31.61,3.81,3.81,-3.38,-3.38,3.38,3.59,4.19,7.19,7.19,7.19
31.93,3.83,3.83,-3.36,-3.36,3.36,3.57,4.18,7.19,7.19,7.19
32.24,3.84,3.84,-3.34,-3.34,3.34,3.56,4.17,7.18,7.18,7.18
32.57,3.86,3.86,-3.32,-3.32,3.32,3.54,4.16,7.18,7.18,7.18
32.89,3.87,3.87,-3.31,-3.30,3.30,3.53,4.14,7.17,7.17,7.17
33.22,3.89,3.89,-3.28,-3.28,3.28,3.51,4.11,7.17,7.17,7.17
33.55,3.90,3.90,-3.27,-3.26,3.26,3.50,4.08,7.16,7.17,7.17
33.89,3.92,3.92,-3.24,-3.24,3.24,3.48,4.05,7.16,7.16,7.16
34.23,3.94,3.94,-3.22,-3.22,3.22,3.47,4.01,7.16,7.16,7.16
34.57,3.95,3.95,-3.20,-3.20,3.20,3.45,3.97,7.15,7.16,7.15
34.92,3.97,3.97,-3.18,-3.18,3.18,3.43,3.92,7.15,7.15,7.15
35.27,3.98,3.98,-3.17,-3.17,3.17,3.42,3.87,7.14,7.14,7.14
35.62,3.99,3.99,-3.15,-3.15,3.15,3.40,3.82,7.14,7.14,7.14
35.97,4.01,4.01,-3.13,-3.13,3.13,3.38,3.76,7.14,7.13,7.13
36.33,4.02,4.02,-3.11,-3.11,3.11,3.37,3.71,7.13,7.13,7.13
36.70,4.03,4.03,-3.10,-3.09,3.10,3.35,3.65,7.12,7.13,7.12
37.06,4.04,4.04,-3.08,-3.08,3.08,3.33,3.59,7.12,7.12,7.12
37.43,4.05,4.05,-3.06,-3.06,3.06,3.31,3.54,7.11,7.11,7.11
37.81,4.06,4.06,-3.05,-3.05,3.05,3.29,3.48,7.10,7.11,7.11
38.19,4.07,4.07,-3.03,-3.03,3.03,3.27,3.42,7.10,7.10,7.10
38.57,4.08,4.08,-3.01,-3.01,3.01,3.26,3.36,7.09,7.09,7.09
38.95,4.09,4.09,-3.00,-3.00,3.00,3.24,3.31,7.09,7.09,7.09
39.34,4.10,4.10,-2.98,-2.98,2.98,3.22,3.25,7.08,7.08,7.08
39.74,4.11,4.11,-2.96,-2.97,2.97,3.20,3.19,7.08,7.07,7.07
40.14,4.11,4.11,-2.96,-2.95,2.95,3.18,3.14,7.06,7.06,7.06
40.54,4.12,4.12,-2.94,-2.94,2.93,3.15,3.09,7.05,7.05,7.06
40.94,4.13,4.13,-2.92,-2.92,2.92,3.13,3.04,7.05,7.05,7.05
41.35,4.14,4.14,-2.90,-2.90,2.90,3.11,2.99,7.04,7.04,7.04
41.76,4.15,4.15,-2.88,-2.88,2.88,3.09,2.94,7.03,7.03,7.03
42.18,4.16,4.16,-2.86,-2.86,2.87,3.07,2.90,7.03,7.03,7.02
42.60,4.17,4.17,-2.84,-2.85,2.85,3.05,2.85,7.02,7.01,7.01
43.03,4.17,4.17,-2.83,-2.83,2.83,3.02,2.81,7.00,7.00,7.00
43.46,4.18,4.18,-2.81,-2.81,2.81,3.00,2.77,6.99,6.99,6.99
43.90,4.19,4.19,-2.79,-2.79,2.79,2.98,2.74,6.98,6.98,6.98
44.33,4.20,4.20,-2.77,-2.77,2.77,2.95,2.70,6.97,6.97,6.97
44.78,4.21,4.21,-2.75,-2.75,2.75,2.93,2.67,6.96,6.96,6.96
45.23,4.22,4.22,-2.73,-2.73,2.74,2.90,2.64,6.95,6.95,6.95
45.68,4.22,4.22,-2.72,-2.72,2.72,2.88,2.61,6.94,6.94,6.94
46.13,4.23,4.23,-2.70,-2.70,2.70,2.85,2.59,6.93,6.93,6.92
46.60,4.23,4.23,-2.68,-2.68,2.68,2.83,2.56,6.91,6.91,6.91
47.06,4.24,4.24,-2.66,-2.66,2.66,2.80,2.54,6.90,6.90,6.90
47.53,4.24,4.24,-2.65,-2.64,2.64,2.78,2.52,6.88,6.88,6.88
48.01,4.25,4.25,-2.62,-2.62,2.62,2.75,2.50,6.87,6.87,6.87
