frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.77,6.77,-2.98,-2.98,2.98,2.78,0.61,9.75,9.75,9.75
20.20,6.82,6.82,-2.93,-2.93,2.93,2.74,0.63,9.75,9.75,9.75
20.40,6.87,6.87,-2.88,-2.88,2.88,2.70,0.64,9.75,9.75,9.75
20.61,6.92,6.92,-2.83,-2.83,2.83,2.66,0.67,9.75,9.75,9.75
20.81,6.96,6.96,-2.79,-2.78,2.78,2.62,0.69,9.74,9.75,9.75
21.02,7.01,7.01,-2.74,-2.73,2.73,2.58,0.71,9.74,9.74,9.75
21.23,7.06,7.06,-2.68,-2.68,2.68,2.55,0.73,9.75,9.75,9.75
21.44,7.11,7.11,-2.63,-2.63,2.64,2.51,0.75,9.75,9.75,9.74
21.66,7.16,7.16,-2.58,-2.59,2.59,2.47,0.78,9.75,9.74,9.74
21.87,7.20,7.20,-2.54,-2.54,2.54,2.43,0.80,9.74,9.74,9.74
22.09,7.25,7.25,-2.49,-2.49,2.49,2.39,0.83,9.74,9.74,9.74
22.31,7.30,7.30,-2.44,-2.44,2.44,2.35,0.85,9.74,9.74,9.74
22.54,7.35,7.35,-2.39,-2.39,2.39,2.32,0.88,9.74,9.74,9.74
22.76,7.40,7.40,-2.34,-2.34,2.34,2.28,0.91,9.74,9.74,9.74
22.99,7.44,7.44,-2.30,-2.29,2.30,2.24,0.94,9.74,9.74,9.74
23.22,7.49,7.49,-2.25,-2.25,2.25,2.20,0.96,9.74,9.74,9.74
23.45,7.53,7.53,-2.21,-2.20,2.20,2.16,0.99,9.73,9.74,9.74
23.69,7.58,7.58,-2.16,-2.16,2.16,2.13,1.02,9.74,9.74,9.74
23.92,7.62,7.62,-2.11,-2.11,2.11,2.09,1.05,9.74,9.73,9.73
24.16,7.66,7.66,-2.07,-2.07,2.07,2.05,1.08,9.73,9.73,9.73
24.40,7.70,7.70,-2.03,-2.03,2.02,2.01,1.11,9.73,9.73,9.73
24.65,7.75,7.75,-1.98,-1.98,1.98,1.98,1.15,9.73,9.73,9.73
24.89,7.79,7.79,-1.94,-1.94,1.94,1.94,1.18,9.73,9.73,9.73
25.14,7.84,7.84,-1.89,-1.89,1.89,1.90,1.21,9.73,9.73,9.73
25.39,7.88,7.88,-1.85,-1.85,1.85,1.86,1.24,9.73,9.73,9.73
25.65,7.92,7.92,-1.80,-1.80,1.80,1.83,1.27,9.72,9.73,9.73
25.91,7.96,7.96,-1.76,-1.76,1.76,1.79,1.30,9.72,9.72,9.72
26.16,8.00,8.00,-1.72,-1.72,1.72,1.75,1.33,9.72,9.72,9.72
26.43,8.04,8.04,-1.68,-1.68,1.68,1.72,1.37,9.72,9.72,9.72
26.69,8.08,8.08,-1.64,-1.64,1.64,1.68,1.39,9.72,9.72,9.72
26.96,8.12,8.12,-1.60,-1.60,1.60,1.64,1.42,9.72,9.72,9.72
27.23,8.15,8.15,-1.56,-1.56,1.56,1.61,1.45,9.71,9.72,9.72
27.50,8.19,8.19,-1.52,-1.52,1.52,1.57,1.48,9.71,9.71,9.71
27.77,8.23,8.23,-1.48,-1.48,1.48,1.54,1.50,9.72,9.71,9.71
28.05,8.26,8.26,-1.45,-1.44,1.45,1.50,1.53,9.71,9.71,9.71
28.33,8.30,8.30,-1.41,-1.41,1.41,1.47,1.55,9.71,9.71,9.71
28.62,8.33,8.33,-1.37,-1.37,1.37,1.43,1.57,9.70,9.70,9.70
28.90,8.36,8.37,-1.34,-1.34,1.34,1.40,1.58,9.70,9.70,9.70
29.19,8.40,8.40,-1.30,-1.30,1.30,1.36,1.60,9.70,9.70,9.70
29.48,8.43,8.43,-1.27,-1.27,1.27,1.33,1.61,9.70,9.70,9.70
29.78,8.46,8.46,-1.24,-1.23,1.23,1.29,1.62,9.69,9.70,9.70
30.08,8.50,8.50,-1.19,-1.20,1.20,1.26,1.63,9.70,9.69,9.69
30.38,8.53,8.53,-1.16,-1.16,1.16,1.22,1.63,9.69,9.69,9.69
30.68,8.56,8.56,-1.13,-1.13,1.13,1.19,1.63,9.69,9.69,9.69
30.99,8.59,8.59,-1.09,-1.09,1.09,1.15,1.63,9.68,9.68,9.68
31.30,8.62,8.62,-1.06,-1.06,1.06,1.12,1.62,9.68,9.68,9.68
31.61,8.65,8.65,-1.03,-1.03,1.03,1.09,1.61,9.68,9.68,9.68
