frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.56,7.56,0.79,0.79,-0.79,-0.72,-0.35,6.77,6.77,6.77
20.20,7.56,7.56,0.79,0.79,-0.79,-0.73,-0.36,6.77,6.77,6.77
20.40,7.57,7.57,0.80,0.80,-0.80,-0.73,-0.37,6.77,6.77,6.77
20.61,7.57,7.57,0.80,0.80,-0.80,-0.73,-0.38,6.77,6.77,6.77
20.81,7.57,7.57,0.80,0.80,-0.80,-0.73,-0.39,6.77,6.77,6.77
21.02,7.57,7.57,0.80,0.80,-0.80,-0.73,-0.40,6.76,6.76,6.77
21.23,7.57,7.57,0.80,0.81,-0.81,-0.74,-0.41,6.76,6.77,6.77
21.44,7.58,7.58,0.81,0.81,-0.81,-0.74,-0.42,6.77,6.77,6.77
21.66,7.58,7.58,0.81,0.81,-0.81,-0.74,-0.43,6.77,6.77,6.77
21.87,7.58,7.58,0.81,0.82,-0.81,-0.74,-0.45,6.77,6.77,6.76
22.09,7.58,7.58,0.82,0.82,-0.82,-0.74,-0.46,6.76,6.76,6.76
22.31,7.58,7.58,0.82,0.82,-0.82,-0.75,-0.47,6.76,6.76,6.76
22.54,7.58,7.58,0.82,0.82,-0.82,-0.75,-0.48,6.76,6.76,6.76
22.76,7.58,7.58,0.82,0.82,-0.82,-0.75,-0.50,6.76,6.76,6.76
22.99,7.58,7.58,0.82,0.82,-0.82,-0.75,-0.51,6.76,6.76,6.76
23.22,7.58,7.58,0.82,0.82,-0.82,-0.76,-0.53,6.76,6.76,6.76
23.45,7.58,7.58,0.82,0.82,-0.82,-0.76,-0.54,6.76,6.76,6.76
23.69,7.58,7.58,0.82,0.82,-0.82,-0.76,-0.55,6.76,6.76,6.76
23.92,7.58,7.58,0.82,0.82,-0.82,-0.76,-0.57,6.76,6.76,6.76
24.16,7.58,7.58,0.82,0.82,-0.82,-0.76,-0.59,6.75,6.75,6.75
24.40,7.58,7.58,0.83,0.83,-0.83,-0.77,-0.60,6.75,6.75,6.75
24.65,7.58,7.58,0.83,0.83,-0.83,-0.77,-0.62,6.75,6.75,6.75
24.89,7.58,7.58,0.83,0.83,-0.83,-0.77,-0.63,6.75,6.75,6.75
25.14,7.58,7.58,0.83,0.83,-0.83,-0.77,-0.65,6.75,6.75,6.75
25.39,7.58,7.58,0.83,0.83,-0.83,-0.78,-0.66,6.75,6.75,6.75
25.65,7.58,7.58,0.83,0.83,-0.83,-0.78,-0.68,6.75,6.75,6.75
25.91,7.58,7.58,0.83,0.83,-0.83,-0.78,-0.70,6.74,6.74,6.74
26.16,7.58,7.58,0.84,0.84,-0.84,-0.78,-0.71,6.74,6.74,6.74
26.43,7.58,7.58,0.84,0.84,-0.84,-0.79,-0.73,6.74,6.74,6.74
26.69,7.58,7.58,0.84,0.84,-0.84,-0.79,-0.75,6.74,6.74,6.74
26.96,7.58,7.58,0.84,0.84,-0.84,-0.79,-0.76,6.74,6.74,6.74
27.23,7.58,7.58,0.84,0.84,-0.84,-0.79,-0.78,6.74,6.74,6.74
27.50,7.58,7.58,0.84,0.84,-0.84,-0.80,-0.79,6.74,6.74,6.73
27.77,7.58,7.58,0.85,0.84,-0.84,-0.80,-0.81,6.74,6.73,6.73
28.05,7.57,7.57,0.84,0.84,-0.84,-0.80,-0.82,6.73,6.73,6.73
28.33,7.57,7.57,0.84,0.84,-0.84,-0.81,-0.84,6.73,6.73,6.73
28.62,7.57,7.57,0.84,0.84,-0.84,-0.81,-0.85,6.73,6.73,6.73
28.90,7.57,7.57,0.84,0.84,-0.84,-0.81,-0.86,6.73,6.73,6.72
29.19,7.56,7.56,0.84,0.84,-0.84,-0.81,-0.87,6.72,6.72,6.72
29.48,7.56,7.56,0.84,0.84,-0.84,-0.82,-0.89,6.72,6.72,6.72
29.78,7.55,7.55,0.83,0.84,-0.84,-0.82,-0.90,6.71,6.72,6.72
30.08,7.55,7.55,0.83,0.83,-0.84,-0.82,-0.91,6.71,6.71,6.71
30.38,7.55,7.54,0.84,0.83,-0.83,-0.83,-0.91,6.71,6.71,6.71
30.68,7.54,7.54,0.83,0.83,-0.83,-0.83,-0.92,6.71,6.71,6.71
30.99,7.54,7.54,0.83,0.83,-0.83,-0.83,-0.93,6.71,6.71,6.71
31.30,7.54,7.53,0.84,0.83,-0.83,-0.83,-0.93,6.71,6.70,6.70
31.61,7.53,7.53,0.83,0.83,-0.83,-0.84,-0.94,6.70,6.70,6.70
31.93,7.53,7.53,0.83,0.83,-0.83,-0.84,-0.94,6.70,6.70,6.70
32.24,7.53,7.53,0.84,0.83,-0.83,-0.84,-0.95,6.70,6.69,6.69
32.57,7.52,7.52,0.83,0.83,-0.83,-0.85,-0.95,6.69,6.69,6.69
32.89,7.52,7.52,0.83,0.83,-0.83,-0.85,-0.95,6.69,6.68,6.69
33.22,7.51,7.51,0.83,0.83,-0.83,-0.85,-0.95,6.68,6.68,6.68
33.55,7.51,7.51,0.83,0.83,-0.83,-0.86,-0.95,6.67,6.67,6.68
33.89,7.51,7.51,0.84,0.83,-0.84,-0.86,-0.95,6.67,6.67,6.67
34.23,7.51,7.51,0.84,0.84,-0.84,-0.86,-0.95,6.67,6.67,6.67
34.57,7.51,7.51,0.84,0.84,-0.84,-0.86,-0.95,6.67,6.67,6.67
34.92,7.51,7.51,0.85,0.85,-0.84,-0.87,-0.94,6.67,6.66,6.66
35.27,7.50,7.50,0.84,0.85,-0.84,-0.87,-0.94,6.66,6.66,6.66
35.62,7.50,7.50,0.85,0.85,-0.85,-0.87,-0.94,6.65,6.65,6.65
35.97,7.49,7.49,0.84,0.84,-0.85,-0.88,-0.93,6.64,6.64,6.65
36.33,7.49,7.49,0.85,0.85,-0.85,-0.88,-0.93,6.64,6.64,6.64
