frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.52,7.52,2.02,2.02,-2.02,-5.23,-2.07,5.50,5.50,5.50
20.20,7.60,7.60,2.10,2.10,-2.10,-5.23,-2.13,5.49,5.50,5.50
20.40,7.69,7.68,2.19,2.19,-2.19,-5.23,-2.19,5.50,5.50,5.50
20.61,7.77,7.77,2.27,2.27,-2.27,-5.23,-2.25,5.50,5.50,5.50
20.81,7.85,7.85,2.35,2.36,-2.35,-5.23,-2.31,5.49,5.50,5.50
21.02,7.94,7.93,2.44,2.44,-2.44,-5.23,-2.38,5.50,5.49,5.49
21.23,8.02,8.02,2.52,2.52,-2.52,-5.23,-2.45,5.49,5.49,5.49
21.44,8.10,8.10,2.61,2.61,-2.61,-5.23,-2.52,5.49,5.49,5.49
21.66,8.19,8.19,2.69,2.69,-2.69,-5.23,-2.59,5.49,5.49,5.49
21.87,8.27,8.27,2.78,2.78,-2.78,-5.23,-2.67,5.49,5.49,5.49
22.09,8.36,8.36,2.87,2.87,-2.86,-5.23,-2.74,5.49,5.49,5.49
22.31,8.44,8.44,2.95,2.95,-2.95,-5.23,-2.82,5.49,5.49,5.49
22.54,8.53,8.52,3.04,3.04,-3.04,-5.23,-2.90,5.49,5.49,5.49
22.76,8.61,8.61,3.12,3.12,-3.12,-5.23,-2.99,5.48,5.49,5.49
22.99,8.70,8.70,3.21,3.21,-3.21,-5.24,-3.07,5.49,5.49,5.49
23.22,8.79,8.78,3.30,3.30,-3.30,-5.24,-3.16,5.49,5.49,5.49
23.45,8.87,8.87,3.38,3.38,-3.38,-5.24,-3.25,5.48,5.49,5.49
23.69,8.96,8.96,3.47,3.47,-3.47,-5.24,-3.34,5.48,5.48,5.48
23.92,9.04,9.04,3.56,3.56,-3.56,-5.24,-3.43,5.48,5.48,5.48
24.16,9.13,9.13,3.65,3.64,-3.64,-5.24,-3.52,5.48,5.48,5.48
24.40,9.21,9.21,3.73,3.73,-3.73,-5.24,-3.62,5.48,5.48,5.48
24.65,9.30,9.30,3.82,3.82,-3.81,-5.24,-3.71,5.48,5.48,5.48
24.89,9.38,9.38,3.90,3.90,-3.90,-5.24,-3.81,5.48,5.48,5.48
25.14,9.46,9.46,3.98,3.98,-3.98,-5.24,-3.91,5.48,5.48,5.48
25.39,9.54,9.54,4.06,4.06,-4.06,-5.24,-4.01,5.47,5.47,5.48
25.65,9.62,9.62,4.14,4.14,-4.15,-5.24,-4.11,5.47,5.47,5.47
25.91,9.70,9.70,4.22,4.22,-4.23,-5.24,-4.21,5.47,5.47,5.47
26.16,9.78,9.77,4.31,4.30,-4.30,-5.24,-4.31,5.47,5.47,5.47
26.43,9.85,9.85,4.38,4.38,-4.38,-5.24,-4.42,5.47,5.47,5.47
26.69,9.93,9.92,4.46,4.46,-4.46,-5.24,-4.51,5.47,5.47,5.47
26.96,10.00,10.00,4.53,4.53,-4.53,-5.24,-4.61,5.46,5.46,5.47
27.23,10.07,10.07,4.60,4.61,-4.60,-5.24,-4.71,5.46,5.46,5.46
27.50,10.14,10.14,4.68,4.68,-4.68,-5.24,-4.81,5.46,5.46,5.46
27.77,10.21,10.21,4.75,4.75,-4.74,-5.24,-4.90,5.46,5.46,5.46
28.05,10.27,10.27,4.81,4.81,-4.81,-5.24,-4.99,5.46,5.46,5.46
28.33,10.33,10.33,4.87,4.87,-4.87,-5.24,-5.07,5.45,5.46,5.46
28.62,10.39,10.39,4.93,4.93,-4.94,-5.24,-5.16,5.45,5.45,5.45
28.90,10.45,10.44,5.00,4.99,-4.99,-5.24,-5.23,5.45,5.45,5.45
29.19,10.50,10.50,5.05,5.05,-5.05,-5.24,-5.31,5.45,5.45,5.45
29.48,10.55,10.55,5.10,5.10,-5.10,-5.24,-5.37,5.45,5.45,5.45
29.78,10.60,10.59,5.15,5.15,-5.15,-5.24,-5.44,5.45,5.44,5.44
30.08,10.64,10.64,5.20,5.20,-5.20,-5.24,-5.49,5.44,5.44,5.44
30.38,10.68,10.68,5.24,5.24,-5.24,-5.24,-5.54,5.44,5.44,5.44
30.68,10.72,10.72,5.28,5.28,-5.28,-5.24,-5.58,5.44,5.44,5.44
30.99,10.75,10.75,5.31,5.32,-5.31,-5.24,-5.62,5.43,5.44,5.43
31.30,10.78,10.78,5.35,5.35,-5.34,-5.24,-5.65,5.43,5.43,5.43
31.61,10.80,10.80,5.37,5.37,-5.37,-5.25,-5.67,5.42,5.42,5.43
31.93,10.82,10.82,5.39,5.40,-5.40,-5.25,-5.68,5.42,5.42,5.42
32.24,10.84,10.84,5.42,5.42,-5.42,-5.25,-5.70,5.42,5.42,5.42
32.57,10.86,10.86,5.44,5.44,-5.44,-5.25,-5.70,5.42,5.42,5.42
32.89,10.87,10.87,5.45,5.46,-5.45,-5.25,-5.69,5.42,5.42,5.41
33.22,10.88,10.88,5.47,5.47,-5.46,-5.25,-5.68,5.41,5.41,5.41
33.55,10.88,10.88,5.47,5.47,-5.47,-5.25,-5.67,5.40,5.40,5.41
33.89,10.88,10.88,5.48,5.48,-5.48,-5.25,-5.65,5.40,5.40,5.40
34.23,10.88,10.88,5.48,5.48,-5.48,-5.25,-5.63,5.40,5.40,5.40
34.57,10.88,10.87,5.48,5.48,-5.48,-5.25,-5.60,5.40,5.39,5.39
34.92,10.87,10.87,5.48,5.48,-5.48,-5.25,-5.57,5.39,5.39,5.39
35.27,10.86,10.86,5.47,5.47,-5.47,-5.25,-5.53,5.38,5.38,5.38
35.62,10.85,10.85,5.47,5.47,-5.47,-5.26,-5.50,5.38,5.38,5.38
35.97,10.83,10.83,5.45,5.46,-5.46,-5.26,-5.46,5.37,5.37,5.37
36.33,10.82,10.82,5.45,5.45,-5.45,-5.26,-5.42,5.37,5.37,5.37
36.70,10.80,10.80,5.43,5.43,-5.43,-5.26,-5.38,5.36,5.36,5.36
37.06,10.78,10.78,5.42,5.42,-5.42,-5.26,-5.35,5.36,5.36,5.36
37.43,10.76,10.76,5.41,5.41,-5.41,-5.26,-5.31,5.35,5.35,5.35
37.81,10.74,10.73,5.39,5.39,-5.39,-5.27,-5.27,5.35,5.34,5.35
38.19,10.71,10.71,5.37,5.37,-5.37,-5.27,-5.23,5.33,5.34,5.34
38.57,10.69,10.69,5.36,5.36,-5.36,-5.27,-5.20,5.33,5.33,5.33
38.95,10.67,10.66,5.34,5.34,-5.34,-5.27,-5.16,5.33,5.33,5.33
39.34,10.64,10.64,5.32,5.32,-5.32,-5.27,-5.13,5.32,5.32,5.32
39.74,10.62,10.61,5.31,5.30,-5.30,-5.28,-5.10,5.31,5.31,5.31
40.14,10.59,10.59,5.28,5.29,-5.29,-5.28,-5.08,5.30,5.30,5.30
40.54,10.57,10.57,5.27,5.27,-5.27,-5.28,-5.06,5.29,5.30,5.30
40.94,10.55,10.55,5.26,5.26,-5.26,-5.29,-5.04,5.29,5.29,5.29
41.35,10.53,10.53,5.25,5.25,-5.25,-5.29,-5.02,5.28,5.28,5.28
41.76,10.51,10.51,5.24,5.24,-5.24,-5.30,-5.01,5.27,5.27,5.27
42.18,10.49,10.49,5.23,5.23,-5.23,-5.30,-5.00,5.26,5.26,5.26
42.60,10.48,10.47,5.23,5.22,-5.22,-5.31,-4.99,5.26,5.25,5.25
43.03,10.46,10.46,5.22,5.22,-5.22,-5.31,-4.99,5.24,5.24,5.24
43.46,10.45,10.45,5.22,5.22,-5.22,-5.32,-4.99,5.23,5.23,5.23
43.90,10.44,10.44,5.22,5.21,-5.22,-5.33,-5.00,5.22,5.22,5.22
44.33,10.43,10.43,5.22,5.22,-5.22,-5.33,-5.00,5.21,5.21,5.21
44.78,10.43,10.43,5.23,5.23,-5.23,-5.34,-5.02,5.20,5.20,5.20
45.23,10.43,10.43,5.24,5.24,-5.24,-5.35,-5.03,5.19,5.19,5.19
45.68,10.43,10.43,5.25,5.25,-5.25,-5.36,-5.05,5.18,5.18,5.18
46.13,10.43,10.43,5.26,5.27,-5.27,-5.37,-5.08,5.16,5.16,5.16
46.60,10.44,10.43,5.29,5.28,-5.28,-5.38,-5.11,5.15,5.15,5.15
47.06,10.44,10.44,5.30,5.31,-5.31,-5.40,-5.14,5.13,5.14,5.14
47.53,10.46,10.45,5.33,5.33,-5.33,-5.41,-5.17,5.13,5.12,5.12
48.01,10.47,10.47,5.36,5.36,-5.36,-5.43,-5.21,5.11,5.11,5.11
48.49,10.49,10.49,5.39,5.39,-5.39,-5.44,-5.25,5.10,5.09,5.09
48.97,10.51,10.51,5.43,5.43,-5.43,-5.46,-5.30,5.08,5.08,5.08
49.46,10.53,10.53,5.46,5.47,-5.47,-5.48,-5.35,5.06,5.06,5.06
49.96,10.56,10.56,5.51,5.51,-5.51,-5.51,-5.40,5.05,5.05,5.05
50.46,10.59,10.59,5.56,5.56,-5.56,-5.53,-5.45,5.03,5.03,5.03
50.96,10.62,10.62,5.61,5.61,-5.61,-5.56,-5.50,5.01,5.01,5.01
51.47,10.66,10.65,5.66,5.66,-5.66,-5.59,-5.56,5.00,4.99,4.99
51.99,10.69,10.69,5.71,5.71,-5.71,-5.62,-5.61,4.97,4.98,4.98
52.51,10.73,10.73,5.77,5.77,-5.77,-5.66,-5.67,4.96,4.96,4.96
53.03,10.77,10.77,5.83,5.83,-5.83,-5.70,-5.73,4.94,4.94,4.94
53.56,10.81,10.81,5.89,5.89,-5.89,-5.74,-5.79,4.92,4.92,4.92
54.10,10.85,10.85,5.95,5.95,-5.95,-5.78,-5.84,4.89,4.89,4.89
54.64,10.89,10.89,6.01,6.01,-6.02,-5.83,-5.90,4.87,4.87,4.87
55.18,10.93,10.93,6.08,6.08,-6.08,-5.89,-5.95,4.85,4.85,4.85
55.74,10.97,10.97,6.14,6.14,-6.14,-5.95,-6.01,4.82,4.83,4.83
56.29,11.01,11.01,6.21,6.21,-6.21,-6.01,-6.05,4.80,4.80,4.80
56.86,11.05,11.05,6.27,6.27,-6.27,-6.07,-6.10,4.78,4.78,4.78
57.42,11.08,11.08,6.33,6.33,-6.32,-6.14,-6.14,4.75,4.75,4.75
58.00,11.11,11.11,6.38,6.38,-6.38,-6.21,-6.17,4.73,4.73,4.73
58.58,11.13,11.13,6.43,6.43,-6.43,-6.28,-6.20,4.70,4.70,4.70
