frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.65,6.65,-2.48,-2.48,2.50,2.28,0.96,9.15,9.15,9.14
20.20,6.67,6.67,-2.46,-2.46,2.47,2.27,0.99,9.14,9.14,9.14
20.40,6.69,6.70,-2.44,-2.44,2.44,2.27,1.02,9.13,9.13,9.14
20.61,6.72,6.72,-2.41,-2.42,2.41,2.26,1.05,9.13,9.13,9.14
20.81,6.74,6.75,-2.39,-2.39,2.38,2.26,1.08,9.12,9.12,9.13
21.02,6.77,6.77,-2.36,-2.36,2.35,2.25,1.11,9.13,9.13,9.13
21.23,6.80,6.80,-2.33,-2.33,2.33,2.24,1.14,9.13,9.13,9.13
21.44,6.83,6.83,-2.30,-2.30,2.30,2.24,1.18,9.14,9.14,9.13
21.66,6.86,6.86,-2.27,-2.27,2.28,2.23,1.21,9.14,9.14,9.13
21.87,6.88,6.88,-2.25,-2.25,2.25,2.22,1.25,9.13,9.14,9.13
22.09,6.90,6.90,-2.23,-2.23,2.23,2.22,1.29,9.13,9.13,9.13
22.31,6.92,6.92,-2.21,-2.21,2.21,2.21,1.32,9.13,9.13,9.13
22.54,6.93,6.94,-2.20,-2.19,2.19,2.20,1.36,9.13,9.13,9.13
22.76,6.95,6.95,-2.17,-2.18,2.18,2.19,1.40,9.13,9.13,9.13
22.99,6.96,6.96,-2.16,-2.16,2.16,2.18,1.44,9.13,9.13,9.13
23.22,6.97,6.97,-2.15,-2.15,2.15,2.17,1.49,9.12,9.12,9.13
23.45,6.98,6.98,-2.14,-2.14,2.14,2.17,1.53,9.12,9.12,9.12
23.69,6.99,7.00,-2.13,-2.13,2.12,2.16,1.57,9.12,9.12,9.12
23.92,7.01,7.01,-2.11,-2.11,2.11,2.15,1.62,9.12,9.12,9.12
24.16,7.02,7.02,-2.10,-2.10,2.10,2.14,1.66,9.12,9.12,9.12
24.40,7.03,7.03,-2.09,-2.09,2.09,2.13,1.71,9.12,9.12,9.12
24.65,7.04,7.04,-2.08,-2.07,2.08,2.12,1.75,9.12,9.12,9.12
24.89,7.05,7.05,-2.06,-2.06,2.07,2.11,1.80,9.12,9.12,9.12
25.14,7.06,7.06,-2.05,-2.06,2.06,2.10,1.85,9.12,9.12,9.12
25.39,7.06,7.07,-2.05,-2.05,2.05,2.09,1.90,9.11,9.11,9.11
25.65,7.07,7.07,-2.04,-2.04,2.04,2.08,1.94,9.11,9.11,9.11
25.91,7.07,7.08,-2.04,-2.04,2.04,2.07,1.99,9.11,9.11,9.11
26.16,7.08,7.08,-2.03,-2.03,2.03,2.06,2.04,9.11,9.11,9.11
26.43,7.08,7.08,-2.03,-2.03,2.02,2.05,2.09,9.11,9.11,9.11
26.69,7.08,7.09,-2.02,-2.02,2.02,2.04,2.13,9.10,9.11,9.11
26.96,7.09,7.09,-2.01,-2.02,2.02,2.03,2.18,9.11,9.11,9.10
27.23,7.09,7.09,-2.01,-2.01,2.01,2.02,2.23,9.10,9.10,9.10
27.50,7.09,7.09,-2.01,-2.01,2.01,2.01,2.27,9.10,9.10,9.10
27.77,7.09,7.09,-2.01,-2.01,2.01,2.01,2.31,9.10,9.10,9.10
28.05,7.09,7.09,-2.00,-2.00,2.00,2.00,2.35,9.10,9.10,9.10
28.33,7.09,7.09,-2.00,-2.00,2.00,2.00,2.39,9.09,9.09,9.10
28.62,7.09,7.09,-2.00,-2.00,2.00,1.99,2.43,9.09,9.09,9.09
28.90,7.09,7.09,-2.00,-2.00,2.00,1.99,2.46,9.09,9.09,9.09
29.19,7.09,7.09,-2.00,-2.00,2.00,1.99,2.50,9.09,9.09,9.09
29.48,7.08,7.09,-2.00,-2.00,2.00,1.99,2.52,9.08,9.09,9.09
29.78,7.08,7.08,-2.00,-2.00,2.00,1.99,2.55,9.08,9.08,9.08
30.08,7.08,7.08,-2.00,-2.00,2.00,1.99,2.57,9.09,9.08,9.08
30.38,7.07,7.07,-2.00,-2.00,2.01,1.99,2.60,9.08,9.08,9.08
30.68,7.06,7.07,-2.01,-2.01,2.01,1.99,2.61,9.07,9.08,9.08
30.99,7.06,7.06,-2.01,-2.01,2.01,2.00,2.63,9.08,9.07,9.07
31.30,7.05,7.05,-2.02,-2.02,2.02,2.00,2.64,9.07,9.07,9.07
31.61,7.04,7.04,-2.02,-2.02,2.02,2.01,2.64,9.06,9.07,9.07
31.93,7.03,7.04,-2.03,-2.03,2.02,2.01,2.65,9.06,9.06,9.06
