frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.16,2.16,-2.52,-2.52,2.52,1.95,0.42,4.68,4.67,4.68
20.20,2.21,2.21,-2.47,-2.46,2.46,1.93,0.43,4.67,4.68,4.67
20.40,2.27,2.27,-2.40,-2.41,2.41,1.91,0.45,4.68,4.68,4.67
20.61,2.32,2.32,-2.36,-2.35,2.36,1.89,0.46,4.68,4.68,4.67
20.81,2.37,2.37,-2.30,-2.30,2.30,1.87,0.47,4.67,4.67,4.67
21.02,2.42,2.42,-2.25,-2.25,2.25,1.84,0.49,4.67,4.67,4.67
21.23,2.47,2.47,-2.20,-2.20,2.20,1.82,0.51,4.67,4.67,4.67
21.44,2.52,2.52,-2.15,-2.15,2.15,1.80,0.52,4.67,4.67,4.67
21.66,2.58,2.58,-2.09,-2.09,2.09,1.78,0.54,4.67,4.67,4.67
21.87,2.63,2.63,-2.04,-2.04,2.04,1.75,0.56,4.67,4.67,4.67
22.09,2.68,2.68,-1.99,-1.98,1.98,1.73,0.57,4.66,4.67,4.67
22.31,2.74,2.74,-1.93,-1.93,1.93,1.70,0.59,4.67,4.67,4.67
22.54,2.79,2.79,-1.88,-1.88,1.88,1.68,0.61,4.67,4.67,4.67
22.76,2.84,2.84,-1.83,-1.83,1.83,1.65,0.63,4.67,4.67,4.67
22.99,2.88,2.88,-1.79,-1.78,1.78,1.63,0.65,4.66,4.67,4.66
23.22,2.93,2.93,-1.73,-1.74,1.74,1.60,0.67,4.67,4.67,4.66
23.45,2.97,2.97,-1.69,-1.69,1.69,1.58,0.69,4.66,4.66,4.66
23.69,3.01,3.01,-1.65,-1.65,1.65,1.55,0.71,4.66,4.66,4.66
23.92,3.05,3.05,-1.61,-1.61,1.61,1.52,0.73,4.66,4.66,4.66
24.16,3.09,3.09,-1.57,-1.57,1.57,1.50,0.75,4.66,4.66,4.66
24.40,3.13,3.13,-1.53,-1.53,1.52,1.47,0.77,4.65,4.65,4.66
24.65,3.18,3.18,-1.48,-1.48,1.48,1.44,0.79,4.66,4.66,4.66
24.89,3.22,3.22,-1.44,-1.43,1.43,1.41,0.81,4.65,4.65,4.66
25.14,3.27,3.27,-1.38,-1.39,1.39,1.39,0.84,4.66,4.65,4.65
25.39,3.31,3.31,-1.34,-1.34,1.34,1.36,0.86,4.65,4.65,4.65
25.65,3.36,3.36,-1.29,-1.29,1.29,1.33,0.88,4.65,4.65,4.65
25.91,3.40,3.40,-1.25,-1.25,1.25,1.30,0.90,4.65,4.65,4.65
26.16,3.45,3.45,-1.20,-1.20,1.20,1.27,0.92,4.65,4.65,4.65
26.43,3.49,3.49,-1.16,-1.16,1.16,1.24,0.94,4.65,4.65,4.65
26.69,3.53,3.53,-1.12,-1.11,1.12,1.21,0.96,4.65,4.65,4.64
26.96,3.57,3.57,-1.07,-1.07,1.07,1.18,0.98,4.64,4.64,4.64
27.23,3.61,3.61,-1.03,-1.03,1.03,1.15,1.00,4.64,4.64,4.64
27.50,3.65,3.65,-0.99,-0.99,0.99,1.12,1.02,4.64,4.64,4.64
27.77,3.69,3.69,-0.95,-0.95,0.95,1.09,1.03,4.64,4.64,4.64
28.05,3.73,3.73,-0.91,-0.91,0.91,1.05,1.05,4.63,4.63,4.64
28.33,3.77,3.77,-0.86,-0.86,0.86,1.02,1.06,4.63,4.63,4.63
28.62,3.81,3.81,-0.82,-0.82,0.82,0.99,1.07,4.63,4.63,4.63
28.90,3.85,3.85,-0.78,-0.78,0.78,0.96,1.08,4.63,4.63,4.63
29.19,3.89,3.89,-0.74,-0.74,0.74,0.92,1.09,4.63,4.63,4.63
29.48,3.92,3.92,-0.70,-0.70,0.70,0.89,1.10,4.62,4.62,4.62
29.78,3.96,3.96,-0.66,-0.66,0.66,0.86,1.10,4.62,4.62,4.62
30.08,4.00,4.00,-0.62,-0.62,0.62,0.82,1.10,4.62,4.62,4.62
30.38,4.03,4.03,-0.59,-0.58,0.58,0.79,1.10,4.61,4.62,4.62
30.68,4.07,4.07,-0.54,-0.55,0.55,0.76,1.10,4.62,4.61,4.61
30.99,4.10,4.10,-0.51,-0.51,0.51,0.72,1.10,4.61,4.61,4.61
31.30,4.14,4.14,-0.47,-0.47,0.47,0.69,1.09,4.61,4.61,4.61
31.61,4.17,4.17,-0.44,-0.44,0.43,0.65,1.08,4.60,4.60,4.60
31.93,4.20,4.20,-0.40,-0.40,0.40,0.62,1.06,4.59,4.60,4.60
32.24,4.24,4.24,-0.36,-0.36,0.36,0.58,1.05,4.60,4.60,4.60
32.57,4.27,4.27,-0.33,-0.32,0.32,0.55,1.03,4.59,4.59,4.59
32.89,4.31,4.31,-0.28,-0.28,0.29,0.51,1.01,4.59,4.59,4.59
33.22,4.34,4.34,-0.25,-0.25,0.25,0.48,0.99,4.59,4.59,4.59
33.55,4.37,4.37,-0.21,-0.21,0.22,0.44,0.97,4.58,4.59,4.58
33.89,4.40,4.40,-0.18,-0.18,0.18,0.41,0.94,4.58,4.58,4.58
