frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.67,0.66,-6.18,-6.18,6.05,4.96,2.20,6.71,6.71,6.85
20.20,0.72,0.72,-6.13,-6.12,6.01,4.96,2.27,6.73,6.73,6.84
20.40,0.78,0.78,-6.07,-6.07,5.98,4.95,2.33,6.76,6.76,6.84
20.61,0.83,0.84,-6.01,-6.01,5.95,4.95,2.40,6.78,6.78,6.84
20.81,0.90,0.90,-5.95,-5.95,5.91,4.94,2.47,6.80,6.80,6.84
21.02,0.96,0.96,-5.89,-5.89,5.87,4.94,2.54,6.83,6.82,6.84
21.23,1.02,1.01,-5.82,-5.83,5.83,4.93,2.61,6.84,6.84,6.84
21.44,1.07,1.07,-5.77,-5.77,5.79,4.93,2.69,6.85,6.86,6.84
21.66,1.13,1.12,-5.71,-5.72,5.73,4.92,2.77,6.86,6.85,6.84
21.87,1.17,1.17,-5.67,-5.67,5.68,4.92,2.85,6.85,6.85,6.84
22.09,1.21,1.21,-5.63,-5.63,5.63,4.91,2.93,6.84,6.84,6.84
22.31,1.25,1.25,-5.59,-5.59,5.59,4.91,3.02,6.83,6.83,6.84
22.54,1.29,1.29,-5.55,-5.55,5.55,4.90,3.11,6.83,6.83,6.84
22.76,1.33,1.33,-5.51,-5.51,5.51,4.90,3.20,6.83,6.83,6.84
22.99,1.37,1.36,-5.47,-5.47,5.47,4.89,3.29,6.84,6.83,6.83
23.22,1.40,1.40,-5.44,-5.43,5.43,4.89,3.38,6.83,6.83,6.83
23.45,1.44,1.44,-5.40,-5.40,5.40,4.88,3.48,6.83,6.83,6.83
23.69,1.48,1.47,-5.36,-5.36,5.36,4.88,3.58,6.84,6.83,6.83
23.92,1.51,1.51,-5.32,-5.32,5.33,4.87,3.67,6.83,6.83,6.83
24.16,1.54,1.54,-5.29,-5.29,5.29,4.87,3.78,6.83,6.83,6.83
24.40,1.57,1.57,-5.26,-5.26,5.26,4.86,3.88,6.82,6.82,6.83
24.65,1.60,1.60,-5.23,-5.23,5.23,4.85,3.98,6.82,6.82,6.83
24.89,1.63,1.63,-5.20,-5.20,5.19,4.85,4.09,6.82,6.82,6.83
25.14,1.66,1.66,-5.17,-5.17,5.17,4.84,4.20,6.82,6.82,6.82
25.39,1.69,1.69,-5.14,-5.13,5.14,4.83,4.31,6.83,6.83,6.82
25.65,1.72,1.71,-5.10,-5.11,5.12,4.83,4.41,6.83,6.83,6.82
25.91,1.74,1.73,-5.08,-5.09,5.10,4.82,4.52,6.83,6.83,6.82
26.16,1.75,1.75,-5.07,-5.07,5.08,4.81,4.63,6.83,6.83,6.82
26.43,1.76,1.76,-5.06,-5.06,5.06,4.81,4.74,6.82,6.82,6.82
26.69,1.77,1.76,-5.05,-5.05,5.05,4.80,4.84,6.81,6.81,6.81
26.96,1.78,1.78,-5.04,-5.03,5.02,4.79,4.95,6.80,6.80,6.81
27.23,1.80,1.80,-5.02,-5.01,5.00,4.78,5.05,6.79,6.80,6.81
27.50,1.84,1.83,-4.97,-4.98,4.96,4.78,5.15,6.80,6.79,6.81
27.77,1.88,1.87,-4.93,-4.93,4.92,4.77,5.25,6.80,6.79,6.81
28.05,1.92,1.92,-4.89,-4.88,4.87,4.76,5.34,6.79,6.80,6.81
28.33,1.98,1.98,-4.83,-4.83,4.83,4.75,5.43,6.80,6.80,6.80
28.62,2.04,2.03,-4.77,-4.77,4.78,4.74,5.51,6.81,6.81,6.80
28.90,2.09,2.08,-4.71,-4.72,4.74,4.73,5.59,6.82,6.82,6.80
29.19,2.12,2.12,-4.68,-4.68,4.70,4.73,5.66,6.81,6.81,6.80
29.48,2.14,2.14,-4.66,-4.65,4.67,4.72,5.72,6.80,6.80,6.79
29.78,2.16,2.15,-4.64,-4.64,4.64,4.71,5.78,6.80,6.79,6.79
30.08,2.17,2.17,-4.62,-4.62,4.62,4.70,5.82,6.79,6.79,6.79
30.38,2.18,2.18,-4.61,-4.61,4.60,4.69,5.87,6.78,6.78,6.79
30.68,2.19,2.19,-4.60,-4.59,4.59,4.68,5.89,6.77,6.78,6.78
30.99,2.21,2.21,-4.57,-4.57,4.57,4.67,5.92,6.77,6.77,6.78
31.30,2.23,2.22,-4.55,-4.55,4.55,4.66,5.93,6.77,6.77,6.78
31.61,2.25,2.25,-4.53,-4.53,4.52,4.65,5.93,6.77,6.77,6.77
