frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.62,6.62,-0.39,-0.40,0.40,0.02,-0.07,7.02,7.02,7.02
20.20,6.64,6.65,-0.37,-0.37,0.37,0.02,-0.08,7.01,7.02,7.02
20.40,6.67,6.67,-0.34,-0.34,0.34,0.02,-0.08,7.02,7.02,7.02
20.61,6.70,6.70,-0.31,-0.32,0.31,0.01,-0.08,7.02,7.01,7.02
20.81,6.72,6.73,-0.29,-0.29,0.29,0.01,-0.08,7.01,7.02,7.02
21.02,6.75,6.76,-0.26,-0.26,0.26,0.01,-0.09,7.01,7.02,7.02
21.23,6.78,6.78,-0.23,-0.23,0.23,0.01,-0.09,7.02,7.01,7.01
21.44,6.80,6.81,-0.21,-0.21,0.21,0.01,-0.09,7.01,7.01,7.01
21.66,6.82,6.83,-0.19,-0.18,0.18,0.00,-0.10,7.01,7.01,7.01
21.87,6.85,6.85,-0.16,-0.16,0.16,-0.00,-0.10,7.01,7.01,7.01
22.09,6.87,6.87,-0.14,-0.14,0.14,-0.00,-0.10,7.01,7.01,7.01
22.31,6.89,6.90,-0.12,-0.11,0.12,-0.01,-0.10,7.01,7.01,7.01
22.54,6.91,6.92,-0.10,-0.09,0.10,-0.01,-0.11,7.01,7.01,7.01
22.76,6.93,6.93,-0.07,-0.07,0.08,-0.01,-0.11,7.01,7.01,7.01
22.99,6.95,6.95,-0.05,-0.06,0.06,-0.02,-0.11,7.01,7.01,7.01
23.22,6.96,6.97,-0.04,-0.04,0.04,-0.02,-0.12,7.00,7.01,7.01
23.45,6.98,6.98,-0.02,-0.02,0.02,-0.02,-0.12,7.01,7.00,7.01
23.69,6.99,7.00,-0.01,-0.01,0.01,-0.03,-0.12,7.00,7.00,7.00
23.92,7.01,7.01,0.01,0.01,-0.01,-0.03,-0.13,7.00,7.00,7.00
24.16,7.02,7.03,0.02,0.03,-0.03,-0.04,-0.13,7.00,7.00,7.00
24.40,7.04,7.04,0.04,0.04,-0.04,-0.04,-0.14,7.00,7.00,7.00
24.65,7.05,7.05,0.05,0.05,-0.06,-0.05,-0.14,7.00,7.00,7.00
24.89,7.06,7.07,0.07,0.07,-0.07,-0.05,-0.14,6.99,7.00,7.00
25.14,7.08,7.08,0.09,0.08,-0.08,-0.05,-0.15,7.00,7.00,7.00
25.39,7.09,7.09,0.10,0.10,-0.10,-0.06,-0.15,7.00,7.00,7.00
25.65,7.10,7.11,0.11,0.11,-0.11,-0.07,-0.15,6.99,7.00,6.99
25.91,7.11,7.12,0.12,0.12,-0.12,-0.07,-0.16,6.99,6.99,6.99
26.16,7.12,7.12,0.13,0.13,-0.13,-0.08,-0.16,6.99,6.99,6.99
26.43,7.13,7.13,0.14,0.14,-0.14,-0.08,-0.17,6.99,6.99,6.99
26.69,7.13,7.14,0.15,0.15,-0.15,-0.09,-0.17,6.98,6.99,6.99
26.96,7.14,7.15,0.16,0.16,-0.16,-0.10,-0.17,6.98,6.98,6.99
27.23,7.15,7.15,0.17,0.17,-0.17,-0.10,-0.17,6.98,6.98,6.98
27.50,7.16,7.16,0.18,0.18,-0.18,-0.11,-0.18,6.99,6.98,6.98
27.77,7.16,7.17,0.18,0.19,-0.19,-0.12,-0.18,6.98,6.98,6.98
28.05,7.17,7.17,0.20,0.19,-0.19,-0.12,-0.18,6.98,6.98,6.98
28.33,7.17,7.18,0.20,0.20,-0.20,-0.13,-0.19,6.97,6.98,6.98
28.62,7.18,7.18,0.21,0.21,-0.21,-0.14,-0.19,6.98,6.98,6.97
28.90,7.18,7.18,0.21,0.21,-0.21,-0.15,-0.19,6.97,6.97,6.97
29.19,7.18,7.19,0.21,0.22,-0.22,-0.15,-0.19,6.97,6.97,6.97
29.48,7.18,7.19,0.22,0.22,-0.22,-0.16,-0.19,6.96,6.96,6.97
29.78,7.19,7.19,0.23,0.23,-0.23,-0.17,-0.19,6.97,6.96,6.96
30.08,7.19,7.19,0.23,0.23,-0.23,-0.18,-0.19,6.96,6.96,6.96
