frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.79,8.79,1.81,1.81,-1.83,-1.94,-0.80,6.96,6.96,6.97
20.20,8.81,8.81,1.83,1.84,-1.84,-1.94,-0.83,6.97,6.97,6.97
20.40,8.83,8.83,1.86,1.85,-1.85,-1.93,-0.85,6.98,6.98,6.97
20.61,8.84,8.84,1.87,1.87,-1.86,-1.93,-0.88,6.98,6.98,6.97
20.81,8.85,8.85,1.88,1.87,-1.86,-1.93,-0.90,6.99,6.98,6.97
21.02,8.85,8.85,1.88,1.88,-1.87,-1.92,-0.93,6.98,6.98,6.97
21.23,8.85,8.85,1.88,1.88,-1.87,-1.92,-0.96,6.98,6.98,6.97
21.44,8.85,8.85,1.88,1.88,-1.88,-1.91,-0.99,6.97,6.97,6.97
21.66,8.84,8.84,1.87,1.87,-1.87,-1.91,-1.02,6.97,6.97,6.97
21.87,8.84,8.84,1.87,1.87,-1.87,-1.91,-1.05,6.97,6.97,6.97
22.09,8.83,8.83,1.86,1.86,-1.87,-1.90,-1.08,6.96,6.96,6.97
22.31,8.83,8.83,1.86,1.86,-1.87,-1.90,-1.11,6.96,6.96,6.97
22.54,8.83,8.83,1.86,1.87,-1.87,-1.89,-1.15,6.96,6.96,6.97
22.76,8.84,8.83,1.87,1.87,-1.87,-1.89,-1.18,6.97,6.96,6.96
22.99,8.84,8.84,1.88,1.88,-1.87,-1.89,-1.22,6.96,6.96,6.96
23.22,8.84,8.84,1.88,1.88,-1.88,-1.88,-1.25,6.96,6.97,6.96
23.45,8.85,8.85,1.89,1.88,-1.88,-1.88,-1.29,6.97,6.96,6.96
23.69,8.85,8.85,1.89,1.88,-1.88,-1.87,-1.33,6.97,6.96,6.96
23.92,8.84,8.84,1.88,1.88,-1.88,-1.87,-1.36,6.96,6.96,6.96
24.16,8.84,8.84,1.88,1.88,-1.88,-1.86,-1.40,6.96,6.96,6.96
24.40,8.84,8.83,1.88,1.88,-1.88,-1.86,-1.44,6.96,6.96,6.96
24.65,8.83,8.83,1.87,1.87,-1.87,-1.85,-1.48,6.96,6.96,6.96
24.89,8.82,8.82,1.86,1.87,-1.87,-1.85,-1.52,6.95,6.96,6.95
25.14,8.82,8.81,1.87,1.86,-1.86,-1.84,-1.56,6.96,6.95,6.95
25.39,8.81,8.81,1.86,1.86,-1.86,-1.84,-1.60,6.95,6.95,6.95
25.65,8.80,8.80,1.85,1.85,-1.85,-1.83,-1.64,6.95,6.95,6.95
25.91,8.80,8.80,1.85,1.85,-1.85,-1.82,-1.68,6.95,6.95,6.95
26.16,8.79,8.79,1.84,1.84,-1.85,-1.82,-1.72,6.94,6.94,6.95
26.43,8.79,8.79,1.84,1.84,-1.85,-1.81,-1.76,6.94,6.94,6.95
26.69,8.79,8.79,1.84,1.84,-1.85,-1.81,-1.80,6.94,6.94,6.94
26.96,8.79,8.79,1.85,1.85,-1.85,-1.80,-1.84,6.94,6.94,6.94
27.23,8.79,8.79,1.85,1.85,-1.85,-1.79,-1.87,6.94,6.94,6.94
27.50,8.79,8.79,1.85,1.85,-1.85,-1.79,-1.91,6.94,6.94,6.94
27.77,8.79,8.79,1.85,1.85,-1.85,-1.78,-1.94,6.94,6.94,6.94
28.05,8.79,8.78,1.85,1.85,-1.84,-1.77,-1.97,6.95,6.94,6.93
28.33,8.77,8.77,1.84,1.84,-1.84,-1.77,-2.00,6.93,6.93,6.93
28.62,8.76,8.76,1.83,1.83,-1.83,-1.76,-2.03,6.93,6.93,6.93
28.90,8.75,8.75,1.82,1.82,-1.83,-1.75,-2.06,6.92,6.92,6.93
29.19,8.74,8.74,1.81,1.82,-1.82,-1.74,-2.08,6.92,6.92,6.93
29.48,8.74,8.74,1.82,1.81,-1.81,-1.74,-2.10,6.93,6.92,6.92
29.78,8.73,8.73,1.81,1.81,-1.81,-1.73,-2.12,6.92,6.92,6.92
30.08,8.72,8.72,1.80,1.80,-1.80,-1.72,-2.14,6.92,6.92,6.92
30.38,8.71,8.71,1.79,1.80,-1.80,-1.71,-2.15,6.91,6.91,6.92
30.68,8.71,8.71,1.80,1.79,-1.79,-1.70,-2.16,6.92,6.91,6.91
30.99,8.70,8.70,1.79,1.79,-1.79,-1.70,-2.16,6.91,6.91,6.91
31.30,8.69,8.69,1.78,1.78,-1.78,-1.69,-2.16,6.91,6.91,6.91
31.61,8.68,8.68,1.78,1.78,-1.77,-1.68,-2.16,6.90,6.91,6.90
31.93,8.67,8.67,1.77,1.77,-1.77,-1.67,-2.16,6.90,6.90,6.90
32.24,8.66,8.66,1.76,1.76,-1.76,-1.66,-2.15,6.90,6.90,6.90
32.57,8.64,8.64,1.75,1.75,-1.75,-1.65,-2.14,6.89,6.89,6.89
32.89,8.63,8.63,1.74,1.74,-1.74,-1.64,-2.12,6.89,6.89,6.89
