frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.91,7.91,0.36,0.36,-0.36,0.51,0.01,7.54,7.54,7.54
20.20,7.90,7.90,0.35,0.35,-0.35,0.51,0.01,7.54,7.54,7.54
20.40,7.89,7.89,0.34,0.34,-0.34,0.51,0.01,7.54,7.54,7.54
20.61,7.88,7.88,0.33,0.33,-0.33,0.51,0.01,7.54,7.54,7.54
20.81,7.87,7.87,0.32,0.32,-0.32,0.51,0.01,7.54,7.54,7.54
21.02,7.86,7.86,0.32,0.32,-0.31,0.51,0.01,7.54,7.54,7.54
21.23,7.85,7.85,0.31,0.31,-0.31,0.51,0.01,7.54,7.54,7.54
21.44,7.84,7.84,0.30,0.30,-0.30,0.51,0.01,7.54,7.54,7.54
21.66,7.83,7.83,0.29,0.29,-0.29,0.51,0.01,7.53,7.54,7.54
21.87,7.82,7.82,0.28,0.28,-0.28,0.51,0.01,7.53,7.53,7.54
22.09,7.82,7.81,0.28,0.28,-0.28,0.51,0.01,7.54,7.53,7.54
22.31,7.81,7.81,0.27,0.27,-0.27,0.51,0.01,7.53,7.54,7.54
22.54,7.81,7.80,0.27,0.27,-0.27,0.51,0.01,7.54,7.54,7.53
22.76,7.80,7.80,0.26,0.26,-0.26,0.52,0.01,7.54,7.54,7.53
22.99,7.79,7.79,0.25,0.25,-0.25,0.52,0.01,7.54,7.54,7.53
23.22,7.78,7.77,0.24,0.24,-0.24,0.52,0.01,7.54,7.53,7.53
23.45,7.76,7.76,0.23,0.23,-0.23,0.52,0.01,7.53,7.53,7.53
23.69,7.75,7.75,0.22,0.22,-0.22,0.52,0.01,7.53,7.53,7.53
23.92,7.74,7.73,0.21,0.20,-0.21,0.52,0.01,7.53,7.53,7.53
24.16,7.72,7.72,0.19,0.19,-0.19,0.52,0.01,7.52,7.53,7.53
24.40,7.71,7.71,0.18,0.18,-0.18,0.52,0.01,7.52,7.52,7.53
24.65,7.70,7.70,0.17,0.17,-0.17,0.52,0.01,7.53,7.53,7.52
24.89,7.69,7.69,0.16,0.16,-0.16,0.52,0.01,7.53,7.53,7.52
25.14,7.68,7.67,0.15,0.15,-0.15,0.52,0.01,7.53,7.52,7.52
25.39,7.66,7.66,0.14,0.14,-0.14,0.52,0.01,7.52,7.52,7.52
25.65,7.65,7.65,0.13,0.13,-0.13,0.53,0.01,7.52,7.52,7.52
25.91,7.64,7.64,0.12,0.12,-0.12,0.53,0.01,7.52,7.52,7.52
26.16,7.63,7.63,0.11,0.11,-0.11,0.53,0.01,7.52,7.52,7.52
26.43,7.62,7.62,0.10,0.10,-0.10,0.53,0.01,7.52,7.52,7.51
26.69,7.61,7.60,0.09,0.09,-0.09,0.53,0.01,7.52,7.51,7.51
