frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.55,6.55,0.93,0.93,-0.93,-1.14,-0.60,5.62,5.62,5.61
20.20,6.57,6.57,0.95,0.95,-0.95,-1.15,-0.61,5.62,5.62,5.61
20.40,6.59,6.59,0.97,0.97,-0.97,-1.15,-0.63,5.61,5.61,5.61
20.61,6.61,6.61,0.99,0.99,-1.00,-1.15,-0.65,5.61,5.61,5.61
20.81,6.63,6.63,1.01,1.01,-1.02,-1.16,-0.67,5.61,5.61,5.61
21.02,6.65,6.65,1.04,1.03,-1.04,-1.16,-0.69,5.60,5.60,5.61
21.23,6.67,6.67,1.06,1.06,-1.06,-1.16,-0.71,5.60,5.60,5.61
21.44,6.69,6.69,1.08,1.08,-1.08,-1.17,-0.73,5.60,5.61,5.61
21.66,6.72,6.71,1.11,1.10,-1.11,-1.17,-0.75,5.61,5.61,5.61
21.87,6.74,6.74,1.13,1.13,-1.13,-1.18,-0.78,5.61,5.61,5.61
22.09,6.76,6.76,1.15,1.15,-1.15,-1.18,-0.80,5.61,5.61,5.61
22.31,6.78,6.77,1.17,1.17,-1.16,-1.19,-0.82,5.61,5.61,5.61
22.54,6.79,6.79,1.18,1.18,-1.18,-1.19,-0.85,5.61,5.61,5.60
22.76,6.80,6.80,1.19,1.19,-1.19,-1.20,-0.87,5.60,5.60,5.60
22.99,6.81,6.81,1.20,1.20,-1.21,-1.21,-0.90,5.60,5.60,5.60
23.22,6.82,6.82,1.21,1.21,-1.22,-1.21,-0.92,5.60,5.60,5.60
23.45,6.83,6.83,1.23,1.22,-1.22,-1.22,-0.95,5.60,5.60,5.60
23.69,6.84,6.83,1.24,1.23,-1.23,-1.23,-0.98,5.60,5.60,5.60
23.92,6.84,6.84,1.24,1.24,-1.24,-1.23,-1.01,5.60,5.60,5.60
24.16,6.85,6.85,1.25,1.25,-1.25,-1.24,-1.03,5.60,5.60,5.60
24.40,6.86,6.85,1.26,1.26,-1.26,-1.25,-1.06,5.60,5.60,5.60
24.65,6.86,6.86,1.26,1.26,-1.26,-1.26,-1.09,5.59,5.60,5.60
24.89,6.87,6.87,1.27,1.27,-1.27,-1.26,-1.12,5.59,5.59,5.59
25.14,6.88,6.88,1.28,1.28,-1.28,-1.27,-1.15,5.59,5.59,5.59
25.39,6.89,6.89,1.30,1.29,-1.30,-1.28,-1.18,5.59,5.59,5.59
25.65,6.90,6.90,1.31,1.31,-1.31,-1.29,-1.21,5.59,5.59,5.59
25.91,6.91,6.91,1.32,1.32,-1.33,-1.30,-1.24,5.58,5.58,5.59
26.16,6.93,6.93,1.34,1.34,-1.34,-1.31,-1.27,5.58,5.58,5.59
26.43,6.95,6.94,1.36,1.36,-1.36,-1.32,-1.30,5.58,5.58,5.58
26.69,6.97,6.96,1.38,1.38,-1.38,-1.33,-1.32,5.59,5.58,5.58
26.96,6.98,6.98,1.39,1.40,-1.40,-1.34,-1.35,5.58,5.59,5.58
27.23,7.00,6.99,1.42,1.41,-1.41,-1.35,-1.38,5.59,5.58,5.58
27.50,7.01,7.00,1.43,1.42,-1.42,-1.36,-1.41,5.59,5.58,5.58
27.77,7.01,7.01,1.43,1.43,-1.43,-1.37,-1.43,5.58,5.58,5.58
28.05,7.01,7.01,1.43,1.43,-1.43,-1.38,-1.46,5.58,5.58,5.57
28.33,7.01,7.00,1.43,1.43,-1.43,-1.39,-1.48,5.57,5.57,5.57
28.62,7.00,7.00,1.43,1.43,-1.43,-1.40,-1.50,5.57,5.57,5.57
28.90,6.99,6.99,1.42,1.42,-1.43,-1.41,-1.52,5.56,5.56,5.57
29.19,6.99,6.99,1.42,1.42,-1.43,-1.42,-1.54,5.56,5.56,5.57
29.48,6.99,6.98,1.42,1.42,-1.42,-1.42,-1.55,5.56,5.56,5.56
29.78,6.99,6.98,1.43,1.42,-1.42,-1.43,-1.57,5.57,5.56,5.56
30.08,6.98,6.98,1.42,1.42,-1.42,-1.43,-1.58,5.56,5.56,5.56
30.38,6.98,6.97,1.42,1.42,-1.42,-1.44,-1.59,5.56,5.56,5.55
30.68,6.97,6.97,1.41,1.42,-1.42,-1.44,-1.60,5.55,5.55,5.55
30.99,6.97,6.97,1.42,1.42,-1.42,-1.44,-1.60,5.55,5.55,5.55
31.30,6.97,6.96,1.42,1.42,-1.42,-1.44,-1.61,5.55,5.54,5.55
31.61,6.96,6.96,1.41,1.42,-1.42,-1.44,-1.61,5.54,5.54,5.54
31.93,6.96,6.96,1.42,1.42,-1.42,-1.44,-1.61,5.54,5.54,5.54
32.24,6.96,6.96,1.42,1.42,-1.42,-1.44,-1.60,5.53,5.53,5.54
32.57,6.96,6.96,1.42,1.42,-1.42,-1.43,-1.60,5.53,5.54,5.53
32.89,6.96,6.95,1.43,1.43,-1.42,-1.43,-1.59,5.54,5.54,5.53
33.22,6.95,6.95,1.42,1.42,-1.42,-1.42,-1.58,5.53,5.53,5.53
33.55,6.94,6.93,1.41,1.41,-1.41,-1.42,-1.57,5.53,5.53,5.52
33.89,6.92,6.92,1.40,1.40,-1.40,-1.41,-1.55,5.51,5.52,5.52
34.23,6.91,6.90,1.39,1.39,-1.39,-1.40,-1.54,5.51,5.51,5.51
34.57,6.89,6.89,1.38,1.38,-1.38,-1.39,-1.52,5.50,5.51,5.51
34.92,6.88,6.87,1.37,1.37,-1.37,-1.38,-1.50,5.50,5.50,5.50
35.27,6.86,6.86,1.36,1.36,-1.36,-1.37,-1.48,5.49,5.49,5.50
35.62,6.85,6.85,1.35,1.35,-1.36,-1.36,-1.46,5.49,5.49,5.49
35.97,6.84,6.84,1.35,1.35,-1.35,-1.35,-1.44,5.49,5.49,5.49
36.33,6.83,6.83,1.34,1.34,-1.34,-1.33,-1.42,5.49,5.49,5.48
36.70,6.82,6.81,1.34,1.34,-1.33,-1.32,-1.40,5.49,5.49,5.48
37.06,6.80,6.80,1.32,1.32,-1.32,-1.31,-1.37,5.48,5.48,5.47
37.43,6.78,6.77,1.31,1.31,-1.30,-1.30,-1.35,5.47,5.47,5.47
37.81,6.75,6.75,1.29,1.29,-1.29,-1.29,-1.32,5.46,5.46,5.46
38.19,6.73,6.72,1.27,1.27,-1.27,-1.28,-1.30,5.45,5.45,5.45
38.57,6.70,6.70,1.25,1.25,-1.26,-1.27,-1.28,5.44,5.44,5.45
38.95,6.68,6.68,1.23,1.24,-1.24,-1.26,-1.25,5.43,5.44,5.44
39.34,6.67,6.66,1.23,1.23,-1.23,-1.24,-1.23,5.43,5.43,5.43
39.74,6.65,6.65,1.22,1.22,-1.22,-1.23,-1.21,5.42,5.42,5.43
40.14,6.64,6.64,1.22,1.22,-1.22,-1.22,-1.18,5.42,5.42,5.42
40.54,6.63,6.62,1.21,1.21,-1.21,-1.21,-1.16,5.41,5.41,5.41
40.94,6.62,6.61,1.21,1.21,-1.21,-1.20,-1.14,5.41,5.41,5.40
41.35,6.60,6.60,1.20,1.20,-1.20,-1.19,-1.12,5.39,5.40,5.39
41.76,6.59,6.58,1.20,1.20,-1.20,-1.18,-1.10,5.39,5.39,5.39
42.18,6.57,6.57,1.19,1.19,-1.19,-1.17,-1.08,5.38,5.38,5.38
42.60,6.56,6.55,1.19,1.18,-1.18,-1.16,-1.06,5.38,5.37,5.37
43.03,6.53,6.53,1.17,1.17,-1.17,-1.15,-1.04,5.36,5.36,5.36
43.46,6.51,6.51,1.16,1.16,-1.16,-1.14,-1.02,5.35,5.35,5.35
43.90,6.49,6.48,1.15,1.14,-1.15,-1.14,-1.00,5.34,5.33,5.34
44.33,6.46,6.46,1.13,1.13,-1.14,-1.13,-0.99,5.32,5.32,5.33
44.78,6.44,6.44,1.12,1.12,-1.12,-1.12,-0.97,5.31,5.31,5.32
45.23,6.42,6.42,1.11,1.11,-1.11,-1.11,-0.96,5.30,5.30,5.30
45.68,6.40,6.40,1.10,1.10,-1.10,-1.10,-0.94,5.29,5.29,5.29
46.13,6.38,6.37,1.10,1.09,-1.09,-1.09,-0.93,5.29,5.28,5.28
46.60,6.35,6.35,1.08,1.08,-1.08,-1.08,-0.92,5.27,5.27,5.27
47.06,6.32,6.32,1.06,1.07,-1.07,-1.07,-0.90,5.25,5.25,5.25
47.53,6.30,6.29,1.06,1.05,-1.05,-1.06,-0.89,5.24,5.24,5.24
48.01,6.27,6.27,1.04,1.04,-1.04,-1.05,-0.88,5.23,5.22,5.23
48.49,6.24,6.24,1.03,1.03,-1.03,-1.04,-0.87,5.21,5.21,5.21
48.97,6.21,6.21,1.01,1.01,-1.01,-1.03,-0.86,5.19,5.19,5.19
49.46,6.18,6.18,1.00,1.00,-1.00,-1.02,-0.86,5.18,5.18,5.18
49.96,6.16,6.15,0.99,0.99,-0.99,-1.01,-0.85,5.17,5.17,5.16
50.46,6.13,6.12,0.98,0.98,-0.97,-1.00,-0.84,5.15,5.15,5.15
50.96,6.09,6.09,0.96,0.96,-0.96,-0.99,-0.83,5.12,5.13,5.13
51.47,6.06,6.06,0.95,0.95,-0.95,-0.97,-0.83,5.11,5.11,5.11
51.99,6.03,6.03,0.93,0.93,-0.94,-0.96,-0.82,5.09,5.09,5.09
52.51,6.00,6.00,0.92,0.92,-0.92,-0.95,-0.82,5.07,5.07,5.07
53.03,5.97,5.97,0.91,0.91,-0.91,-0.94,-0.82,5.05,5.05,5.05
53.56,5.94,5.93,0.90,0.90,-0.90,-0.93,-0.81,5.04,5.03,5.03
54.10,5.90,5.90,0.89,0.89,-0.89,-0.92,-0.81,5.01,5.01,5.01
54.64,5.87,5.87,0.88,0.88,-0.88,-0.90,-0.81,4.99,4.99,4.99
55.18,5.84,5.84,0.87,0.87,-0.87,-0.89,-0.80,4.96,4.96,4.97
55.74,5.81,5.81,0.86,0.86,-0.86,-0.88,-0.80,4.94,4.94,4.94
56.29,5.78,5.77,0.86,0.85,-0.85,-0.87,-0.80,4.92,4.92,4.92
56.86,5.74,5.74,0.84,0.85,-0.85,-0.86,-0.80,4.89,4.89,4.89
57.42,5.71,5.71,0.84,0.84,-0.84,-0.85,-0.80,4.87,4.87,4.87
58.00,5.68,5.67,0.83,0.83,-0.83,-0.84,-0.80,4.85,4.84,4.84
58.58,5.64,5.64,0.82,0.83,-0.82,-0.83,-0.80,4.81,4.82,4.81
59.16,5.61,5.60,0.82,0.82,-0.82,-0.82,-0.80,4.79,4.79,4.79
59.76,5.57,5.57,0.81,0.81,-0.81,-0.81,-0.80,4.76,4.76,4.76
60.35,5.53,5.53,0.80,0.80,-0.80,-0.80,-0.80,4.72,4.73,4.73
60.96,5.50,5.49,0.80,0.79,-0.80,-0.80,-0.80,4.70,4.70,4.70
61.57,5.46,5.46,0.79,0.79,-0.79,-0.79,-0.81,4.66,4.66,4.67
62.18,5.42,5.42,0.78,0.79,-0.79,-0.79,-0.81,4.63,4.63,4.63
62.80,5.39,5.39,0.79,0.79,-0.79,-0.78,-0.81,4.60,4.60,4.60
63.43,5.36,5.35,0.79,0.79,-0.79,-0.78,-0.81,4.57,4.57,4.57
64.07,5.32,5.32,0.79,0.79,-0.79,-0.78,-0.82,4.53,4.53,4.53
64.71,5.29,5.28,0.79,0.79,-0.79,-0.78,-0.82,4.50,4.50,4.49
65.35,5.25,5.25,0.79,0.79,-0.79,-0.79,-0.82,4.46,4.46,4.46
66.01,5.21,5.21,0.79,0.79,-0.79,-0.79,-0.83,4.42,4.42,4.42
66.67,5.17,5.17,0.79,0.79,-0.78,-0.80,-0.83,4.38,4.38,4.38
67.33,5.13,5.12,0.79,0.78,-0.78,-0.80,-0.83,4.34,4.34,4.34
68.01,5.08,5.08,0.78,0.78,-0.78,-0.81,-0.84,4.29,4.30,4.30
68.69,5.04,5.04,0.78,0.78,-0.78,-0.82,-0.84,4.25,4.25,4.26
69.37,5.00,5.00,0.78,0.78,-0.78,-0.83,-0.85,4.21,4.21,4.21
70.07,4.96,4.96,0.79,0.79,-0.79,-0.84,-0.85,4.17,4.17,4.17
70.77,4.92,4.92,0.79,0.79,-0.79,-0.85,-0.86,4.12,4.12,4.12
71.48,4.88,4.88,0.80,0.80,-0.80,-0.86,-0.87,4.08,4.08,4.08
72.19,4.84,4.84,0.80,0.81,-0.81,-0.87,-0.88,4.03,4.03,4.03
72.91,4.81,4.80,0.82,0.82,-0.82,-0.88,-0.88,3.99,3.99,3.98
73.64,4.76,4.76,0.82,0.83,-0.82,-0.90,-0.89,3.94,3.94,3.93
74.38,4.72,4.72,0.83,0.83,-0.82,-0.91,-0.90,3.89,3.89,3.88
75.12,4.67,4.67,0.83,0.83,-0.83,-0.92,-0.91,3.84,3.84,3.83
75.87,4.62,4.61,0.84,0.83,-0.83,-0.94,-0.92,3.79,3.78,3.78
76.63,4.56,4.55,0.83,0.83,-0.83,-0.95,-0.93,3.73,3.72,3.73
77.40,4.50,4.50,0.82,0.83,-0.83,-0.96,-0.94,3.66,3.66,3.67
78.17,4.45,4.45,0.83,0.83,-0.84,-0.97,-0.96,3.61,3.61,3.62
78.95,4.41,4.40,0.84,0.84,-0.85,-0.99,-0.97,3.56,3.56,3.56
79.74,4.37,4.36,0.86,0.86,-0.86,-1.00,-0.98,3.50,3.50,3.50
80.54,4.33,4.33,0.88,0.88,-0.88,-1.01,-1.00,3.45,3.45,3.45
81.35,4.29,4.29,0.90,0.90,-0.90,-1.02,-1.01,3.39,3.39,3.39
82.16,4.25,4.25,0.92,0.92,-0.92,-1.03,-1.03,3.32,3.33,3.33
82.98,4.21,4.21,0.94,0.94,-0.94,-1.04,-1.05,3.26,3.26,3.26
83.81,4.18,4.17,0.97,0.97,-0.97,-1.06,-1.07,3.21,3.21,3.20
84.65,4.14,4.14,1.00,0.99,-0.99,-1.07,-1.08,3.14,3.14,3.14
85.50,4.10,4.09,1.02,1.02,-1.01,-1.08,-1.10,3.08,3.08,3.08
86.35,4.05,4.05,1.03,1.04,-1.04,-1.09,-1.12,3.01,3.01,3.01
87.22,4.01,4.01,1.06,1.06,-1.06,-1.10,-1.15,2.95,2.95,2.95
88.09,3.97,3.96,1.09,1.08,-1.08,-1.11,-1.17,2.88,2.88,2.88
88.97,3.92,3.92,1.10,1.10,-1.10,-1.12,-1.19,2.81,2.81,2.81
89.86,3.88,3.87,1.13,1.13,-1.13,-1.13,-1.22,2.75,2.75,2.75
90.76,3.83,3.83,1.15,1.15,-1.15,-1.14,-1.24,2.68,2.68,2.68
91.66,3.79,3.78,1.18,1.17,-1.17,-1.15,-1.27,2.61,2.61,2.61
92.58,3.74,3.74,1.19,1.19,-1.20,-1.16,-1.29,2.54,2.54,2.54
93.51,3.69,3.69,1.21,1.22,-1.22,-1.17,-1.32,2.47,2.47,2.47
94.44,3.65,3.64,1.24,1.24,-1.25,-1.18,-1.35,2.40,2.40,2.40
95.39,3.60,3.60,1.27,1.27,-1.27,-1.19,-1.38,2.32,2.33,2.33
96.34,3.56,3.56,1.30,1.30,-1.30,-1.20,-1.41,2.26,2.26,2.26
97.30,3.52,3.51,1.33,1.32,-1.32,-1.22,-1.44,2.19,2.19,2.19
98.28,3.47,3.47,1.35,1.35,-1.35,-1.23,-1.47,2.12,2.12,2.12
99.26,3.42,3.42,1.37,1.37,-1.37,-1.24,-1.50,2.05,2.05,2.04
100.25,3.37,3.37,1.39,1.40,-1.39,-1.25,-1.54,1.98,1.98,1.97
101.25,3.32,3.31,1.42,1.41,-1.41,-1.26,-1.57,1.91,1.90,1.90
102.27,3.26,3.26,1.43,1.43,-1.43,-1.27,-1.60,1.83,1.83,1.83
103.29,3.20,3.20,1.44,1.45,-1.45,-1.29,-1.63,1.75,1.75,1.75
104.32,3.15,3.14,1.47,1.46,-1.47,-1.30,-1.67,1.67,1.67,1.68
105.37,3.10,3.09,1.49,1.49,-1.50,-1.31,-1.70,1.60,1.60,1.61
106.42,3.05,3.05,1.51,1.52,-1.53,-1.33,-1.73,1.52,1.53,1.53
107.48,3.02,3.02,1.56,1.56,-1.56,-1.34,-1.76,1.46,1.46,1.46
108.56,2.99,2.98,1.60,1.59,-1.59,-1.35,-1.79,1.39,1.39,1.39
109.64,2.95,2.95,1.63,1.63,-1.62,-1.37,-1.83,1.32,1.32,1.31
110.74,2.91,2.91,1.66,1.67,-1.66,-1.38,-1.85,1.25,1.25,1.24
111.85,2.87,2.86,1.70,1.69,-1.69,-1.40,-1.88,1.18,1.17,1.17
